,id,name
0,XTNTVA01,International Trade > Net trade > Value (goods) > Total
1,IRSTCB01,Interest Rates > Immediate rates (< 24 hrs) > Central bank rates > Total
2,CCRETT02,Currency Conversions > Real effective exchange rates > Overall Economy > ULC
3,XTIMVA01,International Trade > Imports > Value (goods) > Total
4,PRMNTO01,Production > Manufacturing > Total manufacturing > Total manufacturing
5,CPGRLE01,Consumer Price Index > OECD Groups > All items non-food non-energy > Total
6,LCULMN01,Labour Compensation > Unit Labour Cost > Manufacturing > Total
7,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3
8,SLRTCR03,Sales > Retail trade > Car registration > Passenger cars
9,IRSTCI01,Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate > Total
10,LCEAMN06,Labour Compensation > Earnings > Manufacturing > National accounts: total
11,PRCNTO01,Production > Construction > Total construction > Total
12,CPGREN01,"Consumer Price Index > OECD Groups > Energy (Fuel, electricity & gasoline) > Total"
13,STMNIS01,Short term statistics > Stocks - Manufacturing > Inventories to shipments > Total
14,IR3TIB01,Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total
15,ODMNTO02,Orders > Manufacturing > Total orders > Value
16,XTEXVA01,International Trade > Exports > Value (goods) > Total
17,CCUSSP01,"Currency Conversions > US$ exchange rate > Spot, end of period > USD:national currency"
18,CCRETT01,Currency Conversions > Real effective exchange rates > Overall Economy > CPI
19,IRSTPI01,Interest Rates > Immediate rates (< 24 hrs) > Prime rates > Total
20,SPASTT01,Share Prices > All shares/broad > Total > Total
21,HOHWMN02,Hours > Hours worked > Manufacturing > Weekly
22,WSCNDW01,Work Started > Construction > Dwellings / Residential buildings > Total
23,CPALCY01,Consumer Price Index > All items > All items: City > Total
24,SLRTTO02,Sales > Retail trade > Total retail trade > Value
25,SLMNTO02,Sales > Manufacturing > Total manufacturing > Value
26,CCUSMA02,Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD
27,IR3TCP01,Interest Rates > 3-month or 90-day rates and yields > Commercial/corporate paper > Total
28,ODCNPI03,Orders > Construction > Permits issued > Dwellings / Residential buildings
29,IRLTLT01,Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)
30,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly
31,CPALTT01,Consumer Price Index > All items > Total > Total
32,PRINTO01,Production > Industry > Total industry > Total industry excluding construction
33,MANMM101,Monetary aggregates and their components > Narrow money and components > M1 and components > M1
34,PIEAFD01,Producer Prices Index > Economic activities > Manufacture of food products > Total
35,PIEAMP01,Producer Prices Index > Economic activities > Manufacturing > Total
36,PIEAMP02,Producer Prices Index > Economic activities > Manufacturing > Domestic
37,NAEXKP01,National Accounts > GDP by Expenditure > Constant Prices > Gross Domestic Product - Total
38,NAEXCP06,National Accounts > GDP by Expenditure > Current Prices > Exports of Goods and Services
39,NAEXCP04,National Accounts > GDP by Expenditure > Current Prices > Gross Fixed Capital Formation
40,NAEXCP07,National Accounts > GDP by Expenditure > Current Prices > less: Imports of Goods and Services
41,NAEXCP01,National Accounts > GDP by Expenditure > Current Prices > Gross Domestic Product - Total
42,NAEXCP05,National Accounts > GDP by Expenditure > Current Prices > Changes in inventories and net acquisition of valuables
43,NAEXCP03,National Accounts > GDP by Expenditure > Current Prices > Government Final Consumption Expenditure
44,NAGIGP01,National Accounts > National Accounts Deflators > Gross Domestic Product > GDP Deflator
45,NAEXCP02,National Accounts > GDP by Expenditure > Current Prices > Private Final Consumption Expenditure
46,NAEXKP03,National Accounts > GDP by Expenditure > Constant Prices > Government Final Consumption Expenditure
47,NAEXKP06,National Accounts > GDP by Expenditure > Constant Prices > Exports of Goods and Services
48,NAEXKP07,National Accounts > GDP by Expenditure > Constant Prices > Less: Imports of Goods and Services
49,NAEXKP02,National Accounts > GDP by Expenditure > Constant Prices > Private Final Consumption Expenditure
50,NAEXKP04,National Accounts > GDP by Expenditure > Constant Prices > Gross Fixed Capital Formation
51,NAEXKP05,National Accounts > GDP by Expenditure > Constant Prices > Changes in inventories and net acquisition of valuables
52,LRAC24FE,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Females
53,LRAC24MA,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Males
54,LRAC24TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > All persons
55,LRAC25FE,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Females
56,LRAC25MA,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Males
57,LRAC25TT,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > All persons
58,LRAC55FE,Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > Females
59,LRAC55MA,Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > Males
60,LRAC55TT,Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > All persons
61,LRAC64FE,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > Females
62,LRAC64MA,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > Males
63,LRAC64TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > All persons
64,LRACTTFE,Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > Females
65,LRACTTMA,Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > Males
66,LRACTTTT,Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > All persons
67,LREM24FE,Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > Females
68,LREM24MA,Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > Males
69,LREM24TT,Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > All persons
70,LREM25FE,Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > Females
71,LREM25MA,Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > Males
72,LREM25TT,Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > All persons
73,LREM55FE,Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > Females
74,LREM55MA,Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > Males
75,LREM55TT,Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > All persons
76,LREM64FE,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > Females
77,LREM64MA,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > Males
78,LREM64TT,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > All persons
79,LREMTTFE,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > Females
80,LREMTTMA,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > Males
81,LREMTTTT,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > All persons
82,LRHU24FE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Females
83,LRHU24MA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Males
84,LRHU24TT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > All persons
85,LRHUADFE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Females
86,LRHUADMA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Males
87,LRHUADTT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > All persons
88,LRHUTTFE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > Females
89,LRHUTTMA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > Males
90,LRHUTTTT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > All persons
91,LRIN24FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > Females
92,LRIN24MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > Males
93,LRIN24TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > All persons
94,LRIN25FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > Females
95,LRIN25MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > Males
96,LRIN25TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > All persons
97,LRIN55FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > Females
98,LRIN55MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > Males
99,LRIN55TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > All persons
