,id,name
0,XTNTVA01,International Trade > Net trade > Value (goods) > Total
1,IRSTCB01,Interest Rates > Immediate rates (< 24 hrs) > Central bank rates > Total
2,XTIMVA01,International Trade > Imports > Value (goods) > Total
3,PRMNTO01,Production > Manufacturing > Total manufacturing > Total manufacturing
4,SLRTTO01,Sales > Retail trade > Total retail trade > Volume
5,CPGRLE01,Consumer Price Index > OECD Groups > All items non-food non-energy > Total
6,LCULMN01,Labour Compensation > Unit Labour Cost > Manufacturing > Total
7,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3
8,SLRTCR03,Sales > Retail trade > Car registration > Passenger cars
9,IRSTCI01,Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate > Total
10,LCEAMN06,Labour Compensation > Earnings > Manufacturing > National accounts: total
11,PRCNTO01,Production > Construction > Total construction > Total
12,CPGREN01,"Consumer Price Index > OECD Groups > Energy (Fuel, electricity & gasoline) > Total"
13,STMNIS01,Short term statistics > Stocks - Manufacturing > Inventories to shipments > Total
14,IR3TIB01,Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total
15,ODMNTO02,Orders > Manufacturing > Total orders > Value
16,XTEXVA01,International Trade > Exports > Value (goods) > Total
17,CCUSSP01,"Currency Conversions > US$ exchange rate > Spot, end of period > USD:national currency"
18,CCRETT01,Currency Conversions > Real effective exchange rates > Overall Economy > CPI
19,BSCICP03,Business tendency surveys (manufacturing) > Confidence indicators > Composite indicators > OECD Indicator
20,IRSTPI01,Interest Rates > Immediate rates (< 24 hrs) > Prime rates > Total
21,SPASTT01,Share Prices > All shares/broad > Total > Total
22,HOHWMN02,Hours > Hours worked > Manufacturing > Weekly
23,WSCNDW01,Work Started > Construction > Dwellings / Residential buildings > Total
24,CPALCY01,Consumer Price Index > All items > All items: City > Total
25,SLRTTO02,Sales > Retail trade > Total retail trade > Value
26,SLMNTO02,Sales > Manufacturing > Total manufacturing > Value
27,CCUSMA02,Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD
28,IR3TCP01,Interest Rates > 3-month or 90-day rates and yields > Commercial/corporate paper > Total
29,ODCNPI03,Orders > Construction > Permits issued > Dwellings / Residential buildings
30,IRLTLT01,Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)
31,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly
32,CPALTT01,Consumer Price Index > All items > Total > Total
33,PRINTO01,Production > Industry > Total industry > Total industry excluding construction
34,MANMM101,Monetary aggregates and their components > Narrow money and components > M1 and components > M1
35,PIEAFD01,Producer Prices Index > Economic activities > Manufacture of food products > Total
36,PIEAMP01,Producer Prices Index > Economic activities > Manufacturing > Total
37,PIEAMP02,Producer Prices Index > Economic activities > Manufacturing > Domestic
38,LRAC24FE,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Females
39,LRAC24MA,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Males
40,LRAC24TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > All persons
41,LRAC25FE,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Females
42,LRAC25MA,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Males
43,LRAC25TT,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > All persons
44,LRAC55FE,Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > Females
45,LRAC55MA,Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > Males
46,LRAC55TT,Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > All persons
47,LRAC64FE,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > Females
48,LRAC64MA,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > Males
49,LRAC64TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > All persons
50,LRACTTFE,Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > Females
51,LRACTTMA,Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > Males
52,LRACTTTT,Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > All persons
53,LREM24FE,Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > Females
54,LREM24MA,Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > Males
55,LREM24TT,Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > All persons
56,LREM25FE,Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > Females
57,LREM25MA,Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > Males
58,LREM25TT,Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > All persons
59,LREM55FE,Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > Females
60,LREM55MA,Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > Males
61,LREM55TT,Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > All persons
62,LREM64FE,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > Females
63,LREM64MA,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > Males
64,LREM64TT,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > All persons
65,LREMTTFE,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > Females
66,LREMTTMA,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > Males
67,LREMTTTT,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > All persons
68,LRHU24FE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Females
69,LRHU24MA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Males
70,LRHU24TT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > All persons
71,LRHUADFE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Females
72,LRHUADMA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Males
73,LRHUADTT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > All persons
74,LRHUTTFE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > Females
75,LRHUTTMA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > Males
76,LRHUTTTT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > All persons
77,LRIN24FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > Females
78,LRIN24MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > Males
79,LRIN24TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > All persons
80,LRIN25FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > Females
81,LRIN25MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > Males
82,LRIN25TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > All persons
83,LRIN55FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > Females
84,LRIN55MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > Males
85,LRIN55TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > All persons
86,LRIN64FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > Females
87,LRIN64MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > Males
88,LRIN64TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > All persons
89,LRINTTFE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > Females
90,LRINTTMA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > Males
91,LRINTTTT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > All persons
92,LRUN24FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > Females
93,LRUN24MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > Males
94,LRUN24TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > All persons
95,LRUN25FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > Females
96,LRUN25MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > Males
97,LRUN25TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > All persons
98,LRUN55FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > Females
99,LRUN55MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > Males
