,id,name
0,XTNTVA01,International Trade > Net trade > Value (goods) > Total
1,BSSPFT02,Business tendency surveys (manufacturing) > Selling prices > Future tendency > National indicator
2,BSEMFT02,Business tendency surveys (manufacturing) > Employment > Future Tendency > National indicator
3,IRSTCB01,Interest Rates > Immediate rates (< 24 hrs) > Central bank rates > Total
4,XTIMVA01,International Trade > Imports > Value (goods) > Total
5,BSCURT02,Business tendency surveys (manufacturing) > Capacity utilisation > Rate of capacity utilisation > National indicator
6,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3
7,XTEITT01,International Trade > Ratio: Exports to imports > Total > Total
8,BREMFT02,Business tendency surveys (retail trade) > Employment > Future tendency > National indicator
9,IRSTCI01,Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate > Total
10,BVEMFT02,Business tendency surveys (services) > Employment > Future tendency > National indicator
11,PRCNTO01,Production > Construction > Total construction > Total
12,CCUSSP02,"Currency Conversions > US$ exchange rate > Spot, end of period > National currency:USD"
13,IR3TTS01,Interest Rates > 3-month or 90-day rates and yields > Treasury securities > Total
14,IR3TIB01,Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total
15,BSCICP02,Business tendency surveys (manufacturing) > Confidence indicators > Composite indicators > National indicator
16,BRVSLV02,Business tendency surveys (retail trade) > Volume of stocks > Level > National indicator
17,BSFGLV02,Business tendency surveys (manufacturing) > Finished goods stocks > Level > National indicator
18,BRBUFT02,Business tendency surveys (retail trade) > Business situation - Activity > Future tendency > National indicator
19,XTEXVA01,International Trade > Exports > Value (goods) > Total
20,CCRETT01,Currency Conversions > Real effective exchange rates > Overall Economy > CPI
21,SPASTT01,Share Prices > All shares/broad > Total > Total
22,BSOBLV02,Business tendency surveys (manufacturing) > Order books > Level > National indicator
23,LCEATT03,Labour Compensation > Earnings > All activities > Monthly
24,CCUSMA02,Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD
25,CPALTT01,Consumer Price Index > All items > Total > Total
26,PRINTO01,Production > Industry > Total industry > Total industry excluding construction
27,MANMM101,Monetary aggregates and their components > Narrow money and components > M1 and components > M1
28,NAEXCP01,National Accounts > GDP by Expenditure > Current Prices > Gross Domestic Product - Total
29,LMUNRLTT,Labour - other labour market measures > Registered unemployment > Level > Total
30,LMUNRRTT,Labour - other labour market measures > Registered unemployment > Rate > Total
31,BSBUCT02,Business tendency surveys (manufacturing) > Business situation > Current > National indicator
32,BSBUFT02,Business tendency surveys (manufacturing) > Business situation > Future tendency > National indicator
33,B6BLTT01,Balance of payments BPM6 > Current account Balance > Total > Total Balance
34,B6CRSE01,Balance of payments BPM6 > Current account Credits > Services > Total Credits
35,B6FADI01,Balance of payments BPM6 > Financial account > Direct investment > Direct investment Net
36,B6CACR00,Balance of payments BPM6 > Capital account > Capital account Credits > Capital account Credits
37,B6CATT00,Balance of payments BPM6 > Capital account > Capital account Balance > Capital account Balance
38,B6FATC01,Balance of payments BPM6 > Financial account > Financial account Net acquisition of financial assets > Total
39,B6FAOI01,Balance of payments BPM6 > Financial account > Other investment > Other investment Net
40,B6BLSI01,Balance of payments BPM6 > Current account Balance > Secondary income > Total Balance
41,B6CRTD01,Balance of payments BPM6 > Current account Credits > Goods > Total Credits
