,id,name
0,XTNTVA01,International Trade > Net trade > Value (goods) > Total
1,BSSPFT02,Business tendency surveys (manufacturing) > Selling prices > Future tendency > National indicator
2,BSEMFT02,Business tendency surveys (manufacturing) > Employment > Future Tendency > National indicator
3,CCRETT02,Currency Conversions > Real effective exchange rates > Overall Economy > ULC
4,XTIMVA01,International Trade > Imports > Value (goods) > Total
5,PRMNTO01,Production > Manufacturing > Total manufacturing > Total manufacturing
6,SLRTTO01,Sales > Retail trade > Total retail trade > Volume
7,CPGRLE01,Consumer Price Index > OECD Groups > All items non-food non-energy > Total
8,XTIMVA03,International Trade > Imports > Value (goods) > Excluding ships and oil platforms
9,BSCURT02,Business tendency surveys (manufacturing) > Capacity utilisation > Rate of capacity utilisation > National indicator
10,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3
11,IRSTCI01,Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate > Total
12,CPGREN01,"Consumer Price Index > OECD Groups > Energy (Fuel, electricity & gasoline) > Total"
13,XTEXVA03,International Trade > Exports > Value (goods) > Excluding ships and oil platforms
14,LCEAMN03,Labour Compensation > Earnings > Manufacturing > Monthly
15,BSOITE02,Business tendency surveys (manufacturing) > Orders inflow > Tendency > National indicator
16,IR3TIB01,Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total
17,OPCNRE01,Other prices > Cost of Construction > Residential > Total
18,ODMNTO02,Orders > Manufacturing > Total orders > Value
19,BSCICP02,Business tendency surveys (manufacturing) > Confidence indicators > Composite indicators > National indicator
20,BSFGLV02,Business tendency surveys (manufacturing) > Finished goods stocks > Level > National indicator
21,XTEXVA01,International Trade > Exports > Value (goods) > Total
22,CCUSSP01,"Currency Conversions > US$ exchange rate > Spot, end of period > USD:national currency"
23,CCRETT01,Currency Conversions > Real effective exchange rates > Overall Economy > CPI
24,SPASTT01,Share Prices > All shares/broad > Total > Total
25,WSCNDW01,Work Started > Construction > Dwellings / Residential buildings > Total
26,SLRTTO02,Sales > Retail trade > Total retail trade > Value
27,BSOBLV02,Business tendency surveys (manufacturing) > Order books > Level > National indicator
28,CCUSMA02,Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD
29,ODCNPI03,Orders > Construction > Permits issued > Dwellings / Residential buildings
30,IRLTLT01,Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)
31,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly
32,CPALTT01,Consumer Price Index > All items > Total > Total
33,BSPRFT02,Business tendency surveys (manufacturing) > Production > Future Tendency > National indicator
34,PRINTO01,Production > Industry > Total industry > Total industry excluding construction
35,BSPRTE02,Business tendency surveys (manufacturing) > Production > Tendency > National indicator
36,MANMM101,Monetary aggregates and their components > Narrow money and components > M1 and components > M1
37,PITGND01,Producer Prices Index > Type of goods > Non durable consumer goods > Total
38,PIEATI01,Producer Prices Index > Economic activities > Industrial activities > Total
39,PITGCD02,Producer Prices Index > Type of goods > Durable consumer goods > Domestic
40,PIEATI02,Producer Prices Index > Economic activities > Industrial activities > Domestic
41,PIEAFD02,Producer Prices Index > Economic activities > Manufacture of food products > Domestic
42,PIEAEN01,Producer Prices Index > Economic activities > Energy > Total
