country,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD
subject,BSCICP03,CP010000,CP010000,CP010000,CP010000,CPALTT01,CPALTT01,CPALTT01,CPALTT01,CPGREN01,CPGREN01,CPGREN01,CPGRLE01,CPGRLE01,CPGRLE01,CSCICP03,CSCICP04,CSCICP04,LCEAMN01,LCEAMN01,LCEAMN01,LFHU24FE,LFHU24FE,LFHU24MA,LFHU24MA,LFHU24TT,LFHU24TT,LFHUADFE,LFHUADFE,LFHUADMA,LFHUADMA,LFHUADTT,LFHUADTT,LFHUTTFE,LFHUTTFE,LFHUTTMA,LFHUTTMA,LFHUTTTT,LFHUTTTT,LRHU24FE,LRHU24FE,LRHU24MA,LRHU24MA,LRHU24TT,LRHU24TT,LRHUADFE,LRHUADFE,LRHUADMA,LRHUADMA,LRHUADTT,LRHUADTT,LRHUTTFE,LRHUTTFE,LRHUTTMA,LRHUTTMA,LRHUTTTT,LRHUTTTT,MABMM301,MABMM301,MABMM301,MABMM301,MANMM101,MANMM101,MANMM101,PIEAMP02,PIEAMP02,PIEAMP02,PRCNTO01,PRCNTO01,PRCNTO01,PRINTO01,PRINTO01,PRINTO01,PRMNTO01,PRMNTO01,PRMNTO01,SLRTCR03,SLRTCR03,SLRTCR03,SLRTTO01,SLRTTO01,SLRTTO01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTNTVA01,XTNTVA01
measure,IXNSA,GP,GY,IXNB,IXOB,GP,GY,IXNB,IXOB,GP,GY,IXOB,GP,GY,IXOB,IXNSA,GPSA,IXNSA,GPSA,GYSA,IXOBSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,ST,STSA,GPSA,GYSA,IXOB,IXOBSA,GPSA,IXOB,IXOBSA,GP,GY,IXOB,GPSA,GYSA,IXOBSA,GPSA,GYSA,IXOBSA,GPSA,GYSA,IXOBSA,GPSA,GYSA,IXOBSA,GPSA,GYSA,IXOBSA,CXML,CXMLSA,GPSA,GYSA,CXML,CXMLSA,GPSA,GYSA,CXML,CXMLSA
unit,Index,Percentage,Percentage,Index,Index,Percentage,Percentage,Index,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Index,Percentage,Index,Percentage,Percentage,Index,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Index,Index,Percentage,Index,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage,Percentage,US Dollar,US Dollar,Percentage,Percentage,US Dollar,US Dollar
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Billions,Billions,Units,Units,Billions,Billions,Units,Units,Billions,Billions
reference_period,,,,2015=100,2015=100,,,2015=100,2015=100,,,2015=100,,,2015=100,,,,,,2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015=100,2015=100,,2015=100,2015=100,,,2015=100,,,2015=100,,,2015=100,,,2015=100,,,2010=100,,,2015=100,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01,,,,7.36478911406936,7.36478911406936,,,7.06276484392674,7.06276484392675,,,4.66614287893393,,,7.3038964155945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4247992398638,,,,,,,,,,
1970-02,,0.477202206826793,,7.39993405024984,7.39993405024984,0.369767354104079,,7.08888064261672,7.08888064261673,0.108271909302921,,4.67119500091975,0.35381108688372,,7.32973841088737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.488524221523058,,43.6369399022983,,,,,,,,,,
1970-03,,0.278284258136212,,7.42052690182416,7.42052690182415,0.539352481334588,,7.12711469626152,7.12711469626153,-0.101275539400219,,4.66646422298613,0.643942863436115,,7.37693773829282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.451214563879575,,43.4400436742278,,,,,,,,,,
1970-04,,0.35893010721691,,7.44716140698892,7.44716140698892,0.713630467344695,,7.17797595817665,7.17797595817665,0.96126868661275,,4.71132148233369,0.566923487032442,,7.41875933095496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532247523758687,,43.6712522310035,,,,,,,,,,
1970-05,,0.261789455659409,,7.46665729029836,7.46665729029836,0.147772331824134,,7.18858302062782,7.18858302062782,-0.0274988274133419,,4.71002592417037,0.380222171292771,,7.4469670987661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43651585584031,,44.2985966937459,,,,,,,,,,
1970-06,,0.0579611768348367,,7.47098505273404,7.47098505273404,0.339495182494698,,7.21298791367249,7.21298791367249,-0.234129713471273,,4.69899835396969,0.484899088771957,,7.48307737436916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331912381911819,,44.4456292211856,,,,,,,,,,
1970-07,,0.605655876450583,,7.51623351273467,7.51623351273467,0.445957146601794,,7.24515474875703,7.24515474875703,0.536011649771449,,4.72418553256953,0.237942076096909,,7.50088276402968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.943973887750345,,44.86518435528,,,,,,,,,,
1970-08,,-0.130776583023765,,7.50640403937462,7.50640403937462,0.10206777428876,,7.25254971695286,7.25254971695287,0.285472200507462,,4.73767176896542,0.149329928456971,,7.51208382689484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0608653002145088,,44.8378770261303,,,,,,,,,,
1970-09,,-0.165817530757462,,7.49395710554786,7.49395710554786,0.545561162159891,,7.2921168114749,7.2921168114749,0.773012184121528,,4.7742945489832,0.684007756592694,,7.56346706295255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.246725845348833,,44.7272503950011,,,,,,,,,,
1970-10,,-0.0213899874561698,,7.49235414906301,7.49235414906301,0.695784243340656,,7.34285421125513,7.34285421125514,1.01035089557141,,4.82253167671607,0.730725761856028,,7.61873526527104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469141312611466,,44.9370844045993,,,,,,,,,,
1970-11,,-0.233782812986325,,7.47483831277444,7.47483831277443,0.452190918624738,,7.37605793116628,7.37605793116629,0.343275707883329,,4.83908625646722,0.585154994288897,,7.66331667517742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.935221657902704,,44.5168230588174,,,,,,,,,,
1970-12,,0.45833166386539,,7.50909786358462,7.50909786358462,0.517385217610334,,7.41422056454451,7.41422056454452,0.767116149424127,,4.87620766862514,0.467746027993596,,7.69916153453814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66458703073972,,45.2578443219519,,,,,,,,,,
1971-01,,0.736262031464036,2.71013036352948,7.56438450005968,7.56438450005967,0.583519662048823,5.58873421559506,7.4574839993263,7.4574839993263,0.147606040501461,4.65614475155419,4.88340524569143,0.581000418808352,6.02414457527907,7.74389369529853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.624835131428062,4.87240477831914,45.5406312330024,,,,,,,,,,
1971-02,,0.474460113153773,2.70732733167311,7.60027448731804,7.60027448731804,0.38983436931683,5.60984466340874,7.48655583504197,7.48655583504198,0.393610852202241,4.95444651165631,4.90262685869548,0.30177933512635,5.96917285162372,7.7672631662051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306381999566679,4.68231647742895,45.6801595295894,,,,,,,,,,
1971-03,,0.669308310056363,3.10782316775799,7.65114375604876,7.65114375604875,0.407762488914847,5.4716182046568,7.51708320144894,7.51708320144894,0.330535804572076,5.40811116902579,4.91883179582804,0.40164704854036,5.71405678244554,7.79846014946452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426395679144052,5.60518331906395,45.8749377560497,,,,,,,,,,
1971-04,,0.994979302288566,3.76129414300035,7.72727105280978,7.72727105280978,0.672941436519236,5.42900691257621,7.56766876912912,7.56766876912912,-0.00127712383520114,4.40316999591204,4.91876897625476,0.70308462852593,5.85718681112999,7.85328992403713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77166107278389,6.90713864461265,46.6876861704374,,,,,,,,,,
1971-05,,0.181873853390145,3.67858919270278,7.74132493843543,7.74132493843543,0.433592241676498,5.72989936929241,7.60048159378784,7.60048159378784,0.160088800320449,4.59907129634675,4.92664337449938,0.586146141831666,6.07434644424006,7.89932167993373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.304242139071417,5.07249897132945,46.5456425553496,,,,,,,,,,
