country,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU,ROU
subject,BSCURT02,BSOITE02,CCUSMA02,IR3TIB01,IRLTLT01,IRSTCB01,IRSTCI01,ODCNPI03,ODCNPI03,ODCNPI03,PRCNTO01,PRCNTO01,PRCNTO01,PRCNTO01,PRINTO01,PRINTO01,PRINTO01,PRINTO01,PRMNTO01,PRMNTO01,PRMNTO01,PRMNTO01,SLRTTO01,SLRTTO01,SLRTTO01,SLRTTO01,SLRTTO02,SLRTTO02,SPASTT01,SPASTT01,SPASTT01
measure,STSA,STSA,ST,ST,ST,ST,ST,GPSA,GYSA,IXOBSA,GPSA,GYSA,IXOB,IXOBSA,GPSA,GYSA,IXOB,IXOBSA,GPSA,GYSA,IXOB,IXOBSA,GPSA,GYSA,IXOB,IXOBSA,IXOB,IXOBSA,GP,GY,IXOB
unit,Percentage,Percentage,Romanian Leu,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Index,Percentage,Percentage,Index,Index,Percentage,Percentage,Index,Index,Percentage,Percentage,Index,Index,Percentage,Percentage,Index,Index,Index,Index,Percentage,Percentage,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,2015=100,,,2015=100,2015=100,,,2015=100,2015=100,,,2015=100,2015=100,,,2015=100,2015=100,2015=100,2015=100,,,2015=100
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-Q1,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-Q2,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-Q3,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-Q4,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-Q1,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-Q2,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-Q3,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-Q4,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-Q1,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-Q2,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-Q3,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-Q4,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-Q1,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-Q2,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-Q3,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-Q4,,,0.0005999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-Q1,,,0.0005529999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-Q2,,,0.0005529999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-Q3,,,0.0005529999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-Q4,,,0.0005529999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-Q1,,,0.00151766666663333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-Q2,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-Q3,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-Q4,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-Q1,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-Q2,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-Q3,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-Q4,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-Q1,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-Q2,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-Q3,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-Q4,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-Q1,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-Q2,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-Q3,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-Q4,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-Q1,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-Q2,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-Q3,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-Q4,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-Q1,,,0.00194409999996667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-Q2,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-Q3,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-Q4,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-Q1,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-Q2,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-Q3,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-Q4,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-Q1,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-Q2,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-Q3,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-Q4,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-Q1,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-Q2,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-Q3,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-Q4,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-Q1,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-Q2,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-Q3,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-Q4,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-Q1,,,0.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-Q2,,,0.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-Q3,,,0.00177673333323333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-Q4,,,0.00179466666656667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-Q1,,,0.0021549999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-Q2,,,0.00216059999993333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-Q3,,,0.00225746666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-Q4,,,0.001939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-Q1,,,0.00182059999993333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-Q2,,,0.00176139999993333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-Q3,,,0.00168189999996667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-Q4,,,0.00159266666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-Q1,,,0.0015903333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-Q2,,,0.00175599999996667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-Q3,,,0.00156876666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-Q4,,,0.00154626666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-Q1,,,0.00148223333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-Q2,,,0.00145513333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-Q3,,,0.0014687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-Q4,,,0.00141673333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-Q1,,,0.00139336666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-Q2,,,0.00140123333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-Q3,,,0.0014746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-Q4,,,0.00144156666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-Q1,,,0.00146563333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-Q2,,,0.0015109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-Q3,,,0.00151136666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-Q4,,,0.00148073333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-Q1,,,0.0018823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-Q2,,,0.00209246666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-Q3,,,0.00201883333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-Q4,,,0.00297923333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-Q1,,,0.00348396666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-Q2,,,0.0060289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-Q3,,,0.00612436666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-Q4,,,0.0149176666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-Q1,,,0.0196836666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-Q2,,,0.0227766666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-Q3,,,0.0376256666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-Q4,,,0.0430953333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-Q1,,,0.0522213333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-Q2,,,0.063788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-Q3,,,0.0815696666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
