,id,name
0,XTNTVA01,International Trade > Net trade > Value (goods) > Total
1,IRSTCB01,Interest Rates > Immediate rates (< 24 hrs) > Central bank rates > Total
2,XTIMVA01,International Trade > Imports > Value (goods) > Total
3,PRMNTO01,Production > Manufacturing > Total manufacturing > Total manufacturing
4,SLRTTO01,Sales > Retail trade > Total retail trade > Volume
5,LCULMN01,Labour Compensation > Unit Labour Cost > Manufacturing > Total
6,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3
7,PRENEL01,Production > Energy > Electricity > Total
8,XTEITT01,International Trade > Ratio: Exports to imports > Total > Total
9,IRSTCI01,Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate > Total
10,PRCNTO01,Production > Construction > Total construction > Total
11,CCUSSP02,"Currency Conversions > US$ exchange rate > Spot, end of period > National currency:USD"
12,IRLTCT01,Interest Rates > Long-term government bond yields > Combined terms > Total
13,SLWHTO02,Sales > Wholesale trade > Total wholesale trade > Value
14,IR3TTS01,Interest Rates > 3-month or 90-day rates and yields > Treasury securities > Total
15,IR3TIB01,Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total
16,XTEXVA01,International Trade > Exports > Value (goods) > Total
17,CCRETT01,Currency Conversions > Real effective exchange rates > Overall Economy > CPI
18,SPASTT01,Share Prices > All shares/broad > Total > Total
19,SLRTTO02,Sales > Retail trade > Total retail trade > Value
20,SLMNTO02,Sales > Manufacturing > Total manufacturing > Value
21,CCUSMA02,Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD
22,ODCNPI03,Orders > Construction > Permits issued > Dwellings / Residential buildings
23,IRLTLT01,Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)
24,CPALTT01,Consumer Price Index > All items > Total > Total
25,SLWHTO01,Sales > Wholesale trade > Total wholesale trade > Volume
26,MANMM101,Monetary aggregates and their components > Narrow money and components > M1 and components > M1
27,PRMITO01,Production > Mining > Total mining > Total
28,PIEATI02,Producer Prices Index > Economic activities > Industrial activities > Domestic
29,PIEAMI02,Producer Prices Index > Economic activities > Mining and quarrying activities > Domestic
30,PIEAMP02,Producer Prices Index > Economic activities > Manufacturing > Domestic
31,NAEXKP01,National Accounts > GDP by Expenditure > Constant Prices > Gross Domestic Product - Total
32,NAEXCP06,National Accounts > GDP by Expenditure > Current Prices > Exports of Goods and Services
33,NAEXCP04,National Accounts > GDP by Expenditure > Current Prices > Gross Fixed Capital Formation
34,NAEXCP07,National Accounts > GDP by Expenditure > Current Prices > less: Imports of Goods and Services
35,NAEXCP01,National Accounts > GDP by Expenditure > Current Prices > Gross Domestic Product - Total
36,NAEXCP05,National Accounts > GDP by Expenditure > Current Prices > Changes in inventories and net acquisition of valuables
37,NAEXCP03,National Accounts > GDP by Expenditure > Current Prices > Government Final Consumption Expenditure
38,NAGIGP01,National Accounts > National Accounts Deflators > Gross Domestic Product > GDP Deflator
39,NAEXCP02,National Accounts > GDP by Expenditure > Current Prices > Private Final Consumption Expenditure
40,NAEXKP03,National Accounts > GDP by Expenditure > Constant Prices > Government Final Consumption Expenditure
41,NAEXKP06,National Accounts > GDP by Expenditure > Constant Prices > Exports of Goods and Services
42,NAEXKP07,National Accounts > GDP by Expenditure > Constant Prices > Less: Imports of Goods and Services
43,NAEXKP02,National Accounts > GDP by Expenditure > Constant Prices > Private Final Consumption Expenditure
44,NAEXKP04,National Accounts > GDP by Expenditure > Constant Prices > Gross Fixed Capital Formation
45,LORSGPOR,Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series
46,LRAC24TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > All persons
47,LRAC25TT,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > All persons
48,LRAC55TT,Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > All persons
49,LRAC64FE,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > Females
50,LRAC64MA,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > Males
51,LRAC64TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > All persons
52,LREM24TT,Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > All persons
53,LREM25TT,Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > All persons
54,LREM55TT,Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > All persons
55,LREM64FE,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > Females
56,LREM64MA,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > Males
57,LREM64TT,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > All persons
58,LRIN24TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > All persons
59,LRIN25TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > All persons
60,LRIN55TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > All persons
61,LRIN64FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > Females
62,LRIN64MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > Males
63,LRIN64TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > All persons
64,LRUN24TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > All persons
65,LRUN25TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > All persons
66,LRUN55TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > All persons
67,LRUN64FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > Females
68,LRUN64MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > Males
69,LRUN64TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > All persons
70,LRUNTTFE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > Females
71,LRUNTTMA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > Males
72,LRUNTTTT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons
73,LFAC24TT,Labour Force Survey - quarterly levels > Active population > Aged 15-24 > All persons
74,LFAC25TT,Labour Force Survey - quarterly levels > Active population > Aged 25-54 > All persons
75,LFAC55TT,Labour Force Survey - quarterly levels > Active population > Aged 55-64 > All persons
76,LFAC64FE,Labour Force Survey - quarterly levels > Active population > Aged 15-64 > Females
77,LFAC64MA,Labour Force Survey - quarterly levels > Active population > Aged 15-64 > Males
78,LFAC64TT,Labour Force Survey - quarterly levels > Active population > Aged 15-64 > All persons
79,LFEAAGTT,Labour Force Survey - quarterly levels > Employment - by economic activity > Agriculture > All persons
80,LFEACNTT,Labour Force Survey - quarterly levels > Employment - by economic activity > Construction > All persons
81,LFEAICTT,Labour Force Survey - quarterly levels > Employment - by economic activity > Industry including construction > All persons
82,LFEAINTT,Labour Force Survey - quarterly levels > Employment - by economic activity > Industry excluding construction > All persons
83,LFEAMNTT,Labour Force Survey - quarterly levels > Employment - by economic activity > Manufacturing > All persons
84,LFEASETT,Labour Force Survey - quarterly levels > Employment - by economic activity > Services > All persons
85,LFEM24TT,Labour Force Survey - quarterly levels > Employed population > Aged 15-24 > All persons
86,LFEM25TT,Labour Force Survey - quarterly levels > Employed population > Aged 25-54 > All persons
87,LFEM55TT,Labour Force Survey - quarterly levels > Employed population > Aged 55-64 > All persons
88,LFEM64FE,Labour Force Survey - quarterly levels > Employed population > Aged 15-64 > Females
89,LFEM64MA,Labour Force Survey - quarterly levels > Employed population > Aged 15-64 > Males
90,LFEM64TT,Labour Force Survey - quarterly levels > Employed population > Aged 15-64 > All persons
91,LFESEETT,Labour Force Survey - quarterly levels > Employment - by professional status > Employees > Total
92,LFIN24TT,Labour Force Survey - quarterly levels > Inactive population > Aged 15-24 > All persons
93,LFIN25TT,Labour Force Survey - quarterly levels > Inactive population > Aged 25-54 > All persons
94,LFIN55TT,Labour Force Survey - quarterly levels > Inactive population > Aged 55-64 > All persons
95,LFIN64FE,Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > Females
96,LFIN64MA,Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > Males
97,LFIN64TT,Labour Force Survey - quarterly levels > Inactive population > Aged 15-64 > All persons
98,LFUN24TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 15-24 > Total
99,LFUN25TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 25-54 > Total
100,LFUN55TT,Labour Force Survey - quarterly levels > Unemployed population > Aged 55-64 > All persons
