country,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR,BGR
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01,,,,,,,,,,,,,-23.4,,,,,,,,,,,,,,,
1992-02,,,,,,,,,,,,,-24.0,,,,,,,,,,,,,,,
1992-03,,,,,,,,,,,,,-24.7,,,,,,,,,,,,,,,
1992-04,,,,,,,,,,,,,-18.2,,,,,,,,,,,,,,,
1992-05,,,,,,,,,,,,,-18.4,,,,,,,,,,,,,,,
1992-06,,,,,,,,,,,,,-18.1,,,,,,,,,,,,,,,
1992-07,,,,,,,,,,,,,-22.1,,,,,,,,,,,,,,,
1992-08,,,,,,,,,,,,,-22.1,,,,,,,,,,,,,,,
1992-09,,,,,,,,,,,,,-22.2,,,,,,,,,,,,,,,
1992-10,,,,,,,,,,,,,-22.2,,,,,,,,,,,,,,,
1992-11,,,,,,,,,,,,,-21.9,,,,,,,,,,,,,,,
1992-12,,,,,,,,,,,,,-21.9,,,,,,,,,,,,,,,
1993-01,,,,,,,,,,,,-20.2,-29.5,17.0,-59.0,15.5,-23.5,67.7,-46.3,,,,,,,,,
1993-02,,,,,,,,,,,,-23.5,-30.1,23.8,-62.5,16.0,-20.2,73.7,-46.0,,,,,,,,,
1993-03,,,,,,,,,,,,-24.3,-30.8,25.4,-57.7,10.2,-19.6,75.7,-50.0,,,,,,,,,
1993-04,,,,,,,,,,,,-32.3,-42.0,34.5,-68.8,6.4,-27.4,72.7,-60.4,,,,,,,,,
1993-05,,,,,,,,,,,,-35.4,-42.2,37.7,-69.3,0.8,-27.7,67.7,-57.4,,,,,,,,,
1993-06,,,,,,,,,,,,-37.6,-41.9,39.7,-73.0,-0.2,-34.3,53.7,-67.9,,,,,,,,,
1993-07,,,,,,,,,,,,-31.2,-36.1,38.0,-69.8,14.3,-33.0,50.7,-64.0,,,,,,,,,
1993-08,,,,,,,,,,,,-31.0,-36.1,40.1,-68.2,15.2,-31.6,54.7,-60.1,,,,,,,,,
1993-09,,,,,,,,,,,,-27.5,-36.2,33.9,-61.0,12.3,-29.0,62.7,-69.8,,,,,,,,,
1993-10,,,,,,,,,,,,-25.4,-35.3,28.5,-60.9,13.1,-26.0,59.7,-59.3,,,,,,,,,
1993-11,,,,,,,,,,,,-24.2,-35.0,23.1,-64.3,14.8,-26.5,64.7,-60.2,,,,,,,,,
1993-12,,,,,,,,,,,,-24.3,-35.1,22.1,-62.9,12.2,-28.3,71.7,-55.6,,,,,,,,,
1994-01,-30.5,-36.5,-18.7,-54.3,73.4,20.9,9.7,20.0,,11.9,-29.5,-23.8,-31.1,21.6,-64.1,14.4,-29.6,72.7,-59.4,,,,,,,,,
