country,CHN
subject,BSCI
measure,BLSA
unit,
powercode,Units
reference_period,
time,
2000-Q1,18.0
2000-Q2,27.0
2000-Q3,26.0
2000-Q4,29.0
2001-Q1,20.0
2001-Q2,28.0
2001-Q3,19.0
2001-Q4,18.0
2002-Q1,18.0
2002-Q2,30.0
2002-Q3,30.0
2002-Q4,34.0
2003-Q1,33.0
2003-Q2,23.0
2003-Q3,34.0
2003-Q4,38.0
2004-Q1,38.0
2004-Q2,33.0
2004-Q3,33.0
2004-Q4,34.0
2005-Q1,31.0
2005-Q2,28.0
2005-Q3,29.0
2005-Q4,28.0
2006-Q1,28.0
2006-Q2,34.0
2006-Q3,33.0
2006-Q4,38.0
2007-Q1,39.0
2007-Q2,46.0
2007-Q3,42.0
2007-Q4,41.0
2008-Q1,31.0
2008-Q2,34.0
2008-Q3,24.0
2008-Q4,-4.0
2009-Q1,-2.0
2009-Q2,12.0
2009-Q3,20.0
2009-Q4,27.0
2010-Q1,30.0
2010-Q2,33.0
2010-Q3,34.0
2010-Q4,35.0
2011-Q1,30.0
2011-Q2,31.0
2011-Q3,27.0
2011-Q4,22.0
