country,COL,COL,COL,COL,COL,COL
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BSCURT,BSEMFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,
powercode,Units,Units,Units,Units,Units,Units
reference_period,,,,,,
time,,,,,,
1981-Q1,,,,,71.9,2.0
1981-Q2,,,,,71.7,-4.0
1981-Q3,,,,,70.4,-3.0
1981-Q4,,,,,72.6,-6.0
1982-Q1,,,,,69.1,-4.0
1982-Q2,,,,,70.2,0.0
1982-Q3,,,,,71.2,-7.0
1982-Q4,,,,,70.5,-2.0
1983-Q1,,,,,66.4,-15.0
1983-Q2,,,,,64.3,-2.0
1983-Q3,,,,,66.9,3.0
1983-Q4,,,,,72.7,0.0
1984-Q1,,,,,69.7,10.0
1984-Q2,,,,,69.2,6.0
1984-Q3,,,,,70.7,2.0
1984-Q4,,,,,71.6,1.0
1985-Q1,,,,,69.3,3.0
1985-Q2,,,,,70.6,-3.0
1985-Q3,,,,,71.5,4.0
1985-Q4,,,,,73.7,4.0
1986-Q1,,,,,70.9,11.0
1986-Q2,,,,,73.0,11.0
1986-Q3,,,,,74.0,9.0
1986-Q4,,,,,75.7,13.0
1987-Q1,,,,,74.3,10.0
1987-Q2,,,,,73.9,15.0
1987-Q3,,,,,74.3,8.0
1987-Q4,,,,,77.2,12.0
1988-Q1,,,,,73.67,8.0
1988-Q2,,,,,75.5,8.0
1988-Q3,,,,,74.4,2.0
1988-Q4,,,,,74.8,1.0
1989-Q1,,,,,71.6,4.0
1989-Q2,,,,,72.9,1.0
1989-Q3,,,,,73.0,-3.0
1989-Q4,,,,,74.4,5.0
1990-Q1,,,,,71.8,2.0
1990-Q2,,,,,73.3,3.0
1990-Q3,,,,,73.7,4.0
1990-Q4,,,,,75.0,3.0
1991-Q1,-20.33333,-15.83333,5.666667,-37.33333,70.4,-1.0
1991-Q2,-8.666667,-11.33333,19.0,-41.66667,73.4,1.0
1991-Q3,-14.0,-24.33333,-0.3333333,-48.33333,72.1,-6.0
1991-Q4,1.333333,-8.666667,20.66667,-38.0,75.0,3.0
1992-Q1,-6.0,-11.0,10.33333,-32.33333,72.6,-2.0
1992-Q2,9.0,-1.333333,22.66667,-25.33333,74.3,6.0
1992-Q3,7.0,-1.333333,16.33333,-19.0,75.2,12.0
1992-Q4,9.333333,-4.0,23.0,-31.0,77.1,8.0
1993-Q1,-0.6666667,10.33333,31.0,-10.33333,74.01,12.0
1993-Q2,6.333333,8.5,19.66667,-2.666667,73.2,0.0
1993-Q3,9.333333,2.0,9.666667,-5.666667,73.13,2.0
1993-Q4,12.66667,17.33333,22.66667,12.0,77.2,3.0
1994-Q1,8.333333,15.33333,26.66667,4.0,72.48,5.0
1994-Q2,7.0,18.0,25.0,11.0,73.9,8.0
