country,EA19,EA19
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1985-Q1,78.5,-0.9
1985-Q2,79.4,0.6
1985-Q3,80.0,3.1
1985-Q4,80.0,6.9
1986-Q1,80.4,2.5
1986-Q2,80.9,-2.1
1986-Q3,80.9,8.0
1986-Q4,80.6,4.5
1987-Q1,80.6,2.8
1987-Q2,80.8,5.1
1987-Q3,80.5,6.8
1987-Q4,81.4,8.4
1988-Q1,81.3,4.7
1988-Q2,81.2,11.3
1988-Q3,82.4,17.2
1988-Q4,83.2,17.1
1989-Q1,84.4,12.8
1989-Q2,83.8,13.7
1989-Q3,84.4,15.0
1989-Q4,84.7,10.6
1990-Q1,84.7,4.3
1990-Q2,84.2,12.0
1990-Q3,84.0,4.0
1990-Q4,84.5,9.9
1991-Q1,83.8,-4.6
1991-Q2,82.6,-13.1
1991-Q3,81.8,-3.3
1991-Q4,81.9,-8.9
1992-Q1,81.4,-5.5
1992-Q2,79.3,-7.7
1992-Q3,79.3,-13.9
1992-Q4,77.5,-22.6
1993-Q1,76.6,-19.1
1993-Q2,76.4,-18.7
1993-Q3,75.6,-16.0
1993-Q4,76.0,-11.0
1994-Q1,77.4,2.0
1994-Q2,78.1,8.6
1994-Q3,79.3,11.8
1994-Q4,80.5,14.4
1995-Q1,81.4,14.9
1995-Q2,82.0,6.7
1995-Q3,81.6,0.4
1995-Q4,81.7,-2.8
1996-Q1,80.9,-9.2
1996-Q2,80.1,-9.8
1996-Q3,79.8,-6.9
1996-Q4,79.5,-3.1
1997-Q1,80.8,-2.7
1997-Q2,81.1,2.4
1997-Q3,81.6,9.7
1997-Q4,82.2,11.1
1998-Q1,82.9,10.7
1998-Q2,83.2,7.4
1998-Q3,82.8,3.7
1998-Q4,82.2,-0.6
1999-Q1,81.7,-2.8
1999-Q2,81.2,-0.9
1999-Q3,81.4,6.2
1999-Q4,82.4,11.5
2000-Q1,83.0,14.7
2000-Q2,83.6,14.9
2000-Q3,83.8,12.9
2000-Q4,84.2,11.0
2001-Q1,84.5,3.4
2001-Q2,83.1,-3.2
2001-Q3,81.9,-9.2
2001-Q4,80.8,-11.4
2002-Q1,80.6,-11.1
2002-Q2,80.8,-3.3
2002-Q3,81.0,-3.1
2002-Q4,81.3,-6.7
2003-Q1,80.9,-3.0
2003-Q2,80.6,-9.9
2003-Q3,80.6,-8.5
2003-Q4,81.2,0.5
2004-Q1,81.2,3.6
2004-Q2,81.2,6.0
2004-Q3,81.6,6.4
2004-Q4,81.7,5.0
2005-Q1,81.3,2.0
2005-Q2,80.7,-4.3
2005-Q3,81.1,1.3
2005-Q4,81.6,5.2
2006-Q1,81.9,10.1
2006-Q2,82.8,16.5
2006-Q3,83.7,14.3
2006-Q4,84.0,15.7
2007-Q1,84.1,13.6
2007-Q2,84.4,15.0
2007-Q3,84.4,11.3
2007-Q4,84.4,9.0
2008-Q1,84.2,8.2
2008-Q2,83.4,-1.0
2008-Q3,82.6,-13.2
2008-Q4,81.0,-30.0
2009-Q1,74.1,-43.4
2009-Q2,69.6,-35.6
2009-Q3,70.2,-15.4
2009-Q4,72.0,-4.0
2010-Q1,73.1,4.9
2010-Q2,75.9,13.0
2010-Q3,78.2,15.8
2010-Q4,79.1,14.7
2011-Q1,80.1,17.1
2011-Q2,81.0,13.2
2011-Q3,80.5,1.6
2011-Q4,80.1,-5.4
2012-Q1,79.6,-6.9
2012-Q2,79.5,-9.4
2012-Q3,78.9,-15.0
2012-Q4,78.3,-12.2
2013-Q1,77.9,-10.6
2013-Q2,78.2,-10.1
2013-Q3,79.3,-2.6
2013-Q4,79.7,2.4
2014-Q1,80.1,6.1
2014-Q2,80.2,1.5
2014-Q3,80.3,-3.4
2014-Q4,80.4,-0.9
2015-Q1,80.5,2.0
2015-Q2,81.0,2.1
2015-Q3,81.0,1.9
2015-Q4,81.1,3.4
2016-Q1,81.3,3.8
2016-Q2,81.1,4.4
2016-Q3,81.3,6.1
2016-Q4,82.1,10.3
2017-Q1,82.2,13.9
2017-Q2,82.4,14.8
2017-Q3,83.3,15.8
2017-Q4,83.8,18.7
2018-Q1,84.0,19.3
2018-Q2,83.7,13.5
2018-Q3,83.4,10.0
2018-Q4,83.5,2.3
2019-Q1,83.4,-1.0
2019-Q2,82.5,-1.9
2019-Q3,81.6,-7.1
2019-Q4,81.2,-1.2
2020-Q1,81.0,-1.5
2020-Q2,66.5,-39.4
2020-Q3,72.5,-12.8
2020-Q4,78.1,15.8
2021-Q1,79.6,7.7
2021-Q2,80.9,23.4
2021-Q3,82.9,29.2
2021-Q4,83.0,21.7
2022-Q1,83.0,17.2
2022-Q2,82.8,7.9
2022-Q3,82.2,0.4
2022-Q4,81.7,-2.8
2023-Q1,81.6,-2.9
2023-Q2,81.4,-1.9
2023-Q3,80.1,-8.4
2023-Q4,79.7,-10.6
2024-Q1,79.1,-7.5
