country,DEU
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1960,88.5
1961,87.475
1962,87.225
1963,85.975
1964,87.7
1965,87.95
1966,85.5
1967,78.775
1968,84.75
1969,89.575
1970,91.025
1971,86.75
1972,85.075
1973,87.125
1974,82.5
1975,76.025
1976,80.25
1977,80.3
1978,81.275
1979,84.775
1980,82.4
1981,79.025
1982,76.25
1983,78.4
1984,80.4
1985,83.6
1986,84.75
1987,84.175
1988,85.7
1989,88.55
1990,89.65
1991,87.35
1992,80.9
1993,76.3
1994,81.1
1995,84.225
1996,81.9
1997,84.45
1998,85.55
1999,84.05
2000,86.65
2001,84.8
2002,82.525
2003,82.775
2004,84.025
2005,83.925
2006,86.65
2007,88.3
2008,86.875
2009,72.3
2010,79.925
2011,85.525
2012,83.825
2013,83.025
2014,84.25
2015,84.2
2016,84.65
2017,86.575
2018,87.6
2019,84.5
2020,77.25
2021,84.85
2022,85.2
