country,LTU,LTU
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1993-Q1,53.7,
1993-Q2,52.8,
1993-Q3,50.2,
1993-Q4,50.1,
1994-Q1,48.8,
1994-Q2,48.9,
1994-Q3,52.1,
1994-Q4,48.2,
1995-Q1,43.9,
1995-Q2,44.1,
1995-Q3,44.7,
1995-Q4,44.3,
1996-Q1,44.9,
1996-Q2,46.3,
1996-Q3,46.6,
1996-Q4,48.2,
1997-Q1,49.8,
1997-Q2,49.2,
1997-Q3,50.4,
1997-Q4,52.5,
1998-Q1,52.1,
1998-Q2,53.5,
1998-Q3,54.1,
1998-Q4,51.9,
1999-Q1,52.5,
1999-Q2,51.3,2.7
1999-Q3,51.0,4.8
1999-Q4,51.1,13.8
2000-Q1,52.0,-1.1
2000-Q2,53.0,9.6
2000-Q3,54.4,9.8
2000-Q4,55.6,4.8
2001-Q1,57.3,2.9
2001-Q2,58.7,11.6
2001-Q3,63.7,23.8
2001-Q4,61.5,-3.8
2002-Q1,62.1,1.5
2002-Q2,62.7,-7.1
2002-Q3,64.7,5.4
2002-Q4,64.6,11.7
2003-Q1,64.6,11.9
2003-Q2,68.9,-3.1
2003-Q3,66.2,-0.1
2003-Q4,68.4,14.2
2004-Q1,67.9,17.5
2004-Q2,68.7,16.1
2004-Q3,69.6,13.4
2004-Q4,68.3,17.7
2005-Q1,69.8,-10.5
2005-Q2,69.7,5.2
2005-Q3,70.6,17.8
2005-Q4,72.8,19.2
2006-Q1,71.8,17.7
2006-Q2,73.4,15.5
2006-Q3,73.5,17.3
2006-Q4,73.5,20.3
2007-Q1,74.2,6.9
2007-Q2,73.9,13.2
2007-Q3,73.2,16.3
2007-Q4,72.6,5.6
2008-Q1,72.3,-12.1
2008-Q2,71.5,-19.8
2008-Q3,70.6,-4.7
2008-Q4,69.8,-18.3
2009-Q1,64.3,-58.4
2009-Q2,60.0,-52.3
2009-Q3,60.6,-21.8
2009-Q4,61.2,-9.0
2010-Q1,62.0,-4.8
2010-Q2,63.0,1.0
2010-Q3,66.1,5.7
2010-Q4,67.3,17.8
2011-Q1,69.3,14.4
2011-Q2,70.2,21.1
2011-Q3,70.3,24.5
2011-Q4,71.1,-2.1
2012-Q1,71.8,-6.0
2012-Q2,71.7,6.1
2012-Q3,71.6,17.1
2012-Q4,72.5,5.8
2013-Q1,72.3,-7.7
2013-Q2,72.9,7.1
2013-Q3,73.9,13.9
2013-Q4,74.1,-18.9
2014-Q1,74.4,0.7
2014-Q2,74.8,7.4
2014-Q3,75.2,0.9
2014-Q4,75.1,-2.8
2015-Q1,74.2,-6.0
2015-Q2,74.2,12.0
2015-Q3,73.9,-4.2
2015-Q4,74.6,-2.6
2016-Q1,75.9,-3.9
2016-Q2,75.9,10.6
2016-Q3,75.6,7.2
2016-Q4,76.1,11.4
2017-Q1,76.5,13.8
2017-Q2,77.2,14.9
2017-Q3,77.5,17.7
2017-Q4,77.4,26.1
2018-Q1,77.9,6.8
2018-Q2,77.5,18.5
2018-Q3,76.9,13.2
2018-Q4,77.3,2.2
2019-Q1,78.0,6.9
2019-Q2,77.0,12.0
2019-Q3,77.1,0.6
2019-Q4,77.0,2.0
2020-Q1,77.2,-11.5
2020-Q2,69.1,-17.7
2020-Q3,71.7,-3.0
2020-Q4,74.1,-1.6
2021-Q1,74.0,8.9
2021-Q2,76.4,24.0
2021-Q3,77.5,11.9
2021-Q4,78.7,12.8
2022-Q1,77.9,16.7
2022-Q2,77.2,16.0
2022-Q3,78.7,10.1
2022-Q4,77.2,-7.8
2023-Q1,68.1,-27.3
2023-Q2,69.0,-16.5
2023-Q3,68.1,-17.1
2023-Q4,68.6,-12.3
2024-Q1,70.7,-12.4
