country,POL,POL
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1992-Q2,45.9,
1992-Q3,60.3,-4.4
1992-Q4,62.6,-0.8
1993-Q1,63.1,-4.0
1993-Q2,65.5,-18.2
1993-Q3,64.9,-22.4
1993-Q4,67.3,-12.3
1994-Q1,68.0,-11.0
1994-Q2,69.2,0.2
1994-Q3,70.8,6.2
1994-Q4,70.5,2.4
1995-Q1,73.5,-3.0
1995-Q2,73.4,-4.6
1995-Q3,74.6,-2.9
1995-Q4,73.8,-4.4
1996-Q1,75.9,3.6
1996-Q2,75.1,-3.0
1996-Q3,74.5,0.6
1996-Q4,75.9,-2.3
1997-Q1,77.7,-5.6
1997-Q2,74.4,7.4
1997-Q3,75.6,-0.7
1997-Q4,76.0,8.5
1998-Q1,75.2,0.6
1998-Q2,75.1,-3.9
1998-Q3,73.3,-0.5
1998-Q4,69.6,-16.1
1999-Q1,67.6,-25.2
1999-Q2,69.8,-4.1
1999-Q3,70.8,2.8
1999-Q4,72.1,-6.1
2000-Q1,68.3,-3.8
2000-Q2,72.0,0.6
2000-Q3,69.9,-10.9
2000-Q4,69.1,-7.3
2001-Q1,65.7,-10.1
2001-Q2,66.0,-15.4
2001-Q3,65.7,-21.2
2001-Q4,64.0,-16.8
2002-Q1,67.0,-14.6
2002-Q2,68.4,-9.8
2002-Q3,69.6,-10.4
2002-Q4,70.2,-8.3
2003-Q1,70.3,-6.9
2003-Q2,71.2,2.3
2003-Q3,71.7,-4.6
2003-Q4,73.8,9.5
2004-Q1,75.5,19.4
2004-Q2,75.4,29.1
2004-Q3,75.2,19.7
2004-Q4,75.6,10.2
2005-Q1,75.1,13.6
2005-Q2,74.9,-5.5
2005-Q3,75.8,7.5
2005-Q4,76.7,10.1
2006-Q1,76.2,10.7
2006-Q2,76.6,4.8
2006-Q3,77.8,18.9
2006-Q4,79.0,17.7
2007-Q1,77.4,22.1
2007-Q2,77.5,22.8
2007-Q3,78.6,14.7
2007-Q4,79.1,16.8
2008-Q1,81.1,18.8
2008-Q2,80.5,7.8
2008-Q3,79.4,0.3
2008-Q4,78.5,-10.3
2009-Q1,73.0,-26.3
2009-Q2,69.6,-26.3
2009-Q3,70.1,-11.9
2009-Q4,71.8,-2.5
2010-Q1,72.8,1.6
2010-Q2,73.2,8.5
2010-Q3,74.0,12.6
2010-Q4,75.3,12.0
2011-Q1,72.3,7.9
2011-Q2,73.7,10.7
2011-Q3,73.5,3.4
2011-Q4,74.9,4.0
2012-Q1,73.7,0.5
2012-Q2,75.0,-1.6
2012-Q3,75.6,-3.0
2012-Q4,74.6,-13.2
2013-Q1,73.5,-13.1
2013-Q2,73.2,-16.6
2013-Q3,74.3,-3.6
2013-Q4,75.2,0.3
2014-Q1,76.2,-0.9
2014-Q2,77.2,0.1
2014-Q3,77.2,0.9
2014-Q4,77.7,3.6
2015-Q1,78.2,3.2
2015-Q2,77.6,3.9
2015-Q3,78.2,3.3
2015-Q4,78.3,1.5
2016-Q1,79.2,3.3
2016-Q2,78.1,-1.6
2016-Q3,79.1,0.7
2016-Q4,78.3,-0.7
2017-Q1,79.5,8.0
2017-Q2,79.8,11.8
2017-Q3,80.1,9.2
2017-Q4,80.7,9.4
2018-Q1,83.2,13.9
2018-Q2,83.1,6.8
2018-Q3,83.1,10.4
2018-Q4,81.8,0.8
2019-Q1,81.9,1.2
2019-Q2,81.7,-2.6
2019-Q3,81.4,-1.8
2019-Q4,80.5,-6.9
2020-Q1,80.7,-3.7
2020-Q2,69.7,-36.9
2020-Q3,73.4,-37.4
2020-Q4,77.6,-6.9
2021-Q1,78.4,-9.3
2021-Q2,78.8,-5.0
2021-Q3,79.8,-0.9
2021-Q4,79.0,-4.9
2022-Q1,80.3,-4.8
2022-Q2,80.3,-9.7
2022-Q3,78.8,-15.1
2022-Q4,77.7,-21.2
2023-Q1,78.3,-18.1
2023-Q2,78.6,-15.8
2023-Q3,77.6,-16.7
2023-Q4,77.3,-15.4
