country,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,102.5218,102.1519,14.71045
1960-03,,,,,,,102.8406,102.4293,14.76081
1960-04,,,,,,,103.1186,102.6712,14.81134
1960-05,,,,,,,103.2975,102.8269,14.86204
1960-06,,,,,,,103.3308,102.8559,14.91294
1960-07,,,,,,,103.2186,102.7583,14.96404
1960-08,,,,,,,102.983,102.5533,15.01535
1960-09,,,,,,,102.6535,102.2665,15.06689
1960-10,,,,,,,102.2609,101.9249,15.11869
1960-11,,,,,,,101.8272,101.5475,15.17077
1960-12,,,,,,,101.3588,101.14,15.22316
1961-01,,,,,,,100.8444,100.6924,15.27588
1961-02,,,,,,,100.2678,100.1907,15.32897
1961-03,,,,,,,99.62426,99.63072,15.38246
1961-04,,,,,,,98.94037,99.03565,15.43639
1961-05,,,,,,,98.2606,98.44418,15.49078
1961-06,,,,,,,97.63671,97.90131,15.54566
1961-07,,,,,,,97.11758,97.44961,15.60108
1961-08,,,,,,,96.74677,97.12695,15.65705
1961-09,,,,,,,96.55264,96.95804,15.71361
1961-10,,,,,,,96.54252,96.94923,15.77078
1961-11,,,,,,,96.70403,97.08977,15.82858
1961-12,,,,,,,97.00707,97.35345,15.88702
1962-01,,,,,,,97.39257,97.68888,15.94611
1962-02,,,,,,,97.79493,98.03898,16.00587
1962-03,,,,,,,98.15826,98.35513,16.0663
1962-04,,,,,,,98.45126,98.61007,16.1274
1962-05,,,,,,,98.6624,98.79379,16.18918
1962-06,,,,,,,98.79966,98.91322,16.25164
1962-07,,,,,,,98.89539,98.99651,16.31478
1962-08,,,,,,,98.98715,99.07636,16.37859
1962-09,,,,,,,99.1013,99.17568,16.44308
1962-10,,,,,,,99.23647,99.29329,16.50824
1962-11,,,,,,,99.37214,99.41135,16.57406
1962-12,,,,,,,99.4753,99.50111,16.64054
1963-01,,,,,,,99.50661,99.52835,16.70767
1963-02,,,,,,,99.443,99.47301,16.77544
1963-03,,,,,,,99.30476,99.35271,16.84385
1963-04,,,,,,,99.18824,99.25134,16.91288
1963-05,,,,,,,99.20638,99.26711,16.98252
1963-06,,,,,,,99.42822,99.46014,17.05278
1963-07,,,,,,,99.80831,99.79086,17.12362
1963-08,,,,,,,100.2476,100.1731,17.19504
1963-09,,,,,,,100.6411,100.5155,17.26702
1963-10,,,,,,,100.9222,100.7601,17.33954
1963-11,,,,,,,101.0594,100.8794,17.4126
1963-12,,,,,,,101.0608,100.8807,17.48617
1964-01,,,,,,,100.9883,100.8176,17.56025
1964-02,,,,,,,100.9174,100.7559,17.63482
1964-03,,,,,,,100.9015,100.7421,17.70988
1964-04,,,,,,,100.9384,100.7742,17.78541
1964-05,,,,,,,101.003,100.8304,17.86141
1964-06,,,,,,,101.0769,100.8947,17.93786
1964-07,,,,,,,101.1753,100.9803,18.01477
1964-08,,,,,,,101.3233,101.1091,18.09212
1964-09,,,,,,,101.531,101.2899,18.16991
1964-10,,,,,,,101.7643,101.4929,18.24813
1964-11,,,,,,,101.9726,101.6741,18.32679
1964-12,,,,,,,102.1145,101.7975,18.40588
1965-01,,,,,,,102.1845,101.8585,18.4854
1965-02,,,,,,,102.1906,101.8638,18.56537
1965-03,,,,,,,102.1359,101.8162,18.64578
1965-04,,,,,,,102.0054,101.7026,18.72664
1965-05,,,,,,,101.7769,101.5038,18.80798
1965-06,,,,,,,101.438,101.2089,18.88979
1965-07,,,,,,,101.0084,100.8351,18.97211
1965-08,,,,,,,100.5201,100.4102,19.05495
1965-09,,,,,,,100.0034,99.96061,19.13834
1965-10,,,,,,,99.47784,99.50332,19.22229
1965-11,,,,,,,98.96043,99.05312,19.30683
1965-12,,,,,,,98.47392,98.62979,19.39198
1966-01,,,,,,,98.05466,98.26498,19.47777
1966-02,100.2006,,98.40776,98.1057,,19.2527,97.74358,97.9943,19.56421
1966-03,100.2702,,98.60694,98.34233,,19.37756,97.57274,97.84565,19.65132
1966-04,100.3207,,98.83778,98.61656,,19.5097,97.54433,97.82093,19.73911
1966-05,99.61135,,99.079,98.90313,,19.64499,97.64394,97.9076,19.82761
1966-06,99.64592,,99.28764,99.151,,19.77493,97.84286,98.0807,19.9168
1966-07,99.69859,,99.45819,99.35361,,19.89831,98.09076,98.29639,20.00671
1966-08,99.80427,,99.60708,99.53049,,20.01836,98.34073,98.51389,20.09733
1966-09,99.99524,,99.76337,99.71617,,20.14088,98.57063,98.71393,20.18865
1966-10,100.2288,,99.91837,99.9003,,20.26413,98.80372,98.91676,20.28068
1966-11,100.4508,,100.0229,100.0245,,20.37809,99.07359,99.15157,20.37342
1966-12,100.617,,100.0602,100.0688,,20.47917,99.38818,99.42531,20.46685
1967-01,100.7254,,100.0546,100.0621,,20.57219,99.69066,99.68849,20.56097
1967-02,100.7655,,100.0327,100.0361,7.322754,20.66253,99.90441,99.87449,20.65577
1967-03,100.7248,,100.0104,100.0096,7.100089,20.75339,99.97871,99.93913,20.75123
1967-04,100.6645,,100.0204,100.0215,6.87812,20.8516,99.93975,99.90524,20.84735
1967-05,100.6558,,100.0474,100.0536,6.663507,20.95404,99.84328,99.82129,20.94411
1967-06,100.7363,,100.0779,100.0898,6.487895,21.0579,99.73476,99.72687,21.04151
1967-07,100.8153,,100.109,100.1268,6.353631,21.16258,99.61399,99.62179,21.13953
1967-08,100.7525,,100.12,100.1398,6.220731,21.26365,99.45639,99.48465,21.23817
1967-09,100.4386,,100.1096,100.1275,6.056892,21.36079,99.23476,99.29181,21.3374
1967-10,100.018,,100.0644,100.0738,5.857111,21.45102,98.94323,99.03815,21.43722
1967-11,99.68707,,99.96121,99.95119,5.64897,21.52925,98.59863,98.7383,21.5376
1967-12,99.59872,,99.79877,99.75821,5.448544,21.59499,98.24663,98.43201,21.63853
1968-01,99.67799,,99.61912,99.54479,5.274166,21.6572,97.97147,98.19259,21.74
1968-02,99.84171,,99.49142,99.3931,5.17059,21.7309,97.8588,98.09456,21.84198
1968-03,100.0509,,99.45241,99.34674,5.160086,21.82428,97.9542,98.17757,21.94445
1968-04,100.2783,,99.50452,99.40865,5.210746,21.93813,98.21783,98.40695,22.04737
1968-05,100.5111,,99.61059,99.53465,5.299243,22.06445,98.57401,98.71687,22.1507
1968-06,100.7341,,99.74361,99.6927,5.411092,22.19736,98.95538,99.04871,22.25442
1968-07,100.9092,,99.87357,99.84708,5.517444,22.33021,99.3403,99.38364,22.35848
1968-08,100.9682,,99.9819,99.97577,5.620474,22.45877,99.72385,99.71738,22.46283
1968-09,100.8545,,100.0598,100.0684,5.712095,22.58094,100.088,100.0343,22.56744
1968-10,100.68,,100.1379,100.1612,5.838893,22.70352,100.3716,100.281,22.67225
1968-11,100.5912,,100.2266,100.2665,6.036398,22.82884,100.5073,100.3991,22.77722
1968-12,100.6948,,100.3244,100.3827,6.304868,22.95653,100.4653,100.3626,22.88229
1969-01,100.8984,,100.4097,100.484,6.577107,23.08162,100.3051,100.2232,22.98743
1969-02,101.0795,,100.4955,100.5859,6.792699,23.20701,100.121,100.0629,23.09259
1969-03,101.154,,100.5915,100.7,6.921944,23.33494,99.99567,99.9539,23.19772
1969-04,101.167,,100.6919,100.8193,6.955401,23.46401,99.95672,99.92001,23.30277
1969-05,101.1857,,100.8179,100.9689,6.955543,23.59915,100.0026,99.95993,23.4077
1969-06,101.2523,,100.9682,101.1476,6.950133,23.74011,100.122,100.0638,23.51245
1969-07,101.3325,,101.1277,101.3369,6.955094,23.8833,100.3066,100.2244,23.61698
1969-08,101.3689,,101.2383,101.4683,6.929076,24.01495,100.5515,100.4376,23.72122
1969-09,101.32,,101.2939,101.5344,6.875123,24.13341,100.8508,100.698,23.82514
1969-10,101.2442,,101.2926,101.5328,6.758579,24.23796,101.1885,100.9918,23.92867
1969-11,101.2192,,101.2356,101.4652,6.570054,24.3287,101.5442,101.3013,24.03176
1969-12,101.2881,,101.1225,101.3309,6.310883,24.40529,101.8963,101.6077,24.13437
1970-01,101.3554,,100.944,101.1187,5.994416,24.46523,102.2238,101.8926,24.23644
1970-02,101.273,,100.6709,100.7943,5.576768,24.50121,102.5024,102.135,24.33792
1970-03,100.9281,,100.359,100.4238,5.10643,24.52653,102.7038,102.3103,24.43878
1970-04,100.4812,,100.0418,100.0469,4.625036,24.54923,102.7975,102.3918,24.53897
