country,AUT,AUT
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,21.57523
1960-Q2,,22.07994
1960-Q3,,22.35707
1960-Q4,,22.667
1961-Q1,8.008101,23.303
1961-Q2,5.169873,23.22145
1961-Q3,5.171298,23.51321
1961-Q4,3.969749,23.56682
1962-Q1,2.612017,23.91168
1962-Q2,2.949918,23.90646
1962-Q3,2.525645,24.10707
1962-Q4,2.385499,24.12901
1963-Q1,1.279842,24.21771
1963-Q2,4.255175,24.92372
1963-Q3,4.511914,25.19477
1963-Q4,6.545704,25.70842
1964-Q1,7.223451,25.96706
1964-Q2,5.694642,26.34304
1964-Q3,5.499164,26.58027
1964-Q4,6.342412,27.33896
1965-Q1,4.196978,27.0569
1965-Q2,3.252284,27.19979
1965-Q3,4.399167,27.74958
1965-Q4,1.958314,27.87434
1966-Q1,6.314445,28.76539
1966-Q2,5.625371,28.72988
1966-Q3,3.81909,28.80936
1966-Q4,4.274241,29.06576
1967-Q1,1.930249,29.32063
1967-Q2,2.930031,29.57167
1967-Q3,1.969746,29.37683
1967-Q4,2.697596,29.84983
1968-Q1,3.091996,30.22722
1968-Q2,3.425737,30.58472
1968-Q3,5.997559,31.13872
1968-Q4,5.252433,31.41768
1969-Q1,4.950315,31.72357
1969-Q2,5.686384,32.32389
1969-Q3,6.303681,33.10161
1969-Q4,6.432192,33.43852
1970-Q1,7.395608,34.06972
1970-Q2,8.132039,34.95248
1970-Q3,7.635446,35.62906
1970-Q4,7.874499,36.07164
1971-Q1,6.057113,36.13336
1971-Q2,5.606185,36.91198
1971-Q3,5.2625,37.50404
1971-Q4,3.592102,37.36737
1972-Q1,6.783442,38.58445
1972-Q2,4.491844,38.57001
1972-Q3,4.233419,39.09175
1972-Q4,9.334167,40.8553
1973-Q1,4.384872,40.27633
1973-Q2,6.56168,41.10085
1973-Q3,5.557917,41.26443
1973-Q4,3.137523,42.13714
1974-Q1,6.729986,42.98692
1974-Q2,4.148175,42.80578
1974-Q3,4.218952,43.00536
1974-Q4,0.8110348,42.47889
1975-Q1,-1.044334,42.53799
1975-Q2,-1.649343,42.09977
1975-Q3,-1.165648,42.50407
1975-Q4,2.436948,43.51408
1976-Q1,1.922441,43.35575
1976-Q2,4.884411,44.15609
1976-Q3,6.271509,45.16972
1976-Q4,5.21831,45.78477
1977-Q1,5.799577,45.8702
1977-Q2,5.363639,46.52447
1977-Q3,3.323849,46.67109
1977-Q4,4.285985,47.7471
1978-Q1,-0.4630733,45.65779
1978-Q2,-0.01327179,46.5183
1978-Q3,0.3280674,46.8242
1978-Q4,-1.28061,47.13565
1979-Q1,5.628108,48.22746
1979-Q2,5.010549,48.84911
1979-Q3,5.24197,49.27871
1979-Q4,5.935876,49.93356
1980-Q1,4.645218,50.46774
1980-Q2,2.229749,49.93833
1980-Q3,1.866625,50.19856
1980-Q4,0.5860432,50.2262
1981-Q1,-1.167911,49.87831
1981-Q2,0.884962,50.38026
1981-Q3,0.2922671,50.34528
1981-Q4,-0.3958633,50.02737
1982-Q1,2.333177,51.04206
1982-Q2,1.610947,51.19186
1982-Q3,1.612749,51.15722
1982-Q4,2.079607,51.06774
