country,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1989-01,,,99.91922,99.94225,,,,,
1989-02,,,100.1481,100.106,,,,,
1989-03,,,100.3743,100.2678,,,,,
1989-04,,,100.5421,100.3878,,,,,
1989-05,,,100.5997,100.429,,,,,
1989-06,,,100.5459,100.3905,,,,,
1989-07,,,100.3926,100.2809,,,,,
1989-08,,,100.1671,100.1195,,,,,
1989-09,,,99.88911,99.92071,,,,,
1989-10,,,99.58945,99.70637,,,,,
1989-11,,,99.3065,99.50397,,,,,
1989-12,,,99.07244,99.33654,,,,,
1990-01,,,98.92152,99.22858,,,,,
1990-02,,,98.88019,99.19902,,,,,
1990-03,,,98.93687,99.23956,,,,,
1990-04,,,99.06355,99.33017,,,,,
1990-05,,,99.21991,99.44202,,,,,
1990-06,,,99.36613,99.54662,,,,,
1990-07,,,99.46858,99.6199,,,,,
1990-08,,,99.5029,99.64445,,,,,
1990-09,,,99.49998,99.64236,,,,,
1990-10,,,99.50368,99.64501,,,,,
1990-11,,,99.55132,99.67908,,,,,
1990-12,,,99.63824,99.74126,,,,,
1991-01,,,99.74876,99.82031,,,,,
1991-02,,,99.85885,99.89906,,,,,
1991-03,,,99.93734,99.95521,,,,,
1991-04,,,99.94883,99.96343,,,,,
1991-05,,,99.85455,99.896,,,,,
1991-06,,,99.6507,99.75018,,,,,
1991-07,,,99.34217,99.52948,,,,,
1991-08,,,98.94511,99.24545,,,,,
1991-09,,,98.52633,98.9459,,,,,
1991-10,,,98.1617,98.68507,,,,,
1991-11,,,97.91217,98.50658,,,,,
1991-12,,,97.78612,98.41641,,,,,
1992-01,,,97.78146,98.41309,,,,,
1992-02,,,97.88078,98.48413,,,,,
1992-03,,,98.03391,98.59367,,,,,
1992-04,,,98.19057,98.70573,,,,,
1992-05,,,98.31393,98.79397,,,,,
1992-06,,,98.41222,98.86428,,,,,
1992-07,,,98.50401,98.92993,,,,,
1992-08,,,98.61797,99.01145,,,,,
1992-09,,,98.76608,99.11739,,,,,
1992-10,,,98.95455,99.25221,,,,,
1992-11,,,99.1815,99.41454,,,,,
1992-12,,,99.4158,99.58215,,,,,
1993-01,,,99.62154,99.72932,,,,,
1993-02,,,99.77459,99.83879,,,,,
1993-03,,,99.86639,99.90446,,,,,
1993-04,,,99.90115,99.92933,,,,,
1993-05,,,99.8923,99.92299,,,,,
1993-06,,,99.861,99.9006,,,,,
1993-07,,,99.83168,99.87963,,,,,
1993-08,,,99.82766,99.87675,,,,,
1993-09,,,99.86259,99.90175,,,,,
1993-10,,,99.94747,99.96246,,,,,
1993-11,,,100.0875,100.0626,,,,,
1993-12,,,100.2613,100.1869,,,,,
1994-01,,,100.4459,100.319,,,,,
1994-02,,,100.6213,100.4445,,,,,
1994-03,,,100.7797,100.5578,,,,,
1994-04,,,100.9148,100.6544,,,,,
1994-05,,,101.0247,100.733,,,,,
1994-06,,97.45353,101.1275,100.8066,,,,,
1994-07,,98.37075,101.2305,100.8802,,,,,
1994-08,,99.16635,101.3222,100.9458,,,,,
1994-09,,99.65556,101.3749,100.9835,,,,,
1994-10,,99.97908,101.356,100.97,,,,,
1994-11,,100.2249,101.2408,100.8876,,,,,
1994-12,,100.3926,101.0263,100.7341,,,,,
1995-01,,100.4386,100.7171,100.513,,,,,
1995-02,,100.2497,100.3253,100.2327,,,,,
1995-03,,99.8088,99.89209,99.92284,,,,,
1995-04,101.7082,99.34526,99.45969,99.61354,,,,,
1995-05,100.0713,99.0154,99.06116,99.32848,,,,,
1995-06,98.54217,98.75902,98.72906,99.0909,,,,,
1995-07,97.36121,98.5564,98.49454,98.92316,,,,,
1995-08,96.99195,98.44828,98.36752,98.83231,,,,,
1995-09,96.92742,98.41657,98.33725,98.81065,,,,,
1995-10,97.0127,98.42043,98.3829,98.8433,,,,,
1995-11,97.28409,98.46089,98.48394,98.91557,,,,,
1995-12,97.64123,98.56958,98.63802,99.02579,,,,,
1996-01,97.97433,98.76286,98.83572,99.16721,,,,,
1996-02,98.24033,98.97762,99.06211,99.32915,,59.59484,98.32251,97.67178,60.15907
1996-03,98.4939,99.14312,99.29702,99.49718,,59.82785,98.68726,98.14344,60.2514
1996-04,98.79463,99.17128,99.52618,99.6611,,60.05795,99.06204,98.62808,60.34387
1996-05,99.16154,99.11046,99.73468,99.81024,,60.2761,99.45158,99.13181,60.43646
1996-06,99.54968,99.08117,99.91167,99.93685,,60.47566,99.84413,99.63943,60.52913
1996-07,99.86452,99.09866,100.0513,100.0367,,60.65294,100.1971,100.0959,60.62185
1996-08,99.98978,99.15739,100.1514,100.1084,,60.80654,100.4639,100.4409,60.71459
1996-09,100.0273,99.2377,100.2399,100.1716,,60.95317,100.6236,100.6474,60.80732
1996-10,100.0505,99.36691,100.3412,100.2441,,61.10778,100.691,100.7346,60.90001
1996-11,100.1533,99.50504,100.4666,100.3338,,61.27724,100.7089,100.7577,60.99263
1996-12,100.2885,99.6165,100.6083,100.4351,,61.45672,100.7203,100.7725,61.08516
1997-01,100.39,99.70959,100.7482,100.5352,,61.63533,100.7451,100.8045,61.17759
1997-02,100.4289,99.76585,100.8578,100.6136,3.692635,61.79546,100.7886,100.8607,61.2699
1997-03,100.4151,99.81084,100.9293,100.6648,3.517539,61.93232,100.8507,100.941,61.36208
1997-04,100.3419,99.73871,100.9535,100.6821,3.300344,62.04007,100.9322,101.0464,61.45412
1997-05,100.1647,99.50885,100.9179,100.6566,3.044066,62.11095,101.0331,101.1769,61.54601
1997-06,99.96076,99.30023,100.8243,100.5896,2.761688,62.14581,101.1486,101.3263,61.63775
1997-07,99.79482,99.15878,100.6731,100.4815,2.459783,62.14487,101.264,101.4754,61.72935
1997-08,99.69739,98.94887,100.4667,100.3338,2.142475,62.10931,101.358,101.597,61.82081
1997-09,99.58812,98.67181,100.202,100.1445,1.778479,62.03721,101.4065,101.6597,61.91216
1997-10,99.32125,98.47219,99.87837,99.91303,1.342265,61.92801,101.3871,101.6347,62.00342
1997-11,98.76022,98.36967,99.50892,99.64876,0.8362815,61.78968,101.2871,101.5054,62.09462
1997-12,98.09647,98.32117,99.15347,99.39449,0.3297487,61.65937,101.1154,101.2834,62.1858
1998-01,97.5959,98.40726,98.87655,99.19641,-0.09405417,61.57736,100.9203,101.0311,62.27701
1998-02,97.55194,98.53128,98.72321,99.08673,-0.3615938,61.57201,100.7561,100.8187,62.36832
1998-03,97.7461,98.41032,98.66261,99.04338,-0.4970762,61.62446,100.6513,100.6833,62.45979
1998-04,97.99462,98.12244,98.63233,99.02172,-0.5546209,61.69598,100.598,100.6143,62.55148
1998-05,98.16232,98.02178,98.56592,98.97421,-0.5890318,61.74509,100.5587,100.5634,62.64345
1998-06,98.19135,98.29234,98.42239,98.87154,-0.6432585,61.74605,100.4921,100.4773,62.73578
1998-07,98.00288,98.79635,98.18392,98.70097,-0.7359357,61.68752,100.3775,100.3292,62.82854
1998-08,97.46807,99.27648,97.86582,98.47343,-0.853938,61.57893,100.21,100.1125,62.92179
1998-09,96.75247,99.5355,97.5325,98.235,-0.9292536,61.46072,99.99838,99.8389,63.01564
1998-10,96.15759,99.47627,97.27853,98.05333,-0.8645338,61.39262,99.76791,99.54086,63.11014
1998-11,96.19513,99.07352,97.1729,97.97777,-0.6007032,61.41851,99.54786,99.25631,63.20539
1998-12,96.41386,98.50022,97.22221,98.01305,-0.1885811,61.54309,99.36142,99.01522,63.30147
1999-01,96.62749,98.0378,97.40671,98.14502,0.2874222,61.75435,99.21464,98.82541,63.39846
1999-02,96.79984,97.55026,97.70232,98.35647,0.7559491,62.03746,99.10461,98.68314,63.49641
1999-03,97.00457,97.0653,98.09422,98.6368,1.231578,62.38342,99.02467,98.57975,63.59541
1999-04,97.33952,96.93158,98.54979,98.96268,1.743702,62.77178,98.96663,98.50471,63.6955
1999-05,97.92995,97.20496,99.02187,99.30036,2.312125,63.17272,98.92557,98.45161,63.79674
1999-06,98.61098,97.79274,99.4498,99.60647,2.91768,63.5476,98.90269,98.42204,63.89918
1999-07,99.22107,98.29111,99.79844,99.85585,3.544196,63.87385,98.90705,98.42766,64.00285
1999-08,99.59699,98.49593,100.0552,100.0395,4.164131,64.14316,98.95036,98.48367,64.1078
1999-09,99.83044,98.49168,100.2406,100.1721,4.73114,64.36852,99.03991,98.59947,64.21404
