country,BRA,BRA
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1996-Q1,,58.87176
1996-Q2,,59.53403
1996-Q3,,61.75641
1996-Q4,,61.16244
1997-Q1,4.968181,61.79662
1997-Q2,4.377751,62.14029
1997-Q3,1.878598,62.91656
1997-Q4,3.724913,63.44068
1998-Q1,0.6395826,62.19186
1998-Q2,1.762768,63.23568
1998-Q3,0.5114547,63.23836
1998-Q4,-1.467538,62.50967
1999-Q1,0.6936476,62.62325
1999-Q2,-0.4633398,62.94268
1999-Q3,-0.4456034,62.95657
1999-Q4,2.138633,63.84652
2000-Q1,3.031863,64.5219
2000-Q2,3.939136,65.42208
2000-Q3,5.130708,66.18668
2000-Q4,4.930802,66.99467
2001-Q1,4.264331,67.27333
2001-Q2,2.299272,66.92631
2001-Q3,0.577386,66.56883
2001-Q4,-0.8964369,66.3941
2002-Q1,1.073634,67.9956
2002-Q2,1.951897,68.23264
2002-Q3,3.880813,69.15224
2002-Q4,5.206332,69.8508
2003-Q1,2.268209,69.53788
2003-Q2,1.066727,68.96049
2003-Q3,0.6551092,69.60527
2003-Q4,0.6834512,70.32819
2004-Q1,2.537423,71.30235
2004-Q2,6.260693,73.2779
2004-Q3,6.591518,74.19331
2004-Q4,6.307151,74.7639
2005-Q1,5.71874,75.37994
2005-Q2,4.088929,76.27419
2005-Q3,2.132105,75.77519
2005-Q4,2.613292,76.7177
2006-Q1,3.50655,78.02319
2006-Q2,2.572018,78.23597
2006-Q3,4.90268,79.4902
2006-Q4,4.851819,80.4399
2007-Q1,5.123966,82.02106
2007-Q2,6.541977,83.35415
2007-Q3,5.886581,84.16946
2007-Q4,6.289578,85.49923
2008-Q1,5.523594,86.55157
2008-Q2,6.011539,88.36501
2008-Q3,6.639199,89.75764
2008-Q4,1.025987,86.37644
2009-Q1,-1.594779,85.17127
2009-Q2,-1.888225,86.69649
2009-Q3,-1.139294,88.73504
2009-Q4,5.358553,91.00497
2010-Q1,9.130668,92.94798
2010-Q2,8.507657,94.07233
2010-Q3,6.970021,94.91989
2010-Q4,5.75145,96.23907
2011-Q1,5.024249,97.61791
2011-Q2,4.745792,98.5368
2011-Q3,3.601951,98.33886
2011-Q4,3.029247,99.1544
2012-Q1,0.254536,97.86639
2012-Q2,1.04452,99.56604
2012-Q3,2.977509,101.2669
2012-Q4,2.151706,101.2879
2013-Q1,4.064322,101.844
2013-Q2,3.769476,103.3192
2013-Q3,2.479009,103.7773
2013-Q4,2.589248,103.9105
2014-Q1,2.922666,104.8205
2014-Q2,-0.07371121,103.243
2014-Q3,-0.5435374,103.2132
2014-Q4,-0.1635555,103.7405
2015-Q1,-1.81913,102.9137
2015-Q2,-2.689298,100.4665
2015-Q3,-4.206681,98.8714
2015-Q4,-5.450122,98.08656
2016-Q1,-6.13313,96.60189
2016-Q2,-3.490718,96.95949
2016-Q3,-2.424654,96.47411
2016-Q4,-1.858165,96.26395
2017-Q1,0.746437,97.32297
2017-Q2,1.151343,98.07582
2017-Q3,1.977642,98.38203
2017-Q4,2.614861,98.78112
2018-Q1,2.141505,99.40714
2018-Q2,1.30491,99.35562
2018-Q3,2.033041,100.3822
2018-Q4,1.271008,100.0366
2019-Q1,1.04502,100.446
2019-Q2,1.663447,101.0084
2019-Q3,0.7311684,101.1161
2019-Q4,1.433919,101.4711
2020-Q1,-1.364397,99.07549
2020-Q2,-10.70665,90.19374
2020-Q3,-3.674059,97.40107
2020-Q4,-0.9635635,100.4933
2021-Q1,2.514088,101.5663
2021-Q2,12.29464,101.2827
2021-Q3,4.047045,101.3429
2021-Q4,1.626851,102.1282
2022-Q1,1.681796,103.2745
2022-Q2,3.223271,104.5474
