country,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1956-01,,,102.5215,102.1385,,,,,
1956-02,,,102.3359,101.981,,,,,
1956-03,,,102.1361,101.8114,,,,,
1956-04,,,101.9054,101.6155,,,,,
1956-05,,,101.6514,101.3999,,,,,
1956-06,,,101.4051,101.1909,,,,,
1956-07,,,101.1862,101.0051,,,,,
1956-08,,,100.9903,100.8388,,,,,
1956-09,,,100.7933,100.6716,,,,,
1956-10,,,100.5859,100.4955,,,,,
1956-11,,,100.3766,100.3178,,,,,
1956-12,,,100.1734,100.1454,,,,,
1957-01,,,99.95538,99.96031,,,,,
1957-02,,,99.70751,99.74992,,,,,
1957-03,,,99.44318,99.52554,,,,,
1957-04,,,99.16109,99.28608,,,,,
1957-05,,,98.863,99.03305,,,,,
1957-06,,,98.53301,98.75295,,,,,
1957-07,,,98.16426,98.43993,,,,,
1957-08,,,97.77848,98.11246,,,,,
1957-09,,,97.42832,97.81524,,,,,
1957-10,,,97.17256,97.59814,,,,,
1957-11,,,97.05595,97.49915,,,,,
1957-12,,,97.08102,97.52044,,,,,
1958-01,,,97.26072,97.67297,,,,,
1958-02,,,97.60664,97.9666,,,,,
1958-03,,,98.09478,98.38096,,,,,
1958-04,,,98.69473,98.89022,,,,,
1958-05,,,99.36613,99.46013,,,,,
1958-06,,,100.0502,100.0408,,,,,
1958-07,,,100.6896,100.5835,,,,,
1958-08,,,101.2404,101.0511,,,,,
1958-09,,,101.6813,101.4254,,,,,
1958-10,,,102.0076,101.7024,,,,,
1958-11,,,102.2216,101.884,,,,,
1958-12,,,102.3503,101.9933,,,,,
1959-01,,,102.4283,102.0595,,,,,
1959-02,,,102.4516,102.0792,,,,,
1959-03,,,102.4004,102.0358,,,,,
1959-04,,,102.264,101.92,,,,,
1959-05,,,102.0314,101.7225,,,,,
1959-06,,,101.7024,101.4432,,,,,
1959-07,,,101.2914,101.0944,,,,,
1959-08,,,100.8418,100.7127,,,,,
1959-09,,,100.4302,100.3633,,,,,
1959-10,,,100.1171,100.0976,,,,,
1959-11,,,99.89843,99.91196,,,,,
1959-12,,,99.7392,99.77681,,,,,
1960-01,,,99.57674,99.6389,,,,,
1960-02,,,99.37633,99.46879,,,,,
1960-03,,,99.17165,99.29505,,,,,
1960-04,,,98.99304,99.14344,,,,,
1960-05,,,98.86924,99.03835,,,,,
1960-06,,,98.81232,98.99004,,,,,
1960-07,,,98.81422,98.99165,,,,,
1960-08,,,98.86722,99.03664,,,,,
1960-09,,,98.93318,99.09263,,,,,
1960-10,,,99.01006,99.15788,,,,,
1960-11,,,99.11394,99.24606,,,,,
1960-12,,,99.26273,99.37236,,,,,
1961-01,,,99.46724,99.54596,,,,,
1961-02,,,99.73473,99.77302,,18.01891,98.52242,98.29462,18.06684
1961-03,,,100.0578,100.0472,,18.17104,98.79033,98.58376,18.16054
1961-04,,,100.4147,100.3502,,18.33044,99.05413,98.86847,18.25473
1961-05,,,100.7723,100.6537,,18.49111,99.30585,99.14014,18.3494
1961-06,,,101.1113,100.9415,,18.64952,99.53617,99.3887,18.44455
1961-07,,,101.4065,101.1921,,18.80094,99.73669,99.60509,18.54017
1961-08,,,101.6256,101.378,,18.9392,99.90209,99.78361,18.63626
1961-09,,,101.7394,101.4747,,19.05864,100.0341,99.92612,18.7328
1961-10,,,101.7581,101.4906,,19.16086,100.1478,100.0488,18.82981
1961-11,,,101.6977,101.4392,,19.24857,100.2583,100.168,18.92725
1961-12,,,101.5564,101.3194,,19.32126,100.3693,100.2879,19.02514
1962-01,,,101.3284,101.1258,,19.3775,100.4613,100.3871,19.12346
1962-02,,,101.034,100.8759,7.780993,19.42096,100.5075,100.437,19.2222
1962-03,,,100.6829,100.5778,7.056618,19.4533,100.4914,100.4196,19.32136
1962-04,,,100.2948,100.2484,6.2614,19.47818,100.4268,100.3499,19.42093
1962-05,,,99.91135,99.92294,5.475567,19.5036,100.3409,100.2572,19.52091
1962-06,,,99.58041,99.64202,4.769236,19.53896,100.2606,100.1706,19.62128
1962-07,,,99.34313,99.44061,4.210266,19.59251,100.2013,100.1065,19.72206
1962-08,,,99.22275,99.33842,3.854141,19.66915,100.1668,100.0693,19.82322
1962-09,,,99.22517,99.34048,3.734496,19.77039,100.1495,100.0506,19.92477
1962-10,,,99.33031,99.42972,3.818862,19.89258,100.127,100.0264,20.0267
1962-11,,,99.49736,99.57153,4.04838,20.02783,100.0749,99.97007,20.12901
1962-12,,,99.68542,99.73116,4.382614,20.16803,99.97862,99.8662,20.23168
1963-01,,,99.86987,99.88773,4.803288,20.30825,99.8484,99.72566,20.33472
1963-02,,,100.0462,100.0374,5.28595,20.44755,99.70515,99.57107,20.43811
1963-03,,,100.2206,100.1855,5.828736,20.58718,99.56966,99.42484,20.54186
1963-04,,,100.3917,100.3306,6.410462,20.72682,99.45254,99.29843,20.64596
1963-05,,,100.5173,100.4373,6.942976,20.85773,99.36268,99.20145,20.75039
1963-06,,,100.5685,100.4808,7.343132,20.97373,99.31431,99.14925,20.85516
1963-07,,,100.5779,100.4887,7.599084,21.08136,99.33192,99.16826,20.96024
1963-08,,,100.5847,100.4945,7.726046,21.18879,99.43769,99.28242,21.06563
1963-09,,,100.6242,100.528,7.754401,21.30346,99.63428,99.49458,21.17132
1963-10,,,100.6856,100.5801,7.694158,21.42315,99.89843,99.77965,21.27728
1963-11,,,100.7687,100.6507,7.589671,21.54787,100.1846,100.0885,21.3835
1963-12,,,100.8803,100.7454,7.492627,21.67915,100.4411,100.3653,21.48997
1964-01,,,101.0123,100.8575,7.420762,21.81528,100.6237,100.5624,21.59665
1964-02,,,101.1355,100.962,7.347759,21.94998,100.7001,100.6449,21.70355
1964-03,,,101.2414,101.0519,7.257908,22.08138,100.6582,100.5996,21.81063
1964-04,,,101.3091,101.1094,7.130832,22.20481,100.522,100.4526,21.91789
1964-05,,,101.347,101.1416,7.020161,22.32198,100.3299,100.2453,22.0253
1964-06,,,101.3701,101.1612,6.972424,22.4361,100.1194,100.0181,22.13287
1964-07,,,101.3844,101.1733,6.959235,22.54846,99.91651,99.79916,22.24056
1964-08,,,101.3986,101.1854,6.947731,22.66093,99.74129,99.61006,22.34837
1964-09,,,101.4126,101.1973,6.900517,22.77351,99.61341,99.47205,22.45629
1964-10,,,101.4237,101.2067,6.826205,22.88554,99.55554,99.4096,22.56429
1964-11,,,101.4399,101.2204,6.73358,22.99882,99.58263,99.43883,22.67237
1964-12,,,101.46,101.2375,6.614337,23.11308,99.68633,99.55074,22.78049
1965-01,,,101.4771,101.252,6.470059,23.22674,99.8325,99.7085,22.88865
1965-02,,,101.4847,101.2585,6.3247,23.33825,99.97179,99.85883,22.99682
1965-03,,,101.4779,101.2527,6.181991,23.44645,100.0661,99.9606,23.10497
1965-04,,,101.4339,101.2153,6.039785,23.54594,100.1154,100.0138,23.21309
1965-05,,,101.351,101.145,5.887673,23.63623,100.1411,100.0415,23.32116
1965-06,,,101.251,101.0601,5.732386,23.72223,100.1726,100.0756,23.42914
1965-07,,,101.1688,100.9903,5.60417,23.81212,100.2358,100.1437,23.53702
1965-08,,,101.1156,100.9452,5.505637,23.90856,100.3499,100.2669,23.64477
1965-09,,,101.0928,100.9258,5.438083,24.01196,100.5225,100.4532,23.75238
1965-10,,,101.1052,100.9363,5.409367,24.1235,100.7411,100.6891,23.85981
1965-11,,,101.1431,100.9685,5.401159,24.24102,100.9841,100.9514,23.96704
1965-12,,,101.1851,101.0041,5.392089,24.35936,101.2297,101.2164,24.07406
1966-01,,,101.1905,101.0088,5.34718,24.46872,101.4616,101.4666,24.18084
1966-02,,,101.1223,100.9509,5.2347,24.55994,101.6646,101.6858,24.28736
1966-03,,,100.9644,100.8168,5.042982,24.62885,101.8209,101.8544,24.3936
1966-04,,,100.7244,100.6131,4.803786,24.67703,101.9078,101.9482,24.49955
1966-05,,,100.4342,100.3667,4.551516,24.71203,101.9052,101.9454,24.6052
1966-06,,,100.1367,100.1142,4.308592,24.74432,101.8073,101.8398,24.71055
1966-07,,,99.85787,99.87754,4.065999,24.78032,101.6408,101.6601,24.81559
1966-08,,,99.61381,99.67037,3.829228,24.82407,101.4421,101.4456,24.92031
1966-09,,,99.42561,99.51063,3.619237,24.881,101.2397,101.2272,25.02474
