country,CHL,CHL
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
2002-03,,98.3121
2002-04,,98.31441
2002-05,,98.36608
2002-06,,98.2634
2002-07,,98.07713
2002-08,,97.89504
2002-09,,97.85518
2002-10,,98.03387
2002-11,,98.5546
2002-12,,99.32238
2003-01,,99.52689
2003-02,,99.08028
2003-03,,98.70963
2003-04,,99.05338
2003-05,,99.53156
2003-06,,99.65249
2003-07,,99.73473
2003-08,,100.0961
2003-09,,100.7015
2003-10,,101.3111
2003-11,101.5539,101.8359
2003-12,102.102,102.448
2004-01,102.9154,102.9954
2004-02,103.3661,103.0806
2004-03,103.3655,102.653
2004-04,102.9333,101.9541
2004-05,102.471,101.4048
2004-06,102.3622,101.0739
2004-07,102.5823,100.9275
2004-08,102.7563,100.9501
2004-09,102.8031,100.9601
2004-10,102.5404,101.2184
2004-11,102.2875,101.7876
2004-12,102.4161,102.3039
2005-01,102.8946,102.6978
2005-02,103.1035,102.6486
2005-03,102.888,102.2099
2005-04,102.3586,101.7994
2005-05,101.8064,101.6168
2005-06,101.6857,101.6647
2005-07,101.7845,101.841
2005-08,102.0762,102.0412
2005-09,102.4074,102.1316
2005-10,102.4202,102.35
2005-11,102.271,102.8847
2005-12,102.18,103.6261
2006-01,102.4093,104.3224
2006-02,102.8552,104.6181
2006-03,102.8891,104.5582
2006-04,102.3723,103.9924
2006-05,101.5675,103.175
2006-06,100.8496,102.2204
2006-07,100.6152,101.6806
2006-08,100.5768,101.5191
2006-09,100.8172,101.7414
2006-10,100.9554,102.0155
2006-11,101.0187,102.4106
2006-12,101.1781,102.7922
2007-01,101.6402,102.7276
2007-02,101.8885,102.3946
2007-03,101.7287,102.0154
2007-04,101.3179,101.71
2007-05,101.1048,101.2754
2007-06,101.1631,100.7906
2007-07,101.2992,100.2414
2007-08,101.5816,99.85461
2007-09,101.9356,99.77793
2007-10,101.9065,99.95599
2007-11,101.554,100.4172
2007-12,101.3442,100.8559
2008-01,101.189,100.7408
2008-02,100.897,100.2869
2008-03,100.1645,99.61066
2008-04,99.64634,98.82311
2008-05,99.30421,98.0165
2008-06,99.02161,97.30151
2008-07,98.86993,96.89368
2008-08,98.82965,96.89825
2008-09,98.27693,97.17791
2008-10,96.7599,97.37814
2008-11,95.16136,97.51783
2008-12,94.13759,97.75894
2009-01,93.49358,97.96687
2009-02,93.16033,98.03936
2009-03,93.13239,98.08871
2009-04,93.51095,98.27929
2009-05,94.2,98.68806
2009-06,95.26588,99.17413
2009-07,96.67729,99.78008
2009-08,98.28278,100.666
2009-09,99.50274,101.6837
2009-10,99.98575,102.5706
2009-11,100.1542,103.1631
2009-12,100.5665,103.5889
2010-01,101.6087,103.7352
2010-02,102.8085,103.273
2010-03,104.0145,102.2303
2010-04,104.9175,101.6054
2010-05,105.0093,101.2878
2010-06,104.6342,101.224
2010-07,104.1373,101.4047
2010-08,103.8936,102.1389
2010-09,103.9154,103.0327
2010-10,103.7771,103.5458
2010-11,103.5722,103.4173
2010-12,103.4065,102.9635
2011-01,103.4682,102.3658
2011-02,103.5741,101.6743
2011-03,103.3342,101.256
2011-04,102.8976,101.0453
2011-05,102.5518,100.9028
2011-06,102.5025,100.6159
2011-07,102.5167,100.4011
2011-08,102.2594,100.261
2011-09,101.8071,100.3791
2011-10,101.1539,100.4494
2011-11,100.8463,100.7291
2011-12,101.0028,101.0376
2012-01,101.6561,101.4371
2012-02,102.3127,101.5645
2012-03,102.4339,101.4013
2012-04,102.0583,101.4171
2012-05,101.6137,101.7121
2012-06,101.29,102.0914
2012-07,101.2075,102.4302
2012-08,101.2763,102.7745
2012-09,101.4793,103.0322
2012-10,101.717,103.2294
2012-11,101.827,103.6124
2012-12,101.8386,104.1803
2013-01,102.0413,104.5126
2013-02,102.1974,104.6108
2013-03,102.0283,104.537
2013-04,101.4493,104.3452
2013-05,100.7933,103.7649
2013-06,100.2818,103.1134
2013-07,100.1825,102.6756
2013-08,100.5301,102.6954
2013-09,100.8026,103.1234
2013-10,100.6584,103.5072
2013-11,100.2762,103.8232
2013-12,99.85035,103.9135
2014-01,99.9406,103.7394
2014-02,100.0099,103.5014
2014-03,99.45611,103.2133
2014-04,98.54266,102.8499
2014-05,97.70868,102.3649
2014-06,97.03062,101.815
2014-07,96.61493,101.1538
2014-08,96.37642,100.4524
2014-09,96.20988,100.05
2014-10,96.08582,99.9352
2014-11,96.11604,99.96841
2014-12,96.58702,100.1766
2015-01,97.39481,100.1201
2015-02,98.02434,99.94455
2015-03,98.34148,99.41714
2015-04,98.12802,98.94254
2015-05,97.45171,98.58981
2015-06,96.75638,98.147
2015-07,96.00912,97.68391
2015-08,95.67052,97.45476
2015-09,95.91299,97.49113
2015-10,96.16069,97.71111
2015-11,96.228,97.94283
2015-12,96.34814,98.03471
2016-01,96.82544,97.9837
2016-02,97.27551,98.02342
2016-03,97.06995,97.86514
2016-04,96.52166,97.64808
2016-05,96.05216,97.46774
2016-06,95.91072,97.32277
2016-07,96.07601,97.08532
2016-08,96.608,97.0061
2016-09,97.17648,97.32166
2016-10,97.36785,97.88351
2016-11,97.09041,98.41273
2016-12,97.07249,98.7783
2017-01,97.46386,98.77442
2017-02,97.91396,98.61402
2017-03,97.81223,98.66747
2017-04,97.43932,98.95759
2017-05,97.19614,99.20116
2017-06,97.03992,99.35901
2017-07,97.22283,99.54248
2017-08,97.67183,99.91555
2017-09,98.20967,100.5714
2017-10,98.61324,101.1894
2017-11,98.74104,101.8194
2017-12,99.14199,102.4441
2018-01,100.4086,102.6185
2018-02,101.5803,102.5563
2018-03,101.9506,102.4749
2018-04,101.928,102.5379
2018-05,101.7724,102.6061
2018-06,101.4991,102.5346
2018-07,101.0463,102.1049
2018-08,100.7343,101.5463
2018-09,100.5631,101.1556
2018-10,99.99252,100.9554
2018-11,99.28448,100.8144
2018-12,99.01626,100.8284
2019-01,99.44226,100.9204
2019-02,99.7616,100.737
2019-03,99.43666,100.2764
2019-04,98.7695,99.86165
2019-05,98.31187,99.40141
2019-06,98.19807,99.07441
2019-07,98.46091,99.03963
2019-08,98.80531,98.89314
2019-09,98.77239,98.453
2019-10,98.02592,97.63571
2019-11,96.59957,96.65635
2019-12,95.94889,96.27566
2020-01,96.48516,96.25892
2020-02,97.0537,96.08668
2020-03,96.45751,95.27161
2020-04,95.1282,94.22083
2020-05,94.82037,93.5807
2020-06,95.78542,93.42723
2020-07,97.24787,93.78613
2020-08,98.90109,94.51624
2020-09,100.5478,95.2207
2020-10,101.5168,95.80715
2020-11,101.8227,96.08326
2020-12,101.8057,96.19051
2021-01,102.2711,96.20813
2021-02,102.7526,96.13575
2021-03,102.8935,95.78585
2021-04,102.6577,95.60629
2021-05,102.9996,96.18996
2021-06,103.7125,97.16419
2021-07,104.7533,98.07729
2021-08,105.3488,98.50457
2021-09,105.1526,98.33552
2021-10,104.3117,97.91661
2021-11,103.2411,97.8003
2021-12,102.4217,98.05367
2022-01,102.0141,98.01472
2022-02,101.5406,97.41917
2022-03,101.018,96.52959
2022-04,100.3097,95.44055
2022-05,99.38577,94.72816
2022-06,98.22474,94.37875
2022-07,97.08927,94.11104
2022-08,96.59436,94.14575
2022-09,96.57551,94.21301
2022-10,96.25982,94.17774
2022-11,95.66133,94.24255
2022-12,95.04649,94.29278
2023-01,94.76346,94.43182
