country,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT
measure,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,
time,,,,,,,,
1978-01,,,,,,,101.0319,101.876
1978-02,,,,,,,100.9094,101.6509
1978-03,,,,,,,100.7952,101.4412
1978-04,,,,,,,100.6735,101.2176
1978-05,,,,,,,100.5314,100.9567
1978-06,,,,,,,100.3566,100.6356
1978-07,,,,,,,100.1532,100.2619
1978-08,,,,,,,99.94748,99.88393
1978-09,,,,,,,99.75181,99.5245
1978-10,,,,,,,99.57879,99.20666
1978-11,,,,,,,99.4476,98.96567
1978-12,,,,,,,99.36382,98.81176
1979-01,,,,,,,99.3347,98.75827
1979-02,,,,,,,99.38367,98.84822
1979-03,,,,,,,99.50534,99.07173
1979-04,,,,,,,99.69778,99.42525
1979-05,,,,,,,99.96404,99.91437
1979-06,,,,,,,100.2986,100.529
1979-07,,,,,,,100.6865,101.2415
1979-08,,,,,,,101.0966,101.9949
1979-09,,,,,,,101.4968,102.7301
1979-10,,,,,,,101.849,103.377
1979-11,,,,,,,102.1264,103.8866
1979-12,,,,,,,102.3229,104.2476
1980-01,,,,,,,102.4433,104.4687
1980-02,,,,,,,102.4752,104.5273
1980-03,,,,,,,102.4195,104.425
1980-04,,,,,,,102.2872,104.1819
1980-05,,,,,,,102.0795,103.8005
1980-06,,,,,,,101.7983,103.2839
1980-07,,,,,,,101.4477,102.6399
1980-08,,,,,,,101.0353,101.8822
1980-09,,,,,,,100.5873,101.0593
1980-10,,,,,,,100.1451,100.247
1980-11,,,,,,,99.74277,99.5079
1980-12,,,,,,,99.40155,98.88107
1981-01,,,,,,,99.13088,98.38385
1981-02,,,,,,,98.94238,98.03757
1981-03,,,,,,,98.84711,97.86256
1981-04,,,,,,,98.83344,97.83746
1981-05,,,,,,,98.88823,97.9381
1981-06,,,,,,,98.99807,98.13988
1981-07,,,,,,,99.14485,98.40951
1981-08,,,,,,,99.30904,98.71113
1981-09,,,,,,,99.46904,99.00504
1981-10,,,,,,,99.60072,99.24695
1981-11,,,,,,,99.67584,99.38493
1981-12,,,,,,,99.67635,99.38586
1982-01,,,,,,,99.59371,99.23406
1982-02,,,,,,,99.43893,98.94975
1982-03,,,,,,,99.22689,98.56022
1982-04,,,,,,,98.97445,98.09649
1982-05,,,,,,,98.7061,97.60354
1982-06,,,,,,,98.44753,97.12855
1982-07,,,,,,,98.21918,96.70908
1982-08,,,,,,,98.03521,96.37112
1982-09,,,,,,,97.90683,96.13528
1982-10,,,,,,,97.83847,96.0097
1982-11,,,,,,,97.82497,95.9849
1982-12,,,,,,,97.85577,96.0415
1983-01,,,,,,,97.91737,96.15464
1983-02,,,,,,,97.99289,96.29338
1983-03,,,,,,,98.07896,96.45149
1983-04,,,,,,,98.16553,96.6105
1983-05,,,,,,,98.24203,96.75105
1983-06,,,,,,,98.30315,96.86332
1983-07,,,,,,,98.34674,96.9434
1983-08,,,,,,,98.37381,96.99312
1983-09,,,,,,,98.38463,97.01299
1983-10,,,,,,,98.37997,97.00445
1983-11,,,,,,,98.36819,96.98281
1983-12,,,,,,,98.36638,96.97947
1984-01,,,,,,,98.39689,97.03551
1984-02,,,,,,,98.46529,97.16118
1984-03,,,,,,,98.56631,97.34673
1984-04,,,,,,,98.7143,97.61861
1984-05,,,,,,,98.92186,97.99989
1984-06,,,,,,,99.19567,98.50288
1984-07,,,,,,,99.5383,99.13228
1984-08,,,,,,,99.93752,99.86565
1984-09,,,,,,,100.3786,100.6759
1984-10,,,,,,,100.8434,101.5297
1984-11,,,,,,,101.3104,102.3876
1984-12,,,,,,,101.7534,103.2014
1985-01,,,,,,,102.1445,103.9199
1985-02,,,,,,,102.4451,104.4721
1985-03,,,,,,,102.6355,104.8217
1985-04,,,,,,,102.7004,104.941
1985-05,,,,,,,102.6329,104.8171
1985-06,,,,,,,102.4444,104.4707
1985-07,,,,,,,102.1559,103.9408
1985-08,,,,,,,101.7937,103.2755
1985-09,,,,,,,101.3947,102.5425
1985-10,,,,,,,100.9977,101.8133
1985-11,,,,,,,100.638,101.1523
1985-12,,,,,,,100.3381,100.6015
1986-01,,,,,,,100.105,100.1733
1986-02,,,,,,,99.93659,99.86394
1986-03,,,,,,,99.8339,99.67529
1986-04,,,,,,,99.78899,99.5928
1986-05,,,,,,,99.79862,99.61048
1986-06,,,,,,,99.85621,99.71628
1986-07,,,,,,,99.95245,99.89307
1986-08,,,,,,,100.0762,100.1205
1986-09,,,,,,,100.2122,100.3702
1986-10,,,,,,,100.3444,100.613
1986-11,,,,,,,100.4555,100.8172
1986-12,,,,,,,100.5344,100.9621
1987-01,,,,,,,100.5812,101.0481
1987-02,,,,,,,100.611,101.1028
1987-03,,,,,,,100.6382,101.1527
1987-04,,,,,,,100.6741,101.2187
1987-05,,,,,,,100.7277,101.3173
1987-06,,,,,,,100.8024,101.4544
1987-07,,,,,,,100.895,101.6245
1987-08,,,,,,,101.0038,101.8244
1987-09,,,,,,,101.1316,102.0592
1987-10,,,,,,,101.2797,102.3312
1987-11,,,,,,,101.4484,102.6412
1987-12,,,,,,,101.637,102.9875
1988-01,,,,,,,101.8379,103.3567
1988-02,,,,,,,102.0334,103.7157
1988-03,,,,,,,102.2165,104.0521
1988-04,,,,,,,102.4,104.3892
1988-05,,,,,,,102.5822,104.7239
1988-06,,,,,,,102.7545,105.0405
1988-07,,,,,,,102.9032,105.3136
1988-08,,,,,,,103.0126,105.5145
1988-09,,,,,,,103.0579,105.5978
1988-10,,,,,,,103.0164,105.5215
1988-11,,,,,,,102.8819,105.2745
1988-12,,,,,,,102.6688,104.883
1989-01,,,,,,,102.3955,104.381
1989-02,,,,,,,102.0838,103.8084
1989-03,,,,,,,101.7344,103.1666
1989-04,,,,,,,101.338,102.4382
1989-05,,,,,,,100.8899,101.6151
1989-06,,,,,,,100.3954,100.7068
1989-07,,,,,,,99.86355,99.72975
1989-08,,,,,,,99.30272,98.69952
1989-09,,,,,,,98.73345,97.65378
1989-10,,,,,,,98.18468,96.64571
1989-11,,,,,,,97.68403,95.726
1989-12,,,,,,,97.24672,94.92266
1990-01,,98.86002,,,,,96.88472,94.25768
1990-02,,98.91396,,,,,96.62211,93.77527
1990-03,,98.9946,,,,,96.46162,93.48045
1990-04,,99.10141,,,,,96.38503,93.33976
1990-05,,99.20192,,,,,96.37675,93.32455
1990-06,,99.23869,,,,,96.42641,93.41577
1990-07,,99.18069,,,,,96.5309,93.60772
1990-08,,99.06236,,,,,96.69147,93.90269
1990-09,,98.96575,,,,,96.9031,94.29144
1990-10,,98.98708,,,,,97.15128,94.74734
1990-11,,99.18143,,,,,97.41115,95.22472
1990-12,,99.54155,,,,,97.65298,95.66898
1991-01,,99.99315,,,,,97.85085,96.03245
1991-02,,100.4144,,,,,97.98534,96.27952
1991-03,,100.6775,,,,,98.06776,96.43091
1991-04,,100.7211,,,,,98.11449,96.51675
1991-05,,100.5528,,,,,98.13483,96.55411
1991-06,,100.2433,,,,,98.13776,96.5595
1991-07,,99.90512,,,,,98.13625,96.55671
1991-08,,99.62237,,,,,98.1394,96.56251
1991-09,,99.44759,,,,,98.14761,96.57761
1991-10,,99.38081,,,,,98.16286,96.60562
1991-11,,99.39246,,,,,98.19155,96.65832
1991-12,,99.45232,,,,,98.24355,96.75385
1992-01,,99.5557,,,,,98.31577,96.88651
1992-02,,99.73961,,,,,98.39659,97.03497
1992-03,,100.0551,,,,,98.47638,97.18155
1992-04,,100.5355,,,,,98.56949,97.35258
1992-05,,101.146,100.6081,100.4225,,6.183629,98.68845,97.57112
1992-06,,101.7973,100.9117,100.6349,,6.278533,98.84164,97.85253
1992-07,,102.3797,101.1791,100.822,,6.37287,99.0267,98.19247
1992-08,,102.8333,101.4043,100.9796,,6.466162,99.23087,98.56753
1992-09,,103.1348,101.5888,101.1087,,6.558416,99.44591,98.96256
1992-10,,103.2992,101.736,101.2117,,6.649741,99.66505,99.36513
1992-11,,103.3821,101.8381,101.2831,,6.739522,99.88181,99.76331
1992-12,,103.4286,101.8974,101.3246,,6.827782,100.0931,100.1514
1993-01,,103.4671,101.9186,101.3394,,6.914732,100.2961,100.5244
1993-02,,103.5003,101.9085,101.3323,,7.000705,100.4774,100.8575
1993-03,,103.5425,101.8664,101.3029,,7.085559,100.6259,101.1302
1993-04,,103.6245,101.7855,101.2463,,7.168706,100.7343,101.3293
1993-05,,103.7895,101.665,101.162,17.24435,7.249955,100.8006,101.451
1993-06,,104.0487,101.5023,101.0482,16.73092,7.328989,100.8217,101.4898
1993-07,,104.3304,101.3009,100.9073,16.21008,7.405917,100.7984,101.447
1993-08,,104.5244,101.0916,100.7608,15.7237,7.482882,100.7474,101.3533
1993-09,,104.5039,100.9223,100.6424,15.32388,7.563419,100.6983,101.2632
1993-10,,104.197,100.8197,100.5706,15.03657,7.649634,100.6859,101.2404
1993-11,,103.6076,100.7977,100.5552,14.88572,7.742749,100.7288,101.3193
1993-12,,102.8183,100.8487,100.5908,14.85957,7.84236,100.8178,101.4827
1994-01,,101.9728,100.9353,100.6515,14.90998,7.945718,100.9252,101.68
1994-02,,101.1921,101.0297,100.7175,14.99788,8.050662,101.0462,101.9023
1994-03,,100.5472,101.11,100.7737,15.09905,8.155412,101.1824,102.1525
1994-04,,100.043,101.1557,100.8057,15.19843,8.258237,101.3282,102.4202
1994-05,,99.65598,101.1538,100.8043,15.28223,8.35791,101.4737,102.6876
1994-06,,99.38248,101.1077,100.7721,15.35764,8.454549,101.6061,102.9309
1994-07,,99.2468,101.0253,100.7145,15.43006,8.548656,101.7172,103.1349
1994-08,,99.27078,100.9276,100.6461,15.48842,8.641863,101.7971,103.2817
1994-09,,99.45777,100.8371,100.5828,15.50408,8.736058,101.8346,103.3505
1994-10,,99.80656,100.7716,100.5369,15.4666,8.832772,101.8246,103.3323
1994-11,,100.2762,100.7479,100.5204,15.3795,8.933545,101.77,103.2319
1994-12,,100.8169,100.7641,100.5317,15.24975,9.038301,101.681,103.0684
1995-01,,101.3932,100.8248,100.5741,15.12543,9.147542,101.5807,102.8842
1995-02,,101.9375,100.9151,100.6373,15.02195,9.260029,101.4911,102.7195
1995-03,,102.3802,101.0028,100.6987,14.92758,9.372817,101.4131,102.5763
1995-04,,102.675,101.0828,100.7547,14.86002,9.485412,101.3464,102.4538
1995-05,,102.7737,101.1538,100.8043,14.83277,9.597619,101.2922,102.3542
1995-06,,102.673,101.221,100.8513,14.84822,9.709898,101.2516,102.2796
1995-07,,102.4297,101.2974,100.9048,14.91243,9.823467,101.2226,102.2264
1995-08,,102.1471,101.3477,100.94,14.96219,9.934874,101.2006,102.1859
1995-09,,101.9154,101.3394,100.9342,14.93495,10.04078,101.1848,102.1569
1995-10,,101.7901,101.2826,100.8944,14.82249,10.14201,101.1769,102.1424
1995-11,,101.7962,101.196,100.8338,14.62707,10.24026,101.1725,102.1344
1995-12,,101.9016,101.1186,100.7797,14.39564,10.33942,101.1683,102.1266
1996-01,,102.0492,101.0878,100.7581,14.1656,10.44335,101.1602,102.1117
1996-02,,102.1649,101.1342,100.7906,13.98866,10.55538,101.1464,102.0863
1996-03,,102.2003,101.3319,100.9289,13.98441,10.68355,101.1389,102.0726
1996-04,,102.1687,101.7221,101.202,14.20409,10.83273,101.1391,102.0729
1996-05,,102.1092,102.336,101.6315,14.6832,11.00686,101.1421,102.0784
1996-06,,102.0431,103.1589,102.2072,15.39821,11.20505,101.1467,102.0869
1996-07,,101.9949,104.0648,102.841,16.19257,11.41414,101.1509,102.0946
1996-08,,101.945,104.539,103.1727,16.53279,11.57738,101.1537,102.0997
1996-09,,101.9152,104.7665,103.3319,16.66518,11.7141,101.1598,102.1109
1996-10,,101.8676,104.7277,103.3047,16.55751,11.82127,101.166,102.1224
1996-11,,101.6959,104.4361,103.1007,16.20399,11.89959,101.168,102.1259
1996-12,,101.235,103.9696,102.7743,15.64673,11.9572,101.1603,102.1119
1997-01,,100.4711,103.3894,102.3684,14.91211,12.00067,101.137,102.0691
1997-02,,99.92631,102.8153,101.9668,14.09972,12.04366,101.1035,102.0074
1997-03,,99.67691,102.2795,101.5919,13.16465,12.09,101.0732,101.9518
1997-04,,99.67047,101.6482,101.1503,11.919,12.12388,101.0394,101.8898
1997-05,,99.82341,100.897,100.6246,10.31352,12.14205,100.9974,101.8126
1997-06,,100.0274,100.1031,100.0692,8.464903,12.15355,100.9475,101.7209
1997-07,,100.1863,99.37569,99.5603,6.636087,12.17159,100.8921,101.6192
1997-08,,100.2396,98.76289,99.13157,5.398423,12.20238,100.838,101.5198
1997-09,,100.1937,98.27698,98.79161,4.556342,12.24783,100.7848,101.4222
1997-10,,100.1063,97.91402,98.53767,4.116401,12.30788,100.7292,101.3199
1997-11,,100.0562,97.6572,98.35799,4.044126,12.38083,100.6658,101.2034
1997-12,,100.0795,97.49165,98.24216,4.247887,12.46513,100.5931,101.07
1998-01,,100.0672,97.41473,98.18835,4.66742,12.56079,100.5127,100.9222
1998-02,,99.70456,97.46181,98.22129,5.223185,12.67272,100.4257,100.7624
1998-03,,99.12817,97.63936,98.34551,5.890985,12.80222,100.3281,100.5831
1998-04,,98.64355,97.90408,98.53072,6.764791,12.94404,100.2392,100.4199
1998-05,,98.16293,98.19201,98.73216,7.806907,13.08997,100.174,100.3001
1998-06,,97.68996,98.45328,98.91496,8.885509,13.23345,100.1391,100.2359
1998-07,,97.3828,98.67604,99.07081,9.869239,13.37283,100.1365,100.2312
1998-08,,97.45782,98.87543,99.2103,10.71702,13.51011,100.1637,100.2812
1998-09,,97.66185,99.03798,99.32404,11.39448,13.64341,100.2063,100.3594
1998-10,,97.88027,99.16014,99.4095,11.89703,13.77216,100.2397,100.4207
1998-11,,98.0089,99.2483,99.47118,12.24751,13.89717,100.2414,100.4239
1998-12,,98.19095,99.32032,99.52157,12.48103,14.02091,100.1977,100.3436
1999-01,,98.38483,99.41243,99.58601,12.64053,14.14854,100.1046,100.1725
1999-02,,98.4857,99.55175,99.68349,12.71522,14.28409,99.96841,99.92238
1999-03,,98.51112,99.76153,99.83025,12.72378,14.43115,99.81129,99.63377
1999-04,,98.57602,100.011,100.0048,12.68176,14.58557,99.66018,99.35617
1999-05,,98.71557,100.2512,100.1729,12.608,14.74035,99.53197,99.12066
1999-06,,98.85812,100.4075,100.2822,12.47619,14.88448,99.43523,98.94295
1999-07,,98.95144,100.4083,100.2828,12.22044,15.00705,99.37405,98.83057
1999-08,,99.12366,100.2914,100.201,11.86615,15.11324,99.34833,98.7833
1999-09,,99.24844,100.1269,100.0859,11.50687,15.21334,99.35308,98.79203
1999-10,,99.34204,99.96992,99.97605,11.20757,15.31568,99.38106,98.84343
1999-11,,99.47649,99.85654,99.89673,11.00046,15.42592,99.42354,98.92146
1999-12,,99.64799,99.78784,99.84866,10.86634,15.54447,99.47042,99.00758
2000-01,,99.75639,99.76001,99.82919,10.76032,15.67097,99.51505,99.08956
2000-02,100.4878,99.85107,99.74481,99.81856,10.62087,15.80118,99.55216,99.15774
2000-03,100.3681,99.94674,99.70518,99.79083,10.38146,15.92931,99.59457,99.23566
2000-04,100.3044,100.0425,99.58588,99.70736,10.01586,16.04644,99.63897,99.3172
2000-05,100.3849,100.1401,99.38526,99.567,9.576975,16.15203,99.67997,99.39252
2000-06,100.6512,100.224,99.1231,99.38359,9.16786,16.24907,99.70832,99.4446
2000-07,100.8745,100.3159,98.78851,99.1495,8.852435,16.33554,99.71429,99.45557
2000-08,100.7183,100.4281,98.40218,98.8792,8.611103,16.41466,99.68874,99.40863
2000-09,99.94465,100.5482,98.00409,98.60069,8.411283,16.49298,99.62903,99.29895
2000-10,98.99989,100.6407,97.66452,98.36311,8.270934,16.58243,99.54044,99.13621
2000-11,98.50001,100.7159,97.41423,98.188,8.185553,16.68862,99.43066,98.93454
2000-12,98.88747,100.7765,97.22118,98.05293,8.1187,16.80648,99.30993,98.71276
2001-01,99.64309,100.8171,97.07548,97.951,8.063717,16.93463,99.19362,98.49911
2001-02,100.0434,100.8407,96.99498,97.89468,8.071174,17.07652,99.1007,98.32841
2001-03,99.55013,100.8929,96.96852,97.87617,8.168905,17.23056,99.01531,98.17155
2001-04,98.55447,100.9632,96.94584,97.8603,8.361071,17.38809,98.92696,98.00925
2001-05,97.58265,101.0082,96.88994,97.82119,8.608715,17.54252,98.83109,97.83315
2001-06,97.00343,101.0713,96.8084,97.76414,8.89939,17.69514,98.72726,97.64242
2001-07,96.71191,101.1238,96.71496,97.69877,9.26136,17.84844,98.6174,97.44061
2001-08,96.56563,101.0778,96.65341,97.65571,9.722638,18.0106,98.50585,97.23569
2001-09,96.53302,100.9993,96.65823,97.65908,10.27944,18.18836,98.39654,97.03488
2001-10,96.6965,100.9266,96.75024,97.72345,10.87719,18.38613,98.29474,96.84786
2001-11,97.28513,100.8725,96.9274,97.8474,11.47783,18.60411,98.20942,96.69114
2001-12,98.51109,100.8595,97.16499,98.01362,12.08827,18.83809,98.15033,96.58259
2002-01,99.98113,100.8595,97.43733,98.20416,12.68922,19.08351,98.12519,96.53642
2002-02,101.1879,100.8834,97.74927,98.4224,13.26444,19.34163,98.14136,96.56611
2002-03,101.7573,100.9048,98.10416,98.6707,13.82962,19.61349,98.20146,96.67652
2002-04,101.9591,100.912,98.44278,98.90761,14.37418,19.88749,98.2887,96.83678
2002-05,102.1376,100.9246,98.74833,99.12138,14.922,20.16021,98.387,97.01735
2002-06,102.5095,100.9483,99.02287,99.31346,15.46658,20.43197,98.48669,97.20047
2002-07,102.986,100.9626,99.26485,99.48276,15.98961,20.70233,98.58751,97.38569
2002-08,103.3728,100.9725,99.49179,99.64153,16.45849,20.97487,98.68909,97.57228
2002-09,103.4665,100.9945,99.73019,99.80832,16.86162,21.25521,98.79148,97.76038
2002-10,103.2398,101.0469,99.98792,99.98864,17.18191,21.54522,98.89238,97.94572
2002-11,102.6051,101.1275,100.2616,100.1801,17.41691,21.84437,98.99107,98.12703
2002-12,101.498,101.199,100.5162,100.3583,17.55529,22.14517,99.08584,98.30112
2003-01,100.3686,101.1847,100.735,100.5113,17.60834,22.44379,99.17093,98.45742
2003-02,99.85773,100.8589,100.9253,100.6444,17.57906,22.74171,99.23708,98.57894
2003-03,100.495,99.93679,101.0978,100.7652,17.47645,23.04123,99.29813,98.69109
2003-04,101.7785,98.43873,101.2235,100.8531,17.33781,23.33554,99.36768,98.81885
2003-05,103.1125,97.53611,101.285,100.8961,17.16302,23.62031,99.45692,98.9828
2003-06,104.0969,97.67184,101.3137,100.9162,16.98567,23.90248,99.5705,99.19142
2003-07,104.7688,98.32439,101.326,100.9248,16.82584,24.18567,99.70403,99.43672
2003-08,105.1898,98.97269,101.3471,100.9396,16.69176,24.47595,99.85159,99.70779
2003-09,105.3466,99.43028,101.3898,100.9694,16.56647,24.77645,100.007,99.99324
2003-10,105.3029,99.76633,101.4429,101.0066,16.42801,25.08467,100.1632,100.2802
2003-11,105.042,99.99981,101.4935,101.042,16.26571,25.39751,100.3084,100.547
2003-12,104.5111,100.1809,101.504,101.0493,16.07679,25.70541,100.4289,100.7684
2004-01,103.8816,100.2715,101.4542,101.0145,15.85762,26.00285,100.5103,100.9178
2004-02,103.3649,100.2674,101.3617,100.9498,15.61966,26.29388,100.5384,100.9695
2004-03,103.1263,100.1461,101.2083,100.8424,15.32932,26.57329,100.502,100.9026
2004-04,103.0858,99.79469,101.0015,100.6978,15.02857,26.84254,100.4223,100.7561
2004-05,103.1568,99.20734,100.7866,100.5474,14.78794,27.11327,100.3213,100.5706
2004-06,103.2869,98.68456,100.6274,100.436,14.64401,27.40276,100.2207,100.3859
2004-07,103.3865,98.50991,100.5319,100.3693,14.58769,27.7138,100.1334,100.2254
2004-08,103.3419,98.52395,100.4848,100.3363,14.57256,28.04272,100.0618,100.0939
2004-09,103.0591,98.67838,100.4565,100.3165,14.5511,28.3817,100.0033,99.98653
2004-10,102.6511,98.90813,100.416,100.2881,14.50037,28.72204,99.95537,99.89843
2004-11,102.2915,99.16681,100.3646,100.2522,14.43658,29.06405,99.91376,99.82199
2004-12,102.1936,99.38652,100.2963,100.2044,14.39533,29.40578,99.87773,99.75581
2005-01,102.54,99.56092,100.2262,100.1554,14.41675,29.75161,99.84799,99.70117
2005-02,103.1515,99.71516,100.1781,100.1217,14.50802,30.1086,99.82707,99.66275
2005-03,103.7419,99.84536,100.1742,100.119,14.7159,30.48379,99.82318,99.6556
2005-04,103.1342,99.91624,100.2043,100.14,15.02086,30.87452,99.83289,99.67344
2005-05,101.5905,99.92058,100.2535,100.1744,15.35506,31.27653,99.85262,99.70968
2005-06,100.3888,99.92226,100.3163,100.2184,15.63909,31.6883,99.88441,99.76809
2005-07,100.1039,99.9001,100.3656,100.2529,15.83161,32.10135,99.92921,99.85036
2005-08,100.7783,99.86002,100.3838,100.2656,15.92935,32.50974,99.98086,99.94524
2005-09,101.6925,99.7813,100.3664,100.2534,15.96097,32.91169,100.0319,100.039
2005-10,101.978,99.69463,100.3397,100.2348,15.99249,33.31541,100.0771,100.122
2005-11,101.8506,99.68494,100.3285,100.2269,16.05102,33.72912,100.1116,100.1854
2005-12,101.4651,99.75031,100.345,100.2385,16.15785,34.15712,100.1354,100.2292
2006-01,101.044,99.77371,100.3951,100.2735,16.3022,34.60178,100.1548,100.2648
2006-02,101.4334,99.72337,100.4827,100.3348,16.46121,35.06485,100.1811,100.3132
2006-03,102.6361,99.70518,100.6063,100.4213,16.60711,35.54626,100.1998,100.3474
2006-04,103.4216,99.67154,100.758,100.5274,16.74241,36.04366,100.2132,100.3721
2006-05,102.8717,99.66721,100.9033,100.629,16.84431,36.54485,100.2241,100.3921
2006-06,101.9985,99.71118,101.0075,100.702,16.87924,37.03704,100.2371,100.416
2006-07,101.4614,99.80099,101.0679,100.7442,16.87557,37.51863,100.258,100.4543
2006-08,101.8387,99.9826,101.1319,100.789,16.90888,38.00677,100.2938,100.5201
2006-09,102.7054,100.2226,101.2575,100.8769,17.05127,38.52356,100.3492,100.622
2006-10,102.8568,100.4013,101.4762,101.0299,17.30879,39.08191,100.4264,100.7638
2006-11,102.7903,100.5508,101.7983,101.2552,17.66432,39.68715,100.523,100.9412
2006-12,102.5796,100.6383,102.2031,101.5385,18.07944,40.33254,100.6322,101.1418
2007-01,102.456,100.5684,102.6736,101.8677,18.52699,41.01244,100.7456,101.35
