country,CZE,CZE
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1993-02,94.98253,
1993-03,94.5043,
1993-04,94.26891,
1993-05,94.18771,
1993-06,94.58114,
1993-07,95.35475,
1993-08,95.62682,
1993-09,96.00721,
1993-10,96.22014,
1993-11,96.13426,
1993-12,96.24445,
1994-01,96.41035,
1994-02,96.63033,
1994-03,96.87566,
1994-04,97.27041,
1994-05,97.82516,
1994-06,98.5685,
1994-07,98.9081,
1994-08,99.03455,
1994-09,99.16082,
1994-10,99.64839,
1994-11,100.4389,
1994-12,100.9455,
1995-01,101.2622,100.4912
1995-02,101.6154,100.3891
1995-03,101.9416,100.2138
1995-04,101.7872,99.96551
1995-05,101.5396,99.89317
1995-06,100.7084,100.0299
1995-07,100.4885,100.3319
1995-08,100.5285,100.5423
1995-09,100.4767,100.6906
1995-10,100.2361,100.8155
1995-11,99.74196,100.9063
1995-12,99.4556,101.0226
1996-01,99.53198,101.159
1996-02,99.30622,101.2177
1996-03,98.88025,101.1626
1996-04,98.8854,101.0042
1996-05,99.22433,100.855
1996-06,99.2553,100.6428
1996-07,99.22153,100.3261
1996-08,99.694,100.1064
1996-09,100.4474,99.96536
1996-10,100.8296,99.81733
1996-11,100.8399,99.73972
1996-12,100.768,99.69766
1997-01,100.4042,99.57703
1997-02,100.0804,99.31565
1997-03,100.065,98.71195
1997-04,100.1083,97.73096
1997-05,100.4047,97.10795
1997-06,100.6231,96.7672
1997-07,101.211,96.5118
1997-08,101.9125,96.36439
1997-09,102.1072,96.24328
1997-10,101.9605,96.06529
1997-11,102.0188,95.93372
1997-12,101.9668,95.84839
1998-01,101.8324,95.79271
1998-02,101.5752,95.88582
1998-03,100.8211,96.21548
1998-04,99.66705,96.7895
1998-05,98.74027,97.20609
1998-06,98.43658,97.48354
1998-07,98.26836,97.71046
1998-08,97.94709,97.79064
1998-09,97.19379,97.75082
1998-10,96.08124,97.5937
1998-11,95.30317,97.42693
1998-12,94.86584,97.19679
1999-01,94.73983,96.81049
1999-02,94.91841,96.45536
1999-03,94.99623,96.24995
1999-04,95.71694,96.30946
1999-05,96.74817,96.39417
1999-06,97.81329,96.6297
1999-07,98.54438,96.59797
1999-08,99.10126,96.43849
1999-09,100.514,96.56816
1999-10,101.4524,97.12778
1999-11,102.1816,97.56269
1999-12,102.4026,97.84567
2000-01,102.2283,97.90832
2000-02,102.2992,97.84824
2000-03,102.6943,97.82185
2000-04,103.24,98.01535
2000-05,104.1245,98.24776
2000-06,104.595,98.37899
2000-07,104.1149,98.45621
2000-08,103.4719,98.64947
2000-09,103.3428,98.84026
2000-10,102.9575,98.96299
2000-11,102.3543,98.88108
2000-12,101.7969,98.75435
2001-01,101.6616,99.12099
2001-02,101.5428,99.68737
2001-03,101.6084,100.1201
2001-04,101.4773,100.2593
2001-05,101.0795,100.1319
2001-06,100.6823,100.1459
2001-07,100.7197,100.2383
2001-08,100.8,100.3506
2001-09,100.342,100.5373
2001-10,99.44239,100.8091
2001-11,99.05992,101.057
2001-12,99.47292,101.227
2002-01,100.0303,101.3612
2002-02,100.1699,101.5171
2002-03,100.3352,101.7002
2002-04,100.2774,102.0201
2002-05,100.3006,102.1066
2002-06,100.4146,101.9923
2002-07,100.5011,101.6927
2002-08,100.5366,101.2308
2002-09,100.5056,100.8254
2002-10,100.534,100.6402
2002-11,100.4777,100.6989
2002-12,100.5888,100.7586
2003-01,100.8775,100.8076
2003-02,101.1057,100.8059
2003-03,101.2571,100.7917
2003-04,101.3081,100.6606
2003-05,101.0766,100.4245
2003-06,100.6768,100.2318
2003-07,100.308,100.0012
2003-08,100.1494,99.90481
2003-09,100.3708,99.84069
2003-10,100.997,99.3735
2003-11,101.6016,99.09083
2003-12,101.7336,98.84232
2004-01,101.6604,98.62395
2004-02,101.5828,98.40315
2004-03,101.6242,98.44859
2004-04,101.7188,98.77119
2004-05,101.8435,99.30145
2004-06,102.071,99.67828
2004-07,102.1294,100.0333
2004-08,102.2059,99.9455
2004-09,102.4044,99.77984
2004-10,102.5427,99.86125
2004-11,102.7118,100.2393
2004-12,102.6745,100.7184
2005-01,102.3277,101.0363
2005-02,101.8242,101.1652
2005-03,101.3718,101.1722
2005-04,101.1897,101.2681
2005-05,101.2872,101.4223
2005-06,101.3931,101.6231
2005-07,101.49,101.634
2005-08,101.4345,101.4398
2005-09,101.534,101.3242
2005-10,101.8444,101.3737
2005-11,102.0704,101.593
2005-12,102.245,101.6772
2006-01,102.2504,101.8842
2006-02,102.1277,102.0151
2006-03,102.0716,102.1425
2006-04,102.0476,102.1905
2006-05,102.1433,102.163
2006-06,102.2974,102.0967
2006-07,102.5197,101.9317
2006-08,102.6738,101.7791
2006-09,102.7394,101.7067
2006-10,103.0154,101.7135
2006-11,103.3181,101.7577
2006-12,103.4208,101.8835
2007-01,103.2772,101.9537
2007-02,103.1294,101.9702
2007-03,103.1462,101.825
2007-04,103.2128,101.5958
2007-05,103.3776,101.5799
2007-06,103.4275,101.6097
2007-07,103.3758,101.6258
2007-08,103.3066,101.5583
2007-09,103.3008,101.154
2007-10,103.463,100.5126
2007-11,103.5901,99.75521
2007-12,103.6836,99.42104
2008-01,103.5687,99.7539
2008-02,103.2019,100.3904
2008-03,102.7641,100.8737
2008-04,102.4171,100.8861
2008-05,102.005,100.523
2008-06,101.5478,100.1471
2008-07,101.0016,100.239
2008-08,100.1682,100.436
2008-09,98.9252,100.3318
2008-10,97.44952,99.85853
2008-11,95.88109,99.32408
2008-12,94.26189,98.8161
2009-01,93.34657,98.58037
2009-02,93.10596,98.50388
2009-03,93.74765,98.86298
2009-04,94.79881,99.30821
2009-05,95.74859,99.70825
2009-06,96.51274,99.70477
2009-07,96.94691,99.6046
2009-08,97.17718,99.64807
2009-09,97.22908,99.57431
2009-10,97.04993,99.55822
2009-11,97.1095,99.68259
2009-12,97.54768,99.59775
2010-01,98.15699,99.51122
2010-02,98.74434,99.62638
2010-03,99.30066,99.85029
2010-04,100.1082,100.035
2010-05,100.7424,100.0877
2010-06,101.1162,100.0982
2010-07,101.3308,99.92992
2010-08,101.2806,99.60967
2010-09,101.133,99.27385
2010-10,101.2315,98.97589
2010-11,101.6748,98.86623
2010-12,102.1761,98.7327
2011-01,102.2095,98.62257
2011-02,101.7505,98.44147
2011-03,101.2849,98.10798
2011-04,100.9833,97.89075
2011-05,100.7465,97.6725
2011-06,100.6744,97.5237
2011-07,100.6721,97.60894
2011-08,100.5638,97.64501
2011-09,100.3475,97.52863
2011-10,100.1778,97.21126
2011-11,99.90725,96.63725
2011-12,99.65733,96.35085
2012-01,99.604,96.37686
2012-02,99.63846,96.41795
2012-03,99.71516,96.20736
2012-04,99.66997,96.11402
2012-05,99.45928,96.14993
2012-06,99.12094,96.50913
2012-07,98.75343,96.93022
2012-08,98.47523,97.18379
2012-09,98.20291,97.00787
2012-10,97.90827,96.65646
2012-11,97.74329,96.47386
2012-12,97.9348,96.48851
2013-01,98.10743,96.7516
2013-02,98.22884,97.36695
2013-03,98.22659,97.80457
2013-04,98.26669,98.04556
2013-05,98.33487,98.30038
2013-06,98.4701,98.50058
2013-07,98.73855,98.80143
2013-08,99.03519,99.20355
2013-09,99.40475,99.51939
2013-10,99.85042,99.68413
2013-11,100.1747,99.72944
2013-12,100.2075,99.68567
2014-01,100.1554,99.84837
2014-02,100.2109,100.1537
2014-03,100.3312,100.5728
2014-04,100.456,100.9176
2014-05,100.4924,101.0683
2014-06,100.4221,101.1407
2014-07,100.37,101.0681
2014-08,100.4005,101.0418
2014-09,100.4231,101.182
2014-10,100.3716,101.5424
2014-11,100.3291,101.903
2014-12,100.3691,102.1
2015-01,100.4086,102.089
2015-02,100.5259,101.9483
2015-03,100.7525,102.0014
2015-04,100.914,102.1333
2015-05,100.9928,102.2495
2015-06,101.0087,102.2342
2015-07,100.8979,102.1224
2015-08,100.6659,102.0943
2015-09,100.4344,102.185
2015-10,100.211,102.4021
2015-11,100.141,102.5682
2015-12,100.2893,102.661
2016-01,100.5206,102.736
2016-02,100.5829,102.6777
2016-03,100.5917,102.6152
2016-04,100.6944,102.5791
2016-05,100.7453,102.5417
2016-06,100.7927,102.4087
2016-07,100.9226,102.3014
2016-08,101.0425,102.4673
2016-09,101.0681,102.8302
2016-10,101.0764,103.0248
2016-11,101.1538,103.0813
2016-12,101.1356,103.0741
2017-01,100.9493,103.1108
2017-02,100.7384,103.0935
2017-03,100.5639,103.0166
2017-04,100.4686,102.9621
2017-05,100.4406,102.775
2017-06,100.5087,102.6304
2017-07,100.6228,102.5523
2017-08,100.8181,102.7366
2017-09,101.0369,103.1385
2017-10,101.2077,103.5339
2017-11,101.1102,103.7631
2017-12,100.8782,103.8037
2018-01,100.6762,103.8755
2018-02,100.6787,103.9539
2018-03,100.8722,104.0551
2018-04,100.9478,104.0018
2018-05,100.7805,103.8784
2018-06,100.5021,103.6393
2018-07,100.1623,103.3434
2018-08,100.0917,103.2149
2018-09,100.2522,103.3377
2018-10,100.3917,103.4054
2018-11,100.3681,103.4224
2018-12,100.1987,103.5475
2019-01,100.0213,103.5643
2019-02,99.90512,103.4021
2019-03,99.83929,103.1192
2019-04,99.617,102.8649
2019-05,99.3226,102.7161
2019-06,99.06959,102.6872
2019-07,98.97932,102.6777
2019-08,99.09715,102.6578
2019-09,99.29324,102.6995
2019-10,99.24998,102.7964
2019-11,99.10799,102.9555
2019-12,98.94099,103.0556
2020-01,98.58195,102.8223
2020-02,97.89542,102.1955
2020-03,96.37872,101.2285
2020-04,94.33258,100.18
2020-05,93.66216,100.1695
2020-06,94.55502,100.4602
2020-07,96.86725,100.6082
2020-08,98.6202,100.4617
2020-09,99.47737,100.1241
2020-10,99.62299,99.5219
2020-11,99.347,99.32077
2020-12,99.29934,99.61208
2021-01,99.33446,99.66829
2021-02,99.56947,99.61238
2021-03,99.73853,99.80459
2021-04,99.98933,100.475
2021-05,100.293,101.1972
2021-06,100.3829,101.599
2021-07,99.85065,101.5987
2021-08,99.17223,101.4934
2021-09,98.57706,101.09
2021-10,98.49482,100.2564
2021-11,98.99283,99.30247
2021-12,99.5425,98.96704
2022-01,99.95285,98.76508
2022-02,100.0524,98.25882
2022-03,99.80499,97.23743
2022-04,99.96838,96.55756
2022-05,100.3415,96.15675
2022-06,100.2747,95.91158
2022-07,99.72833,95.79337
2022-08,99.15008,95.86828
2022-09,98.61066,95.81388
2022-10,98.02434,95.82471
2022-11,97.8357,96.13182
2022-12,98.1955,96.74692
2023-01,98.74928,97.57859
2023-02,99.11973,98.12912
2023-03,99.34222,98.20022
2023-04,98.88395,98.2337
2023-05,98.06341,98.28234
2023-06,97.3719,98.44428
2023-07,97.30465,98.81435
2023-08,97.72604,99.14394
