country,CZE,CZE
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1995-Q1,,60.68806
1995-Q2,,60.92815
1995-Q3,,62.70669
1995-Q4,,62.22347
1996-Q1,4.980595,63.71069
1996-Q2,5.261257,64.13374
1996-Q3,2.810026,64.46877
1996-Q4,3.64624,64.49229
1997-Q1,0.7699043,64.20119
1997-Q2,-0.1218974,64.05556
1997-Q3,-1.21881,63.68301
1997-Q4,-1.560838,63.48566
1998-Q1,-1.12017,63.48203
1998-Q2,-0.6237318,63.65603
1998-Q3,-0.008012004,63.67791
1998-Q4,0.3681994,63.71942
1999-Q1,0.3947847,63.73265
1999-Q2,0.581592,64.02625
1999-Q3,1.470524,64.61431
1999-Q4,2.545412,65.34134
2000-Q1,3.88361,66.20778
2000-Q2,4.394055,66.8396
2000-Q3,4.787302,67.70759
2000-Q4,4.114239,68.02964
2001-Q1,3.970532,68.83658
2001-Q2,3.226307,68.99605
2001-Q3,2.343112,69.29405
2001-Q4,2.61321,69.8074
2002-Q1,1.211199,69.67033
2002-Q2,1.483646,70.01971
2002-Q3,1.690924,70.46577
2002-Q4,1.612336,70.93293
2003-Q1,2.887061,71.68176
2003-Q2,3.450546,72.43577
2003-Q3,3.901196,73.21478
2003-Q4,4.056062,73.81001
2004-Q1,4.066412,74.59663
2004-Q2,4.254501,75.51755
2004-Q3,4.642724,76.61393
2004-Q4,5.738385,78.04552
2005-Q1,6.420981,79.38646
2005-Q2,6.728711,80.59891
2005-Q3,6.772387,81.80253
2005-Q4,6.752209,83.31531
2006-Q1,6.879772,84.84807
2006-Q2,7.319091,86.49801
2006-Q3,7.021426,87.54623
2006-Q4,6.495767,88.72728
2007-Q1,6.3613,90.24551
2007-Q2,5.179186,90.97791
2007-Q3,5.380822,92.25694
2007-Q4,5.333857,93.45986
2008-Q1,4.048971,93.89953
2008-Q2,3.955256,94.57632
2008-Q3,2.767977,94.81059
2008-Q4,-0.5590728,92.93736
2009-Q1,-4.339281,89.82496
2009-Q2,-5.386292,89.48215
2009-Q3,-5.168393,89.9104
2009-Q4,-3.190543,89.97215
2010-Q1,0.8526157,90.59082
2010-Q2,2.474578,91.69646
2010-Q3,2.734126,92.36867
2010-Q4,3.123835,92.78273
2011-Q1,3.006467,93.31441
2011-Q2,2.088884,93.61189
2011-Q3,1.158038,93.43833
2011-Q4,0.8107091,93.53493
2012-Q1,0.06626285,93.37624
2012-Q2,-0.7865301,92.87561
2012-Q3,-0.9610642,92.54033
2012-Q4,-1.184557,92.42696
2013-Q1,-1.437091,92.03434
2013-Q2,-0.5420117,92.37222
2013-Q3,0.2471766,92.76907
2013-Q4,1.58228,93.8894
2014-Q1,1.456916,93.3752
2014-Q2,2.030725,94.24804
2014-Q3,2.80201,95.36846
2014-Q4,2.739837,96.46182
2015-Q1,5.262568,98.28913
2015-Q2,5.703999,99.62395
2015-Q3,5.726486,100.8297
2015-Q4,5.148503,101.4282
2016-Q1,3.356089,101.5878
2016-Q2,2.309209,101.9245
2016-Q3,1.991871,102.8381
2016-Q4,2.172213,103.6314
2017-Q1,3.695055,105.3415
2017-Q2,5.915503,107.9538
2017-Q3,5.851679,108.8559
2017-Q4,5.895675,109.7412
2018-Q1,4.740865,110.3356
2018-Q2,2.821316,110.9995
2018-Q3,2.695851,111.7905
2018-Q4,2.619966,112.6164
2019-Q1,2.9979,113.6434
2019-Q2,3.071201,114.4086
2019-Q3,3.029281,115.1769
2019-Q4,2.768091,115.7337
2020-Q1,-1.462892,111.9809
2020-Q2,-10.78289,102.072
2020-Q3,-5.216009,109.1693
2020-Q4,-4.596123,110.4144
2021-Q1,-1.907428,109.8449
2021-Q2,9.129343,111.3905
2021-Q3,3.768062,113.2829
2021-Q4,3.466714,114.2422
2022-Q1,4.910777,115.2392
2022-Q2,3.662024,115.4697
