country,EST,EST
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1992-04,95.13926,
1992-05,93.63213,
1992-06,91.27905,
1992-07,87.96082,
1992-08,86.63819,
1992-09,87.87545,
1992-10,91.13026,89.09986
1992-11,93.81179,89.09827
1992-12,96.03278,89.10118
1993-01,98.22345,89.08702
1993-02,99.04169,89.0374
1993-03,98.40006,88.88686
1993-04,96.84452,88.60474
1993-05,96.06467,88.34567
1993-06,96.11776,88.15216
1993-07,96.70071,88.18137
1993-08,97.3596,88.86651
1993-09,98.15362,90.79099
1993-10,99.16034,93.97108
1993-11,99.84573,95.89925
1993-12,100.3545,96.60719
1994-01,100.8905,96.6733
1994-02,101.4372,96.51472
1994-03,102.174,96.25683
1994-04,103.1259,95.924
1994-05,103.5256,95.72975
1994-06,103.1908,95.6367
1994-07,102.2236,95.61526
1994-08,101.6079,95.67228
1994-09,101.3209,95.8403
1994-10,101.1465,96.12049
1994-11,101.1914,96.28249
1994-12,101.4364,96.35695
1995-01,101.8884,96.47359
1995-02,102.1055,96.88331
1995-03,102.1231,97.87376
1995-04,101.9748,99.48842
1995-05,101.838,100.4717
1995-06,101.6255,100.8725
1995-07,101.2854,100.9645
1995-08,101.0796,100.877
1995-09,100.9723,100.6324
1995-10,100.9341,100.2656
1995-11,100.9838,100.1007
1995-12,101.1281,100.1519
1996-01,101.2465,100.3206
1996-02,100.9793,100.3444
1996-03,99.97055,100.0787
1996-04,98.20083,99.50574
1996-05,97.1272,99.0321
1996-06,96.69472,98.58048
1996-07,96.57417,98.06346
1996-08,96.79139,97.86724
1996-09,97.35564,98.01628
1996-10,98.27206,98.46613
1996-11,98.94456,98.7934
1996-12,99.49098,99.03384
1997-01,100.0704,99.22636
1997-02,100.4354,99.26915
1997-03,100.6322,99.08136
1997-04,100.7341,98.68909
1997-05,100.8747,98.41324
1997-06,101.0799,98.26349
1997-07,101.3575,98.21423
1997-08,101.5904,98.32207
1997-09,101.8162,98.67854
1997-10,102.061,99.30215
1997-11,102.2766,99.7177
1997-12,102.5233,99.97465
1998-01,102.8519,100.1673
1998-02,102.9261,100.2424
1998-03,102.7114,100.1923
1998-04,102.2365,100.0772
1998-05,102.0377,100.0104
1998-06,102.0917,100.0481
1998-07,102.2439,100.16
1998-08,101.9248,100.1263
1998-09,100.7852,99.84515
1998-10,98.78581,99.30175
1998-11,97.40251,98.8816
1998-12,96.4735,98.49718
1999-01,95.58276,98.04029
1999-02,95.15306,97.7987
1999-03,95.10532,97.68938
1999-04,95.38665,97.62897
1999-05,95.82134,97.48202
1999-06,96.58416,97.18586
1999-07,97.76573,96.76872
1999-08,98.60969,96.6781
1999-09,99.21887,97.00651
1999-10,99.8098,97.6787
1999-11,100.0051,97.99445
1999-12,99.81755,97.85613
2000-01,99.29106,97.35643
2000-02,99.04884,97.0454
2000-03,99.1464,96.91681
2000-04,99.51075,96.91232
2000-05,100.0068,97.01794
2000-06,100.5326,97.30068
2000-07,101.1464,97.77077
2000-08,101.6727,98.00227
2000-09,102.2034,97.95097
2000-10,102.7693,97.65855
2000-11,103.2682,97.40041
2000-12,103.7523,97.14093
2001-01,104.0932,96.85603
2001-02,103.925,96.79259
2001-03,103.2217,97.20602
2001-04,102.0388,98.48805
2001-05,101.4467,100.7856
2001-06,101.3989,102.3321
2001-07,101.4554,103.0107
2001-08,101.5196,103.065
2001-09,101.4212,102.5175
2001-10,101.2453,101.6621
2001-11,101.2997,101.0646
2001-12,101.4704,101.0335
2002-01,101.8566,101.6699
2002-02,102.6324,102.5444
2002-03,103.4311,103.2845
2002-04,103.6853,103.8592
2002-05,103.7968,104.3539
2002-06,103.8655,104.6215
2002-07,104.004,104.6245
2002-08,104.2694,104.5543
2002-09,104.59,104.4411
2002-10,104.6645,104.289
2002-11,104.3954,104.4148
2002-12,104.0779,104.5691
2003-01,103.8148,104.7123
2003-02,103.4414,104.6675
2003-03,102.9514,104.6208
2003-04,102.4121,104.458
2003-05,102.1253,104.2943
2003-06,102.3795,103.9604
2003-07,102.9163,103.7465
2003-08,103.234,103.6412
2003-09,103.3963,103.5129
2003-10,103.4193,103.1833
2003-11,103.1743,102.7161
2003-12,102.8251,102.1358
2004-01,102.6457,101.797
2004-02,102.6479,101.4204
2004-03,102.859,101.2356
2004-04,103.3199,101.0703
2004-05,103.7751,100.9536
2004-06,103.8354,101.2486
2004-07,103.4745,101.6107
2004-08,103.1986,101.8834
2004-09,102.9955,102.1875
2004-10,102.513,102.5513
2004-11,102.2784,102.8965
2004-12,102.4424,102.8676
2005-01,102.915,102.8712
2005-02,103.2671,102.9459
2005-03,103.4395,103.1128
2005-04,103.4233,103.2042
2005-05,103.4486,103.5338
2005-06,103.4757,104.065
2005-07,103.7276,104.5317
2005-08,104.105,104.3582
2005-09,104.4923,104.0602
2005-10,104.8726,104.7736
2005-11,104.8744,105.3979
2005-12,104.7043,105.9392
2006-01,104.2587,106.4033
2006-02,104.0823,106.6404
2006-03,104.4345,106.8155
2006-04,104.9087,107.0417
2006-05,105.3594,107.1734
2006-06,106.0192,107.1274
2006-07,106.588,107.1056
2006-08,106.8865,107.0931
2006-09,106.9757,107.1701
2006-10,107.0235,107.2025
2006-11,107.1162,107.1189
2006-12,107.047,107.1036
2007-01,106.6499,107.2617
2007-02,106.3609,107.248
2007-03,106.0077,107.0426
2007-04,105.6558,106.6427
2007-05,105.2405,106.1716
2007-06,104.754,105.5696
2007-07,103.9068,104.776
2007-08,103.0398,103.8474
2007-09,102.4629,103.1079
2007-10,101.8776,102.4032
2007-11,101.1837,101.9363
2007-12,100.4738,101.5238
2008-01,99.97287,101.1264
2008-02,99.43505,100.9405
2008-03,98.74332,100.9251
2008-04,97.85654,100.6343
2008-05,96.97617,100.1015
2008-06,96.18604,99.58334
2008-07,95.5124,99.06169
2008-08,94.5982,98.66548
2008-09,93.47528,97.93646
2008-10,92.32999,97.2236
2008-11,91.24788,96.70554
2008-12,90.27604,96.20184
2009-01,89.52081,95.72327
2009-02,88.77412,95.2027
2009-03,88.49848,94.94144
2009-04,88.80164,95.06724
2009-05,89.41682,95.34477
2009-06,90.15443,95.46841
2009-07,90.94304,95.65406
2009-08,91.61697,96.12918
2009-09,92.24328,96.65732
2009-10,92.87453,97.02895
2009-11,93.64436,97.24178
2009-12,94.46438,97.29007
2010-01,95.17325,97.49923
2010-02,95.96356,97.73695
2010-03,96.86991,98.00898
2010-04,97.79897,98.44689
2010-05,98.50911,98.84278
2010-06,98.99401,99.27396
2010-07,99.59288,99.6105
2010-08,100.1118,99.82465
2010-09,100.603,99.87961
2010-10,101.2728,99.7731
2010-11,101.4977,99.93313
2010-12,101.682,100.1009
2011-01,101.6539,100.3623
2011-02,101.5649,100.4647
2011-03,101.4579,100.3284
2011-04,101.3563,99.91232
2011-05,101.2729,99.63979
2011-06,101.1798,99.59112
2011-07,100.928,99.42201
2011-08,100.603,98.95953
2011-09,100.3828,98.46782
2011-10,100.075,98.17688
2011-11,99.9284,97.93696
2011-12,99.62749,97.86378
2012-01,99.2926,97.96663
2012-02,99.19006,98.09272
2012-03,99.24666,98.21078
2012-04,99.21785,98.44595
2012-05,99.28745,98.67188
2012-06,99.60423,98.72644
2012-07,99.68728,98.6687
2012-08,99.58587,98.40242
2012-09,99.17296,97.83039
2012-10,98.80446,97.3783
2012-11,98.48515,97.63294
2012-12,98.40128,98.4742
2013-01,98.51786,99.23889
2013-02,98.76108,99.68281
2013-03,98.86884,100.0209
2013-04,98.86951,100.1937
2013-05,99.03979,100.1731
2013-06,99.018,99.98285
2013-07,99.01208,99.75109
2013-08,99.13226,99.73999
2013-09,99.29852,100.0299
2013-10,99.31726,100.4983
2013-11,99.17457,100.7553
2013-12,99.05018,100.9309
2014-01,99.09925,101.032
2014-02,98.92044,101.0882
2014-03,98.72099,101.2444
2014-04,98.67519,101.3504
2014-05,98.66435,101.3837
2014-06,98.68362,101.3121
2014-07,98.75435,101.3497
2014-08,98.77359,101.4167
2014-09,98.67306,101.3918
2014-10,98.69523,101.4637
2014-11,98.64069,101.7051
2014-12,98.40379,101.9365
2015-01,98.15847,101.9358
2015-02,98.03731,101.7859
2015-03,98.04868,101.6829
2015-04,98.19788,101.4417
2015-05,98.44299,101.0821
2015-06,98.54565,101.1661
2015-07,98.58073,101.3551
2015-08,98.43984,101.6133
2015-09,98.38699,101.6327
2015-10,98.54309,101.5406
2015-11,98.64353,101.2363
2015-12,98.73524,100.9338
2016-01,98.84656,100.6615
2016-02,98.92833,100.2425
2016-03,99.10356,100.3399
2016-04,99.19186,100.8467
2016-05,99.38741,101.3687
2016-06,99.67847,101.5864
2016-07,99.97991,101.7318
2016-08,100.3016,101.8228
2016-09,100.4799,102.0013
2016-10,100.5119,102.1196
2016-11,100.4434,102.3998
2016-12,100.5331,102.8639
2017-01,100.7967,103.1186
2017-02,101.2121,103.0824
2017-03,101.4887,102.9881
2017-04,101.8334,102.937
2017-05,102.0176,102.8633
2017-06,102.2469,102.9079
2017-07,102.3203,102.9445
2017-08,102.1556,102.7925
2017-09,102.1431,102.5993
2017-10,102.1285,102.5735
2017-11,102.0492,102.5015
2017-12,101.9156,102.2894
2018-01,101.7596,102.3562
2018-02,101.6698,102.6549
2018-03,101.6518,103.0243
2018-04,101.6527,103.1477
2018-05,101.6442,103.1495
2018-06,101.6224,103.2787
2018-07,101.5504,103.5208
2018-08,101.3797,103.5971
2018-09,101.2212,103.4636
2018-10,101.0564,103.2343
2018-11,100.8627,103.0897
2018-12,100.352,103.216
2019-01,99.75487,103.3699
2019-02,99.14977,103.3969
2019-03,98.69958,103.4315
2019-04,98.30477,103.3865
2019-05,97.92249,103.4344
2019-06,97.43623,103.4403
2019-07,96.97251,103.6544
2019-08,96.59959,103.8048
2019-09,96.36458,103.4952
2019-10,96.17409,103.3424
2019-11,96.06207,103.4504
2019-12,96.31474,103.5956
2020-01,96.5324,103.5048
2020-02,96.23006,102.9038
2020-03,94.29154,101.5755
2020-04,90.97829,99.67123
2020-05,90.03194,98.62055
2020-06,91.38819,97.9157
2020-07,93.567,98.2875
2020-08,95.43385,98.93256
2020-09,96.81021,99.23456
2020-10,97.95215,98.92408
2020-11,98.92873,98.0665
2020-12,99.85831,97.91981
2021-01,100.621,98.08924
2021-02,101.3076,98.21955
2021-03,102.1129,98.17976
2021-04,103.0756,98.22266
2021-05,104.0611,98.89584
2021-06,104.8484,99.96828
2021-07,105.3918,100.8843
2021-08,105.5585,101.5265
2021-09,105.7343,101.9113
2021-10,105.7371,101.1607
2021-11,105.5937,100.2728
2021-12,105.1098,99.68452
2022-01,104.3746,99.09731
2022-02,103.6213,98.54813
2022-03,102.9121,97.83754
2022-04,102.2676,96.69254
2022-05,101.4579,95.05848
2022-06,100.3513,93.5357
2022-07,99.06767,92.43761
2022-08,97.87096,91.60689
2022-09,96.91067,91.06272
2022-10,96.17133,91.38081
2022-11,95.54695,91.88685
2022-12,95.12086,92.43152
2023-01,94.90411,93.3674
2023-02,94.53954,94.65011
