country,EA19,EA19
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1973-01,,104.676
1973-02,,104.133
1973-03,,103.5087
1973-04,,102.8739
1973-05,,102.4116
1973-06,,102.1946
1973-07,,102.1241
1973-08,,102.0776
1973-09,,101.9648
1973-10,,101.6451
1973-11,,101.009
1973-12,,100.1721
1974-01,,99.41164
1974-02,,99.11655
1974-03,,99.12666
1974-04,,99.28362
1974-05,,99.34993
1974-06,,99.22764
1974-07,,98.97574
1974-08,,98.69929
1974-09,,98.45168
1974-10,,98.29172
1974-11,,98.34351
1974-12,,98.55322
1975-01,,98.87029
1975-02,,99.18994
1975-03,,99.46095
1975-04,,99.69794
1975-05,,99.8681
1975-06,,99.91055
1975-07,,99.91518
1975-08,,99.89704
1975-09,,99.90874
1975-10,,100.0619
1975-11,,100.4416
1975-12,,100.9786
1976-01,,101.4781
1976-02,,101.7249
1976-03,,101.746
1976-04,,101.6628
1976-05,,101.5747
1976-06,,101.5184
1976-07,,101.4745
1976-08,,101.4376
1976-09,,101.4165
1976-10,,101.4073
1976-11,,101.4595
1976-12,,101.5365
1977-01,,101.5759
1977-02,,101.4425
1977-03,,101.1327
1977-04,,100.7287
1977-05,,100.4749
1977-06,,100.504
1977-07,,100.7175
1977-08,,100.9509
1977-09,,101.199
1977-10,,101.4501
1977-11,,101.6531
1977-12,,101.8182
1978-01,,101.9119
1978-02,,101.9448
1978-03,,101.9462
1978-04,,101.9565
1978-05,,102.03
1978-06,,102.1689
1978-07,,102.3511
1978-08,,102.5783
1978-09,,102.8234
1978-10,,102.9768
1978-11,,103.0234
1978-12,,102.9564
1979-01,,102.8217
1979-02,,102.6703
1979-03,,102.522
1979-04,,102.3265
1979-05,,102.0979
1979-06,,101.8697
1979-07,,101.6756
1979-08,,101.4822
1979-09,,101.2602
1979-10,,101.005
1979-11,,100.6836
1979-12,,100.2721
1980-01,,99.80991
1980-02,,99.54725
1980-03,,99.42846
1980-04,,99.3675
1980-05,,99.32582
1980-06,,99.22863
1980-07,,99.14432
1980-08,,99.08197
1980-09,,98.9459
1980-10,,98.68584
1980-11,,98.36942
1980-12,,98.11831
1981-01,,97.87621
1981-02,,97.60464
1981-03,,97.37621
1981-04,,97.25784
1981-05,,97.19482
1981-06,,97.07172
1981-07,,96.93336
1981-08,,96.77321
1981-09,,96.78264
1981-10,,96.91319
1981-11,,97.07789
1981-12,,97.32059
1982-01,,97.61705
1982-02,,97.86871
1982-03,,98.10577
1982-04,,98.28655
1982-05,,98.34117
1982-06,,98.12857
1982-07,,97.66472
1982-08,,97.21338
1982-09,,96.83144
1982-10,,96.60844
1982-11,,96.56224
1982-12,,96.69989
1983-01,,97.1058
1983-02,,97.64622
1983-03,,98.14075
1983-04,,98.31098
1983-05,,98.25956
1983-06,,98.20424
1983-07,,98.18351
1983-08,,98.17877
1983-09,,98.12472
1983-10,,98.13219
1983-11,,98.28539
1983-12,,98.47927
1984-01,,98.59374
1984-02,,98.50283
1984-03,,98.31538
1984-04,,98.12829
1984-05,,98.02779
1984-06,,98.00783
1984-07,,98.18663
1984-08,,98.42235
1984-09,,98.63408
1984-10,,98.75669
1984-11,,98.93658
1984-12,,99.22902
1985-01,99.64649,99.62488
1985-02,99.37888,99.78584
1985-03,99.21513,99.78249
1985-04,99.21429,99.76385
1985-05,99.28959,99.70634
1985-06,99.34156,99.65853
1985-07,99.39098,99.68555
1985-08,99.48901,99.80396
1985-09,99.62991,100.0394
1985-10,99.72875,100.393
1985-11,99.74533,100.6625
1985-12,99.66105,100.9083
1986-01,99.57584,101.2402
1986-02,99.5465,101.4869
1986-03,99.53944,101.5992
1986-04,99.53573,101.5726
1986-05,99.55704,101.5045
1986-06,99.57481,101.4798
1986-07,99.58345,101.5257
1986-08,99.56376,101.6364
1986-09,99.49313,101.7274
1986-10,99.42202,101.7788
1986-11,99.41213,101.7447
1986-12,99.39944,101.6711
1987-01,99.31757,101.5887
1987-02,99.26183,101.4736
1987-03,99.32516,101.358
1987-04,99.4268,101.2189
1987-05,99.5328,101.0657
1987-06,99.63004,100.9664
1987-07,99.77159,100.9742
1987-08,99.97944,101.0579
1987-09,100.1597,101.1782
1987-10,100.2355,101.1761
1987-11,100.2312,101.1049
1987-12,100.2159,101.0904
1988-01,100.2696,101.1203
1988-02,100.3855,101.1996
1988-03,100.5292,101.2923
1988-04,100.7121,101.3554
1988-05,100.9239,101.3309
1988-06,101.1383,101.3087
1988-07,101.3096,101.3535
1988-08,101.4989,101.5268
1988-09,101.7213,101.7573
1988-10,101.9085,101.9786
1988-11,101.9701,102.0966
1988-12,101.9655,102.0786
1989-01,101.948,101.9772
1989-02,101.9317,101.8348
1989-03,101.8896,101.7004
1989-04,101.8841,101.6028
1989-05,101.9381,101.5994
1989-06,101.9841,101.7333
1989-07,101.9615,101.8949
1989-08,101.8842,102.0274
1989-09,101.8064,102.163
1989-10,101.7865,102.2617
1989-11,101.7943,102.3307
1989-12,101.7499,102.3818
1990-01,101.6676,102.3626
1990-02,101.5674,102.3032
1990-03,101.5009,102.2221
1990-04,101.4053,102.1859
1990-05,101.2836,102.1359
1990-06,101.1867,102.0938
1990-07,101.1076,101.9576
1990-08,101.0225,101.6002
1990-09,100.931,101.0618
1990-10,100.7527,100.7944
1990-11,100.494,100.7591
1990-12,100.1051,100.6652
1991-01,99.5682,100.4292
1991-02,99.116,100.3818
1991-03,98.86077,100.5716
1991-04,98.77335,100.6706
1991-05,98.74924,100.6331
1991-06,98.7339,100.3978
1991-07,98.70898,100.0959
1991-08,98.66984,99.97463
1991-09,98.59366,100.05
1991-10,98.55432,100.1143
1991-11,98.51479,100.1416
1991-12,98.46103,100.1103
1992-01,98.44151,100.0322
1992-02,98.41289,99.98399
1992-03,98.33523,99.84595
1992-04,98.21949,99.63309
1992-05,98.09171,99.46343
1992-06,97.88167,99.37533
1992-07,97.55071,99.27097
1992-08,97.13147,99.0328
1992-09,96.6237,98.6843
1992-10,96.09188,98.3457
1992-11,95.66213,98.07362
1992-12,95.39187,97.86069
1993-01,95.26437,97.73793
1993-02,95.251,97.73344
1993-03,95.28723,97.79729
1993-04,95.30505,97.91903
1993-05,95.34801,97.89432
1993-06,95.40209,97.7401
1993-07,95.50408,97.66285
1993-08,95.74425,97.67577
1993-09,96.0887,97.70434
1993-10,96.47972,97.68645
1993-11,96.86977,97.71339
1993-12,97.22775,97.87811
1994-01,97.65977,98.10709
1994-02,98.12685,98.47594
1994-03,98.59947,98.95225
1994-04,99.04447,99.50712
1994-05,99.38763,100.0345
1994-06,99.69302,100.4182
1994-07,100.0279,100.6259
1994-08,100.3845,100.778
1994-09,100.7612,100.8833
1994-10,101.1087,100.8845
1994-11,101.3506,100.8078
1994-12,101.4902,100.7042
1995-01,101.5196,100.6144
1995-02,101.4694,100.5582
1995-03,101.3039,100.5686
1995-04,101.0846,100.6629
1995-05,100.8328,100.7754
1995-06,100.5602,100.8053
1995-07,100.2931,100.7293
1995-08,100.0048,100.5725
1995-09,99.71229,100.3427
1995-10,99.46211,100.1024
1995-11,99.18738,99.88786
1995-12,98.86349,99.66657
1996-01,98.49907,99.49561
1996-02,98.17605,99.4036
1996-03,97.97893,99.39214
1996-04,97.90156,99.38649
1996-05,97.89295,99.41666
1996-06,97.95351,99.42522
1996-07,98.08692,99.40662
1996-08,98.27739,99.42697
1996-09,98.48869,99.41657
1996-10,98.68185,99.37556
1996-11,98.79298,99.3561
1996-12,98.95636,99.41866
1997-01,99.22311,99.51008
1997-02,99.43554,99.51408
1997-03,99.60376,99.52724
1997-04,99.7878,99.60069
1997-05,100.024,99.75517
1997-06,100.2923,99.96407
1997-07,100.5639,100.1969
1997-08,100.7978,100.4362
1997-09,101.0287,100.6148
1997-10,101.1706,100.6867
1997-11,101.2407,100.7037
1997-12,101.3113,100.6859
1998-01,101.3646,100.7186
1998-02,101.3732,100.8285
1998-03,101.3605,100.9792
1998-04,101.2595,101.0743
1998-05,101.1333,101.2025
1998-06,101.0309,101.3446
1998-07,100.8291,101.5279
1998-08,100.4861,101.6279
1998-09,100.0358,101.7215
1998-10,99.58975,101.8455
1998-11,99.31461,101.9323
1998-12,99.14028,101.9389
1999-01,98.99731,101.9025
1999-02,98.91543,101.7638
1999-03,98.90174,101.5166
1999-04,98.96577,101.2897
1999-05,99.13318,101.1992
1999-06,99.41962,101.2634
1999-07,99.75784,101.4095
1999-08,100.1086,101.5785
1999-09,100.4819,101.7771
1999-10,100.8324,102.0215
1999-11,101.1017,102.1958
1999-12,101.2848,102.3155
2000-01,101.4445,102.4107
2000-02,101.6602,102.4338
2000-03,101.8688,102.4191
2000-04,102.0079,102.3748
2000-05,102.1104,102.3258
2000-06,102.1465,102.2454
2000-07,102.1288,102.2169
2000-08,102.0957,102.1185
2000-09,102.0531,101.9345
2000-10,101.9697,101.9386
2000-11,101.8385,102.0578
2000-12,101.6278,102.1515
2001-01,101.3181,102.1466
2001-02,100.9041,102.0282
2001-03,100.4401,101.8728
2001-04,100.0183,101.6561
2001-05,99.74141,101.4367
2001-06,99.51956,101.2334
2001-07,99.29092,101.075
2001-08,98.94057,100.9214
2001-09,98.47251,100.7933
2001-10,98.15181,100.728
2001-11,98.12131,100.7383
2001-12,98.34394,100.8495
2002-01,98.61432,100.9472
2002-02,98.94151,100.9496
2002-03,99.22192,100.8505
2002-04,99.40399,100.6602
2002-05,99.51053,100.5053
2002-06,99.45663,100.3381
2002-07,99.34042,100.2046
2002-08,99.26996,100.0442
2002-09,99.27132,99.88006
2002-10,99.26443,99.64025
2002-11,99.25095,99.32172
2002-12,99.2076,99.00411
2003-01,99.15644,98.77269
2003-02,99.07578,98.61193
2003-03,98.91346,98.55228
2003-04,98.76216,98.66122
2003-05,98.6433,98.84869
2003-06,98.60156,99.04068
2003-07,98.71027,99.16136
2003-08,98.98065,99.19543
2003-09,99.2721,99.23697
2003-10,99.55151,99.31412
2003-11,99.75316,99.40402
2003-12,99.80208,99.44049
2004-01,99.82861,99.47842
2004-02,99.87349,99.54429
2004-03,99.97488,99.54172
2004-04,100.1424,99.46819
2004-05,100.2747,99.41763
2004-06,100.3323,99.42788
2004-07,100.338,99.47469
2004-08,100.3382,99.54623
2004-09,100.3591,99.62465
2004-10,100.3687,99.67091
2004-11,100.3129,99.68781
2004-12,100.2192,99.75839
2005-01,100.0637,99.85954
2005-02,99.84514,99.90443
2005-03,99.58978,99.8392
2005-04,99.38032,99.65459
2005-05,99.28973,99.42287
2005-06,99.36375,99.28471
2005-07,99.57895,99.25692
2005-08,99.8255,99.31409
2005-09,100.0704,99.3599
2005-10,100.2811,99.45251
2005-11,100.4267,99.61748
2005-12,100.5888,99.89642
2006-01,100.7784,100.1256
2006-02,101.0,100.2221
2006-03,101.2143,100.2656
2006-04,101.4187,100.2888
2006-05,101.5657,100.2622
2006-06,101.6798,100.2405
2006-07,101.7488,100.3045
2006-08,101.8178,100.3845
2006-09,101.9575,100.4797
2006-10,102.1011,100.5774
2006-11,102.2074,100.6996
2006-12,102.2491,100.8334
2007-01,102.2206,100.8937
2007-02,102.2093,100.9849
2007-03,102.1977,101.0863
2007-04,102.1686,101.1871
2007-05,102.1168,101.2979
2007-06,102.0411,101.2932
2007-07,101.9383,101.1683
2007-08,101.8417,100.8743
2007-09,101.7726,100.5278
2007-10,101.7608,100.1961
2007-11,101.7815,99.81987
2007-12,101.7105,99.51688
2008-01,101.5491,99.25128
2008-02,101.344,99.0803
2008-03,101.1218,98.91107
2008-04,100.8286,98.61514
2008-05,100.5152,98.14111
2008-06,100.1566,97.58455
2008-07,99.75755,97.26636
2008-08,99.25719,97.30016
2008-09,98.51169,97.37355
2008-10,97.41635,97.25129
2008-11,96.15913,97.09751
2008-12,95.10515,96.91976
2009-01,94.50246,96.80753
2009-02,94.15491,96.74264
2009-03,94.1195,96.85274
2009-04,94.42945,97.19364
2009-05,94.90269,97.61092
2009-06,95.4373,98.04903
2009-07,96.01123,98.50137
2009-08,96.60181,98.93967
2009-09,97.10368,99.34197
2009-10,97.51401,99.62177
2009-11,97.80889,99.73441
2009-12,98.06287,99.70813
2010-01,98.32429,99.53145
2010-02,98.62621,99.26421
2010-03,99.02769,99.04474
2010-04,99.44427,98.84832
2010-05,99.77632,98.56543
2010-06,100.0411,98.50896
2010-07,100.3054,98.79282
2010-08,100.5348,99.19056
2010-09,100.726,99.44496
2010-10,100.905,99.54861
2010-11,101.068,99.57423
2010-12,101.2672,99.45802
2011-01,101.4294,99.31315
2011-02,101.5158,99.20686
2011-03,101.5492,99.05099
2011-04,101.4896,98.90602
2011-05,101.3146,98.85442
2011-06,101.0598,98.83471
2011-07,100.7102,98.69305
2011-08,100.3225,98.37254
2011-09,99.977,98.08311
2011-10,99.74986,97.8873
2011-11,99.58498,97.82003
2011-12,99.52142,97.77367
2012-01,99.5365,97.79131
2012-02,99.5338,97.88702
2012-03,99.46045,97.94351
2012-04,99.32878,97.87068
2012-05,99.13829,97.77528
2012-06,98.95057,97.69455
2012-07,98.75814,97.57867
2012-08,98.59653,97.39966
2012-09,98.4529,97.21078
2012-10,98.35191,97.12772
2012-11,98.4427,97.09351
2012-12,98.60785,97.13125
2013-01,98.77001,97.29342
2013-02,98.897,97.4264
2013-03,98.89634,97.48869
2013-04,98.86674,97.531
2013-05,98.94736,97.5774
2013-06,99.13933,97.75265
2013-07,99.39532,98.03788
2013-08,99.71148,98.37803
2013-09,99.96592,98.67918
2013-10,100.1513,98.8358
2013-11,100.2719,98.96659
2013-12,100.347,99.11651
2014-01,100.4041,99.29556
2014-02,100.4419,99.47018
2014-03,100.4484,99.63855
2014-04,100.401,99.74075
2014-05,100.2981,99.80125
2014-06,100.1687,99.79847
2014-07,100.0805,99.71728
2014-08,99.98531,99.5518
2014-09,99.9214,99.44313
2014-10,99.93782,99.44917
2014-11,100.0072,99.54025
2014-12,100.0661,99.79089
2015-01,100.1914,100.204
2015-02,100.3715,100.6579
2015-03,100.5508,100.9457
2015-04,100.6202,100.9711
2015-05,100.616,100.828
2015-06,100.594,100.6625
2015-07,100.5767,100.5609
2015-08,100.5566,100.6028
2015-09,100.5512,100.7078
2015-10,100.5284,100.8486
2015-11,100.5068,101.0017
2015-12,100.5026,101.0923
2016-01,100.4754,101.0383
2016-02,100.4462,100.858
2016-03,100.4488,100.6674
2016-04,100.4457,100.5779
2016-05,100.4384,100.5474
2016-06,100.4524,100.5553
2016-07,100.468,100.5477
2016-08,100.5205,100.571
2016-09,100.6653,100.6664
2016-10,100.8122,100.8465
2016-11,100.9398,101.0285
2016-12,101.0998,101.1365
2017-01,101.252,101.1453
2017-02,101.3878,101.0858
2017-03,101.4918,101.1209
2017-04,101.6138,101.2094
2017-05,101.746,101.3251
2017-06,101.8901,101.4814
2017-07,102.02,101.6154
2017-08,102.1456,101.7148
2017-09,102.3339,101.8248
2017-10,102.5087,101.9766
2017-11,102.6206,102.1066
2017-12,102.6622,102.1863
2018-01,102.6128,102.1492
2018-02,102.4723,102.009
2018-03,102.3298,101.8401
2018-04,102.2579,101.6915
2018-05,102.1713,101.5581
2018-06,102.088,101.5014
2018-07,101.9703,101.4713
2018-08,101.8832,101.4197
2018-09,101.8287,101.3588
2018-10,101.7382,101.328
2018-11,101.6027,101.2285
2018-12,101.3548,101.1089
2019-01,101.0618,101.0947
2019-02,100.7944,101.1124
2019-03,100.5416,101.1298
2019-04,100.3078,101.11
2019-05,100.1388,101.107
2019-06,99.90105,101.088
2019-07,99.69701,101.0771
2019-08,99.59193,101.0336
2019-09,99.47737,101.0321
2019-10,99.46003,101.0516
2019-11,99.56011,101.0905
2019-12,99.69083,101.0618
2020-01,99.69077,100.8959
2020-02,99.09853,100.2862
2020-03,97.64472,98.96874
2020-04,95.93883,97.64211
2020-05,95.69321,97.53311
2020-06,96.52882,98.1624
2020-07,97.67757,98.697
2020-08,98.64149,98.98841
2020-09,99.27367,99.06623
2020-10,99.64683,98.93155
2020-11,99.85629,98.84653
2020-12,100.1387,99.04514
2021-01,100.4736,99.19652
2021-02,100.9436,99.47797
2021-03,101.514,99.97153
2021-04,102.0917,100.552
2021-05,102.5983,101.2979
2021-06,103.036,101.8541
2021-07,103.3591,101.9579
2021-08,103.509,101.844
2021-09,103.5837,101.7162
2021-10,103.6119,101.4096
2021-11,103.5916,100.9701
2021-12,103.5377,100.5658
2022-01,103.3892,100.0787
2022-02,103.1192,99.19772
2022-03,102.6757,97.82117
2022-04,102.3274,96.93793
2022-05,102.0851,96.47118
2022-06,101.8798,96.02045
2022-07,101.5406,95.611
2022-08,101.1884,95.40964
2022-09,100.9137,95.25822
2022-10,100.7501,95.49667
2022-11,100.7029,96.06881
2022-12,100.7802,96.65124
2023-01,100.8892,97.12688
2023-02,100.8719,97.48298
2023-03,100.7183,97.73112
