country,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,101.4668,101.1037,21.88565
1960-03,,,,,,,101.0925,100.7851,21.99082
1960-04,,,,,,,100.7274,100.4743,22.09651
1960-05,,,,,,,100.3841,100.1821,22.2027
1960-06,,,,,,,100.0759,99.91978,22.30942
1960-07,,,,,,,99.81165,99.69486,22.41666
1960-08,,,,,,,99.59825,99.51323,22.52444
1960-09,,,,,,,99.44041,99.37887,22.63275
1960-10,,,,,,,99.33647,99.29041,22.74162
1960-11,,,,,,,99.2827,99.24464,22.85103
1960-12,,,,,,,99.27335,99.23667,22.961
1961-01,,,,,,,99.29709,99.25689,23.07152
1961-02,,,,,,,99.34229,99.29536,23.1826
1961-03,,,,,,,99.39951,99.34406,23.29424
1961-04,,,,,,,99.46241,99.39761,23.40643
1961-05,,,,,,,99.52792,99.45337,23.51917
1961-06,,,,,,,99.59586,99.51119,23.63246
1961-07,,,,,,,99.66802,99.57262,23.74629
1961-08,,,,,,,99.74748,99.64025,23.86065
1961-09,,,,,,,99.83722,99.71663,23.97554
1961-10,,,,,,,99.93808,99.80248,24.09096
1961-11,,,,,,,100.0494,99.89725,24.20688
1961-12,,,,,,,100.1687,99.99879,24.32331
1962-01,,,,,,,100.2901,100.1021,24.44022
1962-02,,,,,,,100.4059,100.2007,24.55762
1962-03,,,,,,,100.5074,100.2871,24.67549
1962-04,,,,,,,100.5863,100.3542,24.79383
1962-05,,,,,,,100.6322,100.3933,24.91261
1962-06,,,,,,,100.6316,100.3928,25.03184
1962-07,,,,,,,100.5694,100.3398,25.1515
1962-08,,,,,,,100.4289,100.2202,25.27158
1962-09,,,,,,,100.1963,100.0223,25.39209
1962-10,,,,,,,99.87115,99.74551,25.513
1962-11,,,,,,,99.47703,99.41005,25.63432
1962-12,,,,,,,99.0798,99.07194,25.75603
1963-01,,,,,,,98.78596,98.82182,25.87814
1963-02,,,,,,,98.70866,98.75603,26.00062
1963-03,,,,,,,98.90419,98.92246,26.12348
1963-04,,,,,,,99.33979,99.29323,26.24668
1963-05,,,,,,,99.91481,99.78267,26.37022
1963-06,,,,,,,100.5098,100.2891,26.49406
1963-07,,,,,,,101.0254,100.728,26.61819
1963-08,,,,,,,101.3937,101.0414,26.74258
1963-09,,,,,,,101.594,101.2119,26.8672
1963-10,,,,,,,101.6592,101.2674,26.99205
1963-11,,,,,,,101.6507,101.2602,27.1171
1963-12,,,,,,,101.6223,101.236,27.24235
1964-01,,,,,,,101.5903,101.2088,27.36778
1964-02,,,,,,,101.5494,101.174,27.49338
1964-03,,,,,,,101.4887,101.1224,27.61914
1964-04,,,,,,,101.4089,101.0544,27.74506
1964-05,,,,,,,101.3142,100.9738,27.87115
1964-06,,,,,,,101.2067,100.8823,27.99738
1964-07,,,,,,,101.0819,100.7761,28.12378
1964-08,,,,,,,100.932,100.6485,28.25034
1964-09,,,,,,,100.7519,100.4952,28.37706
1964-10,,,,,,,100.5454,100.3194,28.50396
1964-11,,,,,,,100.3263,100.1329,28.63105
1964-12,,,,,,,100.1201,99.9574,28.75832
1965-01,,,,,,,99.96783,99.8278,28.8858
1965-02,,,,,,,99.90938,99.77805,29.01349
1965-03,,,,,,,99.9637,99.82429,29.14141
1965-04,,,,,,,100.1024,99.94231,29.26955
1965-05,,,,,,,100.2778,100.0917,29.39794
1965-06,,,,,,,100.4454,100.2343,29.52657
1965-07,,,,,,,100.5822,100.3508,29.65546
1965-08,,,,,,,100.679,100.4332,29.78461
1965-09,,,,,,,100.7341,100.4801,29.91404
1965-10,,,,,,,100.75,100.4936,30.04376
1965-11,,,,,,,100.7318,100.4781,30.17378
1965-12,,,,,,,100.6885,100.4412,30.30412
1966-01,,,,,,,100.6365,100.397,30.4348
1966-02,,,,,,,100.5919,100.359,30.56582
1966-03,,,,,,,100.5627,100.3341,30.69721
1966-04,,,,,,,100.5411,100.3158,30.829
1966-05,,,,,,,100.5121,100.2911,30.96119
1966-06,,,,,,,100.4609,100.2475,31.09382
1966-07,,,,,,,100.3808,100.1793,31.2269
1966-08,,,,,,,100.2732,100.0878,31.36046
1966-09,,,,,,,100.149,99.98199,31.49453
1966-10,,,,,,,100.0316,99.88212,31.62913
1966-11,,,99.76464,99.8086,,31.68952,99.94596,99.80919,31.76428
1966-12,,,99.43758,99.54607,,31.7206,99.90559,99.77483,31.90001
1967-01,,,99.11918,99.29051,,31.75418,99.89868,99.76894,32.03636
1967-02,,,98.79868,99.03326,,31.78683,99.90287,99.77251,32.17334
1967-03,,,98.47263,98.77154,,31.81746,99.89748,99.76793,32.31097
1967-04,,,98.15603,98.51741,,31.85094,99.87476,99.74858,32.44929
1967-05,,,97.87409,98.29111,,31.89552,99.83492,99.71467,32.58832
1967-06,,,97.66344,98.12202,,31.96337,99.7824,99.66998,32.72808
1967-07,,,97.55608,98.03584,,32.06532,99.72321,99.61958,32.86861
1967-08,,,97.5646,98.04269,,32.20599,99.65936,99.56523,33.00991
1967-09,,,97.6664,98.1244,,32.3784,99.58386,99.50098,33.15203
1967-10,,,97.79388,98.22673,,32.56044,99.47589,99.40907,33.29497
1967-11,,,97.91154,98.32117,3.318188,32.74041,99.2974,99.25715,33.43876
1967-12,,,98.02318,98.41078,3.781234,32.91954,98.99226,98.99742,33.58343
1968-01,,,98.14744,98.51051,4.25239,33.10413,98.49057,98.5704,33.72898
1968-02,,,98.32501,98.65305,4.786263,33.30802,97.77558,97.96182,33.87543
1968-03,,,98.55808,98.84013,5.389503,33.53222,96.96129,97.26871,34.0228
1968-04,,,98.83424,99.0618,6.033375,33.77275,96.3122,96.71623,34.17111
1968-05,,,99.13869,99.30618,6.674717,34.02476,96.12195,96.55429,34.32036
1968-06,,,99.52999,99.62026,7.335551,34.30855,96.51696,96.89052,34.47056
1968-07,,,99.95414,99.96071,7.920869,34.60581,97.37407,97.62006,34.62169
1968-08,,,100.3544,100.282,8.35328,34.89695,98.39871,98.49221,34.7737
1968-09,,,100.7232,100.578,8.647899,35.17916,99.31331,99.27069,34.92656
1968-10,,,101.0958,100.8771,8.917014,35.46462,99.9659,99.82616,35.08023
1968-11,,,101.4403,101.1537,9.165756,35.74216,100.3337,100.1392,35.23466
1968-12,,,101.7106,101.3706,9.340134,35.99521,100.4715,100.2565,35.38982
1969-01,,,101.8743,101.502,9.384882,36.21191,100.4766,100.2609,35.54568
1969-02,,,102.0097,101.6106,9.338917,36.41968,100.4464,100.2351,35.70219
1969-03,,,102.1831,101.7498,9.271091,36.64215,100.4445,100.2335,35.8593
1969-04,,,102.4018,101.9254,9.202847,36.88204,100.4716,100.2566,36.01699
1969-05,,,102.5968,102.0819,9.077312,37.11462,100.4969,100.2781,36.17522
1969-06,,,102.7044,102.1683,8.763644,37.31653,100.4876,100.2702,36.33393
1969-07,,,102.6976,102.1628,8.29495,37.47752,100.4378,100.2278,36.49308
1969-08,,,102.5854,102.0728,7.743732,37.60027,100.3583,100.1601,36.65265
1969-09,,,102.3686,101.8987,7.119512,37.68451,100.2704,100.0854,36.81257
1969-10,,,102.1312,101.7082,6.473109,37.76079,100.2007,100.026,36.97282
1969-11,,,101.8937,101.5176,5.859006,37.83654,100.1729,100.0023,37.13335
1969-12,,,101.6632,101.3325,5.331689,37.9144,100.1983,100.024,37.29412
1970-01,,,101.417,101.1349,4.899086,37.98583,100.2636,100.0796,37.45509
1970-02,,,101.1344,100.908,4.457866,38.0429,100.3461,100.1497,37.6162
1970-03,,,100.8302,100.6639,3.955729,38.09107,100.4255,100.2173,37.77743
1970-04,,,100.5072,100.4046,3.388928,38.13113,100.4952,100.2767,37.93871
1970-05,,,100.1884,100.1487,2.851273,38.17177,100.5558,100.3283,38.10001
1970-06,,,99.89289,99.91154,2.425366,38.2203,100.6093,100.3738,38.26128
1970-07,,,99.66649,99.72982,2.183177,38.29433,100.6543,100.4121,38.42248
1970-08,,,99.56081,99.645,2.168015,38.4141,100.6849,100.4381,38.58355
1970-09,,,99.59483,99.6723,2.399284,38.58749,100.6906,100.443,38.74447
1970-10,,,99.74599,99.79364,2.771459,38.80635,100.6573,100.4146,38.90517
1970-11,,,99.97774,99.97965,3.227362,39.05694,100.5756,100.3451,39.06564
1970-12,,,100.2188,100.1732,3.68666,39.31165,100.4523,100.2402,39.2258
