country,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,2010=100,,
time,,,,,,,,,,,
1959-01,,,101.7868,101.5011,,,,,,,
1959-02,,,102.0907,101.772,,,,,,,
1959-03,,,102.2951,101.9557,,,,,,,
1959-04,,,102.3922,102.0446,,,,,,,
1959-05,,,102.3762,102.0337,,,,,,,
1959-06,,,102.2656,101.9376,,,,,,,
1959-07,,,102.0967,101.7863,,,,,,,
1959-08,,,101.9287,101.6304,,,,,,,
1959-09,,,101.8167,101.5169,,,,,,,
1959-10,,,101.7691,101.4566,,,,,,,
1959-11,,,101.7575,101.4299,,,,,,,
1959-12,,,101.7319,101.3973,,,,,,,
1960-01,,,101.6095,101.289,,,,,,,
1960-02,,,101.3783,101.0933,,19.97318,100.325,,19.75418,100.2668,19.70162
1960-03,,,101.0954,100.856,,19.99296,100.2573,,19.81555,100.1984,19.77632
1960-04,,,100.8141,100.6211,,20.01329,100.1556,,19.86918,100.0882,19.85167
1960-05,,,100.5691,100.4167,,20.04107,100.0434,,19.92048,99.96391,19.92767
1960-06,,,100.3697,100.2503,,20.0783,99.93917,,19.9737,99.84682,20.00434
1960-07,,,100.2071,100.1141,,20.12328,99.84056,,20.02828,99.73402,20.08169
1960-08,,,100.0778,100.0051,,20.17542,99.7377,,20.08187,99.61378,20.15973
1960-09,,,99.96947,99.91329,,20.23228,99.62542,,20.13326,99.4802,20.23846
1960-10,,,99.8923,99.84857,,20.29602,99.51538,,20.1854,99.34789,20.3179
1960-11,,,99.86549,99.82736,,20.37062,99.42599,,20.24294,99.23955,20.39805
1960-12,,,99.91012,99.86742,,20.46053,99.37223,,20.30972,99.17372,20.47894
1961-01,,,100.0351,99.97691,,20.56777,99.354,,20.3859,99.15057,20.56055
1961-02,,,100.1822,100.1075,3.541361,20.6805,99.3652,3.624086,20.47009,99.16289,20.64289
1961-03,,,100.3749,100.2798,4.059779,20.80463,99.40967,3.777134,20.56401,99.214,20.72693
1961-04,,,100.5801,100.4659,4.59269,20.93244,99.47415,3.998967,20.66374,99.28907,20.8117
1961-05,,,100.7613,100.6334,5.065707,21.0563,99.55892,4.261354,20.76936,99.38822,20.89721
1961-06,,,100.8984,100.7643,5.44706,21.17197,99.66473,4.542848,20.88107,99.5121,20.98345
1961-07,,,100.977,100.8456,5.729773,21.2763,99.78889,4.842847,20.99822,99.65725,21.07044
1961-08,,,101.0,100.8782,5.919728,21.36974,99.92661,5.16754,21.11961,99.81782,21.15815
1961-09,,,100.9764,100.8675,6.038758,21.45406,100.0708,5.514379,21.24349,99.98534,21.2466
1961-10,,,100.9249,100.8283,6.09522,21.5331,100.2105,5.85452,21.36716,100.1471,21.33578
1961-11,,,100.8604,100.7734,6.084203,21.61001,100.3335,6.148711,21.48762,100.2891,21.42567
1961-12,,,100.7692,100.6922,5.968827,21.68178,100.4292,6.363749,21.60218,100.3992,21.51629
1962-01,,,100.613,100.5598,5.699668,21.74007,100.4922,6.492295,21.70941,100.4711,21.60762
1962-02,,,100.4222,100.3962,5.371108,21.79128,100.5201,6.538959,21.80862,100.5022,21.69966
1962-03,,,100.2027,100.2062,4.960231,21.83658,100.5138,6.496265,21.89991,100.4933,21.7924
1962-04,,,99.97369,100.0058,4.527225,21.88009,100.4793,6.392827,21.98474,100.4518,21.88585
1962-05,,,99.7524,99.81122,4.128382,21.92558,100.4227,6.236245,22.06459,100.3848,21.98
1962-06,,,99.55524,99.63782,3.800781,21.97667,100.3463,6.02898,22.13999,100.2951,22.07485
1962-07,,,99.4118,99.51089,3.589421,22.04,100.2462,5.770602,22.20994,100.1783,22.1704
1962-08,,,99.32957,99.43707,3.498495,22.11736,100.1166,5.460805,22.27291,100.0281,22.26665
1962-09,,,99.30783,99.41618,3.517902,22.20879,99.95514,5.10627,22.32824,99.84193,22.36359
1962-10,,,99.33693,99.44048,3.618529,22.31229,99.76728,4.728032,22.37741,99.62685,22.46122
1962-11,,,99.40915,99.50352,3.777158,22.42625,99.56797,4.359233,22.42431,99.40055,22.55955
1962-12,100.9591,,99.50728,99.58978,3.990157,22.54692,99.38182,4.041672,22.47527,99.19107,22.65856
1963-01,100.9745,,99.62384,99.6912,4.289745,22.67266,99.24417,3.822158,22.53918,99.03732,22.75827
1963-02,100.982,,99.75969,99.80721,4.64613,22.80372,99.18899,3.741751,22.62465,98.97627,22.85866
1963-03,101.0676,,99.91546,99.93748,5.054488,22.94031,99.23358,3.818733,22.73621,99.02648,22.95972
1963-04,101.258,,100.0716,100.0659,5.474695,23.07796,99.36611,4.031746,22.87111,99.17461,23.06145
1963-05,101.3919,,100.2,100.1697,5.858868,23.21017,99.55704,4.339472,23.02208,99.38799,23.16385
1963-06,101.3302,,100.2862,100.2373,6.17375,23.33346,99.77239,4.700096,23.18059,99.62916,23.26687
1963-07,101.1744,,100.3401,100.2772,6.397547,23.45002,99.98109,5.082028,23.33866,99.86361,23.37053
1963-08,101.1055,,100.372,100.2992,6.532272,23.56213,100.1607,5.466135,23.49037,100.0664,23.4748
1963-09,101.1425,,100.3907,100.3127,6.587489,23.67179,100.3018,5.844214,23.63315,100.2268,23.57966
1963-10,101.1598,,100.3953,100.3175,6.572326,23.77872,100.4108,6.216407,23.76848,100.3521,23.68509
1963-11,101.0965,,100.3878,100.3159,6.497261,23.88334,100.5006,6.579045,23.89962,100.4562,23.79109
1963-12,101.0209,,100.3802,100.3181,6.393639,23.98849,100.5803,6.912178,24.0288,100.5489,23.89763
1964-01,101.087,,100.3794,100.3295,6.276807,24.09578,100.6458,7.16775,24.15473,100.625,24.00471
