country,GRC,GRC
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1985-01,100.6242,103.2185
1985-02,99.86158,103.3907
1985-03,99.23201,103.6699
1985-04,98.97121,104.0983
1985-05,99.10713,104.3737
1985-06,99.51511,104.4918
1985-07,99.87016,104.4713
1985-08,100.032,104.2356
1985-09,100.2775,103.6331
1985-10,100.8452,102.6733
1985-11,101.3957,102.1287
1985-12,101.737,102.0103
1986-01,101.7142,102.1121
1986-02,101.3969,102.1292
1986-03,100.779,101.9546
1986-04,100.566,101.7442
1986-05,100.5601,101.5009
1986-06,100.0504,101.3677
1986-07,99.52152,101.2807
1986-08,99.37182,101.1431
1986-09,99.35564,101.0498
1986-10,99.20281,101.0132
1986-11,99.13426,100.9327
1986-12,99.19234,100.8512
1987-01,99.10378,100.8158
1987-02,99.04408,100.6985
1987-03,99.10918,100.5335
1987-04,99.02277,100.4424
1987-05,98.74668,100.3325
1987-06,98.80234,100.3174
1987-07,99.34253,100.3051
1987-08,100.037,100.3839
1987-09,100.4428,100.4779
1987-10,100.2792,100.5011
1987-11,100.0206,100.5795
1987-12,99.85587,100.8493
1988-01,99.88802,101.214
1988-02,99.82903,101.3902
1988-03,99.58463,101.4074
1988-04,99.75378,101.4187
1988-05,100.1988,101.4912
1988-06,100.6106,101.5123
1988-07,100.8862,101.4736
1988-08,101.0983,101.5608
1988-09,101.4262,101.7518
1988-10,101.8254,101.8954
1988-11,101.641,101.9449
1988-12,101.2066,102.0349
1989-01,101.1465,102.2527
1989-02,100.9018,102.4528
1989-03,100.6403,102.629
1989-04,100.5028,102.7833
1989-05,100.5415,102.9004
1989-06,100.887,102.958
1989-07,101.1805,103.0023
1989-08,101.3743,102.9394
1989-09,101.2913,102.7787
1989-10,100.9594,102.5179
1989-11,101.0774,102.0152
1989-12,101.5833,101.6072
1990-01,101.9192,101.4719
1990-02,101.5528,101.5013
1990-03,100.9928,101.6978
1990-04,100.687,101.9526
1990-05,100.5241,102.0273
1990-06,100.0525,102.0408
1990-07,99.52324,101.9141
1990-08,99.1874,101.535
1990-09,99.3845,101.2282
1990-10,100.2322,101.1596
1990-11,100.6947,101.1899
1990-12,100.3791,101.1633
1991-01,99.45405,101.1652
1991-02,98.46662,101.2056
1991-03,97.91589,101.2723
1991-04,97.94798,101.2903
1991-05,98.34873,101.2609
1991-06,98.80533,101.2169
1991-07,99.00488,101.2099
1991-08,99.32341,101.2039
1991-09,100.0094,101.0958
1991-10,101.0711,100.8999
1991-11,101.6194,100.705
1991-12,101.6266,100.6368
1992-01,101.319,100.4766
1992-02,100.7881,100.3605
1992-03,100.0627,100.2808
1992-04,99.43481,100.3399
1992-05,99.21514,100.4584
1992-06,99.36279,100.509
1992-07,99.52837,100.3352
1992-08,99.64086,100.0022
1992-09,99.83007,99.80619
1992-10,100.0792,99.72914
1992-11,99.88864,99.59316
1992-12,99.64268,99.60447
1993-01,99.41922,99.7206
1993-02,99.23581,99.95483
1993-03,99.18506,100.1639
1993-04,99.17737,100.322
1993-05,99.19733,100.4208
1993-06,99.39956,100.532
1993-07,99.55994,100.7491
1993-08,99.66653,101.0349
1993-09,99.78854,101.4855
1993-10,99.9404,101.975
1993-11,99.75408,102.1863
1993-12,99.82535,102.1506
1994-01,100.1082,101.995
1994-02,100.3137,101.8686
1994-03,100.332,101.741
1994-04,100.5262,101.5424
1994-05,100.9208,101.4147
1994-06,101.3897,101.279
1994-07,101.7315,101.1961
1994-08,101.7877,101.0909
1994-09,101.5713,100.9859
1994-10,101.1812,100.7772
1994-11,101.0477,100.4904
1994-12,101.2946,100.2834
1995-01,101.4914,100.1975
1995-02,101.5803,100.1866
1995-03,101.504,100.1887
1995-04,101.3518,100.261
1995-05,101.5233,100.3711
1995-06,101.9706,100.3804
1995-07,102.2619,100.2627
1995-08,102.661,100.3152
1995-09,103.0731,100.6308
1995-10,103.2617,101.1142
1995-11,102.8191,101.3444
1995-12,101.9464,101.5336
1996-01,100.9862,101.6371
1996-02,100.2373,101.6865
1996-03,99.68163,101.4388
1996-04,99.351,101.1918
1996-05,99.29551,101.1945
1996-06,99.59097,101.345
1996-07,100.2182,101.5993
1996-08,100.7968,102.0137
1996-09,101.3095,102.4349
1996-10,101.7287,102.5661
1996-11,101.7095,102.2605
1996-12,101.4927,101.8419
1997-01,101.4826,101.5878
1997-02,101.4367,101.5569
1997-03,101.5031,101.6239
1997-04,101.6793,101.6336
1997-05,101.8631,101.6777
1997-06,101.9703,101.9747
1997-07,102.1035,102.1261
1997-08,102.4446,102.0682
1997-09,102.8865,102.2234
1997-10,103.3094,102.3629
1997-11,103.4321,102.2622
1997-12,103.1531,102.0143
1998-01,102.6039,101.7185
1998-02,102.252,101.5088
1998-03,102.2163,101.163
1998-04,102.4134,101.0132
1998-05,102.5348,101.2884
1998-06,102.4662,101.6475
1998-07,102.5482,101.9746
1998-08,102.558,102.0881
1998-09,102.3619,102.1283
1998-10,101.9055,102.196
1998-11,101.615,102.2851
1998-12,101.3855,102.3662
1999-01,101.1059,102.4068
1999-02,100.9477,102.4417
1999-03,100.998,102.5183
1999-04,101.2414,102.7444
1999-05,101.2755,102.9092
1999-06,101.1824,102.9717
1999-07,101.1728,102.9225
1999-08,101.5019,102.9279
1999-09,102.0978,103.1729
1999-10,102.7606,103.5127
1999-11,102.9782,103.7906
1999-12,103.0255,104.0196
2000-01,103.2772,104.1458
2000-02,103.7488,104.1627
2000-03,103.9628,104.1499
2000-04,103.8573,104.2695
2000-05,103.8367,104.2302
2000-06,103.9077,103.9774
2000-07,103.876,103.6363
2000-08,103.7751,103.257
2000-09,103.5158,103.046
2000-10,103.1339,102.7013
2000-11,103.1085,102.4069
2000-12,103.187,102.2984
2001-01,103.1153,102.1672
2001-02,103.0004,102.0356
2001-03,102.7352,102.0139
2001-04,102.4369,102.0194
2001-05,102.213,101.9498
2001-06,101.9892,101.9243
2001-07,101.998,101.969
2001-08,102.0918,102.0838
2001-09,102.0869,102.2522
2001-10,101.9039,102.3407
2001-11,101.6615,102.5751
2001-12,101.6243,102.8209
2002-01,101.8281,103.0492
2002-02,102.0291,102.9528
2002-03,102.0293,102.5975
2002-04,102.062,102.1746
2002-05,102.2638,102.1096
2002-06,102.3182,102.2353
2002-07,102.1943,102.4751
2002-08,102.0329,102.4971
2002-09,101.9186,102.3535
2002-10,101.9235,102.2382
2002-11,101.8393,102.1506
2002-12,101.3494,102.052
2003-01,100.7583,101.8841
2003-02,100.3958,101.6407
2003-03,100.0614,101.3979
2003-04,99.85789,101.3794
2003-05,100.231,101.4301
2003-06,100.7637,101.4196
2003-07,101.1833,101.4378
2003-08,101.5044,101.4079
2003-09,101.8444,101.2463
2003-10,102.2784,101.0163
2003-11,102.6168,100.6774
2003-12,102.7647,100.5496
2004-01,102.618,100.9237
2004-02,102.415,101.421
2004-03,102.4719,101.9777
2004-04,102.5929,102.1699
2004-05,102.4244,102.0016
2004-06,101.8333,101.7403
2004-07,101.1048,101.6598
2004-08,100.5645,101.7796
2004-09,100.249,101.9728
2004-10,100.182,101.8601
2004-11,100.1908,101.5916
2004-12,100.1785,101.3961
2005-01,100.0565,101.3696
2005-02,99.81595,101.3825
2005-03,99.38477,101.3939
2005-04,99.04489,101.3292
2005-05,98.71769,101.22
2005-06,98.59766,100.9662
2005-07,98.71589,100.7886
2005-08,99.08942,100.4946
2005-09,99.51497,100.081
2005-10,99.87093,99.76709
2005-11,100.2794,99.88712
2005-12,100.8086,100.229
2006-01,101.2121,100.5459
2006-02,101.6029,100.5028
2006-03,101.9331,100.334
2006-04,102.1317,100.4337
2006-05,102.3324,100.6457
2006-06,102.3813,100.8364
2006-07,102.2532,100.8478
2006-08,102.2082,100.7735
2006-09,102.3027,100.7413
2006-10,102.288,100.6993
2006-11,102.2791,100.7225
2006-12,102.3586,100.8216
2007-01,102.4088,100.8922
2007-02,102.4145,100.9728
2007-03,102.6768,101.0778
2007-04,102.9856,101.0349
2007-05,102.9145,101.0252
2007-06,102.6583,100.9809
2007-07,102.4869,101.0064
2007-08,102.4435,101.0665
2007-09,102.4281,101.317
2007-10,102.2696,101.2627
2007-11,102.212,100.9617
2007-12,102.0442,100.7503
2008-01,101.804,100.6107
2008-02,101.4175,100.3823
2008-03,101.1151,100.1346
2008-04,100.9077,99.81924
2008-05,100.6538,99.42129
2008-06,100.326,99.05514
2008-07,99.9124,98.978
2008-08,99.3035,98.7617
2008-09,98.26546,98.34456
2008-10,96.7845,97.89069
2008-11,95.25317,97.91891
2008-12,93.80703,98.35629
2009-01,92.59294,98.74334
2009-02,91.59962,98.7713
2009-03,91.31368,98.86986
2009-04,91.83304,99.13576
2009-05,92.77097,99.31669
2009-06,93.73549,99.45138
2009-07,94.27259,99.56518
2009-08,94.66415,99.78243
2009-09,94.97961,100.199
2009-10,94.94876,100.5687
2009-11,94.64497,100.3677
2009-12,94.3398,99.78345
2010-01,94.18997,99.07844
2010-02,93.95506,98.25465
2010-03,94.02849,97.38793
2010-04,94.23323,96.71035
2010-05,94.18888,96.15914
2010-06,94.34066,95.94436
2010-07,94.62321,96.04308
2010-08,94.86687,96.13956
2010-09,95.01453,95.97962
2010-10,95.0248,95.74088
2010-11,94.87119,95.4651
2010-12,94.76693,95.2008
2011-01,94.93662,95.27911
2011-02,95.07433,95.5072
2011-03,94.96696,95.59798
2011-04,94.73843,95.5048
2011-05,94.66328,95.24833
2011-06,94.74899,94.91367
2011-07,95.0167,94.83813
2011-08,95.12189,94.93002
2011-09,94.76212,94.73049
2011-10,94.30628,94.18647
2011-11,94.06745,93.82278
2011-12,93.907,93.69365
2012-01,93.76706,93.69152
2012-02,93.74297,93.60751
2012-03,94.04684,93.71013
2012-04,94.38557,93.93701
2012-05,94.27371,94.28644
2012-06,94.16344,94.72776
2012-07,94.38152,95.08538
2012-08,94.9164,95.13279
2012-09,95.6114,94.78413
2012-10,96.15852,94.38992
2012-11,96.6372,94.19342
2012-12,97.02586,94.18949
2013-01,97.10515,94.38963
2013-02,97.15602,94.59258
2013-03,97.46929,94.70589
2013-04,97.94222,94.80376
2013-05,98.26466,94.94506
2013-06,98.26853,94.86962
2013-07,98.28098,94.76292
2013-08,98.53304,94.70008
2013-09,98.82408,94.79371
2013-10,98.4754,95.02338
2013-11,98.06587,95.18317
2013-12,97.90082,95.3522
2014-01,98.0396,95.5837
2014-02,98.49007,95.96951
2014-03,99.04047,96.532
2014-04,99.4257,97.00309
2014-05,100.0988,97.38745
2014-06,100.847,97.6836
2014-07,101.1761,97.78783
2014-08,101.1483,97.60989
2014-09,100.9063,97.40811
2014-10,100.7307,97.54173
2014-11,100.2536,97.71168
2014-12,99.28058,97.80171
2015-01,98.26779,98.24384
2015-02,97.67943,99.04968
2015-03,97.38496,99.40955
2015-04,97.01252,99.01444
2015-05,96.62522,98.43753
2015-06,95.71306,97.71713
2015-07,94.37326,96.86497
2015-08,94.07561,96.02374
2015-09,95.0956,95.66026
2015-10,96.22452,95.73194
2015-11,97.09817,95.85798
2015-12,97.71404,96.04398
2016-01,98.17461,96.03426
2016-02,98.54135,95.96318
2016-03,98.87357,95.87075
2016-04,98.83224,95.85604
2016-05,98.61092,96.04602
2016-06,98.59518,96.23965
2016-07,98.67332,96.18465
2016-08,99.01587,96.01538
2016-09,99.40994,96.01951
2016-10,99.5923,96.10716
2016-11,99.47211,96.02648
2016-12,99.38921,95.93487
2017-01,99.26492,95.69722
2017-02,99.15501,95.44424
2017-03,99.10954,95.3708
2017-04,98.98906,95.56339
2017-05,98.83319,95.81267
2017-06,99.01048,96.10732
2017-07,99.22874,96.56321
2017-08,99.562,97.00522
2017-09,100.1442,97.33498
2017-10,100.4539,97.55573
2017-11,100.8474,97.62088
2017-12,101.3086,97.63897
2018-01,101.4375,97.58881
2018-02,101.2521,97.56222
2018-03,100.7954,97.56708
2018-04,100.6729,97.66379
2018-05,100.835,97.78189
2018-06,101.1699,97.8705
2018-07,101.4585,97.99981
2018-08,101.4215,98.19019
2018-09,101.0185,98.69463
2018-10,100.514,99.47897
2018-11,100.2638,99.9508
2018-12,100.1913,100.1657
2019-01,100.3025,100.1082
2019-02,100.552,99.88918
2019-03,100.674,99.80267
2019-04,100.7548,99.88641
2019-05,100.8465,100.2416
2019-06,101.0332,100.9217
2019-07,101.1921,101.9617
2019-08,101.3652,102.986
2019-09,101.6297,103.6103
2019-10,101.7487,103.9136
2019-11,101.9053,103.9097
2019-12,102.2018,103.7111
2020-01,102.3857,103.1891
2020-02,102.111,102.4064
2020-03,100.8134,101.0404
2020-04,98.60148,99.72897
2020-05,96.55586,99.28118
2020-06,95.91557,99.40764
2020-07,96.27574,99.47041
2020-08,96.72724,99.39988
2020-09,97.25895,99.13778
2020-10,97.89498,98.94108
2020-11,98.19237,98.80668
2020-12,98.57309,98.88775
2021-01,98.85168,98.85935
2021-02,99.20573,98.82582
2021-03,99.72105,99.12947
2021-04,100.4782,99.76639
2021-05,101.566,100.5633
2021-06,102.3534,100.7464
2021-07,103.1635,100.41
2021-08,103.5451,99.94858
2021-09,103.4025,99.47366
2021-10,103.4942,99.19276
2021-11,103.5783,99.12935
2021-12,103.7606,99.08788
2022-01,104.1451,98.89573
2022-02,104.1536,98.48589
2022-03,103.7558,97.77328
2022-04,103.0206,97.28434
2022-05,102.4256,97.15353
2022-06,101.5656,97.0769
2022-07,100.7759,96.99201
2022-08,100.2002,96.98989
2022-09,99.84605,97.01543
2022-10,99.77895,97.02059
2022-11,100.2118,97.35069
2022-12,101.0435,97.81944
2023-01,101.8664,98.20256
2023-02,102.2513,98.3181
2023-03,102.1577,98.53574
2023-04,101.9898,98.83752
2023-05,101.897,99.46502
2023-06,102.0885,100.1372
