country,IND,IND,IND,IND,IND,IND,IND,IND,IND
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1994-04,,,98.90768,99.18414,,,,,
1994-05,,,99.36714,99.52697,,,,,
1994-06,,,99.78893,99.84169,,,,,
1994-07,,,100.168,100.1245,,,,,
1994-08,,,100.502,100.3738,,,,,
1994-09,,,100.7917,100.5899,,,,,
1994-10,,,101.0412,100.7761,,,,,
1994-11,,,101.2556,100.936,,,,,
1994-12,,,101.4417,101.0749,,,,,
1995-01,,,101.6069,101.1982,,,,,
1995-02,,,101.7588,101.3115,,,,,
1995-03,,,101.9014,101.4179,,,,,
1995-04,,,102.0351,101.5177,,,,,
1995-05,,,102.1574,101.609,,,,,
1995-06,,,102.2648,101.6891,,,,,
1995-07,,,102.3537,101.7554,,,,,
1995-08,,,102.4189,101.8041,,,,,
1995-09,,,102.4577,101.833,,,,,
1995-10,,,102.4693,101.8417,,,,,
1995-11,,,102.4556,101.8314,,,,,
1995-12,,,102.4183,101.8036,,,,,
1996-01,,,102.3582,101.7588,,,,,
1996-02,,,102.2752,101.6969,,,,,
1996-03,,,102.1682,101.617,,,,,
1996-04,,,102.0373,101.5193,,,,,
1996-05,,,101.8828,101.4041,,28.63839,100.9112,101.0178,28.10915
1996-06,,,101.7078,101.2735,,28.71389,100.8175,100.8851,28.23176
1996-07,,,101.5166,101.1308,,28.78494,100.7244,100.7533,28.3549
1996-08,,,101.317,100.9819,,28.85367,100.6324,100.6231,28.4786
1996-09,,,101.1185,100.8337,,28.92275,100.5416,100.4944,28.60284
1996-10,,,100.9307,100.6937,,28.99503,100.451,100.3661,28.72765
1996-11,,,100.7623,100.568,,29.07297,100.3595,100.2366,28.85302
1996-12,,,100.6189,100.461,,29.15834,100.2666,100.105,28.97898
1997-01,,,100.5009,100.3729,,29.25132,100.1729,99.97233,29.10553
1997-02,,,100.4045,100.301,,29.35095,100.0801,99.84091,29.2327
1997-03,,,100.324,100.2409,,29.4556,99.99067,99.71433,29.36049
1997-04,,,100.2524,100.1875,,29.56335,99.90789,99.59711,29.48891
1997-05,,,100.1809,100.1342,3.607688,29.67157,99.83503,99.49394,29.61799
1997-06,,,100.0996,100.0735,3.703719,29.77738,99.77489,99.40878,29.74774
1997-07,,,100.0004,99.9995,3.79835,29.87829,99.72915,99.34402,29.87816
1997-08,,,99.87915,99.90901,3.879381,29.97301,99.69853,99.30066,30.00928
1997-09,,,99.73602,99.80222,3.937285,30.06152,99.68285,99.27846,30.14109
1997-10,,,99.5728,99.68043,3.963614,30.14428,99.68105,99.27591,30.27361
1997-11,,,99.39298,99.54626,3.953115,30.22225,99.69156,99.29078,30.40683
1997-12,,,99.2036,99.40495,3.906929,30.29753,99.71257,99.32053,30.54076
1998-01,,,99.01164,99.26171,3.831963,30.37222,99.74232,99.36267,30.6754
1998-02,,,98.82765,99.12443,3.742968,30.44954,99.7793,99.41504,30.81075
1998-03,,,98.65951,98.99896,3.654207,30.53197,99.82245,99.47614,30.94681
1998-04,,,98.51523,98.89131,3.581145,30.62205,99.87126,99.54525,31.08357
1998-05,,,98.40369,98.80809,3.542388,30.72265,99.92561,99.62222,31.22104
1998-06,,,98.33533,98.75708,3.559036,30.83716,99.9855,99.707,31.35919
1998-07,,,98.32088,98.74629,3.650991,30.96914,100.0507,99.79938,31.49803
1998-08,,,98.36827,98.78166,3.831139,31.12132,100.1212,99.89922,31.63756
1998-09,,,98.4818,98.86636,4.104186,31.29531,100.1972,100.0068,31.77776
1998-10,,,98.66322,99.00173,4.470688,31.49193,100.2794,100.1231,31.91862
1998-11,,,98.91253,99.18776,4.927619,31.71149,100.3684,100.2493,32.06013
1998-12,,,99.22687,99.4223,5.465142,31.95334,100.465,100.3859,32.2023
1999-01,,,99.60083,99.70134,6.070616,32.216,100.5687,100.5328,32.34511
1999-02,,,100.0272,100.0195,6.725389,32.49739,100.6784,100.6882,32.48856
1999-03,,,100.4993,100.3717,7.413769,32.79554,100.7919,100.8489,32.63263
1999-04,,,101.0085,100.7517,8.117725,33.10787,100.9058,101.0102,32.77731
1999-05,,,101.4116,101.0525,8.67337,33.38734,101.016,101.1663,32.92261
1999-06,,,101.8303,101.3649,9.198682,33.67377,101.1191,101.3122,33.06852
1999-07,,,102.2556,101.6822,9.671185,33.96423,101.2126,101.4445,33.21504
1999-08,,,102.6758,101.9958,10.06889,34.25489,101.2947,101.5609,33.36217
1999-09,,,103.0785,102.2963,10.37294,34.54155,101.364,101.659,33.50993
1999-10,,,103.4459,102.5703,10.56211,34.81815,101.4183,101.7359,33.65833
1999-11,,,103.7566,102.8022,10.61409,35.07738,101.4553,101.7883,33.80737
1999-12,,,103.9901,102.9764,10.51115,35.312,101.4725,101.8127,33.95709
2000-01,,,104.1289,103.08,10.24268,35.51579,101.4672,101.8052,34.10751
2000-02,,,104.1663,103.1079,9.811799,35.68597,101.4375,101.7631,34.25865
2000-03,,,104.1035,103.061,9.230093,35.8226,101.383,101.6859,34.41057
2000-04,,,103.9496,102.9462,8.519226,35.9284,101.3058,101.5766,34.56329
2000-05,100.7941,,103.7185,102.7738,7.848725,36.00782,101.2097,101.4405,34.71688
2000-06,101.4688,,103.4273,102.5565,7.105654,36.06652,101.0986,101.2832,34.87138
2000-07,102.0839,,103.0936,102.3075,6.319072,36.11045,100.9763,101.1101,35.02686
2000-08,102.5173,,102.7354,102.0402,5.52004,36.14577,100.8465,100.9262,35.18339
2000-09,102.6408,,102.3671,101.7654,4.736445,36.17759,100.7135,100.7379,35.34103
2000-10,102.5587,,102.0037,101.4943,4.000836,36.21116,100.5829,100.553,35.49985
2000-11,102.3603,,101.6518,101.2317,3.340047,36.24898,100.4606,100.3798,35.65993
2000-12,102.0773,,101.315,100.9804,2.776464,36.29243,100.352,100.2259,35.82137
2001-01,101.7581,,100.9976,100.7435,2.329686,36.34319,100.2612,100.0974,35.98423
2001-02,101.4376,,100.7022,100.5231,2.007641,36.40242,100.1906,99.9975,36.14859
2001-03,101.1416,,100.4287,100.3191,1.807877,36.47023,100.1407,99.92673,36.31454
2001-04,100.8946,,100.1805,100.1339,1.724564,36.54801,100.1088,99.88167,36.48217
2001-05,100.7262,,99.94868,99.96089,1.73548,36.63273,100.091,99.85643,36.65154
2001-06,100.6293,,99.70902,99.78207,1.799679,36.7156,100.0823,99.84402,36.82275
2001-07,100.4402,,99.47536,99.60771,1.914455,36.80177,100.0775,99.83735,36.99586
2001-08,99.90749,,99.24789,99.43799,2.062871,36.89142,100.0717,99.82911,37.17098
2001-09,98.85356,,99.02866,99.27441,2.232913,36.9854,100.0593,99.81147,37.34818
2001-10,97.67982,,98.82225,99.12039,2.414718,37.08556,100.0341,99.77586,37.52754
2001-11,96.96179,,98.63139,98.97798,2.604445,37.19306,99.99071,99.71438,37.70916
2001-12,97.1641,,98.45469,98.84614,2.797046,37.30754,99.92495,99.62127,37.89311
2002-01,97.89969,,98.2927,98.72527,2.988645,37.42936,99.83537,99.49442,38.07949
2002-02,98.70608,,98.14448,98.61467,3.175314,37.55831,99.72266,99.33482,38.26839
2002-03,99.28828,,98.01073,98.51488,3.357835,37.69484,99.58938,99.1461,38.45991
2002-04,99.69106,,97.89332,98.42727,3.534575,37.83983,99.43969,98.93414,38.65415
2002-05,100.0192,,97.78815,98.34879,3.71016,37.99186,99.27901,98.7066,38.85119
2002-06,100.3376,,97.69224,98.27723,3.90662,38.14994,99.11373,98.47257,39.05115
2002-07,100.6453,,97.60326,98.21084,4.107192,38.31329,98.95096,98.24209,39.25411
2002-08,100.8971,,97.52263,98.15068,4.313123,38.48259,98.79828,98.02589,39.46016
2002-09,101.0345,,97.4524,98.09827,4.524446,38.65879,98.66343,97.83494,39.66941
2002-10,101.0734,,97.39751,98.05731,4.741564,38.844,98.55402,97.68002,39.88192
2002-11,101.007,,97.36333,98.03181,4.967277,39.04055,98.47655,97.57031,40.09779
2002-12,100.8069,,97.35522,98.02576,5.208721,39.25079,98.43533,97.51195,40.31709
2003-01,100.5299,,97.37859,98.04319,5.471088,39.47715,98.43122,97.50613,40.53987
2003-02,100.234,,97.43874,98.08808,5.76106,39.72207,98.46252,97.55045,40.7662
2003-03,99.97272,,97.53967,98.16338,6.082086,39.98747,98.52553,97.63967,40.99611
2003-04,99.80761,,97.6811,98.26891,6.431719,40.27358,98.61502,97.7664,41.22966
