country,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1990-02,,,,,,,99.81351,99.63065,29.67124
1990-03,,,,,,,99.79226,99.59932,29.86445
1990-04,,,,,,,99.75875,99.54992,30.05892
1990-05,,,,,,,99.69821,99.46069,30.25465
1990-06,,,,,,,99.60371,99.32138,30.45165
1990-07,,,,,,,99.48798,99.1508,30.64992
1990-08,,,,,,,99.37489,98.98411,30.84947
1990-09,,,,,,,99.29237,98.86247,31.05029
1990-10,,,,,,,99.26532,98.82261,31.25239
1990-11,,,,,,,99.31182,98.89114,31.45576
1990-12,,,,,,,99.43518,99.07298,31.6604
1991-01,,,,,,,99.61051,99.33142,31.86629
1991-02,,,,,,,99.80122,99.61252,32.07342
1991-03,,,,,,,99.97136,99.86331,32.28176
1991-04,,,,,,,100.0967,100.048,32.49131
1991-05,,,,,,,100.1623,100.1447,32.70203
1991-06,,,,,,,100.1634,100.1464,32.91392
1991-07,,,,,,,100.1099,100.0675,33.12695
1991-08,,,,,,,100.0163,99.92953,33.34111
1991-09,,,,,,,99.89569,99.75178,33.55637
1991-10,,,,,,,99.75671,99.54692,33.77271
1991-11,,,,,,,99.60551,99.32404,33.99012
1991-12,,,,,,,99.44923,99.09368,34.20857
1992-01,,,,,,,99.30018,98.87399,34.42803
1992-02,,,,,,,99.17361,98.68742,34.64848
1992-03,,,,,,,99.08501,98.55682,34.86988
1992-04,,,,,,,99.04593,98.49923,35.09219
1992-05,,,,,,,99.0605,98.5207,35.31539
1992-06,,,,,,,99.11823,98.6058,35.5394
1992-07,,,,,,,99.18291,98.70113,35.76419
1992-08,,,,,,,99.21315,98.7457,35.9897
1992-09,,,,,,,99.18211,98.69994,36.21584
1992-10,,,,,,,99.09933,98.57793,36.44257
1992-11,,,,,,,98.9908,98.41796,36.66981
1992-12,,,,,,,98.88277,98.25873,36.89748
1993-01,,,,,,,98.78773,98.11864,37.12549
1993-02,,,,,,,98.71319,98.00876,37.35376
1993-03,,,,,,,98.66937,97.94418,37.58219
1993-04,,,,,,,98.67551,97.95322,37.81067
1993-05,,,,,,,98.75211,98.06612,38.03909
1993-06,,,,,,,98.90991,98.29873,38.26731
1993-07,,,,,,,99.13363,98.62849,38.49522
1993-08,,,,,,,99.39495,99.01368,38.72267
1993-09,,,,,,,99.66045,99.40504,38.9495
1993-10,,,,,,,99.89684,99.75347,39.17558
1993-11,,,,,,,100.0772,100.0194,39.40072
1993-12,,,,,,,100.1896,100.1849,39.62478
1994-01,,,102.5468,101.3524,,40.86243,100.2488,100.2723,39.84759
1994-02,,,102.6397,101.402,,41.1267,100.2763,100.3127,40.06899
1994-03,,,102.6679,101.4171,,41.36368,100.2823,100.3217,40.2888
1994-04,,,102.6754,101.421,,41.59059,100.2526,100.2778,40.50686
1994-05,,,102.6898,101.4287,,41.81838,100.1646,100.1482,40.723
1994-06,,,102.716,101.4427,,42.04888,100.0085,99.91805,40.93703
1994-07,,,102.7687,101.4708,,42.28809,99.8101,99.62562,41.14879
1994-08,,,102.8198,101.4981,,42.5243,99.61608,99.33963,41.35809
1994-09,,,102.8227,101.4996,,42.73802,99.48193,99.1419,41.56477
1994-10,,,102.7706,101.4718,,42.92587,99.46105,99.11111,41.76864
1994-11,,,102.6482,101.4065,,43.08094,99.59007,99.30128,41.96951
1994-12,,,102.4624,101.3074,,43.20551,99.86647,99.7087,42.16718
1995-01,,,102.2348,101.1859,5.985198,43.30813,100.2419,100.262,42.36145
1995-02,,,101.9837,101.0519,5.51839,43.39623,100.6368,100.8441,42.55212
1995-03,,,101.7542,100.9294,5.137409,43.4887,100.9753,101.343,42.73898
1995-04,,,101.5958,100.8449,4.84765,43.60675,101.2193,101.7028,42.92181
1995-05,,,101.5246,100.8068,4.637049,43.75752,101.3575,101.9065,43.10042
1995-06,,,101.5257,100.8074,4.485197,43.93485,101.3999,101.969,43.27461
1995-07,,,101.5855,100.8394,4.362795,44.13303,101.3812,101.9414,43.4442
1995-08,,,101.7023,100.9017,4.296528,44.35137,101.3434,101.8857,43.60901
1995-09,,,101.8894,101.0015,4.346912,44.59581,101.3243,101.8576,43.76885
1995-10,,,102.1547,101.1431,4.528966,44.86997,101.3475,101.8918,43.92356
1995-11,,,102.5066,101.3309,4.867043,45.17771,101.4286,102.0113,44.07298
1995-12,,,102.9406,101.5626,5.35042,45.51718,101.5784,102.2322,44.21693
1996-01,,,103.4365,101.8272,5.937493,45.87955,101.8029,102.563,44.35528
1996-02,,,103.9617,102.1075,6.576883,46.25035,102.104,103.0068,44.48788
1996-03,,,104.493,102.3911,7.198193,46.61911,102.4756,103.5546,44.61459
1996-04,,,104.9885,102.6555,7.705631,46.96693,102.8946,104.1722,44.73529
1996-05,,,105.3982,102.8742,8.029322,47.27095,103.3331,104.8185,44.84986
1996-06,,,105.6877,103.0287,8.14948,47.51531,103.7676,105.459,44.95823
1996-07,,,105.8917,103.1376,8.116561,47.71511,104.1883,106.0791,45.06029
1996-08,,,106.0634,103.2292,7.987635,47.89399,104.5875,106.6675,45.15601
1996-09,,,106.2345,103.3205,7.781814,48.06617,104.9495,107.2011,45.24534
1996-10,,,106.4523,103.4367,7.539578,48.25298,105.2424,107.6329,45.32828
1996-11,,,106.7309,103.5854,7.267518,48.46101,105.4385,107.9219,45.40485
1996-12,,,107.07,103.7664,6.970973,48.69017,105.5391,108.0702,45.47508
1997-01,,,107.4614,103.9753,6.663886,48.93691,105.5826,108.1344,45.53906
1997-02,,,107.8456,104.1803,6.321907,49.17425,105.6324,108.2077,45.59691
1997-03,,,108.116,104.3247,5.865622,49.35361,105.7436,108.3716,45.64875
1997-04,,,108.1856,104.3618,5.255276,49.43517,105.9313,108.6483,45.69476
1997-05,,,108.0257,104.2764,4.515945,49.40568,106.179,109.0134,45.73513
1997-06,,,107.5747,104.0358,3.623498,49.23703,106.4422,109.4013,45.77009
1997-07,,,106.7848,103.6142,2.498579,48.90731,106.6484,109.7053,45.79989
1997-08,,,105.7119,103.0416,1.144855,48.44231,106.7072,109.792,45.82482
1997-09,,,104.4609,102.3739,-0.3658611,47.89032,106.5258,109.5245,45.84521
1997-10,,,103.1058,101.6507,-2.004428,47.28578,106.037,108.8041,45.86141
1997-11,,,101.6724,100.8858,-3.755559,46.64103,105.203,107.5748,45.87381
1997-12,,,100.1352,100.0653,-5.638296,45.94487,104.0394,105.8596,45.88285
1998-01,,,98.44583,99.16373,-7.685669,45.17578,102.6209,103.7688,45.88897
1998-02,,,96.61533,98.18681,-9.83218,44.33935,101.068,101.4798,45.89267
1998-03,,,94.66632,97.14664,-11.96882,43.44656,99.51197,99.18617,45.89442
1998-04,,,92.72878,96.11259,-13.91223,42.55763,98.07286,97.06491,45.89474
1998-05,,,91.0124,95.19656,-15.45641,41.76934,96.8439,95.25343,45.89412
1998-06,,,89.78844,94.54334,-16.30964,41.20665,95.86997,93.81784,45.89304
1998-07,,,89.21323,94.23636,-16.28714,40.94171,95.15086,92.75786,45.89197
1998-08,,,89.27697,94.27037,-15.42436,40.97039,94.65806,92.03148,45.89134
1998-09,,,89.85044,94.57643,-13.89956,41.23378,94.36988,91.6067,45.89157
1998-10,,,90.73277,95.04733,-11.93964,41.64003,94.28893,91.48738,45.89304
1998-11,,,91.70505,95.56622,-9.759595,42.08905,94.4207,91.6816,45.89611
1998-12,,,92.62818,96.05889,-7.460064,42.51736,94.737,92.14783,45.9011
1999-01,,,93.46932,96.5078,-5.015071,42.91018,95.16746,92.78233,45.90831
1999-02,,,94.30578,96.95422,-2.336603,43.30331,95.6123,93.43804,45.91799
1999-03,,,95.21283,97.4383,0.6560786,43.73161,95.99226,93.99809,45.93037
1999-04,,,96.21619,97.97379,3.876032,44.20718,96.2681,94.40469,45.94568
1999-05,,,97.27213,98.53735,7.04091,44.71028,96.44354,94.66328,45.96412
1999-06,,,98.25011,99.05928,9.64531,45.18115,96.54365,94.81084,45.98586
1999-07,,,99.04278,99.48232,11.30616,45.57064,96.59958,94.89328,46.01107
1999-08,,,99.6349,99.79834,11.9633,45.87181,96.64312,94.95747,46.0399
1999-09,,,100.1258,100.0603,11.8754,46.13045,96.70422,95.04752,46.07248
1999-10,,,100.6167,100.3223,11.4151,46.39328,96.80914,95.20219,46.10892
1999-11,,,101.1192,100.5905,10.87398,46.66581,96.97458,95.44604,46.14932
