country,IRL,IRL
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1974-01,,99.13151
1974-02,,99.1613
1974-03,,99.10132
1974-04,,98.90479
1974-05,,98.62794
1974-06,,98.13877
1974-07,,97.39391
1974-08,,96.76518
1974-09,,96.15878
1974-10,,95.4813
1974-11,,95.08365
1974-12,,94.97527
1975-01,,95.05927
1975-02,,95.24072
1975-03,,95.50533
1975-04,,95.90052
1975-05,,96.27079
1975-06,,96.67547
1975-07,,97.18099
1975-08,,97.6188
1975-09,,98.05531
1975-10,,98.51665
1975-11,,98.71474
1975-12,,98.56142
1976-01,,98.13296
1976-02,,97.82333
1976-03,,97.63467
1976-04,,97.48689
1976-05,,97.4063
1976-06,,97.34833
1976-07,,97.27803
1976-08,,97.22809
1976-09,,97.20655
1976-10,,97.24671
1976-11,,97.42873
1976-12,,97.83938
1977-01,,98.39013
1977-02,,98.73157
1977-03,,98.84072
1977-04,,98.84222
1977-05,,98.89912
1977-06,,99.21136
1977-07,,99.79642
1977-08,,100.3395
1977-09,,100.9092
1977-10,,101.5768
1977-11,,102.1723
1977-12,,102.7541
1978-01,,103.3391
1978-02,,103.6458
1978-03,,103.6477
1978-04,,103.4288
1978-05,,103.182
1978-06,,102.94
1978-07,,102.6596
1978-08,,102.464
1978-09,,102.2725
1978-10,,101.9963
1978-11,,101.7299
1978-12,,101.3772
1979-01,,100.9177
1979-02,,100.5969
1979-03,,100.4096
1979-04,,100.2591
1979-05,,100.1438
1979-06,,99.98302
1979-07,,99.73186
1979-08,,99.54224
1979-09,,99.3637
1979-10,,99.13297
1979-11,,98.95255
1979-12,,98.83369
1980-01,,98.71425
1980-02,,98.57754
1980-03,,98.40918
1980-04,,98.17127
1980-05,,97.97073
1980-06,,97.80945
1980-07,,97.6223
1980-08,,97.43837
1980-09,,97.24297
1980-10,,96.99902
1980-11,,96.84238
1980-12,,96.83812
1981-01,,96.97459
1981-02,,97.16763
1981-03,,97.44933
1981-04,,97.77487
1981-05,,97.90356
1981-06,,97.72346
1981-07,,97.28536
1981-08,,96.82028
1981-09,,96.36467
1981-10,,95.90031
1981-11,,95.64742
1981-12,,95.71604
1982-01,,96.03383
1982-02,,96.2774
1982-03,,96.36749
1982-04,,96.38786
1982-05,,96.33273
1982-06,,96.24891
1982-07,,96.1284
1982-08,,95.99219
1982-09,,95.8482
1982-10,,95.6649
1982-11,,95.51536
1982-12,,95.43527
1983-01,,95.41006
1983-02,,95.29225
1983-03,,94.98938
1983-04,,94.58173
1983-05,,94.30004
1983-06,,94.28292
1983-07,,94.5333
1983-08,,94.77299
1983-09,,95.00526
1983-10,,95.27502
1983-11,,95.43668
1983-12,,95.53461
1984-01,,95.64154
1984-02,,95.76057
1984-03,,95.88088
1984-04,,96.02125
1984-05,,96.10972
1984-06,,96.16845
1984-07,,96.22519
1984-08,,96.25459
1984-09,,96.28399
1984-10,,96.36407
1984-11,,96.53942
1984-12,,96.93102
1985-01,98.36901,97.56094
1985-02,98.08332,97.96072
1985-03,98.08225,98.05337
1985-04,98.14559,97.94878
1985-05,98.16376,97.89978
1985-06,98.10516,98.01655
1985-07,98.76592,98.33189
1985-08,99.80122,98.63568
1985-09,100.4774,98.95615
1985-10,100.6335,99.25612
1985-11,100.4349,99.32383
1985-12,100.0943,99.20464
1986-01,99.94767,99.00322
1986-02,99.5969,98.90516
1986-03,98.97774,98.82571
1986-04,98.3421,98.71912
1986-05,97.67919,98.69061
1986-06,97.07474,98.76159
1986-07,97.0974,98.91442
1986-08,97.40663,98.97262
1986-09,97.40578,98.88701
1986-10,98.05239,98.74257
1986-11,99.00226,98.53511
1986-12,99.68309,98.44581
1987-01,99.8497,98.51215
1987-02,100.3469,98.66846
1987-03,100.8236,98.7771
1987-04,101.0166,98.69975
1987-05,100.8891,98.54647
1987-06,100.3756,98.5905
1987-07,99.44824,98.67362
1987-08,98.96828,98.77995
1987-09,99.03295,98.90404
1987-10,98.90268,98.97707
1987-11,98.7794,98.98661
1987-12,98.70814,99.13125
1988-01,98.79245,99.372
1988-02,98.86636,99.59666
1988-03,99.23939,99.83421
1988-04,100.1619,100.1115
1988-05,100.93,100.2155
1988-06,101.3893,100.2456
1988-07,101.8124,100.3466
1988-08,102.2547,100.4511
1988-09,102.7155,100.5852
1988-10,102.6647,100.6988
1988-11,102.1178,100.8727
1988-12,101.8713,100.9775
1989-01,102.114,101.0202
1989-02,102.5511,101.0718
1989-03,102.8983,101.0129
1989-04,102.5984,100.9215
1989-05,102.8398,100.8555
1989-06,103.2308,101.074
1989-07,103.2178,101.4691
1989-08,103.5677,101.7703
1989-09,104.0772,101.8161
1989-10,104.2056,101.6915
1989-11,103.917,101.5523
1989-12,103.1528,101.457
1990-01,102.212,101.3596
1990-02,101.3794,101.2863
1990-03,100.8524,101.3515
1990-04,100.8979,101.4249
1990-05,100.7818,101.44
1990-06,100.7206,101.4019
1990-07,100.5841,101.2101
1990-08,100.0796,100.9235
1990-09,99.65609,100.644
1990-10,99.04335,100.6077
1990-11,98.59657,100.7164
1990-12,98.06619,100.5578
1991-01,97.35189,100.3211
1991-02,96.72574,100.2239
1991-03,96.71715,100.2773
1991-04,97.04958,100.3995
1991-05,97.20203,100.314
1991-06,97.55106,100.0769
1991-07,97.83604,99.93545
1991-08,98.03882,99.96343
1991-09,98.22161,100.0074
1991-10,99.15357,99.98408
1991-11,100.0085,99.9823
1991-12,99.95189,99.97784
1992-01,99.22072,99.98138
1992-02,98.99619,99.9941
1992-03,98.75587,99.93926
1992-04,98.98627,99.81198
1992-05,99.91809,99.89664
1992-06,101.1422,100.0163
1992-07,101.0464,100.082
1992-08,100.2911,100.0383
1992-09,99.17135,99.81363
1992-10,98.0648,99.57565
1992-11,96.95429,99.58165
1992-12,95.58208,99.62006
1993-01,94.95975,99.49217
1993-02,94.9621,99.26631
1993-03,95.74825,99.4058
1993-04,96.37693,99.85672
1993-05,96.41631,100.2011
1993-06,95.99111,100.5228
1993-07,96.11177,100.8032
1993-08,96.33514,100.9894
1993-09,96.57898,101.0067
1993-10,97.5437,101.0439
1993-11,98.22614,101.0155
1993-12,99.04018,101.0449
1994-01,99.90575,101.2002
1994-02,100.1411,101.2368
1994-03,100.1162,101.1908
1994-04,100.0344,101.1463
1994-05,99.80366,101.2824
1994-06,99.91696,101.4452
1994-07,100.6082,101.5978
1994-08,101.247,101.6899
1994-09,102.0748,101.716
1994-10,102.4903,101.7867
1994-11,102.679,101.8253
1994-12,102.8606,101.9043
1995-01,102.5158,102.0438
1995-02,101.9253,102.019
1995-03,102.146,101.8868
1995-04,102.9903,101.7023
1995-05,103.389,101.6668
1995-06,103.4658,101.7597
1995-07,103.0933,101.9366
1995-08,102.0318,102.1662
1995-09,100.7008,102.3677
1995-10,100.8417,102.5384
1995-11,101.5648,102.6665
1995-12,102.0349,102.6249
1996-01,101.3927,102.5475
1996-02,100.6199,102.4316
1996-03,100.6621,102.3292
1996-04,100.1299,102.3004
1996-05,99.55728,102.2719
1996-06,99.44558,102.2444
1996-07,99.48468,102.2566
1996-08,100.1083,102.2818
1996-09,100.182,102.4117
1996-10,100.3111,102.5052
1996-11,100.2176,102.5146
1996-12,100.2083,102.6027
1997-01,100.1934,102.7434
1997-02,100.1562,102.9428
1997-03,100.5984,103.0656
1997-04,101.4715,103.1237
1997-05,101.8263,103.202
1997-06,101.797,103.2867
1997-07,101.5091,103.3655
1997-08,101.4462,103.4736
1997-09,101.5711,103.6467
1997-10,102.3714,103.7807
1997-11,102.9533,103.8487
1997-12,102.9133,103.7184
1998-01,102.8317,103.474
1998-02,102.4078,103.3517
1998-03,101.8936,103.2849
1998-04,101.7797,103.1893
1998-05,101.7745,103.0616
1998-06,101.5627,103.0595
1998-07,101.0867,103.1252
1998-08,100.7898,103.1988
1998-09,100.4634,103.299
1998-10,99.75977,103.3353
1998-11,98.97839,103.4149
1998-12,98.57218,103.4483
1999-01,98.6385,103.33
1999-02,99.69406,103.2301
1999-03,100.0283,103.29
1999-04,100.2385,103.3645
1999-05,100.7757,103.4661
1999-06,101.4586,103.5762
1999-07,102.226,103.6906
1999-08,103.0071,103.7577
1999-09,103.7831,103.8241
1999-10,104.8508,103.9519
1999-11,106.0776,103.9725
1999-12,106.0788,103.8963
2000-01,105.046,103.7774
2000-02,104.0699,103.6115
2000-03,103.5621,103.5362
2000-04,103.2794,103.541
2000-05,103.3839,103.4457
2000-06,103.7431,103.3996
2000-07,103.7026,103.4073
2000-08,103.2008,103.3425
2000-09,102.3803,103.1193
2000-10,101.3207,103.017
2000-11,101.3514,103.0254
2000-12,101.9949,103.0936
2001-01,102.3488,102.9098
2001-02,102.1012,102.7439
2001-03,101.0847,102.4931
2001-04,99.06295,102.417
2001-05,97.42358,102.4614
2001-06,96.46889,102.3674
2001-07,96.71763,102.049
2001-08,97.46362,101.6554
2001-09,96.77283,101.4335
2001-10,95.74425,101.374
2001-11,95.36105,101.6283
2001-12,96.29046,101.934
2002-01,97.60828,102.0596
2002-02,98.35747,102.0842
2002-03,98.56496,102.1092
2002-04,98.12374,102.2014
2002-05,97.47626,102.1076
2002-06,96.88831,101.8127
2002-07,97.31159,101.3898
2002-08,98.76003,101.0187
2002-09,99.79424,100.7746
2002-10,99.69788,100.5443
2002-11,99.22489,100.2535
2002-12,98.45357,99.90285
2003-01,97.3517,99.76027
2003-02,96.36358,99.81798
2003-03,95.73025,99.95117
2003-04,95.58689,100.1367
2003-05,95.67457,100.1574
2003-06,96.03653,100.1317
2003-07,97.05341,100.0703
2003-08,98.31333,100.162
2003-09,99.22298,100.3312
2003-10,99.99014,100.6014
2003-11,100.2225,100.9259
2003-12,100.0956,101.0962
2004-01,99.81356,101.1823
2004-02,98.93707,101.3293
2004-03,98.57002,101.4927
2004-04,99.37926,101.5999
2004-05,100.0265,101.6316
2004-06,99.86064,101.6924
2004-07,99.13108,101.8497
2004-08,98.47732,101.9423
2004-09,98.58361,102.0581
2004-10,98.43678,102.1801
2004-11,98.10734,102.2343
2004-12,98.28192,102.341
2005-01,98.74976,102.3545
2005-02,99.67178,102.3251
2005-03,99.82264,102.2745
2005-04,99.3241,102.1111
2005-05,98.81831,102.0062
2005-06,99.07558,101.8743
2005-07,99.59575,101.6567
2005-08,99.64096,101.3237
2005-09,99.34354,101.1408
2005-10,98.77001,101.3837
2005-11,98.92496,101.8874
2005-12,99.2529,102.2747
2006-01,99.75632,102.379
2006-02,100.5757,102.2965
2006-03,101.0866,102.1348
2006-04,101.1079,101.9338
2006-05,101.3428,101.5501
2006-06,102.4667,101.216
2006-07,103.1112,101.1267
2006-08,102.4564,101.0427
2006-09,101.737,101.078
2006-10,101.1802,101.1342
2006-11,101.1857,101.1414
2006-12,101.6847,101.1808
2007-01,102.0423,101.1196
2007-02,102.1861,100.9135
2007-03,101.8499,100.5862
2007-04,101.5048,100.4359
2007-05,101.0672,100.6957
2007-06,100.4587,100.8059
2007-07,100.5361,100.7317
2007-08,100.8728,100.69
2007-09,101.2794,100.6219
2007-10,101.2825,100.4138
2007-11,100.9161,100.0138
2007-12,100.3805,99.7376
2008-01,100.2859,99.57923
2008-02,99.97649,99.51958
2008-03,100.1436,99.39225
2008-04,99.63374,99.21959
2008-05,98.78268,99.06359
2008-06,98.17493,98.66207
2008-07,97.80514,98.39755
2008-08,97.1944,98.31689
2008-09,96.15937,98.1356
2008-10,94.40938,97.64381
2008-11,92.98074,97.32632
2008-12,91.83992,97.13126
2009-01,90.85146,96.88499
2009-02,89.69004,96.56853
2009-03,89.25907,96.33614
2009-04,89.28883,96.27911
2009-05,90.08835,96.34918
2009-06,91.62477,96.56193
2009-07,93.12321,96.63406
2009-08,94.07984,96.7461
2009-09,94.91369,96.98254
2009-10,95.42635,97.13853
2009-11,95.81116,97.1012
2009-12,96.60133,97.16518
2010-01,97.48643,97.46834
2010-02,98.39607,97.68403
2010-03,99.25972,97.79086
2010-04,99.80368,97.97082
2010-05,100.1618,98.24239
2010-06,100.3316,98.42682
2010-07,100.2459,98.39687
2010-08,99.84931,97.98989
2010-09,99.67497,97.34669
2010-10,99.70537,96.57064
2010-11,100.1918,95.99693
2010-12,101.1017,95.73305
2011-01,102.2466,95.84232
2011-02,103.1096,96.26634
2011-03,103.2361,96.87832
2011-04,102.4767,97.1891
2011-05,100.9219,97.27967
2011-06,99.56977,97.23025
2011-07,98.68597,97.17605
2011-08,98.57218,97.27541
2011-09,99.34418,97.48763
2011-10,100.0933,97.68489
2011-11,99.80412,97.42389
2011-12,99.79947,96.91903
2012-01,99.88324,96.76698
2012-02,99.35851,96.93955
2012-03,99.03252,97.26089
2012-04,99.09985,97.47875
2012-05,99.5604,97.69109
2012-06,100.1215,97.9818
2012-07,100.3516,98.3385
2012-08,100.0406,98.32928
2012-09,100.2295,97.94904
2012-10,100.2959,97.59628
2012-11,100.3756,97.3152
2012-12,100.1914,97.01849
2013-01,100.0473,97.07722
2013-02,99.90804,97.10567
2013-03,99.48075,97.12183
2013-04,99.06139,97.1451
2013-05,98.97881,97.39143
2013-06,99.24627,97.81116
2013-07,99.76682,98.16777
2013-08,100.4652,98.5611
2013-09,101.0745,98.97326
2013-10,101.2057,99.16789
2013-11,101.0283,99.22099
2013-12,101.1087,99.47253
2014-01,101.4506,99.67684
2014-02,101.8146,99.80772
2014-03,102.0824,99.82166
2014-04,102.1382,99.75455
2014-05,101.8475,99.5777
2014-06,101.7378,99.73643
2014-07,102.1838,100.2051
2014-08,102.7181,100.5561
2014-09,103.2446,100.7753
2014-10,103.4114,100.7812
2014-11,103.3746,100.8562
2014-12,103.171,101.12
2015-01,102.939,101.4387
2015-02,103.2757,101.6975
2015-03,103.626,101.8719
2015-04,103.5435,101.9316
2015-05,103.3839,102.0076
2015-06,103.3129,102.1699
2015-07,103.1581,102.2865
2015-08,102.4195,102.4138
2015-09,101.9284,102.6149
2015-10,101.3922,102.865
2015-11,101.2981,103.029
2015-12,101.422,103.0668
2016-01,101.5679,102.9989
2016-02,101.5359,102.8042
2016-03,101.6214,102.52
2016-04,101.6028,102.3716
2016-05,101.6696,102.3903
2016-06,101.6115,102.4153
2016-07,101.8887,102.3186
2016-08,102.4296,102.3544
2016-09,102.324,102.4262
2016-10,101.8001,102.3764
2016-11,101.5627,102.2074
2016-12,101.9346,102.0982
2017-01,101.8347,102.1025
2017-02,101.2319,102.1279
2017-03,100.1701,102.2887
2017-04,99.92374,102.4423
2017-05,101.0496,102.5479
2017-06,102.1585,102.7248
2017-07,102.8441,102.9515
2017-08,102.3898,103.1328
2017-09,101.7863,103.1492
2017-10,101.7591,103.0984
2017-11,101.8363,103.0028
2017-12,101.8501,102.9737
2018-01,101.7677,103.0309
2018-02,101.4006,103.1313
2018-03,101.5931,103.1449
2018-04,102.4698,103.095
2018-05,102.936,103.0152
2018-06,102.9957,102.9664
2018-07,102.6093,102.9703
2018-08,102.7707,102.9449
2018-09,103.4673,102.895
2018-10,104.1321,102.6451
2018-11,104.2688,102.3126
2018-12,103.7695,101.9227
2019-01,102.2869,101.5141
2019-02,101.5453,101.2359
2019-03,101.2947,101.2036
2019-04,101.3729,101.4033
2019-05,101.5878,101.7239
2019-06,100.9936,101.7249
2019-07,99.88795,101.2589
2019-08,98.80884,100.7305
2019-09,97.88924,100.4568
2019-10,97.72127,100.4808
2019-11,98.34055,100.7795
2019-12,98.87209,101.0129
2020-01,99.15321,101.1676
2020-02,98.24992,100.9177
2020-03,95.52722,99.90849
2020-04,91.7061,98.49442
2020-05,91.494,98.0653
2020-06,93.06107,98.34718
2020-07,94.67206,98.72566
2020-08,95.94535,98.93948
2020-09,96.54906,99.15725
2020-10,97.10873,99.53603
2020-11,97.89705,100.1336
2020-12,98.12062,100.5298
2021-01,97.80407,100.6431
2021-02,97.99651,101.0337
2021-03,99.18356,101.4898
2021-04,100.9722,101.9044
2021-05,102.47,102.1453
2021-06,103.5379,102.1114
2021-07,104.0907,102.0444
2021-08,103.8587,102.0758
2021-09,103.4935,101.9677
2021-10,103.0495,101.6674
2021-11,102.2256,101.3015
2021-12,101.4241,100.8421
2022-01,100.9768,100.3266
2022-02,100.5342,99.47105
2022-03,99.97269,98.46294
2022-04,99.5,97.80807
2022-05,99.20266,97.4043
2022-06,99.30377,96.95242
2022-07,98.67876,96.63637
2022-08,98.56321,96.63214
2022-09,98.5395,96.65973
2022-10,98.34187,96.93031
2022-11,98.58662,97.24068
2022-12,100.0175,97.66197
2023-01,102.278,98.0016
