country,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,99.11417,98.74993,26.53889
1960-03,,,,,,,99.09724,98.72887,26.66348
1960-04,,,,,,,99.0757,98.7021,26.78864
1960-05,,,,,,,99.0427,98.66106,26.91438
1960-06,,,,,,,98.99164,98.59756,27.04069
1960-07,,,,,,,98.91945,98.50779,27.16757
1960-08,,,,,,,98.83134,98.39823,27.29501
1960-09,,,,,,,98.74702,98.29336,27.42299
1960-10,,,,,,,98.70767,98.24444,27.55149
1960-11,,,,,,,98.75715,98.30596,27.68049
1960-12,,,,,,,98.91991,98.50836,27.80997
1961-01,,,,,,,99.17252,98.8225,27.93991
1961-02,,,,,,,99.4724,99.19542,28.07025
1961-03,,,,,,,99.77954,99.57737,28.20097
1961-04,,,,,,,100.0747,99.94445,28.33202
1961-05,,,,,,,100.3515,100.2886,28.46336
1961-06,,,,,,,100.6085,100.6083,28.59495
1961-07,,,,,,,100.8433,100.9002,28.72675
1961-08,,,,,,,101.0516,101.1592,28.85871
1961-09,,,,,,,101.2285,101.3792,28.9908
1961-10,,,,,,,101.3714,101.557,29.12297
1961-11,,,,,,,101.4778,101.6892,29.25519
1961-12,,,103.4118,102.3512,,30.39008,101.545,101.7728,29.38743
1962-01,,,103.0202,102.0812,,30.4112,101.5732,101.8079,29.51965
1962-02,103.021,,102.6399,101.819,,30.4346,101.5631,101.7953,29.65183
1962-03,102.6714,,102.2998,101.5846,,30.46891,101.5158,101.7365,29.78395
1962-04,102.5859,,102.0555,101.4162,,30.5309,101.4362,101.6376,29.91598
1962-05,102.5495,,101.9041,101.3118,,30.62004,101.3316,101.5075,30.0479
1962-06,102.501,,101.8172,101.2519,,30.72813,101.2118,101.3585,30.17972
1962-07,102.4696,,101.7712,101.2202,,30.84828,101.0919,101.2093,30.31141
1962-08,102.4249,,101.7336,101.1942,,30.97072,100.9869,101.0788,30.44298
1962-09,102.4083,,101.7053,101.1748,,31.09581,100.9066,100.979,30.57441
1962-10,102.3286,,101.6526,101.1384,,31.21317,100.8496,100.9081,30.70572
1962-11,102.2771,,101.5749,101.0849,,31.32255,100.8129,100.8624,30.83689
1962-12,102.2092,,101.4965,101.0308,3.426428,31.43137,100.8,100.8463,30.96794
1963-01,102.2443,,101.4636,101.0081,3.757923,31.55403,100.8276,100.8807,31.09887
1963-02,102.3368,,101.4918,101.0276,4.143215,31.69557,100.9148,100.9892,31.22968
1963-03,102.3891,,101.6007,101.1027,4.573419,31.86238,101.0694,101.1814,31.36039
1963-04,102.4084,,101.768,101.218,4.968405,32.04779,101.2697,101.4305,31.49102
1963-05,102.3544,,101.9476,101.3418,5.282137,32.23743,101.4821,101.6946,31.62157
1963-06,102.1203,,102.0745,101.4293,5.475858,32.41076,101.675,101.9345,31.75206
1963-07,101.8845,,102.1286,101.4666,5.552636,32.56117,101.8315,102.1291,31.88252
1963-08,101.6488,,102.087,101.4379,5.522508,32.68108,101.944,102.269,32.01298
1963-09,101.3747,,101.8876,101.3004,5.320338,32.75021,102.0104,102.3515,32.14346
1963-10,101.0203,,101.526,101.0512,4.976624,32.76653,102.0343,102.3813,32.27402
1963-11,100.5173,,101.0133,100.6977,4.503103,32.73304,102.0161,102.3587,32.40469
1963-12,99.87564,,100.3484,100.2394,3.873638,32.64891,101.9478,102.2737,32.53554
1964-01,98.94192,,99.54569,99.68599,3.055653,32.51821,101.8101,102.1025,32.66661
1964-02,97.89198,,98.66941,99.08191,2.10128,32.36158,101.5832,101.8203,32.79799
1964-03,97.17071,,97.78076,98.4693,1.056283,32.19894,101.2618,101.4206,32.92973
1964-04,96.55563,,96.92831,97.88164,-0.004490353,32.04636,100.8642,100.9262,33.06192
1964-05,96.0764,,96.16944,97.3585,-0.9750687,31.9231,100.4237,100.3784,33.19464
1964-06,95.83567,,95.55563,96.93536,-1.740166,31.84676,99.9733,99.81832,33.32798
1964-07,95.64339,,95.08685,96.61219,-2.282387,31.818,99.53442,99.27255,33.46204
1964-08,95.50639,,94.75504,96.38345,-2.589671,31.83475,99.12314,98.76109,33.59689
1964-09,95.42281,,94.52096,96.22208,-2.643607,31.88442,98.75536,98.30373,33.73265
1964-10,95.27029,,94.37032,96.11824,-2.453368,31.96264,98.45022,97.92427,33.86938
1964-11,95.03845,,94.30496,96.07318,-2.024178,32.07046,98.2257,97.64507,34.00718
1964-12,94.93238,,94.37532,96.12169,-1.296782,32.22552,98.08994,97.47623,34.14613
1965-01,95.30634,,94.60709,96.28146,-0.2488524,32.43728,98.04198,97.4166,34.28631
1965-02,96.02484,,94.98186,96.53982,1.046221,32.70015,98.06875,97.44988,34.42779
1965-03,96.68468,,95.40627,96.83239,2.433632,32.98254,98.15048,97.55153,34.57062
1965-04,97.08861,,95.80858,97.10973,3.786622,33.25983,98.26052,97.68838,34.71487
1965-05,97.33042,,96.16214,97.35347,5.0108,33.5227,98.37331,97.82863,34.8606
1965-06,97.64001,,96.48046,97.57291,6.057037,33.77573,98.47002,97.9489,35.00785
1965-07,97.94329,,96.77744,97.77763,6.932277,34.02371,98.54388,98.04075,35.15665
1965-08,98.19781,,97.07346,97.9817,7.661552,34.27379,98.59444,98.10362,35.30706
1965-09,98.38759,,97.38686,98.19775,8.305273,34.53251,98.62327,98.13947,35.4591
1965-10,98.61568,,97.74639,98.4456,8.909134,34.81024,98.63105,98.14915,35.61281
1965-11,98.96362,,98.14893,98.7231,9.465573,35.10611,98.61943,98.1347,35.76821
1965-12,99.3632,,98.56884,99.01257,9.885467,35.41117,98.59412,98.10323,35.92532
1966-01,99.84453,,98.98037,99.29627,10.10855,35.71622,98.56907,98.07207,36.08415
1966-02,100.2855,,99.35184,99.55235,10.12118,36.0098,98.56166,98.06285,36.24472
1966-03,100.6754,,99.66762,99.77004,10.01584,36.28602,98.58774,98.09528,36.40703
1966-04,100.8723,,99.91798,99.94263,9.865541,36.54109,98.65512,98.17908,36.57109
1966-05,100.9091,,100.1086,100.074,9.707045,36.77676,98.76329,98.31359,36.73688
1966-06,100.8455,,100.253,100.1736,9.539543,36.99778,98.89972,98.48326,36.9044
1966-07,100.7806,,100.3691,100.2536,9.366261,37.21046,99.03293,98.64891,37.07363
1966-08,100.867,,100.4619,100.3176,9.169659,37.41658,99.12995,98.76956,37.24454
1966-09,100.9784,,100.5223,100.3593,8.919271,37.61256,99.17371,98.82397,37.41712
1966-10,101.0697,,100.5254,100.3614,8.556659,37.78883,99.18246,98.83486,37.59132
1966-11,101.1659,,100.4766,100.3277,8.092666,37.94714,99.18944,98.84354,37.76713
1966-12,101.1705,,100.3939,100.2707,7.576132,38.09396,99.22472,98.88741,37.9445
1967-01,100.9678,,100.2726,100.1871,7.03072,38.22733,99.29722,98.97758,38.1234
1967-02,100.7161,,100.1237,100.0844,6.502013,38.35116,99.40325,99.10943,38.30378
1967-03,100.4546,,99.96746,99.97675,6.027237,38.47306,99.53199,99.26952,38.48559
1967-04,100.3551,,99.82365,99.87761,5.636086,38.60058,99.66821,99.43893,38.66877
1967-05,100.3873,,99.69,99.78548,5.318749,38.73283,99.79681,99.59885,38.85327
1967-06,100.3692,,99.55505,99.69244,5.047725,38.86533,99.90649,99.73524,39.03903
1967-07,100.2819,,99.41557,99.59628,4.800486,38.99674,99.9937,99.84369,39.22599
1967-08,100.09,,99.27507,99.49943,4.574935,39.12836,100.0568,99.92217,39.41409
1967-09,99.97744,,99.14789,99.41175,4.395401,39.26578,100.0918,99.96566,39.60324
1967-10,99.94354,,99.02461,99.32677,4.277552,39.40527,100.0892,99.96247,39.79341
1967-11,100.0154,,98.89822,99.23965,4.20804,39.54396,100.0422,99.90398,39.9845
1967-12,100.0835,,98.77759,99.15648,4.17751,39.68534,99.95636,99.79726,40.17646
1968-01,100.079,,98.68694,99.09399,4.216387,39.83914,99.86314,99.68134,40.36922
1968-02,100.0541,,98.65784,99.07393,4.346972,40.01827,99.80264,99.60609,40.56269
1968-03,100.0871,,98.70802,99.10853,4.567297,40.23024,99.80755,99.61221,40.75681
1968-04,100.2076,,98.84055,99.19989,4.860322,40.47669,99.8849,99.70839,40.9515
1968-05,100.3631,,99.0433,99.33965,5.215734,40.75303,100.0283,99.88666,41.14668
1968-06,100.646,,99.30675,99.52127,5.635684,41.05566,100.2244,100.1306,41.34226
