country,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1959-01,,,97.65434,97.8911,,,,,
1959-02,,,98.04601,98.24327,,,,,
1959-03,,,98.39725,98.55909,,,,,
1959-04,,,98.72176,98.85086,,,,,
1959-05,,,99.0229,99.12163,,,,,
1959-06,,,99.3039,99.37429,,,,,
1959-07,,,99.56799,99.61173,,,,,
1959-08,,,99.81683,99.83549,,,,,
1959-09,,,100.0505,100.0456,,,,,
1959-10,,,100.2679,100.2411,,,,,
1959-11,,,100.4592,100.4131,,,,,
1959-12,,,100.6104,100.549,,,,,
1960-01,,,100.7077,100.6365,,,,,
1960-02,,,100.7501,100.6746,,12.09936,99.30142,99.17869,12.00928
1960-03,,,100.7504,100.6749,,12.19254,99.03069,98.87025,12.10174
1960-04,,,100.7237,100.6509,,12.28316,98.80045,98.60794,12.1949
1960-05,,,100.6965,100.6265,,12.37438,98.66508,98.45372,12.28879
1960-06,,,100.7027,100.632,,12.47041,98.66672,98.45559,12.38339
1960-07,,,100.7601,100.6836,,12.57356,98.80173,98.6094,12.47871
1960-08,,,100.8667,100.7794,,12.68373,99.04368,98.88505,12.57475
1960-09,,,101.0259,100.9226,,12.80151,99.35554,99.24034,12.67151
1960-10,,,101.2264,101.1029,,12.92558,99.69333,99.62518,12.76898
1960-11,,,101.4509,101.3048,,13.05385,100.0151,99.99178,12.86715
1960-12,,,101.6745,101.5058,,13.18315,100.2876,100.3022,12.96603
1961-01,,,101.8898,101.6993,,13.31251,100.4933,100.5365,13.0656
1961-02,,,102.0781,101.8687,11.13135,13.43947,100.6264,100.6882,13.16586
1961-03,,,102.2177,101.9942,11.26325,13.56103,100.6933,100.7644,13.26681
1961-04,,,102.3101,102.0773,11.37323,13.67726,100.7168,100.7912,13.36844
1961-05,,,102.3295,102.0948,11.40672,13.78455,100.7282,100.8042,13.47074
1961-06,,,102.2593,102.0316,11.30854,13.88039,100.7615,100.8421,13.57372
1961-07,,,102.0919,101.8811,11.05092,13.96349,100.8482,100.9409,13.67737
1961-08,,,101.8256,101.6416,10.63373,14.03329,101.0077,101.1226,13.78169
1961-09,,,101.4769,101.3281,10.0716,14.09177,101.2325,101.3788,13.88668
1961-10,,,101.0915,100.9816,9.4272,14.14506,101.4685,101.6476,13.99233
1961-11,,,100.7053,100.6343,8.758521,14.19809,101.6463,101.8501,14.09866
1961-12,,,100.3375,100.3036,8.113318,14.25359,101.7118,101.9248,14.20564
1962-01,,,99.99191,99.9929,7.503132,14.31215,101.6602,101.866,14.31331
1962-02,,,99.65115,99.68651,6.928344,14.37134,101.5114,101.6964,14.42165
1962-03,,,99.32655,99.39465,6.42337,14.43282,101.2935,101.4483,14.53068
1962-04,,,99.02332,99.122,5.991314,14.49742,101.0337,101.1523,14.64041
1962-05,,,98.75324,98.87917,5.670714,14.56695,100.7548,100.8345,14.75085
1962-06,,,98.51435,98.66438,5.476199,14.64123,100.4757,100.5166,14.86202
1962-07,,,98.31676,98.48672,5.426062,14.72189,100.2129,100.2171,14.97394
1962-08,,,98.16982,98.35459,5.53318,14.8105,99.9784,99.94995,15.08661
1962-09,,,98.08273,98.27628,5.791624,14.90864,99.77744,99.721,15.20007
1962-10,,,98.06313,98.25867,6.16411,15.0177,99.60312,99.5224,15.31431
1962-11,,,98.12463,98.31396,6.629163,15.14001,99.44763,99.34526,15.42937
1962-12,,,98.25374,98.43005,7.15256,15.2738,99.31097,99.18958,15.54526
1963-01,,,98.4361,98.59402,7.715025,15.41706,99.20798,99.07224,15.662
1963-02,,,98.6741,98.808,8.33811,15.57037,99.15977,99.01731,15.77959
1963-03,,,98.95159,99.05751,8.992171,15.7314,99.1827,99.04343,15.89807
1963-04,,,99.22374,99.30222,9.621848,15.89311,99.2734,99.14676,16.01744
1963-05,,,99.45665,99.51163,10.17581,16.05004,99.42136,99.31532,16.13772
1963-06,,,99.62704,99.66484,10.6292,16.19829,99.61598,99.53706,16.25892
1963-07,,,99.72224,99.75043,10.95526,16.33556,99.84906,99.8026,16.38106
1963-08,,,99.74525,99.77113,11.14561,16.46209,100.1148,100.1054,16.50414
1963-09,,,99.72453,99.75249,11.22056,16.58237,100.4066,100.4378,16.62817
1963-10,,,99.68137,99.71369,11.19473,16.6998,100.7109,100.7845,16.75318
1963-11,,,99.63285,99.67006,11.07167,16.81719,101.0108,101.1261,16.87917
1963-12,,,99.59219,99.63351,10.88177,16.9368,101.2884,101.4424,17.00615
1964-01,,,99.55638,99.6013,10.63845,17.05813,101.5268,101.714,17.13415
1964-02,,,99.51794,99.56674,10.33144,17.17995,101.7095,101.9221,17.26317
1964-03,,,99.46449,99.51868,9.966011,17.3001,101.8229,102.0513,17.39325
1964-04,,,99.39199,99.45349,9.588113,17.41784,101.8611,102.0948,17.52439
1964-05,,,99.31184,99.38142,9.247556,17.53514,101.8215,102.0497,17.65665
1964-06,,,99.21581,99.29508,8.960147,17.65052,101.7047,101.9167,17.79003
1964-07,,,99.10049,99.19139,8.735183,17.76334,101.5196,101.7058,17.92458
1964-08,,,98.96677,99.07116,8.569664,17.87372,101.2766,101.4289,18.06033
1964-09,,,98.81358,98.93343,8.431169,17.98142,100.9848,101.0965,18.19732
1964-10,,,98.63911,98.77655,8.294481,18.08607,100.654,100.7196,18.3356
1964-11,,,98.46081,98.61623,8.160387,18.19085,100.2939,100.3094,18.47522
1964-12,,,98.29763,98.46951,8.035685,18.2993,99.91586,99.87869,18.61621
1965-01,,,98.14059,98.32832,7.914363,18.40984,99.53678,99.44682,18.75864
1965-02,,,97.97246,98.17714,7.78642,18.51929,99.1753,99.035,18.90255
1965-03,,,97.79166,98.01456,7.664708,18.62735,98.84808,98.66221,19.048
1965-04,,,97.61662,97.85719,7.575471,18.73754,98.56493,98.33961,19.19503
1965-05,,,97.47306,97.7281,7.536498,18.85489,98.33058,98.07263,19.3437
1965-06,,,97.38333,97.64742,7.583066,18.98396,98.14311,97.85905,19.49405
1965-07,,,97.36304,97.62918,7.736973,19.12808,97.9886,97.68303,19.64614
1965-08,,,97.42204,97.68223,8.006848,19.28957,97.85328,97.52885,19.80001
1965-09,,,97.5489,97.7963,8.375883,19.46657,97.73267,97.39144,19.9557
1965-10,,,97.72915,97.95837,8.818349,19.65651,97.6388,97.28451,20.11326
1965-11,,,97.94028,98.14821,9.269487,19.85515,97.59248,97.23174,20.27271
1965-12,,,98.16677,98.35185,9.711506,20.05949,97.6133,97.25546,20.4341
1966-01,,,98.41189,98.57224,10.16969,20.27034,97.70612,97.36121,20.59745
1966-02,,,98.67521,98.80901,10.66811,20.48773,97.86536,97.54262,20.76279
1966-03,,,98.9343,99.04196,11.18421,20.70709,98.07341,97.77965,20.93015
1966-04,,,99.17444,99.25789,11.67839,20.92534,98.29346,98.03035,21.09953
1966-05,,,99.38506,99.44726,12.10537,21.14016,98.48465,98.24816,21.27096
1966-06,,,99.55394,99.59911,12.42134,21.34879,98.61551,98.39725,21.44445
1966-07,,,99.6712,99.70454,12.59404,21.54891,98.67864,98.46917,21.62
1966-08,,,99.74074,99.76707,12.61664,21.74111,98.68119,98.47207,21.79762
1966-09,,,99.78677,99.80846,12.53513,21.93045,98.63943,98.4245,21.97732
1966-10,,,99.82402,99.84195,12.39541,22.12009,98.57702,98.35339,22.15909
1966-11,,,99.84702,99.86263,12.23865,22.30876,98.51814,98.28631,22.34294
1966-12,,,99.85735,99.87192,12.06276,22.49672,98.4818,98.24491,22.52885
1967-01,,,99.86397,99.87787,11.86146,22.68593,98.47552,98.23775,22.71683
1967-02,,,99.85361,99.86856,11.61451,22.87332,98.50111,98.26691,22.90685
1967-03,,,99.82112,99.83934,11.33991,23.05758,98.55767,98.33135,23.0989
1967-04,,,99.76574,99.78954,11.05389,23.23838,98.64171,98.42709,23.29295
1967-05,,,99.69543,99.72633,10.77841,23.41745,98.7466,98.54659,23.48898
1967-06,,,99.6207,99.65913,10.53979,23.59712,98.85953,98.67525,23.68697
1967-07,,,99.55623,99.60117,10.36603,23.78086,98.95631,98.78551,23.88687
1967-08,,,99.5004,99.55096,10.25145,23.96829,99.0125,98.84953,24.08864
1967-09,,,99.45683,99.5118,10.17368,24.1603,99.01497,98.85234,24.29224
1967-10,,,99.44031,99.49693,10.13299,24.36053,98.97552,98.8074,24.49764
