country,LTU,LTU
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1993-05,94.89851,
1993-06,94.20935,
1993-07,93.55642,
1993-08,93.41953,
1993-09,94.6,
1993-10,96.98371,
1993-11,98.99472,
1993-12,97.7831,
1994-01,95.28095,
1994-02,93.17884,
1994-03,91.94041,
1994-04,91.07278,
1994-05,90.99895,
1994-06,91.49486,
1994-07,93.06657,
1994-08,95.0805,
1994-09,96.37582,
1994-10,97.54823,
1994-11,98.66821,
1994-12,100.2928,
1995-01,101.4295,
1995-02,101.3996,
1995-03,101.2373,
1995-04,101.1483,
1995-05,101.0595,
1995-06,101.4128,
1995-07,101.5978,
1995-08,101.1137,
1995-09,100.4758,
1995-10,99.90371,
1995-11,99.71202,
1995-12,99.72033,
1996-01,99.37432,
1996-02,98.58292,
1996-03,97.71204,
1996-04,97.46006,
1996-05,97.54466,
1996-06,97.51843,
1996-07,97.52969,
1996-08,97.50331,
1996-09,97.48167,
1996-10,97.75677,
1996-11,97.51798,
1996-12,96.90198,
1997-01,96.52692,
1997-02,96.98126,
1997-03,97.40215,
1997-04,97.3109,
1997-05,97.10799,
1997-06,97.84726,
1997-07,98.44456,
1997-08,98.60206,
1997-09,98.24614,
1997-10,97.65181,
1997-11,97.12922,
1997-12,96.59644,
1998-01,96.77139,
1998-02,97.27389,
1998-03,97.71896,
1998-04,97.81312,
1998-05,97.68434,
1998-06,97.15382,
1998-07,96.18176,
1998-08,94.51721,
1998-09,92.91677,
1998-10,91.46252,
1998-11,90.98636,
1998-12,91.35378,
1999-01,92.0105,
1999-02,92.39007,
1999-03,92.63095,
1999-04,92.98564,
1999-05,93.82635,
1999-06,95.00847,
1999-07,95.2413,
1999-08,95.45014,
1999-09,95.61967,
1999-10,96.02937,
1999-11,96.7318,
1999-12,97.2837,
2000-01,97.45271,
2000-02,97.4757,
2000-03,97.36133,
2000-04,97.36023,
2000-05,97.65666,
2000-06,97.91168,
2000-07,97.98827,
2000-08,98.3656,
2000-09,98.61823,
2000-10,98.37731,
2000-11,98.31092,
2000-12,98.39231,
2001-01,98.91737,
2001-02,99.7892,
2001-03,100.9441,
2001-04,101.797,
2001-05,101.8475,95.82296
2001-06,101.3422,96.26649
2001-07,100.8716,96.7645
2001-08,100.7133,97.01889
2001-09,100.3157,97.1217
2001-10,100.0418,97.0452
2001-11,100.0873,97.15951
2001-12,100.332,97.32377
2002-01,100.5754,97.42872
2002-02,100.7861,97.41485
2002-03,100.8223,97.45941
2002-04,100.574,97.62537
2002-05,100.1026,97.67088
2002-06,99.60756,97.54014
2002-07,99.43951,97.60985
2002-08,99.85597,97.94411
2002-09,100.2028,98.48023
2002-10,100.4353,99.0228
2002-11,100.5248,99.54688
2002-12,100.543,100.2393
2003-01,100.5377,100.9016
2003-02,100.4084,101.0968
2003-03,99.9474,101.0198
2003-04,99.56736,100.937
2003-05,99.17746,100.8625
2003-06,98.49285,100.7133
2003-07,98.34049,100.676
2003-08,98.94831,100.918
2003-09,99.95664,101.1504
2003-10,100.9729,101.3716
2003-11,101.9724,101.3422
2003-12,102.282,101.3501
2004-01,101.8351,101.2538
2004-02,101.6371,101.0585
2004-03,101.8168,101.0128
2004-04,102.1416,101.0008
2004-05,102.2604,101.0625
2004-06,102.0833,101.4421
2004-07,102.0857,101.9789
2004-08,102.0408,102.6764
2004-09,102.145,103.4212
2004-10,102.1111,103.8329
2004-11,101.5575,103.6865
2004-12,100.6059,103.3039
2005-01,100.5403,102.8973
2005-02,101.2008,102.5872
2005-03,101.9298,102.5168
2005-04,102.1446,102.651
2005-05,102.0878,102.7015
2005-06,102.5068,102.7584
2005-07,103.2311,102.6927
2005-08,103.7397,102.5731
2005-09,104.5154,102.4772
2005-10,104.8095,102.8293
2005-11,104.7201,103.3288
2005-12,104.7568,103.5836
2006-01,104.8382,103.6318
2006-02,105.1709,103.5416
2006-03,105.5341,103.5085
2006-04,105.6516,103.7272
2006-05,105.5682,103.8765
2006-06,105.2854,103.8867
2006-07,105.0918,103.7897
2006-08,105.1414,103.782
2006-09,105.4002,104.0663
2006-10,105.3501,104.3849
2006-11,104.6463,104.8663
2006-12,103.9419,105.4515
2007-01,103.8662,106.1058
2007-02,104.4605,106.5252
2007-03,105.2538,106.6137
2007-04,105.9722,106.4289
2007-05,106.0976,106.2024
2007-06,106.1224,106.0143
2007-07,106.0497,105.837
2007-08,105.9322,105.5409
2007-09,105.8045,104.7796
2007-10,105.8352,103.7244
2007-11,105.9268,102.9855
2007-12,105.1209,102.88
2008-01,104.0081,103.0025
2008-02,102.7152,103.0974
2008-03,101.7016,102.8264
2008-04,101.1846,101.8567
2008-05,101.3079,100.5328
2008-06,101.2142,99.27719
2008-07,100.7888,98.60096
2008-08,100.2602,98.35212
2008-09,99.28698,97.91756
2008-10,97.55674,96.8003
2008-11,95.19575,95.05409
2008-12,93.30142,93.05045
2009-01,92.11131,91.4369
2009-02,91.277,90.62276
2009-03,90.561,90.23979
2009-04,90.28362,90.1752
2009-05,90.91161,90.51681
2009-06,91.75043,90.85129
2009-07,92.42981,90.83485
2009-08,92.94561,90.69804
2009-09,93.19185,90.71481
2009-10,93.7835,90.02564
2009-11,94.36594,89.24816
2009-12,95.27784,89.08629
2010-01,96.58122,89.61165
2010-02,97.36093,90.42542
2010-03,97.83828,91.11823
2010-04,97.95723,91.73354
2010-05,97.71729,92.14784
2010-06,97.37158,92.62302
2010-07,97.59637,93.50149
2010-08,98.39243,94.32967
2010-09,99.31823,94.87704
2010-10,100.2791,95.14711
2010-11,100.8478,95.19511
2010-12,100.9248,95.14972
2011-01,100.8025,95.20164
2011-02,100.9134,95.4665
2011-03,101.599,95.93291
2011-04,102.5416,96.4531
2011-05,103.2411,96.89677
2011-06,103.6221,97.25127
2011-07,103.1237,97.61581
2011-08,101.4096,97.77402
2011-09,99.50143,97.52267
2011-10,98.42754,96.91489
2011-11,98.45422,96.32903
2011-12,98.89124,95.90881
2012-01,98.98121,96.22211
2012-02,98.94201,96.74718
2012-03,98.78481,97.12854
2012-04,99.05779,97.41805
2012-05,99.62954,97.87611
2012-06,99.83872,98.24423
2012-07,99.61328,98.41821
2012-08,99.01466,98.48132
2012-09,98.78029,98.49394
2012-10,98.70284,98.75883
2012-11,98.81584,99.1881
2012-12,99.50626,99.40334
2013-01,100.3447,99.61988
2013-02,101.0155,99.88432
2013-03,101.3941,100.2228
2013-04,101.757,100.5226
2013-05,102.1917,100.8868
2013-06,102.5863,101.0794
2013-07,102.6173,101.2556
2013-08,102.623,101.4406
2013-09,101.9878,101.4266
2013-10,100.9325,101.2449
2013-11,100.3751,101.1426
2013-12,100.5899,101.1451
2014-01,101.2375,100.9018
2014-02,101.7126,100.5966
2014-03,101.9063,100.3519
2014-04,101.7305,100.278
2014-05,101.3824,100.3166
2014-06,100.9566,100.2418
2014-07,100.6167,99.80365
2014-08,100.4229,99.13174
2014-09,100.3195,98.84474
2014-10,100.3985,99.08024
2014-11,100.1937,99.45341
2014-12,99.97489,99.87968
2015-01,99.96645,100.457
2015-02,100.4254,101.0761
2015-03,101.1917,101.6459
2015-04,101.3353,101.8393
2015-05,100.5734,101.6547
2015-06,99.83182,101.2591
2015-07,99.43518,100.9535
2015-08,99.60191,100.6928
2015-09,100.3829,100.4283
2015-10,101.037,100.5502
2015-11,101.1518,100.8391
2015-12,100.8005,101.1463
2016-01,100.6378,101.2513
2016-02,100.5255,101.0289
2016-03,100.2937,100.7089
2016-04,99.95936,100.2958
2016-05,99.81647,100.035
2016-06,99.85497,100.0591
2016-07,100.291,100.0655
2016-08,100.9647,100.2038
2016-09,101.4328,100.6324
2016-10,101.7742,101.27
2016-11,102.2982,101.805
2016-12,102.6393,101.861
2017-01,102.572,101.3009
2017-02,102.2334,100.5721
2017-03,101.8025,100.063
2017-04,101.4166,99.73631
2017-05,101.4612,99.60226
2017-06,102.0044,99.64361
2017-07,102.6472,99.87685
2017-08,102.9663,100.2013
2017-09,102.9633,100.5309
2017-10,102.7458,100.8343
2017-11,102.5303,101.0979
2017-12,102.1552,101.3865
2018-01,101.8248,101.5803
2018-02,101.8148,101.7063
2018-03,102.3451,101.9272
2018-04,102.9199,102.196
2018-05,103.2072,102.3642
2018-06,103.45,102.3871
2018-07,103.3687,102.5565
2018-08,103.1164,102.676
2018-09,102.9721,102.7663
2018-10,102.9593,102.8006
2018-11,102.8496,102.9421
2018-12,102.6329,103.1088
2019-01,102.3103,103.525
2019-02,102.2872,103.9344
2019-03,102.4273,104.1693
2019-04,102.393,104.288
2019-05,102.0688,104.4502
2019-06,101.7015,104.5418
2019-07,101.7661,104.4152
2019-08,102.2765,104.1982
2019-09,102.58,103.8737
2019-10,102.6081,103.606
2019-11,102.538,103.5547
2019-12,102.5885,103.4123
2020-01,102.5612,103.1856
2020-02,101.7904,102.4619
2020-03,99.83957,100.7456
2020-04,97.58932,98.83858
2020-05,97.2858,98.69557
2020-06,98.20352,99.6385
2020-07,99.30913,100.6525
2020-08,100.1755,101.4864
2020-09,100.8975,102.0769
2020-10,101.4376,102.1884
2020-11,101.6075,101.8083
2020-12,101.8322,101.6195
2021-01,102.2047,101.6646
2021-02,102.5078,101.8277
2021-03,103.0047,102.0437
2021-04,103.6069,102.2089
2021-05,104.0819,102.3662
2021-06,104.1207,102.7223
2021-07,104.0247,102.9063
2021-08,104.139,102.7091
2021-09,104.103,102.4822
2021-10,104.3208,102.1316
2021-11,104.6592,101.8551
2021-12,104.7578,101.4345
2022-01,104.4305,100.8047
2022-02,103.7786,100.2183
2022-03,103.0594,99.52543
2022-04,102.8104,99.08851
2022-05,102.7015,98.72372
2022-06,102.4172,98.21077
2022-07,102.1542,97.76726
2022-08,101.6365,97.43035
2022-09,100.9429,97.17194
2022-10,100.2137,97.6369
2022-11,99.67551,98.68645
