country,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA
subject,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,2010=100,,
time,,,,,,,,,
1947-03,,,,,102.0506,,11.22515,102.4569,10.95597
1947-04,,,,,101.6767,,11.21688,102.0148,10.99534
1947-05,,,,,101.3253,,11.21133,101.5991,11.03487
1947-06,,,,,101.0152,,11.21104,101.2325,11.07455
1947-07,,,,,100.7687,,11.21897,100.9409,11.1144
1947-08,,,,,100.6068,,11.238,100.7494,11.15441
1947-09,,,,,100.5413,,11.26981,100.6719,11.1946
1947-10,,,,,100.5601,,11.31297,100.6942,11.23498
1947-11,,,,,100.6423,,11.36479,100.7913,11.27556
1947-12,,,,,100.7656,,11.4224,100.9372,11.31635
1948-01,,,,,100.9102,,11.48321,101.1082,11.35735
1948-02,,,,,101.0581,,11.54485,101.2832,11.39859
1948-03,,,,,101.1915,3.383074,11.6049,101.4409,11.44006
1948-04,,,,,101.2895,3.955347,11.66054,101.5568,11.4818
1948-05,,,,,101.3308,4.437496,11.70883,101.6057,11.5238
1948-06,,,,,101.2977,4.783035,11.74727,101.5665,11.56609
1948-07,,,,,101.1839,4.955404,11.77492,101.432,11.60868
1948-08,,,,,100.9868,4.923327,11.79129,101.1989,11.6516
1948-09,,,,,100.704,4.668533,11.79595,100.8644,11.69486
1948-10,,,,,100.337,4.207773,11.78899,100.4303,11.73848
1948-11,,,,,99.89069,3.574274,11.771,99.90245,11.78249
1948-12,,,,,99.37918,2.813964,11.74382,99.29749,11.82691
1949-01,,,,,98.83681,1.994151,11.71221,98.65604,11.87176
1949-02,,,,,98.30373,1.185911,11.68177,98.02554,11.91706
1949-03,,,,,97.81416,0.4521925,11.65738,97.44654,11.96284
1949-04,,,,,97.38474,-0.1634727,11.64148,96.93865,12.00912
1949-05,,,,,97.02058,-0.6312869,11.63492,96.50797,12.05591
1949-06,,,,,96.71702,-0.9375842,11.63713,96.14893,12.10323
1949-07,,,,,96.45638,-1.097526,11.64569,95.84067,12.15109
1949-08,,,,,96.22697,-1.12209,11.65898,95.56935,12.19949
1949-09,,,,,96.03854,-0.9959698,11.67847,95.3465,12.24845
1949-10,,,,,95.93512,-0.6648092,11.71062,95.22418,12.29795
1949-11,,,,,95.96918,-0.06581088,11.76325,95.26447,12.34799
1949-12,,,,,96.17015,0.8266499,11.8409,95.50215,12.39857
1950-01,,,,,96.52699,1.964078,11.94224,95.92418,12.44967
1950-02,,,,,97.00035,3.252559,12.06172,96.48404,12.50126
1950-03,,,,,97.5469,4.595572,12.1931,97.13043,12.55333
1950-04,,,,,98.1348,5.929403,12.33175,97.82576,12.60583
1950-05,,,,,98.7397,7.212443,12.47408,98.54118,12.65875
1950-06,,,,,99.33703,8.415012,12.6164,99.24764,12.71204
1950-07,,,,,99.8926,9.512603,12.7535,99.90471,12.76566
1950-08,,,,,100.3712,10.47221,12.87993,100.4708,12.81958
1950-09,,,,,100.7483,11.24546,12.99176,100.9167,12.87375
1950-10,,,,,101.0261,11.77143,13.08913,101.2453,12.92813
1950-11,,,,,101.2208,11.995,13.17425,101.4755,12.98269
1950-12,,,,,101.3548,11.9038,13.25042,101.6341,13.03738
1951-01,,,,,101.4562,11.5518,13.32179,101.7539,13.09216
