country,ONM,ONM
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1980-01,,99.01
1980-02,,98.83
1980-03,,98.53
1980-04,,98.31
1980-05,,98.28
1980-06,,98.45
1980-07,,98.72
1980-08,,99.03
1980-09,,99.27
1980-10,,99.35
1980-11,,99.24
1980-12,,99.01
1981-01,,98.89
1981-02,,98.78
1981-03,,98.75
1981-04,,98.85
1981-05,,98.95
1981-06,,98.95
1981-07,,98.91
1981-08,,98.86
1981-09,,98.74
1981-10,,98.57
1981-11,,98.44
1981-12,,98.46
1982-01,,98.56
1982-02,,98.57
1982-03,,98.57
1982-04,,97.84621
1982-05,,97.89458
1982-06,,97.8294
1982-07,,97.70138
1982-08,,97.63516
1982-09,,97.65352
1982-10,,97.7197
1982-11,,97.77296
1982-12,,97.84953
1983-01,,98.0393
1983-02,,98.38636
1983-03,,98.83275
1983-04,,99.20468
1983-05,,99.40707
1983-06,,99.46928
1983-07,,99.47025
1983-08,,99.43755
1983-09,,99.40438
1983-10,,99.43707
1983-11,,99.58676
1983-12,,99.80199
1984-01,100.5018,99.98041
1984-02,100.3884,100.0145
1984-03,100.3225,99.96458
1984-04,100.3135,99.84449
1984-05,100.2769,99.74973
1984-06,100.2132,99.69981
1984-07,100.0697,99.7499
1984-08,99.86884,99.84204
1984-09,99.69415,99.89565
1984-10,99.61327,99.85255
1984-11,99.58213,99.81725
1984-12,99.58292,99.82184
1985-01,99.56401,99.87392
1985-02,99.5066,99.85156
1985-03,99.42125,99.80756
1985-04,99.37948,99.77154
1985-05,99.36534,99.73497
1985-06,99.37948,99.7405
1985-07,99.40182,99.73878
1985-08,99.45759,99.74764
1985-09,99.56058,99.79327
1985-10,99.64977,99.87041
1985-11,99.68812,99.97239
1985-12,99.65547,100.0988
1986-01,99.60587,100.2146
1986-02,99.55998,100.2702
1986-03,99.50629,100.2865
1986-04,99.45695,100.2935
1986-05,99.44685,100.2965
1986-06,99.37807,100.313
1986-07,99.34429,100.278
1986-08,99.41087,100.2138
1986-09,99.44167,100.1608
1986-10,99.42728,100.1444
1986-11,99.43063,100.0745
1986-12,99.47685,100.006
1987-01,99.57857,99.99637
1987-02,99.65416,100.0352
1987-03,99.77324,100.0974
1987-04,99.89519,100.1687
1987-05,100.0259,100.2141
1987-06,100.1441,100.2757
1987-07,100.2759,100.3482
1987-08,100.4386,100.3851
1987-09,100.5716,100.3529
1987-10,100.6542,100.2358
1987-11,100.678,100.1246
1987-12,100.6847,100.1709
1988-01,100.6287,100.3007
1988-02,100.5726,100.4164
1988-03,100.5646,100.4954
1988-04,100.6496,100.5258
1988-05,100.7894,100.5636
1988-06,100.9418,100.5949
1988-07,100.9815,100.6387
1988-08,100.9419,100.7199
1988-09,100.915,100.76
1988-10,100.9421,100.7402
1988-11,100.9679,100.6983
1988-12,100.9684,100.6535
1989-01,100.9124,100.6262
1989-02,100.8121,100.5093
1989-03,100.6819,100.3296
1989-04,100.5686,100.1639
1989-05,100.4289,100.0751
1989-06,100.2891,100.0784
1989-07,100.1666,100.1586
1989-08,100.0733,100.2624
1989-09,100.0319,100.3774
1989-10,100.0246,100.3751
1989-11,100.0327,100.3243
1989-12,100.057,100.2982
1990-01,100.0953,100.2797
1990-02,100.1511,100.2197
1990-03,100.193,100.1646
1990-04,100.187,100.1349
1990-05,100.1158,100.0546
1990-06,99.99364,99.93496
1990-07,99.81811,99.72329
1990-08,99.63715,99.34386
1990-09,99.45217,98.92905
1990-10,99.26294,98.65707
1990-11,99.08086,98.59769
1990-12,98.92433,98.65732
1991-01,98.78924,98.77708
1991-02,98.73889,99.05336
1991-03,98.77383,99.4317
1991-04,98.9009,99.56823
1991-05,99.0885,99.54932
1991-06,99.32863,99.48814
1991-07,99.51339,99.41042
1991-08,99.64573,99.35283
1991-09,99.66406,99.28831
1991-10,99.52564,99.1065
1991-11,99.29942,98.85601
1991-12,99.13081,98.67793
1992-01,99.14862,98.63068
1992-02,99.32512,98.73473
1992-03,99.48642,98.91434
1992-04,99.56167,99.04066
1992-05,99.59374,99.08727
1992-06,99.50558,99.03539
1992-07,99.35,98.88794
1992-08,99.14369,98.70993
1992-09,98.92297,98.55346
1992-10,99.02217,98.50866
1992-11,99.14697,98.63869
1992-12,99.25069,98.78368
1993-01,99.31855,98.84611
1993-02,99.28955,98.84084
1993-03,99.19284,98.83329
1993-04,99.08772,98.81782
1993-05,99.00214,98.72933
1993-06,98.92891,98.6079
1993-07,98.92741,98.51271
1993-08,98.9621,98.48396
1993-09,99.0071,98.50783
1993-10,99.0312,98.58356
1993-11,99.04308,98.71702
1993-12,99.04195,98.95816
1994-01,99.02933,99.20223
1994-02,99.06673,99.34309
1994-03,99.17002,99.42426
1994-04,99.33009,99.52089
1994-05,99.54549,99.62881
1994-06,99.80041,99.72477
1994-07,100.0747,99.84968
1994-08,100.3826,99.99033
1994-09,100.6609,100.1001
1994-10,100.822,100.1657
1994-11,100.8622,100.1951
1994-12,100.8279,100.2179
1995-01,100.7459,100.2202
1995-02,100.587,100.1461
1995-03,100.3665,100.0391
1995-04,100.2991,100.001
1995-05,99.9599,100.0111
1995-06,99.7375,100.0736
1995-07,99.65968,100.1028
1995-08,99.56894,100.0534
1995-09,99.42807,99.91431
1995-10,99.23772,99.80173
1995-11,99.0518,99.73563
1995-12,98.92304,99.73047
1996-01,98.85625,99.75681
1996-02,98.84914,99.81207
1996-03,98.89419,99.89306
1996-04,98.98698,99.91091
1996-05,99.11108,99.89079
1996-06,99.28233,99.90084
1996-07,99.40236,99.93106
1996-08,99.51831,99.96858
1996-09,99.59911,99.99059
1996-10,99.68449,100.0007
1996-11,99.81602,99.98161
1996-12,99.96909,99.92112
1997-01,100.1092,99.87992
1997-02,100.2323,99.90358
1997-03,100.3505,99.98126
1997-04,100.4596,100.1054
1997-05,100.579,100.2561
1997-06,100.6835,100.4002
1997-07,100.8028,100.4964
1997-08,100.8602,100.5077
1997-09,100.8685,100.4741
1997-10,100.8299,100.408
1997-11,100.7013,100.3559
1997-12,100.5431,100.3215
1998-01,100.3856,100.3671
1998-02,100.2634,100.4021
1998-03,100.143,100.3637
1998-04,99.97337,100.3073
1998-05,99.78706,100.225
1998-06,99.60793,100.1378
1998-07,99.43393,100.083
1998-08,99.21776,100.0502
1998-09,98.97285,100.029
1998-10,98.80178,100.048
1998-11,98.772,100.128
1998-12,98.83664,100.2369
1999-01,98.96031,100.3872
1999-02,99.09079,100.4794
1999-03,99.21231,100.4684
1999-04,99.37215,100.458
1999-05,99.5917,100.5092
1999-06,99.81139,100.5948
1999-07,100.0101,100.6659
1999-08,100.2462,100.7435
1999-09,100.4866,100.8422
1999-10,100.6606,100.9497
1999-11,100.7836,101.09
1999-12,100.8539,101.2439
2000-01,100.8805,101.3971
2000-02,100.9058,101.4293
2000-03,100.9135,101.4205
2000-04,100.8976,101.4261
2000-05,100.9007,101.4363
2000-06,100.9591,101.4218
2000-07,101.0107,101.4244
2000-08,100.9689,101.382
2000-09,100.8232,101.2917
2000-10,100.6169,101.2319
2000-11,100.4114,101.145
2000-12,100.2162,100.9982
2001-01,100.0161,100.8616
2001-02,99.7879,100.7477
2001-03,99.5512,100.6824
2001-04,99.35191,100.6308
2001-05,99.19291,100.591
2001-06,99.10869,100.5564
2001-07,99.02141,100.5079
2001-08,98.83774,100.379
2001-09,98.52032,100.1741
2001-10,98.25941,100.049
2001-11,98.29906,100.0691
2001-12,98.58601,100.2052
2002-01,99.01029,100.3346
2002-02,99.47256,100.4397
2002-03,99.80933,100.5419
2002-04,99.98434,100.5827
2002-05,100.0589,100.5869
2002-06,100.072,100.5047
2002-07,100.0296,100.3918
2002-08,100.0356,100.2773
2002-09,100.0691,100.1658
2002-10,100.0765,100.0373
2002-11,100.0281,99.9464
2002-12,99.8836,99.82807
2003-01,99.61995,99.65363
2003-02,99.36813,99.48268
2003-03,99.26895,99.39352
2003-04,99.39256,99.45632
2003-05,99.62638,99.60659
2003-06,99.83945,99.77193
2003-07,100.0733,99.89894
2003-08,100.3439,99.95638
2003-09,100.5866,100.0058
2003-10,100.8621,100.1045
2003-11,101.1332,100.2553
2003-12,101.2969,100.4135
2004-01,101.334,100.5571
2004-02,101.3311,100.5488
2004-03,101.3455,100.4962
2004-04,101.4111,100.4355
2004-05,101.4676,100.3759
2004-06,101.4591,100.3679
2004-07,101.4495,100.4038
2004-08,101.4467,100.4138
2004-09,101.4137,100.4207
2004-10,101.3215,100.4631
2004-11,101.2061,100.5412
2004-12,101.1156,100.6376
2005-01,101.034,100.7124
2005-02,100.9542,100.7116
2005-03,100.8703,100.6199
2005-04,100.6638,100.5162
2005-05,100.4163,100.4822
2005-06,100.3132,100.5269
2005-07,100.3895,100.5001
2005-08,100.5959,100.3237
2005-09,100.8612,100.0952
2005-10,100.9601,100.0452
2005-11,100.9388,100.212
2005-12,100.8867,100.4763
2006-01,100.8462,100.6656
2006-02,100.9526,100.7029
2006-03,101.1793,100.6791
2006-04,101.3622,100.6006
2006-05,101.3288,100.4765
2006-06,101.24,100.4234
2006-07,101.2134,100.4289
2006-08,101.2751,100.4853
2006-09,101.3768,100.6402
2006-10,101.382,100.8387
2006-11,101.4001,100.9623
2006-12,101.4235,101.0254
2007-01,101.4401,101.0263
2007-02,101.5157,100.9647
2007-03,101.6748,100.9066
2007-04,101.7805,100.9241
2007-05,101.7254,100.981
2007-06,101.6122,100.9891
2007-07,101.4781,100.9549
2007-08,101.4073,100.8305
2007-09,101.3611,100.6625
2007-10,101.2703,100.4662
2007-11,101.2363,100.2569
2007-12,101.1533,100.1057
2008-01,101.0624,99.91637
2008-02,101.0449,99.64581
2008-03,101.1039,99.32823
2008-04,100.9602,98.9377
2008-05,100.589,98.57192
2008-06,100.1815,98.29662
2008-07,99.71774,98.21255
2008-08,99.18039,98.24075
2008-09,98.31823,98.1431
2008-10,97.0431,97.75481
2008-11,95.84891,97.34309
2008-12,95.23852,97.03545
2009-01,95.23779,96.85388
2009-02,95.59846,96.78802
2009-03,96.15685,96.94521
2009-04,96.7998,97.31786
2009-05,97.38774,97.71915
2009-06,97.91483,98.04832
2009-07,98.42732,98.29292
2009-08,98.90533,98.50799
2009-09,99.28944,98.71404
2009-10,99.60506,98.8267
2009-11,99.82235,98.89489
2009-12,100.0227,99.0042
2010-01,100.193,99.13813
2010-02,100.3199,99.24617
2010-03,100.6094,99.35757
2010-04,100.8045,99.41489
2010-05,100.7764,99.43229
2010-06,100.6495,99.41207
2010-07,100.63,99.34264
2010-08,100.7685,99.28529
2010-09,101.0111,99.20515
2010-10,101.2272,99.15314
2010-11,101.3374,99.13071
2010-12,101.3437,99.07648
2011-01,101.2926,99.0308
2011-02,101.2384,99.03132
2011-03,101.1859,99.03703
2011-04,101.0399,99.04436
2011-05,100.7923,99.08784
2011-06,100.5434,99.05611
2011-07,100.2856,98.8457
2011-08,100.0751,98.5539
2011-09,99.88818,98.34831
2011-10,99.709,98.23658
2011-11,99.59885,98.27915
2011-12,99.64689,98.49099
2012-01,99.80398,98.7556
2012-02,99.99745,98.91721
2012-03,100.1233,98.94532
2012-04,100.0291,98.95307
2012-05,99.71793,98.89349
2012-06,99.44114,98.71013
2012-07,99.28967,98.59751
2012-08,99.22844,98.62347
2012-09,99.24548,98.74337
2012-10,99.24852,98.89062
2012-11,99.2555,98.92054
2012-12,99.29076,98.85769
2013-01,99.33596,98.8623
2013-02,99.38379,98.87853
2013-03,99.40485,98.81753
2013-04,99.36359,98.78306
2013-05,99.35026,98.73471
2013-06,99.39928,98.64223
2013-07,99.55198,98.4803
2013-08,99.75918,98.28383
2013-09,99.92323,98.14334
2013-10,100.0149,98.12055
2013-11,100.0393,98.20211
2013-12,99.97015,98.40697
2014-01,99.85741,98.6306
2014-02,99.82138,98.91021
2014-03,99.86007,99.20272
2014-04,99.92666,99.38037
2014-05,99.99608,99.4755
2014-06,100.0575,99.57355
2014-07,100.112,99.62527
2014-08,100.1213,99.64116
2014-09,100.0835,99.62747
2014-10,100.0332,99.56389
2014-11,99.93262,99.54869
2014-12,99.79861,99.64121
2015-01,99.69125,99.85842
2015-02,99.61998,100.1106
2015-03,99.58173,100.2754
2015-04,99.5701,100.3501
2015-05,99.54586,100.311
2015-06,99.47651,100.1488
2015-07,99.38697,99.91181
2015-08,99.30885,99.71062
2015-09,99.24786,99.58807
2015-10,99.21021,99.57938
2015-11,99.17109,99.63432
2015-12,99.13985,99.65676
2016-01,99.12646,99.6254
2016-02,99.16927,99.54408
2016-03,99.30293,99.453
2016-04,99.38962,99.46319
2016-05,99.42947,99.57771
2016-06,99.44933,99.7442
2016-07,99.44697,99.87939
2016-08,99.46832,99.97511
2016-09,99.59364,100.0783
2016-10,99.77464,100.2253
2016-11,99.95444,100.3899
2016-12,100.0819,100.5121
2017-01,100.1857,100.5771
2017-02,100.2714,100.6453
2017-03,100.2955,100.7078
2017-04,100.2773,100.7742
2017-05,100.3293,100.8059
2017-06,100.4726,100.8489
2017-07,100.6151,100.9492
2017-08,100.7959,101.1169
2017-09,100.9566,101.3552
2017-10,101.0047,101.5595
2017-11,101.0098,101.6076
2017-12,100.9619,101.6231
2018-01,100.8848,101.6616
2018-02,100.8198,101.7177
2018-03,100.8245,101.7168
2018-04,100.8491,101.6485
2018-05,100.8659,101.5284
2018-06,100.8167,101.395
2018-07,100.7224,101.3609
2018-08,100.6134,101.331
2018-09,100.4442,101.3151
2018-10,100.2701,101.3044
2018-11,100.1388,101.3206
2018-12,99.99193,101.3552
2019-01,99.89247,101.4264
2019-02,99.811,101.5443
2019-03,99.75735,101.6165
2019-04,99.61205,101.6412
2019-05,99.39743,101.6253
2019-06,99.1759,101.5913
2019-07,98.99053,101.4973
2019-08,98.87858,101.3811
2019-09,98.84186,101.3885
2019-10,98.86671,101.4767
2019-11,98.85098,101.6264
2019-12,98.58333,101.7413
2020-01,98.02055,101.6523
2020-02,97.26231,101.1768
2020-03,97.11617,100.3426
2020-04,96.87621,99.40358
2020-05,97.1253,99.03549
2020-06,97.81962,99.13996
2020-07,98.57623,99.41373
2020-08,99.18647,99.67538
2020-09,99.6449,99.91889
2020-10,99.97997,100.1089
2020-11,100.1266,100.2083
2020-12,100.1349,100.3212
2021-01,100.0841,100.4638
2021-02,100.2052,100.6963
2021-03,100.5772,100.9078
2021-04,100.944,101.0769
2021-05,101.2864,101.2157
2021-06,101.4984,101.2575
2021-07,101.5619,101.0597
2021-08,101.5295,100.8498
2021-09,101.4512,100.7891
2021-10,101.3844,100.7102
2021-11,101.3623,100.6003
2021-12,101.3192,100.491
2022-01,101.2355,100.2344
2022-02,101.0927,99.59656
2022-03,100.8461,98.4763
2022-04,100.626,97.23277
2022-05,100.5786,96.45916
2022-06,100.487,96.09323
2022-07,100.2873,95.98186
2022-08,100.074,96.02309
2022-09,99.84258,96.0441
2022-10,99.5832,96.06728
2022-11,99.36778,96.1124
2022-12,99.35487,96.3572
