country,OXE,OXE
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1960-02,,103.1063
1960-03,,102.8733
1960-04,,102.7448
1960-05,,102.7773
1960-06,,102.8691
1960-07,,102.8885
1960-08,,102.7418
1960-09,,102.5144
1960-10,,102.3255
1960-11,,102.2643
1960-12,,102.2863
1961-01,,102.3372
1961-02,,102.3913
1961-03,,102.4634
1961-04,,102.5908
1961-05,,102.7989
1961-06,,103.01
1961-07,,103.1114
1961-08,,103.0189
1961-09,,102.851
1961-10,,102.7668
1961-11,,102.8788
1961-12,,103.0825
1962-01,,103.2279
1962-02,,103.1993
1962-03,,103.0537
1962-04,,102.8638
1962-05,,102.6796
1962-06,,102.5327
1962-07,,102.4646
1962-08,,102.5172
1962-09,,102.6452
1962-10,,102.803
1962-11,,102.9562
1962-12,,103.0638
1963-01,,103.0649
1963-02,,102.9101
1963-03,,102.701
1963-04,,102.5688
1963-05,,102.609
1963-06,,102.7375
1963-07,,102.8439
1963-08,,102.856
1963-09,,102.8267
1963-10,,102.8395
1963-11,,102.9558
1963-12,,103.12
1964-01,,103.2524
1964-02,,103.2948
1964-03,,103.2876
1964-04,,103.2864
1964-05,,103.328
1964-06,,103.3907
1964-07,,103.4386
1964-08,,103.4458
1964-09,,103.4343
1964-10,,103.4383
1964-11,,103.4867
1964-12,,103.5707
1965-01,,103.6811
1965-02,,103.8114
1965-03,,103.933
1965-04,,104.0049
1965-05,,103.9919
1965-06,,103.9319
1965-07,,103.8677
1965-08,,103.8239
1965-09,,103.7892
1965-10,,103.7398
1965-11,,103.6536
1965-12,,103.5389
1966-01,,103.4012
1966-02,,103.2394
1966-03,,103.0634
1966-04,,102.88
1966-05,,102.692
1966-06,,102.5046
1966-07,,102.3287
1966-08,,102.1836
1966-09,,102.0875
1966-10,,102.0838
1966-11,,102.2178
1966-12,,102.4216
1967-01,,102.618
1967-02,,102.7553
1967-03,,102.8492
1967-04,,102.9196
1967-05,,102.9703
1967-06,,102.9928
1967-07,,102.9607
1967-08,,102.8527
1967-09,,102.7295
1967-10,,102.6736
1967-11,,102.7439
1967-12,,102.8634
1968-01,,102.925
1968-02,,102.8491
1968-03,,102.6987
1968-04,,102.5577
1968-05,,102.4846
1968-06,,102.4559
1968-07,,102.4396
1968-08,,102.4233
1968-09,,102.4308
1968-10,,102.5098
1968-11,,102.6955
1968-12,,102.9027
1969-01,,103.0072
1969-02,,102.9059
1969-03,,102.6795
1969-04,,102.418
1969-05,,102.1721
1969-06,,101.9394
1969-07,,101.7009
1969-08,,101.4436
1969-09,,101.19
1969-10,,100.9795
1969-11,,100.8472
1969-12,,100.7588
1970-01,,100.677
1970-02,,100.5848
1970-03,,100.5007
1970-04,,100.4606
1970-05,,100.4908
1970-06,,100.5369
1970-07,,100.5242
1970-08,,100.4021
1970-09,,100.2469
1970-10,,100.1703
1970-11,,100.2614
1970-12,,100.4487
1971-01,,100.6444
1971-02,,100.7901
1971-03,,100.8963
1971-04,,100.9824
1971-05,,101.0571
1971-06,,101.1183
1971-07,,101.157
1971-08,,101.1736
1971-09,,101.2177
1971-10,,101.3671
1971-11,,101.6796
1971-12,,102.0397
1972-01,,102.2897
1972-02,,102.3137
1972-03,,102.2309
1972-04,,102.1996
1972-05,,102.3268
1972-06,,102.5274
1972-07,,102.668
1972-08,,102.6374
1972-09,,102.4871
1972-10,,102.2501
1972-11,,101.9466
1972-12,,101.5974
1973-01,,101.2744
1973-02,,101.0113
1973-03,,100.7862
1973-04,,100.5754
1973-05,,100.377
1973-06,,100.2198
1973-07,,100.1569
1973-08,,100.2224
1973-09,,100.2956
1973-10,,100.2112
1973-11,,99.85442
1973-12,,99.41308
1974-01,,99.1433
1974-02,,99.23234
1974-03,,99.48999
1974-04,,99.66975
1974-05,,99.59444
1974-06,100.7541,99.35972
1974-07,100.3193,99.08083
1974-08,99.71385,98.82828
1974-09,98.88369,98.60758
1974-10,98.00865,98.43536
1974-11,97.14681,98.3267
1974-12,96.4472,98.31821
1975-01,96.15401,98.49262
1975-02,96.19025,98.91731
1975-03,96.36564,99.44424
1975-04,96.82161,99.89685
1975-05,97.37724,100.1597
1975-06,97.93697,100.2872
1975-07,98.45907,100.34
1975-08,98.96167,100.3494
1975-09,99.34993,100.3733
1975-10,99.58974,100.4829
1975-11,99.74773,100.7275
1975-12,99.99294,101.0248
1976-01,100.3615,101.2582
1976-02,100.66,101.3447
1976-03,100.7653,101.3729
1976-04,100.833,101.4443
1976-05,100.7848,101.6137
1976-06,100.6658,101.8184
1976-07,100.4856,101.9661
1976-08,100.316,101.9834
1976-09,100.1944,101.9154
1976-10,100.1357,101.8251
1976-11,100.1545,101.7583
1976-12,100.3122,101.7304
1977-01,100.3999,101.746
1977-02,100.5085,101.8144
1977-03,100.659,101.916
1977-04,100.7188,102.0065
1977-05,100.7344,102.0361
1977-06,100.5977,102.0073
1977-07,100.4253,101.926
1977-08,100.2135,101.7974
1977-09,100.1157,101.645
1977-10,100.2056,101.5121
1977-11,100.3914,101.4365
1977-12,100.5677,101.4077
1978-01,100.5432,101.3924
1978-02,100.4585,101.3202
1978-03,100.4825,101.1741
1978-04,100.7072,101.1492
1978-05,101.0011,101.1469
1978-06,101.2322,101.0847
1978-07,101.3756,101.0297
1978-08,101.3903,100.9098
1978-09,101.3851,100.8147
1978-10,101.3751,100.6018
1978-11,101.3644,100.2397
1978-12,101.2918,99.92062
1979-01,101.2232,99.91667
1979-02,101.1714,99.91913
1979-03,101.0922,99.74288
1979-04,100.9455,99.55097
1979-05,100.7457,99.39825
1979-06,100.531,99.18444
1979-07,100.3299,99.00397
1979-08,100.1689,99.03414
1979-09,100.0679,99.07883
1979-10,99.96104,99.01173
1979-11,99.82938,98.99995
1979-12,99.72094,99.04488
1980-01,99.72595,99.2747
1980-02,99.60736,99.08778
1980-03,99.00919,98.61246
1980-04,98.16174,98.23919
1980-05,97.47456,98.20682
1980-06,97.42393,98.55584
1980-07,98.02332,99.0633
1980-08,99.01558,99.62211
1980-09,99.90891,100.0985
1980-10,100.5209,100.3084
1980-11,100.6668,100.2156
1980-12,100.3418,99.88624
1981-01,99.92945,99.73518
1981-02,99.72342,99.61942
1981-03,99.74186,99.65892
1981-04,99.86467,99.87012
1981-05,99.89139,100.0444
1981-06,99.67672,100.064
1981-07,99.33525,100.0527
1981-08,98.9862,99.99297
1981-09,98.49374,99.75426
1981-10,98.0418,99.41954
1981-11,97.73781,99.11308
1981-12,97.67718,99.06842
1982-01,97.68989,99.14825
1982-02,97.66496,99.06017
1982-03,97.57969,98.93262
1982-04,97.50076,98.9436
1982-05,97.42593,98.92594
1982-06,97.45679,98.86403
1982-07,97.47028,98.83018
1982-08,97.45286,98.90256
1982-09,97.44357,99.08935
1982-10,97.48779,99.27964
1982-11,97.65851,99.37742
1982-12,98.07082,99.46213
1983-01,98.65386,99.63285
1983-02,99.26741,100.0015
1983-03,99.62393,100.5237
1983-04,99.87215,101.0525
1983-05,100.1722,101.3934
1983-06,100.5569,101.505
1983-07,100.9976,101.5008
1983-08,101.2639,101.4491
1983-09,101.4444,101.428
1983-10,101.6587,101.4864
1983-11,101.8467,101.6531
1983-12,101.861,101.8959
1984-01,101.5446,102.1238
1984-02,101.3199,102.2069
1984-03,101.1917,102.2172
1984-04,101.1625,102.1321
1984-05,101.0659,102.084
1984-06,100.907,102.0645
1984-07,100.6433,102.1239
1984-08,100.3224,102.2117
1984-09,100.058,102.2269
1984-10,99.9483,102.1225
1984-11,99.91423,102.0191
1984-12,99.90827,101.9554
1985-01,99.86969,101.959
1985-02,99.77618,101.9245
1985-03,99.6384,101.8859
1985-04,99.54633,101.8569
1985-05,99.48201,101.8439
1985-06,99.47402,101.8859
1985-07,99.50037,101.8577
1985-08,99.57327,101.7862
1985-09,99.71497,101.7069
1985-10,99.83621,101.6456
1985-11,99.88892,101.692
1985-12,99.85628,101.8047
1986-01,99.81214,101.891
1986-02,99.75327,101.9152
1986-03,99.68916,101.8991
1986-04,99.63123,101.8872
1986-05,99.61054,101.8776
1986-06,99.48262,101.8771
1986-07,99.40701,101.7698
1986-08,99.50621,101.5985
1986-09,99.55241,101.4533
1986-10,99.52645,101.379
1986-11,99.52071,101.2551
1986-12,99.59278,101.1613
1987-01,99.77165,101.1625
1987-02,99.88491,101.2302
1987-03,100.0471,101.3419
1987-04,100.2137,101.4649
1987-05,100.3833,101.5557
1987-06,100.5322,101.6623
1987-07,100.6986,101.7733
1987-08,100.9065,101.8
1987-09,101.0862,101.7012
1987-10,101.1986,101.5069
1987-11,101.225,101.3652
1987-12,101.2208,101.4627
1988-01,101.0799,101.6808
1988-02,100.9414,101.8561
1988-03,100.8886,101.9581
1988-04,100.9827,101.9699
1988-05,101.1619,102.0146
1988-06,101.3663,102.0625
1988-07,101.3865,102.1322
1988-08,101.2744,102.2376
1988-09,101.1779,102.2592
1988-10,101.1766,102.1764
1988-11,101.204,102.0854
1988-12,101.198,102.0574
1989-01,101.1063,102.0856
1989-02,100.9624,101.9963
1989-03,100.7812,101.8206
1989-04,100.6173,101.6221
1989-05,100.3843,101.4949
1989-06,100.1424,101.4608
1989-07,99.95116,101.515
1989-08,99.85558,101.6124
1989-09,99.86398,101.749
1989-10,99.91076,101.7523
1989-11,99.95387,101.6615
1989-12,100.011,101.5913
1990-01,100.0976,101.5707
1990-02,100.235,101.5411
1990-03,100.3429,101.5504
1990-04,100.3686,101.5294
1990-05,100.3034,101.3919
1990-06,100.1497,101.1668
1990-07,99.92457,100.8246
1990-08,99.71372,100.2985
1990-09,99.4953,99.78915
1990-10,99.27457,99.38489
1990-11,99.05499,99.25132
1990-12,98.86771,99.32572
1991-01,98.72139,99.59291
1991-02,98.74206,100.0245
1991-03,98.86722,100.5063
1991-04,99.12274,100.6514
1991-05,99.47891,100.645
1991-06,99.9201,100.676
1991-07,100.2517,100.6853
1991-08,100.469,100.611
1991-09,100.4915,100.4189
1991-10,100.2524,100.0478
1991-11,99.86977,99.61135
1991-12,99.59503,99.34483
1992-01,99.60567,99.28793
1992-02,99.86861,99.43652
1992-03,100.1298,99.71687
1992-04,100.2703,99.93143
1992-05,100.358,100.0267
1992-06,100.2951,99.97996
1992-07,100.1688,99.81485
1992-08,99.9685,99.66404
1992-09,99.75031,99.59448
1992-10,99.68937,99.69678
1992-11,99.77525,100.0381
1992-12,99.86308,100.3442
1993-01,99.89127,100.4604
1993-02,99.80191,100.4487
1993-03,99.64301,100.3945
1993-04,99.47579,100.2759
1993-05,99.39011,100.0616
1993-06,99.31326,99.85347
1993-07,99.28539,99.64803
1993-08,99.32804,99.53975
1993-09,99.46596,99.56424
1993-10,99.66621,99.75674
1993-11,99.79781,100.0755
1993-12,99.83694,100.5377
1994-01,99.8008,100.9602
1994-02,99.77025,101.171
1994-03,99.82464,101.2414
1994-04,99.94043,101.2759
1994-05,100.1004,101.2883
1994-06,100.2913,101.2807
1994-07,100.483,101.295
1994-08,100.6487,101.3726
1994-09,100.7657,101.4421
1994-10,100.7875,101.4922
1994-11,100.7142,101.513
1994-12,100.5866,101.5414
1995-01,100.4646,101.4929
1995-02,100.2438,101.3098
1995-03,99.94048,101.0932
1995-04,99.60723,100.9804
1995-05,99.28067,100.949
1995-06,99.16641,101.0358
1995-07,99.2427,101.1342
1995-08,99.23328,101.1427
1995-09,99.1989,101.0125
1995-10,99.09451,100.9253
1995-11,98.99095,100.8941
1995-12,98.9465,100.9451
1996-01,98.95596,101.008
1996-02,99.02687,101.1033
1996-03,99.14523,101.2309
1996-04,99.30582,101.2566
1996-05,99.47774,101.2267
1996-06,99.69035,101.2695
1996-07,99.7656,101.3461
1996-08,99.82793,101.4011
1996-09,99.83843,101.4277
1996-10,99.87323,101.4459
1996-11,100.0195,101.4151
1996-12,100.2016,101.3237
1997-01,100.3132,101.3077
1997-02,100.4025,101.4198
1997-03,100.5057,101.595
1997-04,100.6079,101.7972
1997-05,100.7302,101.9891
1997-06,100.8092,102.1413
1997-07,100.874,102.2105
1997-08,100.8097,102.1358
1997-09,100.681,102.0228
1997-10,100.5767,101.9069
1997-11,100.4173,101.8399
1997-12,100.2351,101.8069
1998-01,100.0729,101.9115
1998-02,99.92151,102.0106
1998-03,99.76397,101.9875
1998-04,99.55849,101.9324
1998-05,99.32773,101.8192
1998-06,99.11826,101.6927
1998-07,98.97148,101.5769
1998-08,98.841,101.4526
1998-09,98.7181,101.321
1998-10,98.66915,101.2845
1998-11,98.68495,101.4282
1998-12,98.78974,101.6223
1999-01,99.00678,101.8805
1999-02,99.20174,102.0772
1999-03,99.32293,102.1298
1999-04,99.43338,102.1456
1999-05,99.57957,102.1932
1999-06,99.72851,102.2198
1999-07,99.8311,102.2099
1999-08,99.99049,102.201
1999-09,100.1686,102.2308
1999-10,100.2847,102.2538
1999-11,100.3673,102.354
1999-12,100.4191,102.4713
2000-01,100.4324,102.6246
2000-02,100.4249,102.659
2000-03,100.3927,102.6121
2000-04,100.3211,102.6072
2000-05,100.2223,102.6064
2000-06,100.1459,102.5737
2000-07,100.1082,102.5723
2000-08,100.0046,102.5186
2000-09,99.84873,102.3916
2000-10,99.65333,102.2093
2000-11,99.4148,101.9333
2000-12,99.08694,101.5232
2001-01,98.76225,101.1651
2001-02,98.51241,100.926
2001-03,98.44779,100.8241
2001-04,98.49388,100.7948
2001-05,98.53975,100.7777
2001-06,98.61147,100.754
2001-07,98.64581,100.6634
2001-08,98.55032,100.4372
2001-09,98.23833,100.086
2001-10,97.9435,99.91392
2001-11,98.01092,99.98721
2001-12,98.23927,100.2124
2002-01,98.58464,100.4192
2002-02,99.04825,100.6037
2002-03,99.44102,100.8016
2002-04,99.63889,100.9034
2002-05,99.66669,100.9393
2002-06,99.57986,100.8183
2002-07,99.38885,100.6107
2002-08,99.30431,100.4174
2002-09,99.32838,100.2254
2002-10,99.36061,100.0646
2002-11,99.3821,100.037
2002-12,99.3511,99.98402
2003-01,99.10015,99.80364
2003-02,98.78083,99.62472
2003-03,98.59418,99.63759
2003-04,98.71454,99.96899
2003-05,98.98048,100.327
2003-06,99.18609,100.5163
2003-07,99.40941,100.5893
2003-08,99.67947,100.5729
2003-09,99.92815,100.5693
2003-10,100.2263,100.6842
2003-11,100.5899,100.8919
2003-12,100.9178,101.1084
2004-01,101.1019,101.3224
2004-02,101.2387,101.281
2004-03,101.3126,101.2035
2004-04,101.3824,101.1537
2004-05,101.344,101.1237
2004-06,101.1776,101.1818
2004-07,101.0586,101.2515
2004-08,101.0128,101.2253
2004-09,100.9775,101.1488
2004-10,100.8627,101.1163
2004-11,100.7631,101.1784
2004-12,100.7162,101.296
2005-01,100.628,101.3765
2005-02,100.5039,101.3228
2005-03,100.3766,101.1286
2005-04,100.2353,100.964
2005-05,100.1859,100.9638
2005-06,100.2724,101.0809
2005-07,100.4229,101.0243
2005-08,100.5929,100.6671
2005-09,100.7943,100.2539
2005-10,100.842,100.209
2005-11,100.8264,100.5402
2005-12,100.784,100.9634
2006-01,100.7298,101.2225
2006-02,100.7193,101.2508
2006-03,100.7086,101.174
2006-04,100.6864,100.9956
2006-05,100.5907,100.7446
2006-06,100.4907,100.6257
2006-07,100.4751,100.5819
2006-08,100.4519,100.6056
2006-09,100.3465,100.7918
2006-10,100.2416,101.0733
2006-11,100.235,101.22
2006-12,100.3156,101.2776
2007-01,100.3744,101.2949
2007-02,100.4502,101.1633
2007-03,100.5047,100.9923
2007-04,100.5323,100.8904
2007-05,100.5334,100.848
2007-06,100.5185,100.8022
2007-07,100.4322,100.7857
2007-08,100.3218,100.6567
2007-09,100.2183,100.4763
2007-10,100.1357,100.2313
2007-11,100.0765,99.95779
2007-12,99.97507,99.75404
2008-01,99.85831,99.52794
2008-02,99.69276,99.12632
2008-03,99.57517,98.63498
2008-04,99.47961,98.06863
2008-05,99.448,97.58934
2008-06,99.4015,97.31162
2008-07,99.20901,97.31773
2008-08,98.73318,97.44121
2008-09,97.85513,97.41447
2008-10,96.82127,97.02835
2008-11,95.97951,96.70757
2008-12,95.45982,96.58935
2009-01,95.31456,96.57471
2009-02,95.40754,96.61736
2009-03,95.75681,96.889
2009-04,96.35794,97.41466
2009-05,96.98431,97.91222
2009-06,97.5545,98.24334
2009-07,98.1132,98.39931
2009-08,98.57893,98.53208
2009-09,98.89384,98.68203
2009-10,99.15152,98.70129
2009-11,99.3567,98.68847
2009-12,99.65071,98.78543
2010-01,100.0071,98.93843
2010-02,100.3159,99.04271
2010-03,100.6297,99.11975
2010-04,100.782,99.17078
2010-05,100.7365,99.22315
2010-06,100.6216,99.20857
2010-07,100.5729,99.0723
2010-08,100.6016,98.9931
2010-09,100.6895,98.98348
2010-10,100.8356,99.05843
2010-11,101.0141,99.22187
2010-12,101.1636,99.36268
2011-01,101.2556,99.40702
