country,PRT,PRT
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1986-06,,102.8638
1986-07,,103.0084
1986-08,,103.0212
1986-09,,103.0841
1986-10,,103.09
1986-11,,103.0318
1986-12,,102.9579
1987-01,104.7654,102.9902
1987-02,105.3111,103.0249
1987-03,105.6686,103.0541
1987-04,105.6401,103.1114
1987-05,105.3851,103.2427
1987-06,105.1468,103.3505
1987-07,105.0248,103.5545
1987-08,105.0012,103.7095
1987-09,104.9733,103.8709
1987-10,104.6854,104.0407
1987-11,104.2406,104.026
1987-12,103.7241,103.82
1988-01,103.1956,103.5573
1988-02,102.8134,103.2878
1988-03,102.6991,102.9241
1988-04,102.6557,102.6689
1988-05,102.5235,102.5328
1988-06,102.284,102.4323
1988-07,102.0408,102.4042
1988-08,102.1385,102.2939
1988-09,102.2897,102.2546
1988-10,102.5028,102.4255
1988-11,102.7199,102.5973
1988-12,102.8451,102.6901
1989-01,102.8593,102.6998
1989-02,102.6347,102.7037
1989-03,102.3733,102.6343
1989-04,102.1372,102.4522
1989-05,101.9293,102.2949
1989-06,101.597,102.2845
1989-07,101.493,102.1541
1989-08,101.3892,102.0649
1989-09,101.4558,102.1465
1989-10,101.3992,102.2907
1989-11,101.2109,102.4836
1989-12,100.9215,102.6411
1990-01,100.6687,102.8488
1990-02,100.6852,103.0475
1990-03,100.7964,103.2381
1990-04,100.7364,103.5193
1990-05,100.4589,103.7588
1990-06,100.2579,103.8238
1990-07,100.1696,103.6755
1990-08,100.2647,103.3241
1990-09,100.4038,102.9573
1990-10,100.5051,102.9575
1990-11,100.7068,103.2065
1990-12,100.5717,103.5177
1991-01,100.0628,103.5845
1991-02,99.49674,103.6122
1991-03,99.41932,103.7406
1991-04,99.391,103.8193
1991-05,99.4827,103.8101
1991-06,99.54961,103.7479
1991-07,99.56208,103.7499
1991-08,99.90075,103.7237
1991-09,100.3181,103.7784
1991-10,100.5653,103.8967
1991-11,100.5186,103.9786
1991-12,100.1124,103.8606
1992-01,99.77884,103.588
1992-02,99.67702,103.1394
1992-03,99.69439,102.7779
1992-04,99.63918,102.6743
1992-05,99.2532,102.7171
1992-06,98.62926,102.6563
1992-07,98.17456,102.5319
1992-08,97.90683,102.3812
1992-09,97.54691,102.1858
1992-10,97.11837,101.8852
1992-11,96.46255,101.6894
1992-12,95.69718,101.456
1993-01,94.87637,101.0034
1993-02,94.51451,100.4824
1993-03,94.23434,100.0612
1993-04,94.09441,99.79787
1993-05,93.84325,99.53061
1993-06,93.60246,99.25882
1993-07,93.75581,99.05653
1993-08,94.34496,98.99013
1993-09,94.97653,99.00609
1993-10,95.80218,99.0366
1993-11,96.67577,99.23935
1993-12,97.23314,99.53431
1994-01,97.67819,99.53867
1994-02,98.46707,99.66812
1994-03,99.28967,99.85429
1994-04,99.85001,99.86752
1994-05,100.3413,99.87804
1994-06,100.9159,99.7544
1994-07,101.405,99.66264
1994-08,101.7703,99.7179
1994-09,102.3998,99.7616
1994-10,103.0476,99.89609
1994-11,102.9297,100.0476
1994-12,102.3688,100.1466
1995-01,101.8566,100.0152
1995-02,101.347,99.83907
1995-03,100.7682,99.60993
1995-04,100.3818,99.49875
1995-05,100.3651,99.57339
1995-06,100.6248,99.75252
1995-07,100.9035,100.0653
1995-08,100.8226,100.4131
1995-09,100.4779,100.8471
1995-10,99.88754,101.3184
1995-11,99.18507,101.5588
1995-12,98.57664,101.6519
1996-01,98.19825,101.4386
1996-02,98.15085,100.955
1996-03,98.24492,100.5081
1996-04,98.59117,100.2351
1996-05,99.11408,99.9603
1996-06,99.65836,99.80238
1996-07,99.73763,99.7806
1996-08,99.77067,99.91366
1996-09,99.97605,100.1235
1996-10,100.4599,100.1614
1996-11,100.7689,100.0861
1996-12,101.1872,100.1474
1997-01,101.5824,100.3307
1997-02,101.6812,100.5316
1997-03,102.0321,100.7261
1997-04,102.549,100.9082
1997-05,102.6731,101.0912
1997-06,102.4553,101.3033
1997-07,102.1307,101.581
1997-08,101.7322,101.9541
1997-09,101.6876,102.3844
1997-10,101.9496,102.5691
1997-11,102.313,102.5727
1997-12,102.7553,102.5245
1998-01,103.1345,102.4573
1998-02,103.3497,102.415
1998-03,103.3849,102.4408
1998-04,103.1237,102.4622
1998-05,102.737,102.4821
1998-06,102.3398,102.4975
1998-07,102.1675,102.4604
1998-08,102.1276,102.3608
1998-09,102.123,102.2442
1998-10,102.0015,102.1536
1998-11,101.8318,102.1478
1998-12,101.5425,102.2545
1999-01,101.0613,102.3972
1999-02,100.4835,102.4463
1999-03,100.1614,102.3904
1999-04,100.1952,102.3467
1999-05,100.3628,102.3413
1999-06,100.72,102.3923
1999-07,100.9802,102.4759
1999-08,101.0019,102.515
1999-09,101.0722,102.5115
1999-10,101.3412,102.5073
1999-11,101.5412,102.4307
1999-12,101.8337,102.3756
2000-01,102.1873,102.3048
2000-02,102.4775,102.144
2000-03,102.6157,101.8725
2000-04,102.7719,101.4875
2000-05,102.8751,101.2754
2000-06,102.7882,101.1545
2000-07,102.7182,101.1035
2000-08,102.7299,101.0071
2000-09,102.6647,100.8447
2000-10,102.7027,100.708
2000-11,102.6122,100.6093
2000-12,102.2561,100.5792
2001-01,101.7418,100.6274
2001-02,101.0837,100.7531
2001-03,100.506,100.7988
2001-04,100.2558,100.737
2001-05,100.1247,100.6254
2001-06,100.1519,100.5693
2001-07,100.121,100.5981
2001-08,99.86535,100.6029
2001-09,99.53991,100.4653
2001-10,99.36413,100.3281
2001-11,99.46445,100.2797
2001-12,99.50687,100.335
2002-01,99.35113,100.4638
2002-02,99.24969,100.6333
2002-03,99.27917,100.6802
2002-04,99.17023,100.5139
2002-05,99.03252,100.031
2002-06,98.92041,99.63542
2002-07,98.57837,99.46257
2002-08,98.2774,99.30295
2002-09,97.88953,99.08971
2002-10,97.5208,98.80258
2002-11,97.23521,98.64182
2002-12,97.24236,98.50899
2003-01,97.39837,98.32511
2003-02,97.25914,98.16344
2003-03,96.98059,98.09905
2003-04,97.03532,98.1935
2003-05,97.61609,98.42157
2003-06,98.3999,98.65548
2003-07,98.90288,98.84979
2003-08,99.05437,99.06316
2003-09,99.02599,99.36233
2003-10,98.83871,99.66781
2003-11,98.78355,99.7693
2003-12,99.12594,99.8069
2004-01,99.31597,99.75658
2004-02,99.27562,99.68761
2004-03,99.35957,99.6359
2004-04,99.64112,99.65324
2004-05,100.1602,99.74104
2004-06,100.7626,99.91171
2004-07,101.0637,100.0418
2004-08,101.0226,100.0553
2004-09,100.6721,99.95095
2004-10,100.34,99.76903
2004-11,100.0646,99.65635
2004-12,99.77594,99.63525
2005-01,99.60087,99.71622
2005-02,99.4279,99.86009
2005-03,99.53478,100.0346
2005-04,99.7656,100.0313
2005-05,99.54461,99.68434
2005-06,99.27505,99.12921
2005-07,99.29264,98.73705
2005-08,99.71265,98.56828
2005-09,100.2614,98.58789
2005-10,100.6712,98.73582
2005-11,100.614,98.92706
2005-12,100.3485,99.08063
2006-01,100.0827,99.18409
2006-02,99.81718,99.31692
2006-03,99.58043,99.40941
2006-04,99.69474,99.40479
2006-05,100.1074,99.38309
2006-06,100.6387,99.46745
2006-07,101.0819,99.62943
2006-08,101.1554,99.8997
2006-09,101.2058,100.147
2006-10,101.2592,100.2406
2006-11,101.424,100.2159
2006-12,101.5051,100.1613
2007-01,101.775,100.0263
2007-02,102.0772,99.97154
2007-03,102.221,99.97234
2007-04,102.3428,99.99174
2007-05,102.4607,99.95994
2007-06,102.4431,99.8336
2007-07,102.3434,99.72594
2007-08,102.418,99.60046
2007-09,102.5616,99.49657
2007-10,102.5949,99.30109
2007-11,102.6946,99.02914
2007-12,102.6353,98.68527
2008-01,102.4149,98.35849
2008-02,102.1017,98.23174
2008-03,101.6027,98.16142
2008-04,101.0374,98.07944
2008-05,100.6022,97.74892
2008-06,100.5632,97.25909
2008-07,100.695,97.23788
2008-08,100.2898,97.55214
2008-09,98.77974,97.85983
2008-10,96.62517,97.74802
2008-11,94.7122,97.36928
2008-12,93.18766,96.94371
2009-01,92.34599,96.66579
2009-02,92.16202,96.65796
2009-03,92.46877,96.93385
2009-04,92.7189,97.40616
2009-05,93.51878,97.94501
2009-06,94.41685,98.5744
2009-07,95.42741,99.26752
2009-08,96.52489,99.82877
2009-09,97.3576,100.1446
2009-10,97.53836,100.0155
2009-11,97.53202,99.70564
2009-12,97.44862,99.38332
2010-01,97.50237,99.15585
2010-02,97.733,98.86076
2010-03,97.98209,98.52926
2010-04,98.17551,98.20937
2010-05,98.34595,97.88444
2010-06,98.62055,97.75369
2010-07,99.11081,97.73122
2010-08,99.54749,97.65535
2010-09,99.69565,97.21284
2010-10,99.37067,96.21137
2010-11,99.16525,95.59238
2010-12,99.02409,95.522
2011-01,99.02263,95.63635
2011-02,98.93486,95.83962
2011-03,98.56675,95.81604
2011-04,98.29668,95.6722
2011-05,98.05534,95.68539
2011-06,98.01832,95.73941
2011-07,98.09298,95.74403
2011-08,97.47262,95.62032
2011-09,96.76484,95.29608
2011-10,96.34853,94.90811
2011-11,95.87451,94.53654
2011-12,95.49669,94.3568
2012-01,95.47086,94.44087
2012-02,95.65742,94.6814
2012-03,95.93942,94.92393
2012-04,96.12666,95.11968
2012-05,96.18658,95.3387
2012-06,96.4495,95.47574
2012-07,96.70356,95.44425
2012-08,96.8372,95.17702
2012-09,96.5248,94.57893
2012-10,96.11899,94.01061
2012-11,95.99744,93.80479
2012-12,96.18399,93.89079
2013-01,96.31934,94.09855
2013-02,96.56091,94.36771
2013-03,96.84386,94.48081
2013-04,97.06213,94.58076
2013-05,97.3588,94.66445
2013-06,97.66637,94.89574
2013-07,98.10428,95.22681
2013-08,98.58073,95.67817
2013-09,98.80748,95.98794
2013-10,98.87962,96.14378
2013-11,99.13934,96.34841
2013-12,99.47009,96.68685
2014-01,99.67056,97.0397
2014-02,99.78788,97.37402
2014-03,99.97749,97.62652
2014-04,100.0237,97.78219
2014-05,99.93456,97.95612
2014-06,99.92628,98.11983
2014-07,100.1497,98.34035
2014-08,100.3368,98.51813
2014-09,100.3616,98.75653
2014-10,100.2947,98.90874
2014-11,100.2881,98.98828
2014-12,100.3397,99.23316
2015-01,100.4517,99.5937
2015-02,100.7593,99.82193
2015-03,101.2076,99.93704
2015-04,101.5763,99.95784
2015-05,101.7251,99.96458
2015-06,101.7083,99.99952
2015-07,101.6858,100.0602
2015-08,101.4876,100.1628
2015-09,101.24,100.1636
2015-10,101.0199,100.069
2015-11,100.9525,99.99579
2015-12,101.0685,100.1477
2016-01,101.2812,100.318
2016-02,101.3008,100.3084
2016-03,101.2362,100.3284
2016-04,101.2439,100.3369
2016-05,101.2904,100.3169
2016-06,101.3258,100.3062
2016-07,101.2974,100.3389
2016-08,101.2656,100.4168
2016-09,101.3715,100.5157
2016-10,101.5674,100.6262
2016-11,101.752,100.7917
2016-12,101.9062,101.0375
2017-01,102.0601,101.1858
2017-02,102.1684,101.298
2017-03,102.319,101.4677
2017-04,102.4434,101.6488
2017-05,102.347,101.8802
2017-06,102.2491,102.1037
2017-07,102.1245,102.2083
2017-08,102.1032,102.2003
2017-09,102.2932,102.2161
2017-10,102.5002,102.1965
2017-11,102.5809,102.1262
2017-12,102.6278,102.0731
2018-01,102.527,102.0618
2018-02,102.3031,102.1076
2018-03,102.0696,102.1484
2018-04,101.7996,102.1373
2018-05,101.6504,102.0799
2018-06,101.6897,101.9669
2018-07,101.7434,101.8905
2018-08,101.6882,101.8822
2018-09,101.4881,101.9102
2018-10,101.4013,101.8293
2018-11,101.3946,101.6471
2018-12,101.352,101.4483
2019-01,101.2011,101.2422
2019-02,101.017,101.0634
2019-03,100.7497,101.0201
2019-04,100.4997,101.1393
2019-05,100.4528,101.2129
2019-06,100.5265,101.3078
2019-07,100.4475,101.4174
2019-08,100.4623,101.4447
2019-09,100.4203,101.4866
2019-10,100.4531,101.5313
2019-11,100.6546,101.5141
2019-12,100.7157,101.3915
2020-01,100.4177,101.0988
2020-02,99.148,100.3782
2020-03,96.71139,98.9138
2020-04,93.63412,97.15044
2020-05,92.42352,96.77516
2020-06,93.79478,97.17057
2020-07,95.82949,97.56014
2020-08,97.01035,97.79273
2020-09,97.38536,97.81532
2020-10,97.41718,97.77478
2020-11,97.27609,97.6806
2020-12,97.26089,97.83875
2021-01,97.33641,98.06094
2021-02,97.78246,98.35204
2021-03,98.6958,98.90424
2021-04,99.78555,99.49133
2021-05,100.8178,99.95875
2021-06,101.2805,100.1675
2021-07,101.1917,100.2346
2021-08,101.1201,100.4228
2021-09,101.0365,100.4836
2021-10,101.0791,100.216
2021-11,101.2455,99.68155
2021-12,101.3795,99.37298
2022-01,101.3673,99.15617
2022-02,101.2448,98.57854
2022-03,100.8477,97.40059
2022-04,100.6884,96.76342
2022-05,100.5123,96.61061
2022-06,100.3924,96.58095
2022-07,100.2117,96.57431
2022-08,99.96381,96.36827
2022-09,99.72251,95.9591
2022-10,99.49741,95.63013
2022-11,99.41481,95.53495
2022-12,99.55052,95.67242
2023-01,99.8314,95.96217
2023-02,100.141,96.32346
2023-03,100.1898,96.68038
2023-04,99.80878,97.11195
2023-05,99.32336,97.61311
2023-06,98.99892,98.09584
2023-07,98.77172,98.35997
2023-08,98.57333,98.25943
2023-09,98.49751,97.87075
2023-10,98.54585,97.43628
2023-11,98.82439,96.96622
