country,SVK,SVK
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1993-08,97.59879,
1993-09,98.66761,
1993-10,99.87875,
1993-11,101.8394,
1993-12,102.2577,
1994-01,102.0944,
1994-02,102.2302,
1994-03,102.2643,
1994-04,101.7696,
1994-05,101.4662,
1994-06,100.5138,
1994-07,98.80967,
1994-08,98.46633,
1994-09,99.2677,
1994-10,99.66861,
1994-11,100.6139,
1994-12,101.6986,
1995-01,102.0862,
1995-02,102.2332,
1995-03,102.0581,
1995-04,101.9485,
1995-05,100.4167,
1995-06,99.56483,
1995-07,99.58055,
1995-08,100.1142,
1995-09,100.6045,
1995-10,99.45563,
1995-11,97.35407,
1995-12,95.73949,
1996-01,97.06865,
1996-02,99.99801,
1996-03,104.0403,
1996-04,105.795,
1996-05,104.8295,
1996-06,101.3208,
1996-07,99.12125,
1996-08,98.08321,
1996-09,97.54532,
1996-10,97.23916,
1996-11,97.06584,
1996-12,98.11098,
1997-01,99.0901,
1997-02,99.5565,
1997-03,99.76216,
1997-04,99.82381,
1997-05,100.5674,
1997-06,100.7099,
1997-07,100.605,
1997-08,100.0527,
1997-09,99.37561,
1997-10,99.21018,
1997-11,99.45085,
1997-12,99.86185,
1998-01,100.5191,
1998-02,101.5044,
1998-03,102.1426,
1998-04,102.5373,
1998-05,102.2496,
1998-06,101.7416,
1998-07,101.1931,
1998-08,101.1153,
1998-09,101.0879,
1998-10,100.5451,
1998-11,99.7487,
1998-12,98.88662,
1999-01,98.16072,
1999-02,97.25736,
1999-03,96.46713,
1999-04,96.51185,98.07148
1999-05,97.02452,97.65195
1999-06,98.13233,97.0104
1999-07,99.3664,96.05639
1999-08,99.86662,95.51656
1999-09,100.0354,95.44884
1999-10,100.7485,95.69443
1999-11,101.8214,96.01136
1999-12,101.8999,96.40047
2000-01,101.0627,96.89832
2000-02,100.2699,97.18812
2000-03,100.3368,97.22281
2000-04,100.8363,97.17708
2000-05,101.3708,97.47862
2000-06,102.2016,97.8208
2000-07,102.7697,98.20186
2000-08,103.0955,98.58276
2000-09,103.2382,98.70396
2000-10,103.1789,98.6057
2000-11,103.125,98.06712
2000-12,103.2802,97.408
2001-01,102.8747,97.21399
2001-02,101.8478,97.01756
2001-03,100.5182,96.96466
2001-04,100.4797,97.26387
2001-05,101.6255,97.55785
2001-06,102.37,97.78918
2001-07,102.3102,98.10404
2001-08,101.5073,98.40125
2001-09,100.4938,98.83054
2001-10,99.73763,99.16575
2001-11,99.50067,99.47443
2001-12,100.2534,99.62881
2002-01,100.7593,99.74451
2002-02,100.5773,99.80625
2002-03,100.5273,99.79398
2002-04,100.0632,99.66509
2002-05,100.2107,99.47664
2002-06,100.4607,99.31632
2002-07,101.0376,99.35915
2002-08,101.5462,99.52211
2002-09,101.9176,99.46542
2002-10,102.111,98.75917
2002-11,102.1879,97.51156
2002-12,101.7517,96.78934
2003-01,100.527,96.56852
2003-02,99.81938,96.58835
2003-03,100.0127,96.68214
2003-04,100.9089,96.9772
2003-05,101.3771,97.2295
2003-06,101.6602,97.12221
2003-07,101.4106,97.04633
2003-08,101.2707,97.02113
2003-09,101.6261,97.14366
2003-10,102.4047,97.0645
2003-11,102.6681,96.65644
2003-12,102.1701,96.35745
2004-01,101.9329,96.36983
2004-02,102.0415,96.54156
2004-03,101.6703,97.07928
2004-04,101.338,97.73913
2004-05,101.0206,98.38802
2004-06,101.1926,98.89332
2004-07,101.7269,99.08936
2004-08,102.6414,99.12939
2004-09,103.1186,99.22354
2004-10,103.0588,99.57689
2004-11,102.7075,100.0095
2004-12,102.2173,100.3505
2005-01,102.1296,100.5768
2005-02,102.1327,100.8457
2005-03,101.8052,101.2029
2005-04,101.27,101.5553
2005-05,100.6286,101.7091
2005-06,100.2603,101.6335
2005-07,99.80949,101.1964
2005-08,99.97182,100.5919
2005-09,100.5296,100.0741
2005-10,100.6621,100.1219
2005-11,100.5143,100.3303
2005-12,99.909,100.4616
2006-01,99.43998,100.5228
2006-02,99.92209,100.6561
2006-03,100.9438,100.946
2006-04,102.0654,101.1323
2006-05,102.821,101.3089
2006-06,102.6993,101.606
2006-07,102.5939,101.9474
2006-08,102.8242,102.237
2006-09,103.0573,102.5888
2006-10,103.5215,102.9935
2006-11,103.4344,103.5601
2006-12,103.295,104.2208
2007-01,103.5273,104.4944
2007-02,103.5166,104.5401
2007-03,103.3467,104.576
2007-04,103.4687,104.6136
2007-05,103.9263,104.422
2007-06,103.6035,104.2596
2007-07,103.0227,104.0764
2007-08,102.5665,103.6105
2007-09,102.5605,103.1213
2007-10,102.679,102.6896
2007-11,102.1876,102.466
2007-12,101.1105,102.5082
2008-01,100.5649,102.4558
2008-02,100.5565,102.1913
2008-03,100.4197,102.0681
2008-04,99.98132,101.9221
2008-05,99.30388,101.7671
2008-06,99.17607,101.8736
2008-07,99.08636,101.9141
2008-08,98.89967,101.9105
2008-09,98.02824,101.8646
2008-10,96.0909,101.5419
2008-11,94.23071,100.8245
2008-12,92.48444,100.0347
2009-01,91.51141,99.00348
2009-02,91.42576,97.72822
2009-03,91.48309,96.98665
2009-04,92.16129,96.95238
2009-05,93.71184,97.4969
2009-06,95.82284,98.04797
2009-07,97.22366,98.40793
2009-08,97.74809,98.6861
2009-09,98.00986,98.96087
2009-10,98.48444,98.95758
2009-11,98.90598,98.96062
2009-12,98.89539,99.33317
2010-01,98.51004,99.78885
2010-02,98.622,100.2061
2010-03,99.01933,100.4361
2010-04,99.0555,100.4793
2010-05,99.64101,100.4091
2010-06,100.5295,100.3725
2010-07,100.8084,100.2429
2010-08,100.3474,99.89809
2010-09,99.9129,99.52626
2010-10,100.0539,99.22301
2010-11,100.5392,99.20957
2010-12,101.2397,99.01495
2011-01,101.5912,98.69838
2011-02,101.206,98.36243
2011-03,100.4408,98.03012
2011-04,99.96768,98.04668
2011-05,99.30792,98.3789
2011-06,98.43397,98.68642
2011-07,98.50801,98.91271
2011-08,99.42177,98.97758
2011-09,99.90627,98.63873
2011-10,100.3459,97.97641
2011-11,100.5352,97.2048
2011-12,100.3939,96.71883
2012-01,100.0406,96.85471
2012-02,99.67155,97.29894
2012-03,99.72964,97.94148
2012-04,99.93513,98.71725
2012-05,100.1724,99.20542
2012-06,100.0219,99.30425
2012-07,99.33707,99.11665
2012-08,98.89305,98.65347
2012-09,98.39424,97.99915
2012-10,97.3381,97.53314
2012-11,96.56419,97.4632
2012-12,96.57993,97.34626
2013-01,96.60193,97.49924
2013-02,97.0079,97.863
2013-03,98.2384,98.1352
2013-04,98.94688,98.30767
2013-05,98.91718,98.61401
2013-06,98.51249,99.07141
2013-07,98.49509,99.52592
2013-08,98.88212,99.67871
2013-09,99.5668,99.7085
2013-10,100.0101,99.78909
2013-11,99.84254,100.0376
2013-12,99.6022,100.2801
2014-01,99.14333,100.5061
2014-02,98.63802,100.5169
2014-03,98.98267,100.7976
2014-04,99.52036,101.1444
2014-05,99.77026,101.4605
2014-06,99.78252,101.5635
2014-07,100.2033,101.55
2014-08,100.5826,101.4514
2014-09,100.6596,101.2256
2014-10,100.6134,101.1625
2014-11,100.645,101.2532
2014-12,100.2359,101.451
2015-01,99.92763,101.6902
2015-02,100.0249,101.9301
2015-03,100.3258,102.0702
2015-04,100.6552,102.0612
2015-05,100.4582,101.9633
2015-06,100.2826,101.8891
2015-07,100.0594,101.8378
2015-08,100.2758,101.8571
2015-09,100.3084,101.8969
2015-10,100.3594,102.0097
2015-11,99.95382,102.0691
2015-12,100.0152,102.1844
2016-01,100.7245,102.3555
2016-02,101.0123,102.3357
2016-03,101.3149,102.2297
2016-04,101.2391,102.2717
2016-05,100.9657,102.382
2016-06,100.7739,102.4768
2016-07,100.8691,102.4893
2016-08,100.5498,102.4734
2016-09,100.345,102.5246
2016-10,100.1009,102.5765
2016-11,100.2895,102.5695
2016-12,100.965,102.5962
2017-01,101.4716,102.5355
2017-02,101.3155,102.4648
2017-03,100.7622,102.4571
2017-04,100.2041,102.564
2017-05,99.76888,102.6913
2017-06,99.45795,102.7118
2017-07,99.73882,102.6901
2017-08,100.4911,102.5982
2017-09,100.9616,102.5786
2017-10,101.1653,102.5752
2017-11,100.7056,102.5943
2017-12,100.4344,102.6421
2018-01,100.2347,102.7057
2018-02,100.8924,102.5954
2018-03,101.4352,102.3647
2018-04,101.2306,102.2887
2018-05,100.3368,102.4572
2018-06,99.54858,102.565
2018-07,99.40193,102.6666
2018-08,99.5703,102.717
2018-09,99.79898,102.6454
2018-10,99.86801,102.591
2018-11,99.80977,102.535
2018-12,99.81372,102.4865
2019-01,99.6283,102.4289
2019-02,99.34457,102.4781
2019-03,98.40023,102.5007
2019-04,97.59612,102.6142
2019-05,97.70393,102.7689
2019-06,97.69769,102.8976
2019-07,97.29737,102.8498
2019-08,97.68397,102.6358
2019-09,98.25076,102.4748
2019-10,98.2381,102.3935
2019-11,98.79192,102.3433
2019-12,99.43228,102.3032
2020-01,99.83604,102.2204
2020-02,98.77647,101.8524
2020-03,95.87213,100.6958
2020-04,92.17403,98.86029
2020-05,92.22977,98.22512
2020-06,94.68157,98.49364
2020-07,97.2248,99.05951
2020-08,99.01291,99.55142
2020-09,99.87318,99.68484
2020-10,100.8288,99.53939
2020-11,101.0335,99.38145
2020-12,100.4647,99.19418
2021-01,99.69308,98.87946
2021-02,99.29575,98.79678
2021-03,99.1318,99.06696
2021-04,99.10708,99.72066
2021-05,99.15437,100.3184
2021-06,99.75688,100.7256
2021-07,99.82707,100.8662
2021-08,99.67444,100.7775
2021-09,99.54396,100.4691
2021-10,99.34868,100.1
2021-11,99.40401,99.75919
2021-12,99.25784,99.50517
2022-01,99.02667,99.39889
2022-02,99.01662,99.09852
2022-03,99.32463,98.58106
2022-04,99.32336,98.3109
2022-05,99.34851,98.21862
2022-06,98.80977,98.12506
2022-07,98.21346,97.96546
2022-08,97.70605,97.75112
2022-09,97.30293,97.50925
2022-10,96.81824,97.3434
2022-11,96.39931,97.34563
2022-12,96.35496,97.38876
2023-01,96.76065,97.56368
2023-02,97.3978,97.8725
2023-03,98.34566,98.33932
2023-04,98.92423,98.85532
