country,SVN,SVN
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1995-04,99.45271,
1995-05,98.94061,
1995-06,97.91104,
1995-07,97.14989,
1995-08,97.02213,
1995-09,97.33314,
1995-10,97.48373,
1995-11,97.33161,
1995-12,97.04079,
1996-01,96.93372,
1996-02,96.63699,
1996-03,96.36085,100.9653
1996-04,96.15976,100.9229
1996-05,96.09951,101.2455
1996-06,95.8857,101.605
1996-07,95.76923,102.0027
1996-08,96.29662,102.2874
1996-09,97.3903,102.3996
1996-10,98.5302,102.2399
1996-11,99.18697,102.2902
1996-12,99.37263,102.306
1997-01,99.58364,102.2753
1997-02,99.9336,102.0355
1997-03,100.0513,101.7937
1997-04,99.98497,101.5406
1997-05,99.59388,101.4456
1997-06,99.13265,101.4066
1997-07,99.04254,101.359
1997-08,99.431,101.4982
1997-09,100.1619,101.5936
1997-10,101.0667,101.491
1997-11,101.6502,101.262
1997-12,101.7669,101.1538
1998-01,101.2012,101.0844
1998-02,100.5051,101.118
1998-03,99.98234,101.2891
1998-04,99.64809,101.3252
1998-05,99.56123,101.1171
1998-06,99.47671,101.0195
1998-07,99.77776,101.019
1998-08,99.67896,100.8631
1998-09,98.80665,100.6105
1998-10,97.76121,100.5731
1998-11,96.9989,100.7429
1998-12,96.54131,100.9524
1999-01,96.30133,101.0714
1999-02,95.77732,101.1025
1999-03,95.68364,101.2159
1999-04,96.21159,101.2898
1999-05,96.87766,100.9807
1999-06,97.90425,100.4438
1999-07,98.981,100.8568
1999-08,99.60151,101.1961
1999-09,99.8135,101.3397
1999-10,100.0072,101.3303
1999-11,100.1038,101.3846
1999-12,100.2608,101.5665
2000-01,100.4492,101.8855
2000-02,101.0048,101.9317
2000-03,101.8946,101.565
2000-04,102.7337,101.2669
2000-05,103.3135,101.1618
2000-06,103.3898,101.0401
2000-07,102.7299,101.1664
2000-08,101.9363,101.1175
2000-09,101.4703,100.9393
2000-10,101.328,101.0132
2000-11,101.261,101.2554
2000-12,101.4636,101.3489
2001-01,101.5494,101.4184
2001-02,101.303,101.2951
2001-03,100.8122,101.1804
2001-04,100.2239,100.944
2001-05,99.71678,100.4222
2001-06,99.43496,100.2046
2001-07,99.15004,100.1377
2001-08,98.70648,100.216
2001-09,98.19745,100.3729
2001-10,97.78127,100.4335
2001-11,97.72689,100.4469
2001-12,97.93028,100.4416
2002-01,98.32328,100.2291
2002-02,98.72473,99.65399
2002-03,98.91105,99.20313
2002-04,99.14176,99.11407
2002-05,99.31886,99.30602
2002-06,99.2196,99.65236
2002-07,99.00106,100.0027
2002-08,98.94489,100.1726
2002-09,99.04882,100.1439
2002-10,99.43721,100.1083
2002-11,99.82091,100.5269
2002-12,99.98135,100.6985
2003-01,99.82315,100.5417
2003-02,99.29547,100.332
2003-03,98.41388,100.1245
2003-04,97.65168,100.0251
2003-05,97.43091,99.93936
2003-06,97.68483,99.91625
2003-07,98.32408,99.83679
2003-08,99.03729,99.83442
2003-09,99.68799,99.94652
2003-10,99.9558,100.1168
2003-11,100.1037,100.236
2003-12,100.0556,100.2162
2004-01,99.93049,100.1774
2004-02,99.8993,100.1308
2004-03,100.1739,100.293
2004-04,100.5473,100.5819
2004-05,100.6374,100.9443
2004-06,100.7403,100.9749
2004-07,101.0043,101.0209
2004-08,101.3811,101.2349
2004-09,101.5258,101.6815
2004-10,101.374,102.1845
2004-11,100.9431,102.3998
2004-12,100.4292,102.6271
2005-01,100.0383,102.7689
2005-02,99.70932,102.715
2005-03,99.53252,102.5669
2005-04,99.31476,102.57
2005-05,99.32904,102.2832
2005-06,99.44156,101.7374
2005-07,99.6973,101.3861
2005-08,100.1802,101.2757
2005-09,100.5667,101.0607
2005-10,100.9513,100.7862
2005-11,101.2969,100.5837
2005-12,101.7589,100.9452
2006-01,102.2306,101.5199
2006-02,102.3174,101.5776
2006-03,102.4467,101.3298
2006-04,102.5538,101.3823
2006-05,102.6892,101.7305
2006-06,103.2382,102.0421
2006-07,103.5317,102.0741
2006-08,103.7782,101.9413
2006-09,104.034,101.9319
2006-10,104.0664,101.9979
2006-11,104.0513,102.0403
2006-12,103.9961,102.1173
2007-01,103.9455,102.4641
2007-02,103.9549,102.6507
2007-03,103.8957,102.6114
2007-04,103.9091,102.519
2007-05,103.9749,102.671
2007-06,103.9251,102.6352
2007-07,103.7328,102.3807
2007-08,103.2892,101.6416
2007-09,102.896,100.2324
2007-10,102.7269,99.24619
2007-11,102.676,98.94776
2007-12,102.6359,98.7822
2008-01,102.3847,98.34563
2008-02,102.0353,98.37611
2008-03,101.7142,98.77531
2008-04,101.2832,98.91439
2008-05,100.6066,98.54909
2008-06,100.0908,98.07809
2008-07,99.72497,98.14414
2008-08,98.97002,98.45438
2008-09,97.47865,98.63126
2008-10,95.11412,97.96354
2008-11,92.81459,97.06339
2008-12,91.22204,96.425
2009-01,90.44604,95.9491
2009-02,90.42934,95.82595
2009-03,90.63309,95.69682
2009-04,91.22618,95.87756
2009-05,92.19967,96.81525
2009-06,93.26457,97.74587
2009-07,94.18713,98.23263
2009-08,95.25087,98.51917
2009-09,96.2795,98.55373
2009-10,96.85468,98.06945
2009-11,97.38694,97.8336
2009-12,97.8588,97.80875
2010-01,98.38322,98.0611
2010-02,98.86804,98.26565
2010-03,99.50043,98.24866
2010-04,100.0985,98.11935
2010-05,100.4876,97.98115
2010-06,100.748,97.90822
2010-07,100.9342,97.71681
2010-08,100.924,97.55791
2010-09,100.9687,97.61948
2010-10,100.9664,97.7963
2010-11,100.6906,97.75071
2010-12,100.6101,97.56107
2011-01,100.8837,97.30885
2011-02,101.113,96.93206
2011-03,101.2416,96.87479
2011-04,101.3255,97.11908
2011-05,101.1052,97.4255
2011-06,100.6844,97.70032
2011-07,100.3148,97.81129
2011-08,99.97112,97.83253
2011-09,99.53001,97.68897
2011-10,99.00478,97.3797
2011-11,98.79549,97.33546
2011-12,98.82364,97.4135
2012-01,98.90508,97.1864
2012-02,98.5855,96.68932
2012-03,98.04061,95.91349
2012-04,97.63221,94.93645
2012-05,97.30794,94.66737
2012-06,96.95509,94.58378
2012-07,96.69767,94.59032
2012-08,96.4585,94.39919
2012-09,96.3802,93.9821
2012-10,96.46453,94.03661
2012-11,96.75975,94.41623
2012-12,97.22177,94.96237
2013-01,97.55523,95.58329
2013-02,97.84216,95.98305
2013-03,97.99036,96.14101
2013-04,98.23728,95.75926
2013-05,98.7018,95.02171
2013-06,99.05551,94.73127
2013-07,99.17623,94.69366
2013-08,99.25769,94.92493
2013-09,99.33444,95.10822
2013-10,99.39122,95.21847
2013-11,99.58613,95.52247
2013-12,99.70309,96.07125
2014-01,99.80219,96.6712
2014-02,100.0481,97.03837
2014-03,100.3658,97.29889
2014-04,100.8215,97.49961
2014-05,101.3323,97.92833
2014-06,101.7014,98.51569
2014-07,101.7073,99.01783
2014-08,101.3068,99.40722
2014-09,100.984,99.85957
2014-10,100.8418,100.0893
2014-11,100.8431,100.0284
2014-12,101.0074,100.116
2015-01,101.2733,100.3508
2015-02,101.6066,100.6007
2015-03,101.9256,100.9798
2015-04,101.9582,101.4449
2015-05,102.014,101.6921
2015-06,101.9973,101.7005
2015-07,102.0056,101.5149
2015-08,102.0191,101.5742
2015-09,101.9469,101.6133
2015-10,101.9137,101.459
2015-11,101.8408,101.236
2015-12,101.7522,101.124
2016-01,101.6019,100.7851
2016-02,101.6081,100.5773
2016-03,101.7491,100.5169
2016-04,101.9477,100.548
2016-05,101.9306,100.6028
2016-06,101.8475,100.8456
2016-07,101.825,101.2509
2016-08,101.8312,101.5445
2016-09,101.7801,101.6841
2016-10,101.8799,101.9024
2016-11,102.0295,102.1088
2016-12,102.2374,102.4051
2017-01,102.553,102.756
2017-02,102.8869,102.8466
2017-03,103.0218,102.9536
2017-04,102.8788,103.121
2017-05,102.7095,103.3288
2017-06,102.6937,103.5082
2017-07,102.6998,103.6708
2017-08,102.8188,103.8816
2017-09,103.167,104.1273
2017-10,103.4947,104.3193
2017-11,103.7373,104.3838
2017-12,103.8246,104.4681
2018-01,103.7374,104.5084
2018-02,103.4754,104.4826
2018-03,103.0894,104.5832
2018-04,102.8615,104.7237
2018-05,102.7916,104.7133
2018-06,102.6072,104.6359
2018-07,102.1875,104.3103
2018-08,101.9114,103.9485
2018-09,101.8775,103.6253
2018-10,102.1807,103.6094
2018-11,102.1545,103.678
2018-12,101.977,103.7442
2019-01,101.7157,103.7881
2019-02,101.2861,103.7603
2019-03,101.0138,103.6904
2019-04,100.7548,103.6238
2019-05,100.522,103.6604
2019-06,100.118,103.6852
2019-07,99.99404,103.5762
2019-08,99.96428,103.302
2019-09,99.9836,103.0
2019-10,99.98675,102.7615
2019-11,99.978,102.5672
2019-12,100.028,102.4646
2020-01,99.87371,102.2727
2020-02,98.84068,101.3489
2020-03,96.37952,99.45304
2020-04,93.56232,96.96839
2020-05,93.25333,96.15537
2020-06,94.69179,96.72795
2020-07,96.88197,97.70596
2020-08,98.98157,98.46262
2020-09,100.2384,98.48011
2020-10,100.6173,98.02968
2020-11,100.5797,97.60387
2020-12,100.7861,97.6945
2021-01,101.3161,98.14854
2021-02,101.8708,98.87234
2021-03,102.497,99.31636
2021-04,102.8689,99.58549
2021-05,103.1617,100.0561
2021-06,103.2435,100.3735
2021-07,103.0912,100.3871
2021-08,102.7907,100.0777
2021-09,102.3617,99.63573
2021-10,102.0586,99.15917
2021-11,102.1995,98.85104
2021-12,102.4602,98.79284
2022-01,102.5241,98.70248
2022-02,102.3126,98.38987
2022-03,101.7846,97.69447
2022-04,101.3389,97.2869
2022-05,100.8426,96.64393
2022-06,100.3496,95.89259
2022-07,99.88765,95.16936
2022-08,99.35162,94.79079
2022-09,98.72016,94.66216
2022-10,98.53707,94.87012
2022-11,98.85228,95.26109
2022-12,99.15955,95.66125
2023-01,99.19919,95.63835
2023-02,99.00522,95.56891
