country,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,98.29345,97.52354,15.80639
1960-03,,,,,,,98.31571,97.55202,15.92459
1960-04,,,,,,,98.34,97.58309,16.04367
1960-05,,,,,,,98.3693,97.62058,16.16363
1960-06,,,,,,,98.40656,97.66824,16.28447
1960-07,,,,,,,98.45338,97.72813,16.40619
1960-08,,,,,,,98.51155,97.80256,16.52877
1960-09,,,,,,,98.58434,97.89568,16.65221
1960-10,,,,,,,98.67749,98.01484,16.77648
1960-11,,,,,,,98.79733,98.16814,16.90157
1960-12,,,,,,,98.94855,98.36161,17.02746
1961-01,,,,,,,99.13161,98.59578,17.15413
1961-02,,,,,,,99.34265,98.86576,17.28153
1961-03,,,,,,,99.57311,99.16058,17.40965
1961-04,,,,,,,99.80864,99.46189,17.53845
1961-05,,,,,,,100.0339,99.7501,17.66789
1961-06,,,,,,,100.2373,100.0103,17.79792
1961-07,,,,,,,100.4156,100.2383,17.92852
1961-08,,,,,,,100.5702,100.4361,18.05964
1961-09,,,,,,,100.7043,100.6077,18.19123
1961-10,,,,,,,100.82,100.7556,18.32327
1961-11,,,,,,,100.9181,100.8812,18.4557
1961-12,,,,,,,100.9997,100.9855,18.58848
1962-01,,,,,,,101.0661,101.0706,18.72158
1962-02,,,,,,,101.1193,101.1385,18.85494
1962-03,,,,,,,101.1608,101.1917,18.98854
1962-04,,,,,,,101.1927,101.2325,19.12232
1962-05,,,,,,,101.2167,101.2632,19.25625
1962-06,,,,,,,101.2354,101.287,19.39029
1962-07,,,,,,,101.2517,101.3079,19.52441
1962-08,,,,,,,101.2708,101.3324,19.65855
1962-09,,,,,,,101.3008,101.3707,19.7927
1962-10,,,,,,,101.3537,101.4385,19.92682
1962-11,,,,,,,101.4387,101.5472,20.06087
1962-12,,,,,,,101.554,101.6947,20.19482
1963-01,,,,,,,101.6793,101.855,20.32864
1963-02,,,,,,,101.7879,101.9939,20.4623
1963-03,,,,,,,101.8591,102.085,20.59577
1963-04,,,,,,,101.8902,102.1248,20.72903
1963-05,,,,,,,101.8883,102.1223,20.86205
1963-06,,,,,,,101.8627,102.0896,20.99483
1963-07,,,,,,,101.818,102.0324,21.12735
1963-08,,,,,,,101.7551,101.9519,21.25959
1963-09,,,,,,,101.6728,101.8467,21.39156
1963-10,101.9489,,,,,,101.5702,101.7155,21.52324
1963-11,102.5674,,,,,,101.4473,101.5582,21.65464
1963-12,102.812,,,,,,101.3066,101.3782,21.78576
1964-01,102.7645,,,,,,101.1552,101.1845,21.9166
1964-02,102.6521,,,,,,101.0018,100.9883,22.04718
1964-03,102.6975,,,,,,100.8541,100.7993,22.17751
1964-04,102.9021,,,,,,100.7164,100.6232,22.3076
1964-05,103.1979,,,,,,100.5915,100.4634,22.43746
1964-06,103.5068,,,,,,100.482,100.3233,22.56712
1964-07,103.5753,,,,,,100.3919,100.208,22.69659
1964-08,103.4569,,,,,,100.3242,100.1215,22.8259
1964-09,103.3109,,,,,,100.2789,100.0635,22.95505
1964-10,103.1263,,,,,,100.2501,100.0266,23.08407
1964-11,102.9333,,,,,,100.2284,99.99885,23.21299
1964-12,102.8568,,,,,,100.2034,99.96695,23.34182
1965-01,102.7822,,,,,,100.1657,99.91869,23.47058
1965-02,102.8931,,,,,,100.1087,99.84573,23.5993
1965-03,102.8896,,,,,,100.0311,99.7465,23.728
1965-04,102.7999,,,,,,99.93961,99.62943,23.85671
1965-05,102.6537,,,,,,99.84505,99.50848,23.98545
1965-06,102.5068,,,,,,99.7595,99.39902,24.11425
1965-07,102.3895,,,,,,99.69299,99.31393,24.24314
1965-08,102.3877,,,,,,99.65259,99.26226,24.37214
1965-09,102.4972,,,,,,99.64127,99.24777,24.50127
1965-10,102.6249,,,,,,99.65621,99.26689,24.63056
1965-11,102.7428,,,,,,99.6943,99.31561,24.76003
1965-12,102.7607,,,,,,99.75695,99.39577,24.88971
1966-01,102.7369,,,,,,99.85471,99.52084,25.0196
1966-02,102.7288,,,,,,99.99791,99.70402,25.14973
1966-03,102.7512,,,,,,100.1867,99.94559,25.28013
1966-04,102.6524,,,,,,100.4006,100.2192,25.41081
1966-05,102.4213,,,,,,100.6087,100.4853,25.54178
1966-06,102.1539,,,,,,100.7797,100.7041,25.67305
1966-07,101.8903,,,,,,100.8925,100.8484,25.80465
1966-08,101.6178,,,,,,100.9349,100.9027,25.9366
1966-09,101.3378,,,,,,100.9044,100.8637,26.06891
1966-10,101.0748,,,,,,100.8088,100.7413,26.20163
1966-11,100.8271,,,,,,100.6618,100.5533,26.33477
1966-12,100.5665,,,,,,100.4798,100.3205,26.46838
1967-01,100.2886,,,,,,100.2789,100.0635,26.6025
1967-02,99.94434,,,,,,100.0729,99.79993,26.73715
1967-03,99.58602,,,,,,99.87139,99.54216,26.87238
1967-04,99.38268,,,,,,99.67831,99.29516,27.00822
1967-05,99.18834,,,,,,99.49358,99.05885,27.14472
1967-06,98.94286,,,,,,99.31486,98.83021,27.2819
1967-07,98.6688,,,,,,99.13896,98.60519,27.41979
1967-08,98.38779,,,,,,98.96524,98.38295,27.55844
1967-09,98.19704,,,,,,98.79879,98.17002,27.69787
1967-10,98.02382,,,,,,98.65356,97.98423,27.8381
1967-11,97.81611,,,,,,98.5464,97.84715,27.97918
1967-12,97.7159,,,,,,98.49094,97.7762,28.12111
1968-01,97.74025,,,,,,98.49257,97.77827,28.26392
1968-02,97.81569,,,,,,98.54988,97.85159,28.40761
1968-03,97.8855,,,,,,98.65694,97.98856,28.5522
1968-04,98.03175,,,,,,98.80446,98.17727,28.69767
1968-05,98.27387,,,,,,98.98373,98.40661,28.84404
1968-06,98.61986,,,,,,99.18996,98.67043,28.99128
1968-07,98.95582,,,,,,99.425,98.97112,29.13938
1968-08,99.35825,,,,,,99.69172,99.31232,29.28834
1968-09,99.88973,,,,,,99.98782,99.69112,29.43814
1968-10,100.394,,,,,,100.2991,100.0893,29.58875
1968-11,100.8859,,,,,,100.6043,100.4797,29.74015
1968-12,101.3766,,,,,,100.8797,100.832,29.89232
1969-01,101.7764,,,,,,101.104,101.1189,30.04523
1969-02,102.1279,,,,,,101.2618,101.3208,30.19887
1969-03,102.4701,,,,,,101.3484,101.4316,30.3532
1969-04,102.7499,,,,,,101.3746,101.4652,30.50823
1969-05,103.0063,,,,,,101.3588,101.4449,30.66394
1969-06,103.2225,,,,,,101.3187,101.3936,30.82033
1969-07,103.3986,,,,,,101.2647,101.3246,30.97741
1969-08,103.599,,,,,,101.2018,101.2442,31.13515
1969-09,103.7097,,,,,,101.1314,101.1541,31.29359
1969-10,103.7654,,,,,,101.0536,101.0545,31.4527
1969-11,103.8382,,,,,,100.9664,100.9429,31.61251
1969-12,103.9162,,,,,,100.8656,100.8141,31.77302
1970-01,103.9625,,,,,,100.7445,100.6592,31.93424
1970-02,103.903,,,,,,100.5965,100.4698,32.0962
1970-03,103.7116,,,,,,100.4182,100.2417,32.25888
1970-04,103.2722,,,,,,100.2128,99.97897,32.42234
1970-05,102.768,,,,,,99.98759,99.69081,32.58657
1970-06,102.1989,,,,,,99.75135,99.3886,32.7516
1970-07,101.6223,,,,,,99.51289,99.08354,32.91746
1970-08,100.9985,,,,,,99.28042,98.78615,33.08416
1970-09,100.5038,,,,,,99.06136,98.50591,33.25171
1970-10,100.1671,,,,,,98.86192,98.25078,33.42014
1970-11,99.83751,,,,,,98.68763,98.02782,33.58945
1970-12,99.45551,,,,,,98.54351,97.84344,33.75965
1971-01,99.11925,,,,,,98.43391,97.70324,33.93075
1971-02,98.9399,,,,,,98.36195,97.61118,34.10273
1971-03,98.91711,,,,,,98.32832,97.56816,34.27558
1971-04,99.05253,,,,,,98.32968,97.5699,34.44928
1971-05,99.24093,,,,,,98.36066,97.60954,34.62381
1971-06,99.46394,,,,,,98.41541,97.67957,34.79914
1971-07,99.79916,,,,,,98.48859,97.77318,34.97522
1971-08,100.1971,,,,,,98.57573,97.88466,35.152
1971-09,100.475,,,,,,98.67336,98.00954,35.32944
1971-10,100.7093,,,,,,98.77878,98.14442,35.50746
1971-11,100.8911,,,,,,98.89056,98.28741,35.68601
1971-12,101.0218,,,,,,99.00875,98.43861,35.865
1972-01,101.3258,,,,,,99.13509,98.60023,36.04436
1972-02,101.725,,,,,,99.2717,98.77499,36.22401
