country,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,99.35648,99.1542,24.7132
1960-03,,,,,,,99.41298,99.21999,24.81707
1960-04,,,,,,,99.47398,99.29103,24.92138
1960-05,,,,,,,99.54626,99.37521,25.02612
1960-06,,,,,,,99.63641,99.48018,25.13129
1960-07,,,,,,,99.74717,99.60918,25.23689
1960-08,,,,,,,99.87854,99.76216,25.34292
1960-09,,,,,,,100.027,99.93501,25.44936
1960-10,,,,,,,100.183,100.1167,25.55621
1960-11,,,,,,,100.333,100.2914,25.66346
1960-12,,,,,,,100.4604,100.4398,25.77111
1961-01,,,,,,,100.5467,100.5403,25.87915
1961-02,,,,,,,100.5765,100.575,25.98758
1961-03,,,,,,,100.545,100.5384,26.09638
1961-04,,,,,,,100.4695,100.4504,26.20556
1961-05,,,,,,,100.3729,100.3379,26.31511
1961-06,,,,,,,100.271,100.2192,26.42503
1961-07,,,,,,,100.1609,100.091,26.53533
1961-08,,,,,,,100.0313,99.94009,26.646
1961-09,,,,,,,99.87289,99.75559,26.75704
1961-10,,,,,,,99.69025,99.54289,26.86845
1961-11,,,,,,,99.49781,99.31879,26.98023
1961-12,,,,,,,99.3176,99.10892,27.09237
1962-01,,,,,,,99.17776,98.94606,27.20489
1962-02,,,,,,,99.10582,98.86229,27.31776
1962-03,,,,,,,99.11929,98.87798,27.43099
1962-04,,,,,,,99.21135,98.98518,27.54456
1962-05,,,,,,,99.36031,99.15866,27.65846
1962-06,,,,,,,99.53307,99.35985,27.77268
1962-07,,,,,,,99.68431,99.53597,27.8872
1962-08,,,,,,,99.76855,99.63407,28.00198
1962-09,,,,,,,99.75371,99.61679,28.11703
1962-10,,,,,,,99.63927,99.48353,28.23231
1962-11,,,,,,,99.44902,99.26196,28.3478
1962-12,,,,,,,99.23053,99.00752,28.46347
1963-01,,,,,,,99.06007,98.809,28.57932
1963-02,,,,,,,99.01231,98.75338,28.69531
1963-03,,,,,,,99.12764,98.8877,28.81141
1963-04,,,,,,,99.37038,99.17038,28.92758
1963-05,,,,,,,99.67238,99.52207,29.04379
1963-06,,,,,,,99.96658,99.8647,29.16
1963-07,,,,,,,100.2165,100.1558,29.27616
1963-08,,,,,,,100.4091,100.38,29.39222
1963-09,,,,,,,100.5501,100.5442,29.50815
1963-10,,,,,,,100.6639,100.6768,29.62391
1963-11,,,,,,,100.7771,100.8086,29.73944
1963-12,,,,,,,100.9038,100.9561,29.85472
1964-01,,,,,,,101.0313,101.1046,29.96971
1964-02,,,,,,,101.1381,101.229,30.08436
1964-03,,,,,,,101.2115,101.3145,30.19863
1964-04,,,,,,,101.2668,101.3789,30.3125
1964-05,,,,,,,101.3296,101.452,30.42594
1964-06,,,,,,,101.4193,101.5565,30.53891
1964-07,,,,,,,101.5333,101.6892,30.6514
1964-08,,,,,,,101.6577,101.8341,30.76337
1964-09,,,,,,,101.778,101.9742,30.87482
1964-10,,,,,,,101.8884,102.1027,30.98572
1964-11,,,,,,,101.9822,102.212,31.09607
1964-12,,,,,,,102.0443,102.2843,31.20586
1965-01,,,,,,,102.044,102.284,31.31509
1965-02,,,,,,,101.95,102.1745,31.42377
1965-03,,,,,,,101.7492,101.9407,31.53191
1965-04,,,,,,,101.4725,101.6184,31.63952
1965-05,,,,,,,101.1716,101.268,31.74663
1965-06,,,,,,,100.9013,100.9532,31.85327
1965-07,,,,,,,100.7047,100.7243,31.95947
1965-08,,,,,,,100.6099,100.6139,32.06526
1965-09,,,,,,,100.6218,100.6277,32.17068
1965-10,,,,,,,100.7063,100.7262,32.27576
1965-11,,,,,,,100.8101,100.8471,32.38055
1965-12,,,,,,,100.8745,100.9221,32.48507
1966-01,,,,,,,100.8488,100.8921,32.58937
1966-02,,,,,,,100.6941,100.7119,32.69351
1966-03,,,,,,,100.3946,100.3632,32.79752
1966-04,,,,,,,99.97707,99.87691,32.90145
1966-05,,,,,,,99.49753,99.31845,33.00537
1966-06,,,,,,,99.03748,98.78269,33.10933
1966-07,,,,,,,98.70433,98.39473,33.2134
1966-08,,,,,,,98.59357,98.26573,33.31761
1966-09,,,,,,,98.74321,98.44,33.42203
1966-10,,,,,,,99.07977,98.83195,33.5267
1966-11,,,,,,,99.47941,99.29735,33.63164
1966-12,,,,,,,99.82306,99.69756,33.73689
1967-01,,,,,,,100.0482,99.9597,33.84249
1967-02,,,,,,,100.1279,100.0526,33.94847
1967-03,,,,,,,100.0583,99.97154,34.05486
1967-04,,,,,,,99.855,99.73476,34.16171
1967-05,,,,,,,99.54547,99.37428,34.26904
1967-06,,,,,,,99.17087,98.93803,34.37691
1967-07,,,,,,,98.79503,98.50035,34.48535
1967-08,,,,,,,98.47913,98.13246,34.59439
1967-09,,,,,,,98.25723,97.87405,34.70406
1967-10,,,,,,,98.10814,97.70042,34.8144
1967-11,,,,,,,97.99927,97.57364,34.92542
1967-12,,,,,,,97.9244,97.48645,35.03712
1968-01,,,,,,,97.93793,97.5022,35.14953
1968-02,,,,,,,98.10738,97.69954,35.26265
1968-03,,,,,,,98.45992,98.11009,35.37647
1968-04,,,,,,,98.91586,98.64106,35.49098
1968-05,,,,,,,99.35118,99.14803,35.60615
1968-06,,,,,,,99.65249,99.49892,35.72196
1968-07,,,,,,,99.77448,99.64098,35.83839
1968-08,,,,,,,99.71501,99.57173,35.9554
1968-09,,,,,,,99.5016,99.3232,36.07297
1968-10,,,,,,,99.1898,98.96009,36.19108
1968-11,,,,,,,98.84656,98.56036,36.3097
1968-12,,,,,,,98.54092,98.20442,36.42879
1969-01,,,,,,,98.33771,97.96777,36.54832
1969-02,,,,,,,98.29152,97.91398,36.66826
1969-03,,,,,,,98.43362,98.07947,36.78855
1969-04,,,,,,,98.7473,98.44476,36.90913
1969-05,,,,,,,99.19035,98.96072,37.02995
1969-06,,,,,,,99.70433,99.55929,37.15092
1969-07,,,,,,,100.2143,100.1532,37.27198
1969-08,,,,,,,100.6493,100.6597,37.39305
1969-09,,,,,,,100.9637,101.0259,37.51405
1969-10,,,,,,,101.1643,101.2595,37.6349
1969-11,,,,,,,101.2827,101.3973,37.75555
1969-12,,,,,,,101.3559,101.4827,37.87592
1970-01,,,101.6477,101.2436,,38.622,101.4127,101.5488,37.99594
1970-02,,,101.4926,101.1264,,38.68445,101.4756,101.6221,38.11555
1970-03,,,101.3149,100.9921,,38.73745,101.5651,101.7263,38.23471
1970-04,,,101.1228,100.847,,38.78397,101.7027,101.8865,38.35335
1970-05,,,100.9235,100.6965,,38.8267,101.9011,102.1175,38.47142
1970-06,,,100.7208,100.5434,,38.86705,102.151,102.4086,38.58889
1970-07,,,100.5055,100.3808,,38.90136,102.4033,102.7024,38.7057
1970-08,,,100.2794,100.2099,,38.93028,102.5919,102.922,38.82182
1970-09,,,100.0315,100.0227,,38.94947,102.658,102.9991,38.93722
1970-10,,,99.77956,99.83237,,38.96581,102.5783,102.9063,39.0519
1970-11,,,99.53269,99.64588,,38.9828,102.3515,102.6421,39.16582
1970-12,,,99.3005,99.47048,,39.00425,101.9951,102.2271,39.279
1971-01,,,99.08344,99.30652,1.057463,39.03041,101.5527,101.7118,39.39146
1971-02,,,98.86169,99.13901,0.9540455,39.05352,101.0771,101.1579,39.50319
1971-03,,,98.66457,98.9901,0.8977368,39.08521,100.6212,100.627,39.61423
1971-04,,,98.49699,98.86352,0.8858655,39.12754,100.2312,100.1729,39.7246
1971-05,,,98.38774,98.78099,0.9411065,39.1921,99.93813,99.83155,39.83434
1971-06,,,98.35656,98.75743,1.080505,39.28701,99.74464,99.60623,39.94345
1971-07,,,98.39289,98.78487,1.30314,39.4083,99.60555,99.44425,40.05198
1971-08,,,98.44345,98.82307,1.552914,39.53484,99.46219,99.2773,40.15995
1971-09,,,98.49211,98.85983,1.824693,39.66018,99.27268,99.0566,40.26737
1971-10,,,98.54457,98.89946,2.106566,39.78665,99.04225,98.78825,40.37427
1971-11,,,98.61902,98.95569,2.408352,39.92164,98.8001,98.50626,40.48067
1971-12,,,98.71511,99.02828,2.719838,40.0651,98.57952,98.24937,40.58659
1972-01,,,98.84074,99.12318,3.048669,40.22032,98.39928,98.03948,40.69205
1972-02,,,99.01891,99.25777,3.439552,40.39679,98.27342,97.89291,40.79704
1972-03,,,99.22854,99.41612,3.839911,40.58604,98.21806,97.82843,40.90158
