country,SWE,SWE
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,24.10196
1960-Q2,,24.4286
1960-Q3,,24.82585
1960-Q4,,25.29041
1961-Q1,6.962729,25.78011
1961-Q2,5.916115,25.87383
1961-Q3,5.66656,26.23262
1961-Q4,4.247552,26.36464
1962-Q1,2.550829,26.43772
1962-Q2,3.978823,26.9033
1962-Q3,5.066438,27.56168
1962-Q4,5.401794,27.7888
1963-Q1,4.030531,27.5033
1963-Q2,6.139303,28.55497
1963-Q3,5.525281,29.08454
1963-Q4,5.580869,29.33966
1964-Q1,9.319857,30.06657
1964-Q2,5.86415,30.22948
1964-Q3,6.010911,30.83278
1964-Q4,6.21372,31.16274
1965-Q1,5.688605,31.77693
1965-Q2,4.34176,31.54197
1965-Q3,2.194775,31.50949
1965-Q4,3.124283,32.13635
1966-Q1,2.530095,32.58092
1966-Q2,2.612349,32.36596
1966-Q3,0.08823307,31.5373
1966-Q4,3.108407,33.13528
1967-Q1,2.780279,33.48676
1967-Q2,3.810406,33.59923
1967-Q3,4.836198,33.0625
1967-Q4,2.106845,33.83339
1968-Q1,-0.6664072,33.2636
1968-Q2,4.441643,35.09159
1968-Q3,6.908329,35.34657
1968-Q4,3.906174,35.15498
1969-Q1,5.228211,35.00269
1969-Q2,2.382584,35.92768
1969-Q3,5.545897,37.30685
1969-Q4,6.883656,37.57493
1970-Q1,8.781952,38.07661
1970-Q2,6.797299,38.36979
1970-Q3,5.853065,39.49045
1970-Q4,5.58396,39.6731
1971-Q1,3.058156,39.24105
1971-Q2,1.068016,38.77958
1971-Q3,-0.005447593,39.4883
1971-Q4,-1.441771,39.1011
1972-Q1,0.1152127,39.28627
1972-Q2,1.499044,39.36091
1972-Q3,2.517171,40.48228
1972-Q4,5.297123,41.17234
1973-Q1,5.497766,41.44613
1973-Q2,5.335992,41.4612
1973-Q3,3.218574,41.78524
1973-Q4,2.874429,42.35581
1974-Q1,1.651082,42.13044
1974-Q2,3.344257,42.84777
1974-Q3,3.987334,43.45135
1974-Q4,3.982725,44.04272
1975-Q1,5.206673,44.32404
1975-Q2,2.25115,43.81234
1975-Q3,1.749971,44.21174
1975-Q4,1.665346,44.77619
1976-Q1,-0.6630928,44.03013
1976-Q2,2.272782,44.8081
1976-Q3,0.8002371,44.56554
1976-Q4,-0.9312643,44.3592
1977-Q1,-1.300673,43.45744
1977-Q2,-2.034098,43.89666
1977-Q3,-1.359969,43.95946
1977-Q4,-1.487679,43.69928
1978-Q1,2.188155,44.40836
1978-Q2,2.741741,45.10019
1978-Q3,0.4791865,44.17011
1978-Q4,2.723852,44.88958
1979-Q1,3.170026,45.81611
1979-Q2,3.218485,46.55173
1979-Q3,5.682723,46.68018
1979-Q4,4.099979,46.73005
1980-Q1,5.185021,48.19169
1980-Q2,-1.4124,45.89423
1980-Q3,2.049037,47.63667
1980-Q4,-0.05483789,46.70442
1981-Q1,-2.49094,46.99126
1981-Q2,2.326811,46.96211
1981-Q3,-0.6596331,47.32244
1981-Q4,0.1858972,46.79124
1982-Q1,-0.1428233,46.92415
1982-Q2,2.029752,47.91532
1982-Q3,-0.004190578,47.32046
