country,CHE,CHE
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1966-01,99.84339,
1966-02,99.84637,
1966-03,99.93755,
1966-04,100.1019,
1966-05,100.3004,
1966-06,100.6187,
1966-07,100.7417,
1966-08,100.6828,
1966-09,100.7408,
1966-10,100.8041,
1966-11,100.8505,
1966-12,100.7773,
1967-01,100.5286,
1967-02,99.86972,
1967-03,99.7817,
1967-04,99.56328,
1967-05,99.37034,
1967-06,99.30292,
1967-07,99.36765,
1967-08,99.52337,
1967-09,99.63116,
1967-10,99.68094,
1967-11,99.62302,
1967-12,99.62739,
1968-01,99.67873,
1968-02,99.92944,
1968-03,100.1179,
1968-04,100.3094,
1968-05,100.5735,
1968-06,100.8283,
1968-07,100.9987,
1968-08,101.0841,
1968-09,101.2088,
1968-10,101.5901,
1968-11,102.0917,
1968-12,102.3627,
1969-01,102.5453,
1969-02,102.9071,
1969-03,103.478,
1969-04,103.8382,
1969-05,103.6836,
1969-06,103.5583,
1969-07,103.6742,
1969-08,103.8284,
1969-09,103.9607,
1969-10,103.9765,
1969-11,103.8997,
1969-12,103.8292,
1970-01,103.6571,
1970-02,103.5952,
1970-03,103.6426,
1970-04,103.7994,
1970-05,103.936,
1970-06,103.8278,
1970-07,103.556,
1970-08,103.2976,
1970-09,102.9856,
1970-10,102.6631,
1970-11,102.4987,
1970-12,102.3735,
1971-01,102.2741,
1971-02,102.1775,
1971-03,101.9822,
1971-04,101.6778,
1971-05,101.4909,
1971-06,101.4045,
1971-07,101.0644,
1971-08,100.6965,
1971-09,100.5604,
1971-10,100.4185,
1971-11,100.058,
1971-12,99.61614,
1972-01,99.19846,
1972-02,99.02487,
1972-03,99.19286,
1972-04,99.34412,
1972-05,99.23363,
1972-06,99.18765,
1972-07,99.39049,
1972-08,99.80842,101.57
1972-09,100.1726,101.67
1972-10,100.5181,101.72
1972-11,100.954,103.5817
1972-12,101.2895,103.1751
1973-01,101.6304,102.7886
1973-02,101.7947,102.464
1973-03,101.6924,102.2451
1973-04,101.4791,102.0972
1973-05,101.2925,101.988
1973-06,101.3048,101.8978
1973-07,101.3755,101.7912
1973-08,101.5198,101.6228
1973-09,101.6204,101.3605
1973-10,101.6734,101.0697
1973-11,101.7132,100.8345
1973-12,101.7498,100.7085
1974-01,101.7454,100.6084
1974-02,101.5827,100.4121
1974-03,101.3941,100.0312
1974-04,101.2433,99.57882
1974-05,101.077,99.21388
1974-06,100.8115,99.05648
1974-07,100.4697,99.01603
1974-08,100.1379,98.97319
1974-09,99.67671,98.84489
1974-10,98.95039,98.65174
1974-11,98.20353,98.43139
1974-12,97.60024,98.21686
1975-01,96.88435,98.04196
1975-02,96.05859,97.95792
1975-03,95.48158,98.01037
1975-04,95.1058,98.12538
1975-05,94.91176,98.2166
1975-06,94.96938,98.22964
1975-07,95.10522,98.2104
1975-08,95.12856,98.22754
1975-09,94.9501,98.32735
1975-10,95.12646,98.4521
1975-11,95.56255,98.52225
1975-12,96.04335,98.49369
1976-01,96.53313,98.4696
1976-02,97.1305,98.61841
1976-03,97.73068,99.08735
1976-04,98.27373,99.74302
1976-05,98.52522,100.4269
1976-06,98.52519,101.0243
1976-07,98.47221,101.5044
1976-08,98.40824,101.8055
1976-09,98.49181,101.8369
1976-10,98.62777,101.6594
1976-11,98.4706,101.2959
1976-12,98.12032,100.7498
1977-01,98.02523,100.2097
1977-02,98.14362,99.93742
1977-03,98.2877,100.1491
1977-04,98.40277,100.6295
1977-05,98.53463,101.1224
1977-06,98.57638,101.4525
1977-07,98.63342,101.6348
1977-08,98.71371,101.6966
1977-09,98.73904,101.6472
1977-10,98.78129,101.5678
1977-11,98.86917,101.5446
1977-12,99.02542,101.6315
1978-01,99.04025,101.757
1978-02,98.92572,101.8195
1978-03,98.76189,101.7438
1978-04,98.67577,101.601
1978-05,98.65609,101.4834
1978-06,98.78365,101.4461
1978-07,98.86575,101.424
1978-08,98.87604,101.3154
1978-09,98.72166,101.0509
1978-10,98.3511,100.7488
1978-11,98.03835,100.586
1978-12,98.0183,100.7074
1979-01,98.20624,100.9958
1979-02,98.47077,101.3045
1979-03,98.84985,101.5225
1979-04,99.32025,101.6202
1979-05,99.73534,101.5474
1979-06,100.0634,101.2526
1979-07,100.2465,100.8716
1979-08,100.5121,100.5705
1979-09,100.8158,100.4737
1979-10,101.1464,100.5128
1979-11,101.3712,100.6076
1979-12,101.4518,100.7112
1980-01,101.4365,100.7992
1980-02,101.4792,100.853
1980-03,101.4233,100.858
1980-04,101.1235,100.8368
1980-05,100.7575,100.8124
1980-06,100.5114,100.7978
1980-07,100.4175,100.7895
1980-08,100.3195,100.7781
1980-09,100.2265,100.7544
1980-10,100.2638,100.717
1980-11,100.2572,100.6552
1980-12,100.1525,100.5452
1981-01,99.98804,100.3709
1981-02,99.84947,100.0902
1981-03,99.7187,99.66602
1981-04,99.59179,99.20296
1981-05,99.46971,98.84047
1981-06,99.30267,98.68439
1981-07,99.24384,98.63815
1981-08,99.2105,98.58317
1981-09,99.08942,98.44961
1981-10,98.99372,98.29569
1981-11,98.96118,98.22451
1981-12,98.8569,98.32112
1982-01,98.55053,98.50695
1982-02,98.13643,98.67831
1982-03,97.7886,98.75574
1982-04,97.57633,98.74772
1982-05,97.40797,98.65946
1982-06,97.22888,98.48706
1982-07,96.95747,98.29195
1982-08,96.72005,98.14758
1982-09,96.62197,98.10895
1982-10,96.61146,98.13119
1982-11,96.7163,98.1673
1982-12,96.84912,98.20483
1983-01,96.97054,98.28889
1983-02,97.19565,98.50867
1983-03,97.45859,98.93777
1983-04,97.80083,99.43851
1983-05,98.21422,99.82463
1983-06,98.55445,99.95229
1983-07,98.80683,99.92564
1983-08,98.91901,99.87567
1983-09,98.94911,99.89325
1983-10,98.92881,99.98553
1983-11,98.93425,100.1533
1983-12,99.08417,100.3935
1984-01,99.25899,100.6267
1984-02,99.44428,100.7452
1984-03,99.60996,100.6683
1984-04,99.67017,100.5131
1984-05,99.65487,100.4337
1984-06,99.71336,100.5396
1984-07,99.722,100.7378
1984-08,99.80102,100.9007
1984-09,99.98077,100.9416
1984-10,100.1419,100.9257
1984-11,100.2552,100.9493
1984-12,100.3075,101.0761
1985-01,100.3509,101.2338
1985-02,100.3694,101.3104
1985-03,100.3531,101.2192
1985-04,100.3859,101.0447
1985-05,100.5156,100.9038
1985-06,100.6445,100.8884
1985-07,100.7235,100.9762
1985-08,100.7454,101.1497
1985-09,100.6783,101.4135
1985-10,100.6395,101.7246
1985-11,100.6712,102.0437
1985-12,100.8238,102.3389
1986-01,101.031,102.582
1986-02,101.2023,102.7161
1986-03,101.2172,102.6761
1986-04,101.0263,102.5182
1986-05,100.6833,102.2908
1986-06,100.3114,102.0241
1986-07,100.205,101.7878
1986-08,100.2972,101.6788
1986-09,100.2724,101.7772
1986-10,100.1131,101.9758
1986-11,99.93687,102.1422
1986-12,99.84284,102.1815
1987-01,99.85251,102.1314
1987-02,99.86899,102.0402
1987-03,99.91367,101.9361
1987-04,99.93322,101.8356
1987-05,99.87428,101.7493
1987-06,99.8666,101.6824
1987-07,99.96645,101.6224
1987-08,100.1024,101.5532
1987-09,100.2657,101.4637
1987-10,100.3887,101.3645
1987-11,100.3021,101.2701
1987-12,100.0954,101.19
1988-01,99.94761,101.116
1988-02,99.92543,101.0409
1988-03,100.0272,100.9707
1988-04,100.215,100.9388
1988-05,100.4638,101.0087
1988-06,100.7142,101.2383
1988-07,100.8829,101.543
1988-08,101.0077,101.8233
1988-09,101.0994,102.0168
1988-10,101.2212,102.1761
1988-11,101.3544,102.3768
1988-12,101.4905,102.6612
1989-01,101.5232,102.9399
1989-02,101.4515,103.0607
1989-03,101.2832,102.883
1989-04,101.162,102.5103
1989-05,101.205,102.0535
1989-06,101.3042,101.5893
1989-07,101.3545,101.203
1989-08,101.4131,101.0118
1989-09,101.5094,101.1105
1989-10,101.5994,101.322
1989-11,101.713,101.4178
1989-12,101.8032,101.2266
1990-01,101.7917,100.8569
1990-02,101.7221,100.4499
1990-03,101.6387,100.1091
1990-04,101.5018,99.86855
1990-05,101.3378,99.76532
1990-06,101.1334,99.81252
1990-07,100.9005,99.8345
1990-08,100.6511,99.57352
1990-09,100.3373,98.82165
1990-10,99.98773,97.83562
1990-11,99.63863,96.95324
1990-12,99.29001,96.44408
1991-01,98.98242,96.25639
1991-02,98.68932,96.36105
1991-03,98.46983,96.77401
1991-04,98.25027,97.28643
1991-05,98.10941,97.65621
1991-06,97.94316,97.70018
1991-07,97.84656,97.52888
1991-08,97.81053,97.26324
1991-09,97.74226,96.96661
1991-10,97.69516,96.67106
1991-11,97.70005,96.39452
1991-12,97.74905,96.15683
1992-01,97.82907,95.97681
1992-02,97.90893,95.90195
1992-03,97.96921,95.98051
1992-04,98.00476,96.12841
1992-05,97.94132,96.24515
1992-06,97.82923,96.26048
1992-07,97.75343,96.21216
1992-08,97.60954,96.1518
1992-09,97.43375,96.11451
1992-10,97.31002,96.1004
1992-11,97.16458,96.10868
1992-12,97.01818,96.14859
1993-01,96.94893,96.22787
1993-02,96.89872,96.37103
1993-03,96.85672,96.59812
1993-04,96.85242,96.83976
1993-05,96.90662,97.00619
1993-06,97.00471,97.04178
1993-07,97.19593,97.05482
1993-08,97.43989,97.2084
1993-09,97.6843,97.63387
1993-10,97.89343,98.20381
1993-11,98.14532,98.75726
1993-12,98.38786,99.18047
1994-01,98.55032,99.50423
1994-02,98.70094,99.76878
1994-03,98.94289,99.98825
1994-04,99.26149,100.1743
1994-05,99.53278,100.3163
1994-06,99.68531,100.3946
1994-07,99.74651,100.4379
1994-08,99.76732,100.4672
1994-09,99.77454,100.4732
1994-10,99.78786,100.4088
1994-11,99.8877,100.1816
1994-12,100.0379,99.71632
1995-01,100.1198,99.18092
1995-02,100.091,98.80545
1995-03,99.97032,98.77155
1995-04,99.77869,98.94189
1995-05,99.56696,99.15206
1995-06,99.38938,99.29827
1995-07,99.24507,99.38511
1995-08,99.03071,99.43203
1995-09,98.81776,99.43909
1995-10,98.66368,99.39268
1995-11,98.55514,99.24354
1995-12,98.4452,98.93812
1996-01,98.30442,98.55287
1996-02,98.19064,98.17577
1996-03,98.06599,97.86775
1996-04,97.94675,97.61602
1996-05,97.8751,97.4114
1996-06,97.84965,97.26949
1996-07,97.84342,97.20466
1996-08,97.83456,97.27126
1996-09,97.81738,97.52785
1996-10,97.85346,97.86987
1996-11,97.9363,98.17225
1996-12,98.00359,98.34657
1997-01,98.05711,98.4379
1997-02,98.18511,98.50941
1997-03,98.38948,98.61012
1997-04,98.58538,98.76226
1997-05,98.80834,98.9986
1997-06,99.02748,99.34823
1997-07,99.27647,99.73814
1997-08,99.55818,100.0731
1997-09,99.93693,100.2754
1997-10,100.2424,100.3792
1997-11,100.3533,100.4161
1997-12,100.3241,100.4002
1998-01,100.192,100.3784
1998-02,99.96188,100.4076
1998-03,99.76093,100.5367
1998-04,99.72155,100.7382
1998-05,99.77248,100.9869
1998-06,99.79178,101.2671
1998-07,99.65881,101.532
1998-08,99.41837,101.7132
1998-09,99.1261,101.7457
1998-10,98.8587,101.6771
1998-11,98.77354,101.5474
1998-12,98.86129,101.3717
1999-01,99.05596,101.1827
1999-02,99.26916,101.0141
1999-03,99.3266,100.8968
1999-04,99.4161,100.835
1999-05,99.49229,100.8528
1999-06,99.57416,100.9845
1999-07,99.7185,101.1858
1999-08,99.89496,101.4187
1999-09,100.1367,101.6669
1999-10,100.3623,101.9198
1999-11,100.5217,102.1686
1999-12,100.6863,102.3988
2000-01,100.8811,102.5863
2000-02,101.159,102.6815
2000-03,101.4406,102.6371
2000-04,101.5986,102.5281
2000-05,101.7086,102.4417
2000-06,101.808,102.4332
2000-07,101.8644,102.4582
2000-08,101.9486,102.4485
2000-09,102.0847,102.354
2000-10,102.2061,102.2198
2000-11,102.2224,102.1087
2000-12,102.0684,102.0635
2001-01,101.7914,102.0466
2001-02,101.4704,102.0018
2001-03,101.1568,101.8884
2001-04,100.8159,101.7421
2001-05,100.4648,101.6027
2001-06,100.2018,101.473
2001-07,100.0254,101.2726
2001-08,99.75515,100.8649
2001-09,99.23459,100.1569
2001-10,98.66968,99.40458
2001-11,98.35402,98.98025
2001-12,98.40832,99.18383
2002-01,98.70159,99.72627
2002-02,98.99821,100.2471
2002-03,99.1118,100.4932
2002-04,99.18178,100.5191
2002-05,99.20627,100.3985
2002-06,99.20225,100.1563
2002-07,99.14445,99.84669
2002-08,99.06747,99.50073
2002-09,98.92607,99.14033
2002-10,98.81648,98.82922
2002-11,98.74907,98.66813
2002-12,98.68555,98.74062
2003-01,98.58685,98.90897
2003-02,98.40201,99.0006
2003-03,98.26806,98.8988
2003-04,98.22197,98.71007
2003-05,98.27879,98.59129
2003-06,98.32305,98.66383
2003-07,98.41714,98.85764
2003-08,98.57665,99.08486
2003-09,98.76035,99.29208
2003-10,99.04934,99.47913
2003-11,99.38712,99.66041
2003-12,99.66971,99.84631
2004-01,99.7614,100.0304
2004-02,99.84845,100.194
2004-03,100.0014,100.3118
2004-04,100.1702,100.3788
2004-05,100.3309,100.3723
2004-06,100.4535,100.265
2004-07,100.5001,100.1107
2004-08,100.4783,99.97211
2004-09,100.4245,99.89539
2004-10,100.3214,99.86839
2004-11,100.3228,99.87834
2004-12,100.4617,99.91966
2005-01,100.6209,99.96471
2005-02,100.608,99.98006
2005-03,100.517,99.93903
2005-04,100.4041,99.86389
2005-05,100.2637,99.77995
2005-06,100.1719,99.70367
2005-07,100.2438,99.63964
2005-08,100.3605,99.59917
2005-09,100.5029,99.60668
2005-10,100.7247,99.68249
2005-11,100.9426,99.87695
2005-12,101.1587,100.2363
2006-01,101.3463,100.6499
2006-02,101.4975,100.9735
2006-03,101.5963,101.0985
2006-04,101.7289,101.1111
2006-05,101.7771,101.1189
2006-06,101.7855,101.1909
2006-07,101.8253,101.3008
2006-08,101.9092,101.3991
2006-09,102.0762,101.4457
2006-10,102.2862,101.4556
2006-11,102.4145,101.4492
2006-12,102.5001,101.44
2007-01,102.6253,101.4385
2007-02,102.6894,101.4546
2007-03,102.5755,101.4926
2007-04,102.3551,101.5286
2007-05,102.2343,101.5278
2007-06,102.2442,101.4645
2007-07,102.3113,101.3787
2007-08,102.3412,101.3208
2007-09,102.3115,101.3198
2007-10,102.2184,101.3231
2007-11,102.1897,101.2478
2007-12,102.1436,101.0266
2008-01,102.0406,100.7338
2008-02,101.9603,100.4578
2008-03,101.8952,100.2449
2008-04,101.832,100.0267
2008-05,101.6825,99.68718
2008-06,101.4104,99.13474
2008-07,101.1063,98.49541
2008-08,100.7378,97.94662
2008-09,100.2526,97.63773
2008-10,99.62446,97.51997
2008-11,98.89444,97.55634
2008-12,98.15311,97.7404
2009-01,97.41067,97.96095
2009-02,96.79168,98.09403
2009-03,96.38975,98.05866
2009-04,96.34348,97.95981
2009-05,96.61555,97.95378
2009-06,96.98631,98.17696
2009-07,97.39048,98.5818
2009-08,97.73039,99.13121
2009-09,98.07195,99.81124
2009-10,98.37965,100.4993
2009-11,98.7674,101.037
2009-12,99.17195,101.2959
2010-01,99.54887,101.3921
2010-02,99.92381,101.4572
2010-03,100.2413,101.5705
2010-04,100.5579,101.7234
2010-05,100.8717,101.8825
2010-06,101.2025,102.014
2010-07,101.4513,102.1009
2010-08,101.5815,102.1108
2010-09,101.6558,102.0073
2010-10,101.7991,101.8391
2010-11,101.9178,101.6563
2010-12,101.9526,101.4919
2011-01,101.8726,101.3578
2011-02,101.7556,101.2655
2011-03,101.7169,101.2167
2011-04,101.5874,101.1521
2011-05,101.3401,100.9846
2011-06,101.0478,100.6478
2011-07,100.6536,100.2482
2011-08,100.2127,99.93028
2011-09,99.84132,99.80499
2011-10,99.61739,99.79596
2011-11,99.53121,99.81184
2011-12,99.58428,99.80212
2012-01,99.66375,99.78806
2012-02,99.83488,99.81869
2012-03,100.0542,99.9311
2012-04,100.1125,100.066
2012-05,100.0801,100.1373
2012-06,100.0496,100.0789
2012-07,100.0426,99.95576
2012-08,100.0599,99.85681
2012-09,99.93684,99.85373
2012-10,99.75043,99.9349
2012-11,99.67026,100.0931
2012-12,99.7672,100.3292
2013-01,100.0078,100.578
2013-02,100.1882,100.756
2013-03,100.1916,100.7951
2013-04,100.1243,100.7478
2013-05,100.0361,100.6731
2013-06,99.98043,100.6084
2013-07,100.0266,100.5698
2013-08,100.1485,100.5762
2013-09,100.3431,100.6478
2013-10,100.5446,100.7595
2013-11,100.6993,100.8865
2013-12,100.7871,101.0093
2014-01,100.8144,101.1037
2014-02,100.7896,101.1328
2014-03,100.7081,101.0661
2014-04,100.5709,100.9652
2014-05,100.4807,100.9074
2014-06,100.4233,100.9435
2014-07,100.3416,101.0132
2014-08,100.2723,101.0262
2014-09,100.2474,100.9114
