country,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1955-02,,,,,,,100.6201,100.626,23.25226
1955-03,,,,,,,100.6567,100.6713,23.29758
1955-04,,,,,,,100.7062,100.7326,23.34299
1955-05,,,,,,,100.782,100.8264,23.38849
1955-06,,,,,,,100.8847,100.9535,23.43409
1955-07,,,,,,,100.9873,101.0804,23.47979
1955-08,,,,,,,101.055,101.1642,23.52559
1955-09,,,,,,,101.0661,101.1779,23.57151
1955-10,,,,,,,101.0345,101.1388,23.61756
1955-11,,,,,,,100.9869,101.0798,23.66375
1955-12,,,,,,,100.9426,101.0251,23.71009
1956-01,,,,,,,100.8953,100.9666,23.75661
1956-02,,,,,,,100.8268,100.8818,23.80332
1956-03,,,,,,,100.7216,100.7516,23.85024
1956-04,,,,,,,100.5823,100.5792,23.8974
1956-05,,,,,,,100.4222,100.3812,23.94482
1956-06,,,,,,,100.2604,100.181,23.99252
1956-07,,,,,,,100.1179,100.0047,24.04054
1956-08,,,,,,,100.0157,99.87815,24.08891
1956-09,,,,,,,99.97086,99.8227,24.13764
1956-10,,,,,,,99.99061,99.84713,24.18677
1956-11,,,,,,,100.0721,99.94802,24.23632
1956-12,,,,,,,100.1982,100.104,24.28633
1957-01,,,,,,,100.3277,100.2643,24.33681
1957-02,,,,,,,100.4132,100.37,24.3878
1957-03,,,,,,,100.4178,100.3757,24.43931
1957-04,,,,,,,100.3356,100.274,24.49139
1957-05,,,,,,,100.179,100.0802,24.54406
1957-06,,,,,,,99.97269,99.82497,24.59735
1957-07,,,,,,,99.75191,99.55178,24.6513
1957-08,,,,,,,99.55278,99.3054,24.70593
1957-09,,,,,,,99.40367,99.12089,24.76129
1957-10,,,,,,,99.315,99.01118,24.81739
1957-11,,,,,,,99.28084,98.96891,24.87428
1957-12,,,97.46449,98.19994,,24.29981,99.27573,98.96258,24.93197
1958-01,,,97.51181,98.23352,,24.36868,99.24739,98.92752,24.99049
1958-02,,,97.63669,98.32214,,24.45785,99.14581,98.80183,25.04986
1958-03,,,97.80425,98.44104,,24.55875,98.95361,98.564,25.1101
1958-04,,,97.98584,98.56989,,24.66425,98.72075,98.27587,25.17124
1958-05,,,98.1916,98.7159,,24.77696,98.51835,98.02544,25.23329
1958-06,,,98.45102,98.89998,,24.90443,98.3957,97.87368,25.29626
1958-07,,,98.79619,99.14491,,25.0549,98.34335,97.80891,25.36018
1958-08,,,99.19053,99.42474,,25.21924,98.3222,97.78274,25.42505
1958-09,,,99.59901,99.71458,,25.38864,98.29443,97.74838,25.49086
1958-10,,,99.9697,99.97762,,25.54987,98.25183,97.69566,25.55762
1958-11,,,100.2461,100.1737,,25.68837,98.20493,97.63764,25.62531
1958-12,,,100.3614,100.2556,6.119301,25.78679,98.17324,97.59842,25.69394
1959-01,,,100.3014,100.213,6.042346,25.84112,98.17546,97.60117,25.76348
1959-02,,,100.1465,100.1031,5.781023,25.87177,98.22906,97.66748,25.83391
1959-03,,,99.98193,99.98631,5.463607,25.90054,98.34712,97.81358,25.90522
1959-04,,,99.85777,99.89821,5.174186,25.94042,98.5314,98.0416,25.97737
1959-05,,,99.76373,99.83147,4.890851,25.98877,98.77947,98.34853,26.05032
1959-06,,,99.80254,99.85902,4.690043,26.07246,99.08688,98.72892,26.12404
1959-07,,,100.0455,100.0314,4.611881,26.2104,99.44449,99.17139,26.19849
1959-08,,,100.5819,100.412,4.787036,26.42649,99.84081,99.66179,26.27361
1959-09,,,101.4664,101.0397,5.30594,26.73575,100.2607,100.1813,26.34937
1959-10,,,102.5051,101.7767,6.018919,27.0877,100.6807,100.701,26.4257
1959-11,,,103.4238,102.4286,6.70183,27.40996,101.0713,101.1843,26.50257
1959-12,,,103.9995,102.8372,7.198215,27.64298,101.3991,101.5899,26.57992
1960-01,,,104.0744,102.8903,7.363116,27.74383,101.6306,101.8764,26.6577
1960-02,,,103.7314,102.6469,7.195977,27.73349,101.7409,102.0129,26.73587
1960-03,,,103.1821,102.2571,6.822666,27.66765,101.7285,101.9975,26.81439
1960-04,,,102.5767,101.8275,6.344344,27.58617,101.6385,101.8861,26.89322
1960-05,,,102.0303,101.4398,5.891699,27.51995,101.5303,101.7522,26.97233
1960-06,,,101.5918,101.1287,5.407391,27.4823,101.4516,101.6549,27.05169
1960-07,,,101.2716,100.9014,4.82969,27.47628,101.4136,101.6079,27.13128
1960-08,,,101.0613,100.7522,4.061708,27.49986,101.4089,101.602,27.21107
1960-09,,,100.9162,100.6493,3.012219,27.54109,101.4266,101.624,27.29104
1960-10,,,100.7933,100.5621,1.848118,27.58831,101.4648,101.6713,27.37117
1960-11,,,100.7065,100.5004,0.8589208,27.64539,101.5234,101.7438,27.45145
1960-12,,,100.6878,100.4872,0.2830881,27.72124,101.5959,101.8335,27.53187
1961-01,,,100.72,100.5101,0.2429268,27.81122,101.6597,101.9124,27.61241
1961-02,,,100.7521,100.5328,0.605238,27.90135,101.6854,101.9441,27.69307
1961-03,,,100.6796,100.4814,1.066023,27.96259,101.6468,101.8964,27.77385
1961-04,,,100.4276,100.3026,1.405389,27.97386,101.534,101.7569,27.85475
1961-05,,,100.0006,99.99958,1.511654,27.93596,101.3472,101.5257,27.93578
1961-06,,,99.40553,99.57729,1.339395,27.8504,101.0956,101.2144,28.01695
1961-07,,,98.66547,99.05215,0.899026,27.7233,100.8022,100.8514,28.09828
1961-08,,,97.88773,98.50027,0.3079488,27.58455,100.4942,100.4703,28.17978
1961-09,,,97.23612,98.0379,-0.2204927,27.48036,100.197,100.1025,28.26147
1961-10,,,96.81518,97.7392,-0.5350437,27.4407,99.92939,99.77139,28.34339
1961-11,,,96.64494,97.6184,-0.6277584,27.47184,99.70508,99.49384,28.42554
1961-12,,,96.64588,97.61907,-0.6113905,27.55175,99.53158,99.27916,28.50794
1962-01,,,96.74681,97.69068,-0.5418968,27.66052,99.40654,99.12444,28.59062
1962-02,,,96.90934,97.80602,-0.4083862,27.7874,99.32215,99.02002,28.6736
1962-03,,,97.11779,97.95393,-0.123484,27.92806,99.26601,98.95056,28.75689
1962-04,,,97.35973,98.1256,0.3759884,28.07904,99.21907,98.89247,28.84051
1962-05,,,97.56793,98.27335,1.020362,28.221,99.16063,98.82017,28.92447
1962-06,,,97.72293,98.38333,1.78749,28.34822,99.0727,98.71136,29.00877
1962-07,,,97.8992,98.50842,2.737527,28.48223,98.94505,98.55342,29.09342
1962-08,,,98.12756,98.67046,3.797578,28.63209,98.7768,98.34523,29.17844
1962-09,,,98.37134,98.84344,4.755575,28.78721,98.58067,98.10256,29.26382
1962-10,,,98.62186,99.0212,5.482294,28.94508,98.39008,97.86672,29.34956
1962-11,,,98.84971,99.18288,5.915949,29.09706,98.24879,97.69191,29.43566
1962-12,,,99.04649,99.32253,6.129772,29.24061,98.20072,97.63242,29.52211
1963-01,,,99.24007,99.45989,6.230414,29.38388,98.2763,97.72594,29.60889
1963-02,,,99.48463,99.63342,6.317739,29.54294,98.48767,97.98748,29.69598
1963-03,,,99.79304,99.85226,6.422414,29.72172,98.81456,98.39196,29.78336
1963-04,,,100.1344,100.0945,6.524736,29.91113,99.20376,98.87353,29.87099
1963-05,,,100.4628,100.3275,6.649155,30.09746,99.58648,99.34709,29.95882
1963-06,,,100.7725,100.5473,6.810707,30.27893,99.91548,99.75418,30.04683
1963-07,,,101.1221,100.7954,6.989921,30.47312,100.1822,100.0842,30.13497
1963-08,,,101.4873,101.0545,7.127003,30.6727,100.4069,100.3622,30.2232
1963-09,,,101.8271,101.2956,7.218771,30.86529,100.612,100.616,30.31148
1963-10,,,102.0859,101.4792,7.216338,31.03386,100.7982,100.8464,30.39976
1963-11,,,102.2092,101.5667,7.095117,31.16153,100.9564,101.0421,30.488
1963-12,,,102.2193,101.5739,6.8881,31.25473,101.0807,101.196,30.57616
1964-01,,,102.1395,101.5173,6.589935,31.32026,101.1842,101.324,30.66422
1964-02,,,102.0074,101.4236,6.182536,31.36944,101.2847,101.4483,30.75212
1964-03,,,101.893,101.3424,5.72621,31.42365,101.3928,101.5822,30.83984
1964-04,,,101.8562,101.3163,5.316759,31.50143,101.5001,101.7149,30.92735
1964-05,,,101.8966,101.3449,5.001683,31.60284,101.5903,101.8265,31.01463
1964-06,,,102.0158,101.4295,4.787668,31.72859,101.652,101.9029,31.10165
