country,USA,USA,USA,USA,USA,USA,USA,USA,USA
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1947-02,,,,,,,102.3002,102.6525,11.38342
1947-03,,,,,,,101.915,102.2011,11.42433
1947-04,,,,,,,101.5387,101.76,11.4654
1947-05,,,,,,,101.1849,101.3453,11.50663
1947-06,,,,,,,100.8728,100.9795,11.54801
1947-07,,,,,,,100.6246,100.6886,11.58957
1947-08,,,,,,,100.4616,100.4975,11.6313
1947-09,,,,,,,100.3956,100.4201,11.67321
1947-10,,,,,,,100.4145,100.4423,11.71533
1947-11,,,,,,,100.4971,100.5392,11.75765
1947-12,,,,,,,100.6212,100.6846,11.80019
1948-01,,,,,,,100.7667,100.8551,11.84295
1948-02,,,,,,,100.9155,101.0296,11.88596
1948-03,,,,,,,101.0497,101.1868,11.92922
1948-04,,,,,,,101.1482,101.3024,11.97274
1948-05,,,,,,,101.1898,101.3511,12.01655
1948-06,,,,,,,101.1564,101.3119,12.06066
1948-07,,,,,,,101.0419,101.1777,12.10508
1948-08,,,,,,,100.8434,100.9451,12.14984
1948-09,,,,,,,100.5587,100.6114,12.19495
1948-10,,,,,,,100.1893,100.1783,12.24045
1948-11,,,,,,,99.73996,99.65167,12.28635
1948-12,,,,,,,99.22504,99.04813,12.33267
1949-01,,,,,,,98.67907,98.40818,12.37945
1949-02,,,,,,,98.14244,97.77917,12.4267
1949-03,,,,,,,97.64964,97.20156,12.47445
1949-04,,,,,,,97.21742,96.69495,12.52272
1949-05,,,,,,,96.85099,96.26544,12.57152
1949-06,,,,,,,96.54566,95.90755,12.62087
1949-07,,,,,,,96.28369,95.60049,12.67078
1949-08,,,,,,,96.05334,95.33049,12.72127
1949-09,,,,,,,95.86436,95.10898,12.77232
1949-10,,,,,,,95.7609,94.98772,12.82395
1949-11,,,,,,,95.79552,95.02831,12.87615
1949-12,,,,,,,95.99734,95.26485,12.9289
1950-01,101.1209,,,,,,96.35571,95.68491,12.98219
1950-02,101.6734,,,,,,96.83136,96.24242,13.036
1950-03,102.41,,,,,,97.38077,96.88641,13.09031
1950-04,103.4594,,,,,,97.97198,97.57938,13.14507
1950-05,104.5173,,,,,,98.58045,98.29259,13.20026
1950-06,105.1397,,,,,,99.18143,98.99701,13.25584
1950-07,105.1632,,,,,,99.74046,99.65226,13.31177
1950-08,104.5078,,,,,,100.2221,100.2168,13.36801
1950-09,103.3548,,,,,,100.6015,100.6615,13.42451
1950-10,102.4219,,,,,,100.8811,100.9893,13.48123
1950-11,102.3922,,,,,,101.077,101.2188,13.53813
1950-12,102.8537,,,,,,101.2118,101.3769,13.59518
1951-01,103.203,,,,,,101.3138,101.4964,13.65232
1951-02,103.0791,,,,,,101.4081,101.607,13.70951
1951-03,102.1706,,,,,,101.5122,101.729,13.76672
1951-04,100.6758,,,,,,101.6302,101.8673,13.82391
1951-05,99.36033,,,,,,101.7556,102.0142,13.88103
1951-06,98.36491,,,,,,101.8722,102.151,13.93806
1951-07,97.89405,,,,,,101.9555,102.2485,13.99495
1951-08,98.04712,,,,,,101.9808,102.2782,14.05167
1951-09,98.52792,,,,,,101.9349,102.2244,14.1082
1951-10,98.82755,,,,,,101.8313,102.103,14.16449
1951-11,98.75102,,,,,,101.6927,101.9406,14.22053
1951-12,98.45365,,,,,,101.538,101.7591,14.27628
1952-01,97.98012,,,,,,101.3721,101.5647,14.33172
1952-02,97.40512,,,,,,101.1952,101.3574,14.38684
1952-03,96.90393,,,,,,101.0123,101.143,14.4416
1952-04,96.67798,,,,,,100.8439,100.9456,14.496
1952-05,97.05312,,,,,,100.7201,100.8006,14.55
1952-06,97.96662,,,,,,100.6738,100.7462,14.6036
1952-07,99.21901,,,,,,100.731,100.8133,14.65678
1952-08,100.4114,,,,,,100.9071,101.0198,14.70952
1952-09,100.8125,,,,,,101.1948,101.3569,14.7618
1952-10,100.8758,,,,,,101.5581,101.7828,14.81361
1952-11,100.875,,,,,,101.9423,102.2331,14.86494
1952-12,100.864,,,,,,102.2922,102.6432,14.91577
1953-01,100.8112,,,,,,102.5702,102.969,14.96609
1953-02,100.3872,,,,,,102.7486,103.1781,15.0159
1953-03,99.82329,,,,,,102.8078,103.2476,15.0652
1953-04,99.44006,,,,,,102.7412,103.1695,15.11397
1953-05,99.11408,,,,,,102.5468,102.9416,15.16224
1953-06,98.79548,,,,,,102.2274,102.5672,15.21001
1953-07,98.34134,,,,,,101.8008,102.0672,15.25728
1953-08,97.74476,,,,,,101.2908,101.4694,15.30409
1953-09,97.09638,,,,,,100.7257,100.8071,15.35043
1953-10,96.55406,,,,,,100.1443,100.1256,15.39634
1953-11,96.25236,,,,,,99.58544,99.47056,15.44184
1953-12,96.21792,,,,,,99.08064,98.87888,15.48695
1954-01,96.55926,,,,,,98.64515,98.36842,15.53169
1954-02,97.21009,,,,,,98.28732,97.94901,15.57608
1954-03,97.99104,,,,,,98.01304,97.62751,15.62014
1954-04,98.69766,,,,,,97.82471,97.40675,15.66389
1954-05,99.21516,,,,,,97.72628,97.29139,15.70734
1954-06,99.48341,,,,,,97.72229,97.28671,15.7505
1954-07,99.51688,,,,,,97.81058,97.3902,15.79338
1954-08,99.58415,,,,,,97.98866,97.59893,15.83599
1954-09,100.0849,,,,,,98.25341,97.90926,15.87833
1954-10,100.7886,,,,,,98.59441,98.30895,15.92039
1954-11,101.4306,,,,,,98.99767,98.78162,15.96217
1954-12,102.0612,,,,,,99.44384,99.30459,16.00367
1955-01,102.5379,,101.4728,101.3044,,16.28118,99.9019,99.84149,16.04488
1955-02,103.014,,101.8313,101.622,,16.38036,100.3386,100.3533,16.08579
1955-03,103.2828,,102.1281,101.8851,,16.46958,100.7271,100.8088,16.12639
1955-04,103.3768,,102.3372,102.0704,,16.54453,101.0578,101.1963,16.16668
1955-05,103.2311,,102.4583,102.1776,,16.60504,101.3279,101.5129,16.20664
1955-06,102.8582,,102.4986,102.2134,,16.6522,101.5364,101.7573,16.24627
1955-07,102.6732,,102.5011,102.2156,,16.69289,101.682,101.928,16.28557
1955-08,102.478,,102.4865,102.2027,,16.73045,101.7614,102.021,16.32454
1955-09,102.296,,102.4603,102.1794,,16.76575,101.7711,102.0324,16.36317
1955-10,102.2536,,102.406,102.1313,,16.79609,101.7151,101.9668,16.40147
1955-11,102.225,,102.2895,102.028,,16.81583,101.6017,101.8338,16.43946
1955-12,102.1656,,102.086,101.8478,,16.82084,101.4452,101.6505,16.47712
1956-01,101.7596,,101.7891,101.5847,3.247728,16.80995,101.2723,101.4477,16.51449
1956-02,101.2864,,101.4448,101.2796,2.505001,16.79069,101.1101,101.2577,16.55156
1956-03,100.8165,,101.1077,100.981,1.83695,16.77212,100.9774,101.1021,16.58836
1956-04,100.2375,,100.7937,100.7027,1.283345,16.75685,100.8735,100.9803,16.62491
1956-05,99.50004,,100.5216,100.4616,0.8616942,16.74813,100.7919,100.8847,16.66121
1956-06,98.90544,,100.3351,100.2963,0.606858,16.75325,100.7306,100.8128,16.6973
1956-07,98.79111,,100.2682,100.2371,0.5103012,16.77807,100.7016,100.7789,16.73319
1956-08,99.34135,,100.3221,100.2849,0.5527695,16.82293,100.7202,100.8006,16.76891
1956-09,99.91805,,100.4419,100.391,0.6739563,16.87874,100.7915,100.8842,16.80447
1956-10,100.1449,,100.5684,100.5031,0.830795,16.93563,100.8947,101.0052,16.83991
1956-11,100.2265,,100.6522,100.5773,1.007859,16.98531,100.9981,101.1264,16.87525
1956-12,100.0942,,100.6453,100.5712,1.181776,17.01962,101.0724,101.2135,16.91051
1957-01,99.83978,,100.5281,100.4674,1.340048,17.03521,101.1039,101.2504,16.94572
1957-02,99.33279,,100.3455,100.3056,1.482437,17.0396,101.0895,101.2335,16.98092
1957-03,98.67634,,100.1023,100.09,1.558681,17.03354,101.0346,101.1692,17.01614
1957-04,98.13197,,99.83667,99.85471,1.591663,17.02357,100.955,101.0759,17.05142
1957-05,97.99251,,99.57804,99.62556,1.591534,17.01468,100.8627,100.9677,17.08678
1957-06,98.14118,,99.3018,99.38078,1.489065,17.00272,100.7545,100.8409,17.12227
1957-07,98.25832,,98.97405,99.09038,1.214808,16.9819,100.6018,100.6618,17.15793
1957-08,98.23238,,98.57361,98.73557,0.7466776,16.94854,100.3652,100.3846,17.19379
1957-09,97.99806,,98.10342,98.31895,0.1444962,16.90313,100.0138,99.97267,17.22991
