,id,name
0,XTNTVA01,International Trade > Net trade > Value (goods) > Total
1,XTIMVA01,International Trade > Imports > Value (goods) > Total
2,PRMNTO01,Production > Manufacturing > Total manufacturing > Total manufacturing
3,SLRTTO01,Sales > Retail trade > Total retail trade > Volume
4,CPGRLE01,Consumer Price Index > OECD Groups > All items non-food non-energy > Total
5,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3
6,SLRTCR03,Sales > Retail trade > Car registration > Passenger cars
7,IRSTCI01,Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate > Total
8,CPGREN01,"Consumer Price Index > OECD Groups > Energy (Fuel, electricity & gasoline) > Total"
9,CCUSSP02,"Currency Conversions > US$ exchange rate > Spot, end of period > National currency:USD"
10,IR3TIB01,Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total
11,XTEXVA01,International Trade > Exports > Value (goods) > Total
12,CCRETT01,Currency Conversions > Real effective exchange rates > Overall Economy > CPI
13,SPASTT01,Share Prices > All shares/broad > Total > Total
14,WSCNDW01,Work Started > Construction > Dwellings / Residential buildings > Total
15,SLRTTO02,Sales > Retail trade > Total retail trade > Value
16,CCUSMA02,Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD
17,ODCNPI03,Orders > Construction > Permits issued > Dwellings / Residential buildings
18,IRLTLT01,Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)
19,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly
20,CPALTT01,Consumer Price Index > All items > Total > Total
21,PRINTO01,Production > Industry > Total industry > Total industry excluding construction
22,MANMM101,Monetary aggregates and their components > Narrow money and components > M1 and components > M1
23,PIEAMP02,Producer Prices Index > Economic activities > Manufacturing > Domestic
24,LOCOBSNO,Leading Indicators OECD > Component series > BTS - Business situation > Normalised
25,LOCOPPNO,Leading Indicators OECD > Component series > Producer prices > Normalised
26,LOCOPPOR,Leading Indicators OECD > Component series > Producer prices > Original series
27,LOCOSLNO,Leading Indicators OECD > Component series > Sales > Normalised
28,LOCOSLOR,Leading Indicators OECD > Component series > Sales > Original series
29,LOCOSPNO,Leading Indicators OECD > Component series > Share prices > Normalised
30,LOCOSPOR,Leading Indicators OECD > Component series > Share prices > Original series
31,LOCOTANO,Leading Indicators OECD > Component series > Tourism activity > Normalised
32,LOCOTAOR,Leading Indicators OECD > Component series > Tourism activity > Original series
33,LOCOXGNO,Leading Indicators OECD > Component series > Exports of goods > Normalised
34,LOLITOAA,Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted
35,LOLITONO,Leading Indicators OECD > Leading indicators > CLI > Normalised
36,LOLITOTR,Leading Indicators OECD > Leading indicators > CLI > Trend restored
37,LORSGPNO,Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Normalised
38,LORSGPRT,Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Ratio to trend
39,LORSGPTD,Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Trend
40,LRAC24FE,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Females
41,LRAC24MA,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > Males
42,LRAC24TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-24 > All persons
43,LRAC25FE,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Females
44,LRAC25MA,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > Males
45,LRAC25TT,Labour Force Survey - quarterly rates > Activity rate > Aged 25-54 > All persons
46,LRAC55FE,Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > Females
47,LRAC55MA,Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > Males
48,LRAC55TT,Labour Force Survey - quarterly rates > Activity rate > Aged 55-64 > All persons
49,LRAC64FE,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > Females
50,LRAC64MA,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > Males
51,LRAC64TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-64 > All persons
52,LRAC74FE,Labour Force Survey - quarterly rates > Activity rate > Aged 15-74 > Females
53,LRAC74MA,Labour Force Survey - quarterly rates > Activity rate > Aged 15-74 > Males
54,LRAC74TT,Labour Force Survey - quarterly rates > Activity rate > Aged 15-74 > All persons
55,LRACTTFE,Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > Females
56,LRACTTMA,Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > Males
57,LRACTTTT,Labour Force Survey - quarterly rates > Activity rate > Aged 15 and over > All persons
58,LREM24FE,Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > Females
59,LREM24MA,Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > Males
60,LREM24TT,Labour Force Survey - quarterly rates > Employment rate > Aged 15-24 > All persons
61,LREM25FE,Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > Females
62,LREM25MA,Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > Males
63,LREM25TT,Labour Force Survey - quarterly rates > Employment rate > Aged 25-54 > All persons
64,LREM55FE,Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > Females
65,LREM55MA,Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > Males
66,LREM55TT,Labour Force Survey - quarterly rates > Employment rate > Aged 55-64 > All persons
67,LREM64FE,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > Females
68,LREM64MA,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > Males
69,LREM64TT,Labour Force Survey - quarterly rates > Employment rate > Aged 15-64 > All persons
70,LREM74FE,Labour Force Survey - quarterly rates > Employment rate > Aged 15-74 > Females
71,LREM74MA,Labour Force Survey - quarterly rates > Employment rate > Aged 15-74 > Males
72,LREM74TT,Labour Force Survey - quarterly rates > Employment rate > Aged 15-74 > All persons
73,LREMTTFE,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > Females
74,LREMTTMA,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > Males
75,LREMTTTT,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > All persons
76,LRHU24FE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Females
77,LRHU24MA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Males
78,LRHU24TT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > All persons
79,LRHUADFE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Females
