,id,name
0,XTNTVA01,International Trade > Net trade > Value (goods) > Total
1,CCRETT02,Currency Conversions > Real effective exchange rates > Overall Economy > ULC
2,XTIMVA01,International Trade > Imports > Value (goods) > Total
3,PRMNTO01,Production > Manufacturing > Total manufacturing > Total manufacturing
4,SLRTTO01,Sales > Retail trade > Total retail trade > Volume
5,IRLOHO01,Interest Rates > Other long term rates and yields > Housing > Housing bonds
6,CPGRLE01,Consumer Price Index > OECD Groups > All items non-food non-energy > Total
7,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3
8,SLRTCR03,Sales > Retail trade > Car registration > Passenger cars
9,PRMNCG02,Production > Manufacturing > Consumer goods > Durable goods
10,IRSTCI01,Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate > Total
11,CPGREN01,"Consumer Price Index > OECD Groups > Energy (Fuel, electricity & gasoline) > Total"
12,LCEAMN03,Labour Compensation > Earnings > Manufacturing > Monthly
13,SLMNIG01,Sales > Manufacturing > Intermediate goods > Volume
14,IR3TIB01,Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total
15,ODMNTO02,Orders > Manufacturing > Total orders > Value
16,PRMNVG01,Production > Manufacturing > Investment goods > Total
17,SLMNCT01,Sales > Manufacturing > Consumer goods total > Volume
18,XTEXVA01,International Trade > Exports > Value (goods) > Total
19,LCEAPR03,Labour Compensation > Earnings > Private sector > Monthly
20,PRMNIG01,Production > Manufacturing > Intermediate goods > Total
21,CCUSSP01,"Currency Conversions > US$ exchange rate > Spot, end of period > USD:national currency"
22,CCRETT01,Currency Conversions > Real effective exchange rates > Overall Economy > CPI
23,SLMNTO01,Sales > Manufacturing > Total manufacturing > Volume
24,SPASTT01,Share Prices > All shares/broad > Total > Total
25,STMNTO01,Short term statistics > Stocks - Manufacturing > Total manufacturing > Volume
26,CCUSMA02,Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD
27,HOHWMN03,Hours > Hours worked > Manufacturing > Monthly
28,ODCNPI03,Orders > Construction > Permits issued > Dwellings / Residential buildings
29,IRLTLT01,Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)
30,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly
31,SLMNVG01,Sales > Manufacturing > Investment goods > Volume
32,CPALTT01,Consumer Price Index > All items > Total > Total
33,IR3TCD01,Interest Rates > 3-month or 90-day rates and yields > Certificates of deposit > Total
34,PRINTO01,Production > Industry > Total industry > Total industry excluding construction
35,PRMNCG03,Production > Manufacturing > Consumer goods > Non durable goods
36,MANMM101,Monetary aggregates and their components > Narrow money and components > M1 and components > M1
