country,NLD,NLD,NLD
subject,BSCI,BSCURT,BVCI
measure,BLSA,BLSA,BLSA
unit,,,
powercode,Units,Units,Units
reference_period,,,
time,,,
1964,8.451667,,
1965,1.765833,,
1966,-3.0975,,
1967,-13.95,,
1968,1.255,,
1969,5.14,,
1970,2.998333,,
1971,-7.789166,,
1972,-8.1775,,
1973,6.208333,,
1974,-5.9325,,
1975,-33.6925,,
1976,-20.56667,,
1977,-17.6875,,
1978,-12.93,78.99681,
1979,-5.696667,81.49322,
1980,-15.07833,81.23634,
1981,-24.24417,78.47963,
1982,-25.27167,76.73646,
1983,-15.12917,79.49522,
1984,-4.805,82.25634,
1985,-1.408333,83.55,
1986,-4.85,84.225,
1987,-5.516667,84.05,
1988,-2.225,84.55,
1989,1.316667,85.925,
1990,-0.5,85.9,
1991,-4.666667,84.575,
1992,-6.958333,83.625,
1993,-12.93333,81.0,
1994,-2.566667,82.7,
1995,0.575,84.675,
1996,-2.891667,83.975,3.816667
1997,2.8,84.4,17.475
1998,2.158333,85.275,21.03333
1999,-1.075,84.1,11.20833
2000,4.608333,84.525,19.175
2001,-2.8,84.575,8.2
2002,-5.65,83.0,-4.3
2003,-8.658334,81.7,-19.59167
2004,-1.766667,82.675,-6.733333
2005,-2.533333,82.0,12.15833
2006,4.95,82.325,30.70833
2007,5.675,83.575,36.50834
2008,-1.433333,83.275,8.325
2009,-20.29167,75.95,-29.05833
2010,-4.425,78.875,7.65
2011,-1.266667,80.325,8.516666
2012,-7.508333,78.425,-10.08333
2013,-6.425,76.725,-8.233334
2014,-1.291667,80.15,5.175
2015,0.6,81.825,7.45
2016,1.016667,81.675,8.908334
2017,4.558333,82.525,13.91667
2018,5.475,83.975,14.975
2019,1.658333,84.2,9.658334
2020,-10.83333,78.175,-17.16667
2021,5.283333,82.075,7.25
