country,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,102.5231,102.1521,14.70995
1960-03,,,,,,,102.8424,102.4296,14.7603
1960-04,,,,,,,103.1208,102.6714,14.81083
1960-05,,,,,,,103.3,102.8271,14.86154
1960-06,,,,,,,103.3333,102.8561,14.91244
1960-07,,,,,,,103.2209,102.7585,14.96353
1960-08,,,,,,,102.985,102.5535,15.01484
1960-09,,,,,,,102.655,102.2667,15.06639
1960-10,,,,,,,102.2618,101.9251,15.11818
1960-11,,,,,,,101.8275,101.5477,15.17026
1960-12,,,,,,,101.3584,101.1402,15.22265
1961-01,,,,,,,100.8433,100.6926,15.27537
1961-02,,,,,,,100.2658,100.1908,15.32846
1961-03,,,,,,,99.62119,99.63078,15.38195
1961-04,,,,,,,98.9362,99.03561,15.43588
1961-05,,,,,,,98.25529,98.44399,15.49026
1961-06,,,,,,,97.63031,97.90097,15.54515
1961-07,,,,,,,97.11025,97.44911,15.60056
1961-08,,,,,,,96.73878,97.12637,15.65654
1961-09,,,,,,,96.54447,96.95753,15.7131
1961-10,,,,,,,96.53449,96.94886,15.77027
1961-11,,,,,,,96.69641,97.08955,15.82806
1961-12,,,,,,,97.00002,97.35334,15.8865
1962-01,,,,,,,97.38617,97.68885,15.94559
1962-02,,,,,,,97.78916,98.03899,16.00535
1962-03,,,,,,,98.15305,98.35517,16.06578
1962-04,,,,,,,98.44648,98.61011,16.12688
1962-05,,,,,,,98.65791,98.79382,16.18866
1962-06,,,,,,,98.79536,98.91324,16.25112
1962-07,,,,,,,98.8912,98.99651,16.31426
1962-08,,,,,,,98.98308,99.07634,16.37807
1962-09,,,,,,,99.09738,99.17565,16.44256
1962-10,,,,,,,99.23272,99.29324,16.50772
1962-11,,,,,,,99.36858,99.41129,16.57354
1962-12,,,,,,,99.47187,99.50103,16.64002
1963-01,,,,,,,99.50321,99.52827,16.70715
1963-02,,,,,,,99.4395,99.47291,16.77492
1963-03,,,,,,,99.30104,99.35261,16.84333
1963-04,,,,,,,99.18434,99.25121,16.91236
1963-05,,,,,,,99.20249,99.26698,16.982
1963-06,,,,,,,99.42464,99.45999,17.05226
1963-07,,,,,,,99.80527,99.79071,17.1231
1963-08,,,,,,,100.2451,100.1729,17.19452
1963-09,,,,,,,100.6393,100.5153,17.2665
1963-10,,,,,,,100.9208,100.7599,17.33902
1963-11,,,,,,,101.0581,100.8792,17.41208
1963-12,,,,,,,101.0595,100.8804,17.48565
1964-01,,,,,,,100.9869,100.8174,17.55973
1964-02,,,,,,,100.9158,100.7556,17.6343
1964-03,,,,,,,100.8999,100.7418,17.70936
1964-04,,,,,,,100.9369,100.7739,17.78489
1964-05,,,,,,,101.0015,100.8301,17.86089
1964-06,,,,,,,101.0755,100.8944,17.93735
1964-07,,,,,,,101.174,100.98,18.01425
1964-08,,,,,,,101.3223,101.1088,18.0916
1964-09,,,,,,,101.5303,101.2895,18.16939
1964-10,,,,,,,101.7639,101.4925,18.24762
1964-11,,,,,,,101.9725,101.6737,18.32627
1964-12,,,,,,,102.1145,101.7971,18.40536
1965-01,,,,,,,102.1847,101.8581,18.48489
1965-02,,,,,,,102.1907,101.8633,18.56485
1965-03,,,,,,,102.1359,101.8157,18.64526
1965-04,,,,,,,102.0052,101.7021,18.72612
1965-05,,,,,,,101.7764,101.5033,18.80746
1965-06,,,,,,,101.4369,101.2084,18.88927
1965-07,,,,,,,101.0068,100.8346,18.97159
1965-08,,,,,,,100.5178,100.4098,19.05443
1965-09,,,,,,,100.0003,99.96014,19.13782
1965-10,,,,,,,99.47395,99.50284,19.22177
1965-11,,,,,,,98.95579,99.05263,19.30631
1965-12,,,,,,,98.46856,98.6293,19.39146
1966-01,,,,,,,98.04869,98.26449,19.47724
1966-02,100.2006,,98.4269,98.09763,,19.25592,97.73716,97.99381,19.56368
1966-03,100.2702,,98.62398,98.33578,,19.38039,97.56607,97.84516,19.65079
1966-04,100.3207,,98.85246,98.61187,,19.51207,97.53763,97.82044,19.73858
1966-05,99.6198,,99.09119,98.90037,,19.64688,97.63739,97.90713,19.82707
1966-06,99.65413,,99.29758,99.14977,,19.77637,97.83662,98.08023,19.91627
1966-07,99.70644,,99.46607,99.35338,,19.89935,98.08488,98.29594,20.00617
1966-08,99.8114,,99.61282,99.53071,,20.01897,98.33524,98.51346,20.09678
1966-09,100.0011,,99.76672,99.7167,,20.14101,98.56548,98.71351,20.1881
1966-10,100.233,,99.91933,99.90112,,20.26377,98.79891,98.91633,20.28013
1966-11,100.4535,,100.0222,100.0254,,20.37738,99.06913,99.15111,20.37286
1966-12,100.6186,,100.0587,100.0695,,20.4783,99.38409,99.42477,20.46629
1967-01,100.7263,,100.053,100.0627,,20.57131,99.68684,99.68781,20.5604
1967-02,100.7661,,100.0315,100.0366,7.300453,20.66169,99.90065,99.87359,20.65519
1967-03,100.7257,,100.0094,100.01,7.080441,20.75261,99.97474,99.93796,20.75065
1967-04,100.6658,,100.0194,100.022,6.860972,20.85079,99.93539,99.90377,20.84676
1967-05,100.6571,,100.0459,100.0541,6.648583,20.95312,99.83855,99.81962,20.94351
1967-06,100.7371,,100.0758,100.0902,6.474785,21.05685,99.72994,99.72526,21.0409
1967-07,100.8156,,100.1063,100.127,6.342077,21.16138,99.60969,99.62078,21.13891
1967-08,100.7531,,100.1169,100.1398,6.211049,21.26236,99.45359,99.48515,21.23754
1967-09,100.4414,,100.1066,100.1274,6.049771,21.3595,99.2349,99.29514,21.33676
1967-10,100.0237,,100.0619,100.0734,5.85311,21.44983,98.94813,99.04597,21.43656
1967-11,99.69499,,99.96008,99.95035,5.648222,21.52834,98.61024,98.7524,21.53693
1967-12,99.60725,,99.79974,99.7566,5.45076,21.59453,98.26644,98.45368,21.63786
1968-01,99.68597,,99.62237,99.54225,5.278751,21.65721,97.9994,98.22166,21.73931
1968-02,99.84859,,99.49633,99.38995,5.176579,21.73126,97.89149,98.12791,21.84127
1968-03,100.0563,,99.45785,99.34344,5.166305,21.82475,97.98249,98.20697,21.94372
1968-04,100.2822,,99.50931,99.40563,5.216335,21.93844,98.23779,98.42879,22.04662
1968-05,100.5134,,99.61401,99.53215,5.303833,22.06444,98.58447,98.73,22.14994
1968-06,100.7348,,99.74532,99.69083,5.414439,22.19696,98.95613,99.05293,22.25364
1968-07,100.9087,,99.87347,99.8457,5.519496,22.32939,99.33119,99.3788,22.35767
1968-08,100.9674,,99.98026,99.97473,5.621268,22.45757,99.70443,99.70309,22.46201
1968-09,100.8544,,100.057,100.0675,5.711616,22.57947,100.058,100.0103,22.5666
1968-10,100.6812,,100.1342,100.1607,5.836728,22.7018,100.332,100.2484,22.67139
1968-11,100.593,,100.222,100.2669,6.031878,22.8269,100.4627,100.362,22.77634
1968-12,100.6958,,100.319,100.3841,6.297301,22.9544,100.4262,100.3303,22.8814
1969-01,100.898,,100.4038,100.4866,6.566555,23.07935,100.2756,100.1993,22.98652
1969-02,101.0779,,100.4891,100.5896,6.77983,23.20461,100.1011,100.0477,23.09167
1969-03,101.1519,,100.5844,100.7048,6.907698,23.33234,99.98373,99.94578,23.19678
1969-04,101.1648,,100.6837,100.8247,6.940749,23.46113,99.95054,99.91693,23.30182
1969-05,101.1834,,100.8081,100.9751,6.940778,23.59588,100.0001,99.96,23.40674
1969-06,101.2495,,100.9565,101.1544,6.935195,23.73636,100.1216,100.0655,23.51148
1969-07,101.3292,,101.1137,101.3444,6.939854,23.87901,100.3072,100.2268,23.616
1969-08,101.3653,,101.2227,101.4762,6.913931,24.01027,100.5526,100.44,23.72024
1969-09,101.3168,,101.2774,101.5422,6.860231,24.12847,100.852,100.7002,23.82415
1969-10,101.2415,,101.2757,101.5402,6.744434,24.23291,101.1898,100.9936,23.92767
1969-11,101.2167,,101.219,101.4716,6.557109,24.32368,101.5456,101.3028,24.03076
1969-12,101.2851,,101.1065,101.3358,6.29949,24.40041,101.898,101.609,24.13336
1970-01,101.3519,,100.9292,101.1214,5.984868,24.46062,102.2257,101.8937,24.23543
1970-02,101.2701,,100.6584,100.7942,5.570166,24.49714,102.5046,102.136,24.33691
1970-03,100.9276,,100.3489,100.4202,5.103145,24.52302,102.7062,102.3112,24.43777
1970-04,100.4837,,100.0339,100.0395,4.625246,24.54626,102.8,102.3928,24.53795
