country,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,101.4414,101.1037,21.87736
1960-03,,,,,,,101.0762,100.7851,21.98249
1960-04,,,,,,,100.72,100.4743,22.08813
1960-05,,,,,,,100.3851,100.1821,22.19429
1960-06,,,,,,,100.0844,99.91978,22.30096
1960-07,,,,,,,99.8266,99.69486,22.40816
1960-08,,,,,,,99.6184,99.51322,22.5159
1960-09,,,,,,,99.4644,99.37886,22.62418
1960-10,,,,,,,99.36301,99.29041,22.733
1960-11,,,,,,,99.31055,99.24464,22.84237
1960-12,,,,,,,99.30141,99.23666,22.9523
1961-01,,,,,,,99.32458,99.25688,23.06278
1961-02,,,,,,,99.36868,99.29535,23.17382
1961-03,,,,,,,99.42451,99.34406,23.28541
1961-04,,,,,,,99.48587,99.3976,23.39756
1961-05,,,,,,,99.54979,99.45336,23.51026
1961-06,,,,,,,99.61607,99.51118,23.6235
1961-07,,,,,,,99.68648,99.57261,23.73729
1961-08,,,,,,,99.764,99.64024,23.85161
1961-09,,,,,,,99.85155,99.71662,23.96646
1961-10,,,,,,,99.94995,99.80247,24.08183
1961-11,,,,,,,100.0586,99.89724,24.19771
1961-12,,,,,,,100.175,99.99877,24.31409
1962-01,,,,,,,100.2934,100.1021,24.43096
1962-02,,,,,,,100.4063,100.2006,24.54832
1962-03,,,,,,,100.5054,100.287,24.66614
1962-04,,,,,,,100.5824,100.3542,24.78443
1962-05,,,,,,,100.6272,100.3933,24.90317
1962-06,,,,,,,100.6266,100.3928,25.02235
1962-07,,,,,,,100.566,100.3399,25.14197
1962-08,,,,,,,100.4289,100.2203,25.26201
1962-09,,,,,,,100.2021,100.0225,25.38247
1962-10,,,,,,,99.88496,99.74577,25.50333
1962-11,,,,,,,99.5005,99.41035,25.62461
1962-12,,,,,,,99.11292,99.07222,25.74627
1963-01,,,,,,,98.82617,98.82205,25.86833
1963-02,,,,,,,98.75069,98.75619,25.99077
1963-03,,,,,,,98.94135,98.92254,26.11358
1963-04,,,,,,,99.36624,99.29322,26.23674
1963-05,,,,,,,99.92714,99.78257,26.36023
1963-06,,,,,,,100.5075,100.2889,26.48402
1963-07,,,,,,,101.0105,100.7277,26.6081
1963-08,,,,,,,101.3697,101.0411,26.73244
1963-09,,,,,,,101.5652,101.2116,26.85702
1963-10,,,,,,,101.6289,101.2672,26.98182
1963-11,,,,,,,101.6207,101.26,27.10683
1963-12,,,,,,,101.593,101.236,27.23203
1964-01,,,,,,,101.5619,101.2088,27.35741
1964-02,,,,,,,101.522,101.174,27.48296
1964-03,,,,,,,101.4628,101.1224,27.60868
1964-04,,,,,,,101.3849,101.0544,27.73455
1964-05,,,,,,,101.2925,100.9738,27.86058
1964-06,,,,,,,101.1877,100.8823,27.98677
1964-07,,,,,,,101.0659,100.7761,28.11312
1964-08,,,,,,,100.9197,100.6485,28.23963
1964-09,,,,,,,100.7439,100.4952,28.36631
1964-10,,,,,,,100.5425,100.3194,28.49316
1964-11,,,,,,,100.3287,100.1329,28.6202
1964-12,,,,,,,100.1275,99.95739,28.74743
1965-01,,,,,,,99.97897,99.8278,28.87486
1965-02,,,,,,,99.92194,99.77804,29.0025
1965-03,,,,,,,99.97495,99.82428,29.13037
1965-04,,,,,,,100.1102,99.9423,29.25846
1965-05,,,,,,,100.2814,100.0917,29.3868
1965-06,,,,,,,100.4449,100.2343,29.51538
1965-07,,,,,,,100.5784,100.3507,29.64422
1965-08,,,,,,,100.6728,100.4331,29.77333
1965-09,,,,,,,100.7266,100.48,29.90271
1965-10,,,,,,,100.7421,100.4936,30.03238
1965-11,,,,,,,100.7243,100.478,30.16236
1965-12,,,,,,,100.682,100.4412,30.29264
1966-01,,,,,,,100.6314,100.397,30.42327
1966-02,,,,,,,100.5878,100.359,30.55424
1966-03,,,,,,,100.5593,100.3341,30.68559
1966-04,,,,,,,100.5383,100.3157,30.81732
1966-05,,,,,,,100.51,100.2911,30.94947
1966-06,,,,,,,100.46,100.2474,31.08205
1966-07,,,,,,,100.3819,100.1793,31.21508
1966-08,,,,,,,100.2769,100.0877,31.34859
1966-09,,,,,,,100.1557,99.98196,31.4826
1966-10,,,,,,,100.0412,99.88208,31.61715
1966-11,,,99.90059,99.9253,,31.72069,99.9576,99.80915,31.75225
1966-12,,,99.57608,99.68165,,31.75276,99.91821,99.77478,31.88794
1967-01,,,99.2586,99.44328,,31.7868,99.91147,99.7689,32.02423
1967-02,,,98.93742,99.20213,,31.81942,99.91554,99.77245,32.16116
1967-03,,,98.6089,98.95547,,31.84943,99.91029,99.76787,32.29874
1967-04,,,98.28847,98.71488,,31.88184,99.88811,99.74852,32.43701
1967-05,,,98.00201,98.4998,,31.92512,99.84924,99.71461,32.57598
1967-06,,,97.78665,98.3381,,31.99158,99.79803,99.66993,32.71569
1967-07,,,97.67587,98.25493,,32.09255,99.74031,99.61958,32.85617
1967-08,,,97.6835,98.26066,,32.23304,99.67809,99.56528,32.99742
1967-09,,,97.78671,98.33815,,32.40601,99.60455,99.50113,33.13948
1967-10,,,97.91492,98.43441,,32.58841,99.49934,99.40934,33.28237
1967-11,,,98.03143,98.52189,3.301964,32.76809,99.32536,99.25755,33.42611
1967-12,,,98.13965,98.60314,3.758497,32.94618,99.02778,98.99793,33.57072
1968-01,,,98.25737,98.69154,4.221446,33.12866,98.53832,98.57092,33.71621
1968-02,,,98.42654,98.81854,4.7467,33.32979,97.84053,97.96214,33.86261
1968-03,,,98.65012,98.98641,5.342002,33.55083,97.04545,97.26849,34.00992
1968-04,,,98.91566,99.18579,5.97816,33.78778,96.41149,96.7154,34.15818
1968-05,,,99.20896,99.40601,6.611931,34.03599,96.22548,96.55312,34.30737
1968-06,,,99.59206,99.69364,7.268672,34.31695,96.61118,96.88961,34.45752
1968-07,,,100.0095,100.0071,7.850178,34.61187,97.44801,97.6197,34.60858
1968-08,,,100.4034,100.3028,8.276324,34.90075,98.44828,98.49236,34.76054
1968-09,,,100.7668,100.5757,8.563341,35.18105,99.34083,99.27105,34.91334
1968-10,,,101.1356,100.8526,8.827578,35.46517,99.97755,99.82655,35.06695
1968-11,,,101.4776,101.1094,9.074911,35.74177,100.3363,100.1395,35.22132
1968-12,,,101.7461,101.311,9.251307,35.99414,100.4706,100.2567,35.37643
1969-01,,,101.9094,101.4335,9.303125,36.21066,100.4755,100.261,35.53223
1969-02,,,102.0456,101.5358,9.267756,36.41871,100.4459,100.2352,35.68867
1969-03,,,102.2228,101.6689,9.214956,36.64252,100.444,100.2335,35.84573
1969-04,,,102.448,101.838,9.16587,36.88473,100.4704,100.2565,36.00336
1969-05,,,102.6488,101.9887,9.05916,37.11936,100.4951,100.2781,36.16153
1969-06,,,102.759,102.0715,8.757516,37.32226,100.4861,100.2702,36.32018
1969-07,,,102.7522,102.0663,8.295902,37.48323,100.4374,100.2277,36.47927
1969-08,,,102.6387,101.9811,7.750009,37.60556,100.3599,100.1601,36.63877
1969-09,,,102.4212,101.8178,7.130424,37.6896,100.2741,100.0853,36.79863
1969-10,,,102.1897,101.644,6.493535,37.76812,100.2061,100.026,36.95882
1969-11,,,101.962,101.4731,5.891755,37.84758,100.179,100.0023,37.11929
1969-12,,,101.7436,101.3091,5.378263,37.92999,100.2038,100.0239,37.28
1970-01,,,101.5082,101.1323,4.956864,38.00558,100.2675,100.0796,37.4409
1970-02,,,101.2344,100.9267,4.523462,38.0661,100.348,100.1497,37.60196
1970-03,,,100.9363,100.7029,4.023099,38.11669,100.4254,100.2173,37.76312
1970-04,,,100.615,100.4617,3.450835,38.15756,100.4935,100.2767,37.92434
1970-05,,,100.2931,100.22,2.903701,38.1972,100.5526,100.3283,38.08558
1970-06,,,99.9883,99.99116,2.465149,38.24231,100.6049,100.3738,38.24678
1970-07,,,99.749,99.81149,2.209726,38.31151,100.6487,100.4121,38.40791
1970-08,,,99.62901,99.72139,2.181276,38.42584,100.6786,100.4381,38.56893
1970-09,,,99.6478,99.7355,2.397925,38.59337,100.6841,100.443,38.72978
1970-10,,,99.78214,99.83636,2.747244,38.8057,100.6516,100.4146,38.89042
1970-11,,,99.99777,99.99827,3.176857,39.04995,100.5719,100.3451,39.05082
1970-12,,,100.2251,100.1689,3.609762,39.29918,100.4517,100.2402,39.21093
