country,IRL,IRL
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,7.845342
1960-Q2,,7.952021
1960-Q3,,8.059285
1960-Q4,,8.167136
1961-Q1,5.464306,8.274035
1961-Q2,5.38363,8.380128
1961-Q3,4.987092,8.461209
1961-Q4,4.258704,8.514951
1962-Q1,3.553469,8.568051
1962-Q2,2.873233,8.620909
1962-Q3,2.867885,8.703867
1962-Q4,3.566068,8.8186
1963-Q1,4.251483,8.932321
1963-Q2,4.921535,9.04519
1963-Q3,5.087019,9.146635
1963-Q4,4.723972,9.235188
1964-Q1,4.369742,9.322639
1964-Q2,4.035701,9.410227
1964-Q3,3.62291,9.478009
1964-Q4,3.139137,9.525093
1965-Q1,2.669783,9.571534
1965-Q2,2.206333,9.617847
1965-Q3,1.708039,9.639897
1965-Q4,1.162032,9.635777
1966-Q1,0.6321724,9.632043
1966-Q2,0.1053837,9.627983
1966-Q3,0.6120243,9.698895
1966-Q4,2.221087,9.849796
1967-Q1,3.822702,10.00025
1967-Q2,5.408445,10.14871
1967-Q3,6.582321,10.33731
1967-Q4,7.289443,10.56779
1968-Q1,7.960987,10.79636
1968-Q2,8.628158,11.02435
1968-Q3,8.577225,11.22396
1968-Q4,7.817076,11.39388
1969-Q1,7.092007,11.56204
1969-Q2,6.393463,11.72919
1969-Q3,5.539778,11.84575
1969-Q4,4.505964,11.90729
1970-Q1,4.7377,12.10982
1970-Q2,2.63578,12.03835
1970-Q3,1.645344,12.04065
1970-Q4,1.678857,12.10719
1971-Q1,0.9677776,12.22702
1971-Q2,2.880248,12.38508
1971-Q3,4.437009,12.57489
1971-Q4,5.597021,12.78484
1972-Q1,6.32689,13.0006
1972-Q2,6.680442,13.21246
1972-Q3,6.65055,13.41119
1972-Q4,6.302843,13.59064
1973-Q1,5.742336,13.74714
1973-Q2,5.063199,13.88143
1973-Q3,4.361901,13.99618
1973-Q4,3.767364,14.10265
1974-Q1,3.469965,14.22416
1974-Q2,3.62373,14.38446
1974-Q3,4.380451,14.60927
1974-Q4,5.537774,14.88363
1975-Q1,6.501057,15.14889
1975-Q2,6.733338,15.35301
1975-Q3,5.73504,15.44712
1975-Q4,3.732118,15.4391
1976-Q1,1.679888,15.40337
1976-Q2,0.4409813,15.42072
1976-Q3,0.7689501,15.5659
1976-Q4,2.689778,15.85438
1977-Q1,5.398533,16.23493
1977-Q2,7.96407,16.64883
1977-Q3,9.559947,17.05399
1977-Q4,9.860413,17.41769
1978-Q1,9.178468,17.72504
1978-Q2,7.982757,17.97787
1978-Q3,6.567177,18.17396
1978-Q4,5.175965,18.31922
1979-Q1,3.986564,18.43166
1979-Q2,3.105041,18.53609
1979-Q3,2.642082,18.65413
1979-Q4,2.585266,18.79282
1980-Q1,2.778647,18.94382
1980-Q2,3.040938,19.09976
1980-Q3,3.220024,19.2548
1980-Q4,3.272444,19.4078
1981-Q1,3.264339,19.5622
1981-Q2,3.262883,19.72296
1981-Q3,3.339522,19.89781
1981-Q4,3.431786,20.07384
1982-Q1,3.35221,20.21797
1982-Q2,2.94893,20.30458
1982-Q3,2.054635,20.30664
1982-Q4,0.8149627,20.23743
