country,ISR,ISR
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1995-Q1,,45.49167
1995-Q2,,46.59883
1995-Q3,,47.17685
1995-Q4,,47.59295
1996-Q1,6.383133,48.39546
1996-Q2,5.296348,49.06687
1996-Q3,5.276436,49.66611
1996-Q4,6.019868,50.45798
1997-Q1,5.40783,51.01261
1997-Q2,4.577301,51.31281
1997-Q3,3.276666,51.2935
1997-Q4,3.470157,52.20895
1998-Q1,3.788909,52.94543
1998-Q2,3.294012,53.00306
1998-Q3,4.250459,53.47371
1998-Q4,3.341055,53.95328
1999-Q1,0.9741135,53.46117
1999-Q2,5.145577,55.73037
1999-Q3,4.595802,55.93126
1999-Q4,5.706025,57.03187
2000-Q1,9.033669,58.29068
2000-Q2,7.87397,60.11856
2000-Q3,10.68844,61.90943
2000-Q4,8.453918,61.8533
2001-Q1,4.842187,61.11322
2001-Q2,1.132283,60.79928
2001-Q3,-2.899959,60.11409
2001-Q4,-3.304168,59.80956
2002-Q1,-1.751838,60.04262
2002-Q2,-0.8101972,60.30669
2002-Q3,0.3708923,60.33704
2002-Q4,0.7110426,60.23483
2003-Q1,1.537871,60.966
2003-Q2,0.7179873,60.73968
2003-Q3,1.470321,61.22419
2003-Q4,2.001068,61.44017
2004-Q1,3.298043,62.97668
2004-Q2,4.558146,63.50828
2004-Q3,4.976548,64.27104
2004-Q4,5.894937,65.06203
2005-Q1,4.012507,65.50362
2005-Q2,4.203552,66.17789
2005-Q3,4.272324,67.01691
2005-Q4,4.826392,68.20218
2006-Q1,5.985338,69.42424
2006-Q2,6.82878,70.69703
2006-Q3,4.751521,70.20123
2006-Q4,4.463461,71.24636
2007-Q1,4.784542,72.74587
2007-Q2,4.717011,74.03181
2007-Q3,7.448063,75.42986
2007-Q4,7.426993,76.53782
2008-Q1,6.070432,77.16186
2008-Q2,4.421492,77.30512
2008-Q3,2.646892,77.42641
2008-Q4,0.4029305,76.84621
2009-Q1,-0.4520778,76.81303
2009-Q2,0.4273709,77.63551
2009-Q3,1.35431,78.47501
2009-Q4,3.539422,79.56612
2010-Q1,4.98439,80.64169
2010-Q2,5.331412,81.77457
2010-Q3,5.49627,82.7882
2010-Q4,5.679996,84.08548
2011-Q1,5.765334,85.29095
2011-Q2,5.316296,86.12195
2011-Q3,6.311102,88.01305
2011-Q4,5.499513,88.70977
2012-Q1,4.497603,89.127
2012-Q2,3.394901,89.04571
2012-Q3,2.134709,89.89188
2012-Q4,1.988897,90.47411
2013-Q1,2.930667,91.73901
2013-Q2,5.092005,93.57992
2013-Q3,5.300797,94.65686
2013-Q4,5.401844,95.36139
2014-Q1,5.088943,96.40756
2014-Q2,3.979462,97.30389
2014-Q3,3.756029,98.2122
2014-Q4,4.548456,99.69886
2015-Q1,3.454156,99.73763
2015-Q2,2.570041,99.80464
2015-Q3,1.732446,99.91367
2015-Q4,1.039978,100.7357
2016-Q1,1.948493,101.681
2016-Q2,4.250607,104.047
2016-Q3,5.438529,105.3475
2016-Q4,5.711113,106.4888
2017-Q1,4.886259,106.6494
2017-Q2,3.977462,108.1854
2017-Q3,4.246895,109.8215
2017-Q4,4.589956,111.3766
2018-Q1,5.643301,112.668
2018-Q2,4.444061,112.9932
2018-Q3,3.762596,113.9536
2018-Q4,3.053371,114.7774
2019-Q1,3.317317,116.4055
2019-Q2,3.402019,116.8372
2019-Q3,3.616733,118.075
2019-Q4,4.000849,119.3694
2020-Q1,1.361676,117.9906
2020-Q2,-8.201981,107.2543
2020-Q3,-1.312807,116.5249
2020-Q4,-0.3496292,118.9521
2021-Q1,0.5417694,118.6298
2021-Q2,14.70739,123.0286
2021-Q3,7.296299,125.027
2021-Q4,9.220314,129.9198
