country,MEX,MEX
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,12.33371
1960-Q2,,12.45682
1960-Q3,,12.5806
1960-Q4,,12.70506
1961-Q1,4.01356,12.82873
1961-Q2,3.968465,12.95116
1961-Q3,3.982714,13.08165
1961-Q4,4.052759,13.21997
1962-Q1,4.120105,13.35729
1962-Q2,4.186414,13.49335
1962-Q3,4.593796,13.6826
1962-Q4,5.353576,13.92771
1963-Q1,6.096019,14.17155
1963-Q2,6.81321,14.41268
1963-Q3,7.815201,14.75192
1963-Q4,9.0939,15.19428
1964-Q1,10.31237,15.63297
1964-Q2,11.50287,16.07055
1964-Q3,11.22824,16.4083
1964-Q4,9.526078,16.6417
1965-Q1,7.932758,16.8731
1965-Q2,6.42249,17.10268
1965-Q3,5.770325,17.35511
1965-Q4,5.941481,17.63046
1966-Q1,6.103648,17.90298
1966-Q2,6.263108,18.17384
1966-Q3,6.239657,18.43801
1966-Q4,6.028594,18.69333
1967-Q1,5.827579,18.94629
1967-Q2,5.632259,19.19744
1967-Q3,5.833421,19.51358
1967-Q4,6.441396,19.89744
1968-Q1,7.029301,20.27808
1968-Q2,7.606983,20.65779
1968-Q3,7.540691,20.98503
1968-Q4,6.834904,21.25741
1969-Q1,6.164891,21.5282
1969-Q2,5.510474,21.79613
1969-Q3,5.479422,22.13489
1969-Q4,6.069005,22.54753
1970-Q1,6.629729,22.95546
1970-Q2,7.181341,23.36138
1970-Q3,6.85329,23.65186
1970-Q4,5.628724,23.81667
1971-Q1,4.462872,23.97993
1971-Q2,3.341551,24.14202
1971-Q3,3.596276,24.50245
1971-Q4,5.276771,25.07342
1972-Q1,6.927997,25.64126
1972-Q2,8.549659,26.20608
1972-Q3,9.294405,26.7798
1972-Q4,9.130326,27.3627
1973-Q1,8.968921,27.94101
1973-Q2,8.808347,28.5144
1973-Q3,8.344813,29.01453
1973-Q4,7.565879,29.43293
1974-Q1,6.817829,29.84598
1974-Q2,6.113171,30.25753
1974-Q3,5.765248,30.68729
1974-Q4,5.779068,31.13388
1975-Q1,5.794446,31.57538
1975-Q2,5.807361,32.0147
1975-Q3,5.621372,32.41233
1975-Q4,5.231911,32.76278
1976-Q1,4.856797,33.10894
1976-Q2,4.500615,33.45555
1976-Q3,4.065832,33.73017
1976-Q4,3.561168,33.92951
1977-Q1,3.082237,34.12943
1977-Q2,2.60036,34.32552
1977-Q3,3.185989,34.80481
1977-Q4,4.878946,35.58492
1978-Q1,6.536367,36.36026
1978-Q2,8.163618,37.12772
1978-Q3,9.06114,37.95852
1978-Q4,9.181234,38.85205
1979-Q1,9.284451,39.73611
1979-Q2,9.392879,40.61509
1979-Q3,9.214405,41.45617
1979-Q4,8.749299,42.25133
1980-Q1,9.274204,43.42131
1980-Q2,7.606767,43.70458
1980-Q3,7.699434,44.64806
1980-Q4,8.732685,45.94101
1981-Q1,8.165443,46.96686
1981-Q2,10.24894,48.18384
1981-Q3,8.483373,48.43572
1981-Q4,7.319118,49.30349
1982-Q1,2.952408,48.35351
1982-Q2,0.5050594,48.42719
1982-Q3,-0.7366849,48.0789
1982-Q4,-4.623493,47.02394
1983-Q1,-3.468731,46.67626
