country,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1995-04,99.58836,,,,,,,,
1995-05,99.37823,,98.98439,99.47071,,,,,
1995-06,98.80827,,98.78458,99.36616,,,,,
1995-07,98.13904,,98.62688,99.28362,,,,,
1995-08,97.66631,,98.50996,99.22243,,,,,
1995-09,97.49181,,98.45588,99.19414,,,,,
1995-10,97.20013,,98.44891,99.19049,,,,,
1995-11,96.88038,,98.50467,99.21967,,,,,
1995-12,96.62212,,98.60195,99.27058,,,,,
1996-01,96.604,,98.71162,99.32797,,,,,
1996-02,96.58196,,98.79423,99.3712,,61.76062,99.64025,99.134,62.5144
1996-03,96.5234,100.8073,98.7896,99.36877,,61.97035,99.67955,99.19677,62.72963
1996-04,96.4239,100.8009,98.82655,99.38811,,62.20696,99.72099,99.26295,62.94559
1996-05,96.54542,101.201,98.89842,99.42573,,62.46651,99.76769,99.33754,63.16229
1996-06,96.64304,101.6111,99.02126,99.49001,,62.75939,99.82244,99.42498,63.37971
1996-07,96.58791,101.8969,99.23147,99.60001,,63.10907,99.8859,99.52634,63.59784
1996-08,96.88564,102.1192,99.56621,99.77518,,63.53984,99.95671,99.63943,63.81667
1996-09,97.5507,102.2788,99.97742,99.99037,,64.02171,100.0308,99.75778,64.03617
1996-10,98.2193,102.1886,100.3903,100.2065,,64.50715,100.1002,99.86866,64.25633
1996-11,98.6396,102.2483,100.7586,100.3992,,64.96623,100.1583,99.96145,64.47713
1996-12,98.85018,102.1947,101.0481,100.5507,,65.37664,100.2053,100.0364,64.69853
1997-01,99.1962,102.0704,101.2529,100.6578,,65.7339,100.2542,100.1146,64.92053
1997-02,99.708,101.8725,101.4012,100.7354,6.954679,66.05588,100.3206,100.2207,65.1431
1997-03,99.96056,101.7077,101.4804,100.7769,7.041306,66.33387,100.4112,100.3652,65.36621
1997-04,99.99917,101.4919,101.4942,100.7841,7.013584,66.56989,100.5115,100.5255,65.58985
1997-05,99.85587,101.3949,101.471,100.772,6.908652,66.7821,100.5982,100.664,65.81399
1997-06,99.81886,101.34,101.4446,100.7582,6.745172,66.99261,100.6499,100.7465,66.0386
1997-07,99.90842,101.1315,101.4734,100.7732,6.545678,67.23999,100.6592,100.7614,66.26369
1997-08,100.0422,101.1956,101.5243,100.7999,6.236829,67.50271,100.627,100.71,66.48923
1997-09,100.2282,101.324,101.5469,100.8117,5.819169,67.74725,100.5596,100.6024,66.7152
1997-10,100.6359,101.295,101.5396,100.8079,5.371676,67.97227,100.4689,100.4575,66.94163
1997-11,101.0004,101.0265,101.4818,100.7776,4.921923,68.16382,100.3674,100.2954,67.1685
1997-12,101.1633,100.8538,101.3731,100.7207,4.503983,68.32119,100.2652,100.1321,67.3958
1998-01,100.7866,100.7383,101.1961,100.6281,4.10515,68.43237,100.1678,99.97659,67.62356
1998-02,100.2667,100.877,100.9782,100.5141,3.723508,68.51547,100.0779,99.83298,67.85176
1998-03,99.82848,101.2251,100.715,100.3764,3.36679,68.56719,99.99628,99.70264,68.08042
1998-04,99.58282,101.4511,100.409,100.2162,3.032942,68.58892,99.92285,99.58534,68.30953
1998-05,99.70802,101.3058,100.0975,100.0532,2.73099,68.60592,99.85764,99.48119,68.5391
1998-06,100.0794,101.2065,99.79889,99.89695,2.445352,68.63082,99.80142,99.39141,68.76913
1998-07,100.632,100.9801,99.45111,99.71495,2.053649,68.62086,99.75571,99.31841,68.9996
1998-08,100.3728,100.6164,98.97882,99.4678,1.512282,68.52354,99.72484,99.2691,69.23051
1998-09,99.08725,100.2764,98.39724,99.16345,0.8875747,68.34855,99.7173,99.25706,69.46186
1998-10,97.62431,100.2823,97.7959,98.84876,0.2725233,68.15751,99.74609,99.30303,69.69363
1998-11,96.66609,100.3972,97.27612,98.57676,-0.2093821,68.0211,99.82571,99.43021,69.9258
1998-12,96.21428,100.5675,96.94895,98.40555,-0.4441079,68.01778,99.96671,99.65539,70.15834
1999-01,96.0092,100.6834,96.86453,98.36137,-0.3627397,68.18414,100.1663,99.97424,70.39124
1999-02,95.54524,100.8134,97.00654,98.43568,-0.007480326,68.51035,100.4079,100.3601,70.62446
1999-03,95.43113,101.0269,97.39635,98.63968,0.6502909,69.01308,100.6555,100.7555,70.85797
1999-04,95.92857,101.2633,97.98521,98.94783,1.560692,69.65939,100.8455,101.0589,71.09174
1999-05,96.6813,101.0569,98.63818,99.28954,2.548572,70.35439,100.9177,101.1743,71.32572
1999-06,97.96329,100.6095,99.2905,99.63091,3.5281,71.05219,100.8511,101.0679,71.55991
1999-07,99.13015,100.8718,99.84736,99.92232,4.464872,71.6847,100.6869,100.8057,71.79428
1999-08,99.62189,101.061,100.2589,100.1377,5.387661,72.21535,100.4981,100.5041,72.02885
1999-09,99.64431,101.1724,100.5667,100.2988,6.327302,72.67317,100.3458,100.2609,72.26363
1999-10,99.54896,101.2297,100.8148,100.4286,7.235912,73.08932,100.255,100.1159,72.4986
1999-11,99.50263,101.2355,101.084,100.5695,8.087372,73.52222,100.2214,100.0622,72.73378
1999-12,99.73672,101.3322,101.4107,100.7404,8.792933,73.99853,100.2296,100.0753,72.96915
2000-01,100.0545,101.6408,101.7711,100.929,9.264819,74.50128,100.2672,100.1354,73.20474
2000-02,100.778,101.7893,102.172,101.1388,9.524539,75.03564,100.325,100.2276,73.44054
2000-03,101.788,101.4779,102.5882,101.3566,9.520476,75.58346,100.3952,100.3398,73.67654
2000-04,102.6226,101.2339,102.9455,101.5436,9.231294,76.08984,100.469,100.4576,73.91274
2000-05,103.2638,101.1649,103.214,101.6841,8.781128,76.5323,100.5375,100.567,74.14918
2000-06,103.611,101.1088,103.3091,101.7339,8.156238,76.84737,100.5935,100.6565,74.38584
2000-07,103.071,101.046,103.257,101.7066,7.489109,77.05325,100.6335,100.7204,74.62274
2000-08,102.2897,100.8748,103.1309,101.6406,6.907585,77.2037,100.6563,100.7567,74.8599
2000-09,101.8188,100.7549,103.0271,101.5863,6.46378,77.37061,100.6634,100.7682,75.09734
2000-10,101.5615,100.9355,102.9366,101.5389,6.099452,77.54737,100.6609,100.7641,75.33509
2000-11,101.4493,101.1894,102.8636,101.5007,5.733062,77.73729,100.6541,100.7532,75.57317
2000-12,101.6481,101.1937,102.756,101.4444,5.27368,77.90098,100.6443,100.7376,75.81162
2001-01,101.7967,101.1798,102.6173,101.3718,4.751121,78.04092,100.6251,100.707,76.05049
2001-02,101.759,101.0871,102.4582,101.2886,4.170686,78.16514,100.5878,100.6473,76.28981
2001-03,101.3717,101.0141,102.224,101.166,3.503656,78.23164,100.5271,100.5505,76.52964
2001-04,100.6622,100.8429,101.9175,101.0056,2.82851,78.24205,100.4494,100.4263,76.77002
2001-05,99.97926,100.4683,101.5571,100.817,2.192347,78.21015,100.3657,100.2926,77.01102
2001-06,99.57272,100.3741,101.1994,100.6298,1.733168,78.17927,100.2879,100.1684,77.2527
2001-07,99.14704,100.1377,100.848,100.446,1.426374,78.15231,100.2246,100.0673,77.49512
2001-08,98.70431,100.1133,100.5349,100.2821,1.231106,78.15415,100.1811,99.99786,77.73836
2001-09,98.30238,100.2665,100.2762,100.1467,1.069238,78.19788,100.1591,99.96272,77.98247
2001-10,97.90726,100.2915,100.0895,100.049,0.9673446,78.29752,100.1546,99.9555,78.22752
2001-11,97.87201,100.2375,99.99042,99.99718,0.937474,78.46606,100.1599,99.9639,78.47358
2001-12,97.99695,100.1093,99.93615,99.96878,0.9877568,78.67045,100.1643,99.971,78.72071
2002-01,98.33512,99.73486,99.92301,99.96191,1.111292,78.90819,100.1545,99.95531,78.96899
2002-02,98.70789,99.14249,99.91541,99.95793,1.261847,79.15147,100.1197,99.89971,79.21847
2002-03,98.77755,98.74834,99.83031,99.91339,1.409595,79.33439,100.0585,99.80203,79.46924
2002-04,98.77835,98.73297,99.67998,99.83472,1.564593,79.46622,99.98716,99.68805,79.72135
2002-05,98.85644,99.12375,99.52193,99.75201,1.767553,79.59256,99.92794,99.59348,79.97489
2002-06,98.73532,99.62318,99.41422,99.69565,2.021881,79.75996,99.89896,99.54718,80.22993
2002-07,98.53628,99.84162,99.41078,99.69385,2.37994,80.01229,99.90266,99.55311,80.48653
2002-08,98.6684,99.95132,99.50571,99.74353,2.804063,80.34565,99.93108,99.59849,80.74475
