country,SWE,SWE
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,24.52204
1960-Q2,,24.85438
1960-Q3,,25.25855
1960-Q4,,25.73121
1961-Q1,6.962729,26.22945
1961-Q2,5.916115,26.32479
1961-Q3,5.66656,26.68984
1961-Q4,4.247552,26.82416
1962-Q1,2.550829,26.89852
1962-Q2,3.978823,27.37221
1962-Q3,5.066438,28.04207
1962-Q4,5.401794,28.27315
1963-Q1,4.030531,27.98267
1963-Q2,6.139303,29.05268
1963-Q3,5.525281,29.59147
1963-Q4,5.580869,29.85104
1964-Q1,9.319857,30.59061
1964-Q2,5.86415,30.75637
1964-Q3,6.010911,31.37019
1964-Q4,6.21372,31.70589
1965-Q1,5.688605,32.33079
1965-Q2,4.34176,32.09174
1965-Q3,2.194775,32.05869
1965-Q4,3.124283,32.69648
1966-Q1,2.530095,33.14879
1966-Q2,2.612349,32.93008
1966-Q3,0.08823307,32.08698
1966-Q4,3.108407,33.71282
1967-Q1,2.780279,34.07042
1967-Q2,3.810406,34.18485
1967-Q3,4.836198,33.63877
1967-Q4,2.106845,34.42309
1968-Q1,-0.6664072,33.84337
1968-Q2,4.441643,35.70322
1968-Q3,6.908329,35.96265
1968-Q4,3.906174,35.76772
1969-Q1,5.228211,35.61278
1969-Q2,2.382584,36.55388
1969-Q3,5.545897,37.9571
1969-Q4,6.883656,38.22985
1970-Q1,8.781952,38.74027
1970-Q2,6.797299,39.03856
1970-Q3,5.853065,40.17875
1970-Q4,5.58396,40.36459
1971-Q1,3.058156,39.92501
1971-Q2,1.068016,39.45549
1971-Q3,-0.005447593,40.17656
1971-Q4,-1.441771,39.78262
1972-Q1,0.1152127,39.97101
1972-Q2,1.499044,40.04695
1972-Q3,2.517171,41.18787
1972-Q4,5.297123,41.88995
1973-Q1,5.497766,42.16852
1973-Q2,5.335992,42.18385
1973-Q3,3.218574,42.51354
1973-Q4,2.874429,43.09405
1974-Q1,1.651082,42.86476
1974-Q2,3.344257,43.59459
1974-Q3,3.987334,44.20869
1974-Q4,3.982725,44.81037
1975-Q1,5.206673,45.09659
1975-Q2,2.25115,44.57597
1975-Q3,1.749971,44.98233
1975-Q4,1.665346,45.55662
1976-Q1,-0.6630928,44.79755
1976-Q2,2.272782,45.58908
1976-Q3,0.8002371,45.3423
1976-Q4,-0.9312643,45.13237
1977-Q1,-1.300673,44.21489
1977-Q2,-2.034098,44.66176
1977-Q3,-1.359969,44.72566
1977-Q4,-1.487679,44.46094
1978-Q1,2.188155,45.18238
1978-Q2,2.741741,45.88626
1978-Q3,0.4791865,44.93998
1978-Q4,2.723852,45.67199
1979-Q1,3.170026,46.61467
1979-Q2,3.218485,47.36311
1979-Q3,5.682723,47.49379
1979-Q4,4.099979,47.54453
1980-Q1,5.185021,49.03165
1980-Q2,-1.4124,46.69415
1980-Q3,2.049037,48.46696
1980-Q4,-0.05483789,47.51846
1981-Q1,-2.49094,47.8103
1981-Q2,2.326811,47.78064
1981-Q3,-0.6596331,48.14725
1981-Q4,0.1858972,47.6068
1982-Q1,-0.1428233,47.74202
1982-Q2,2.029752,48.75047
1982-Q3,-0.004190578,48.14523
